eeschema (2013-dec-23)-stable  >> Creation date: mié 25 mar 2015 16:03:58 ART
#Cmp ( order = Reference )
| BT1        BK-913      BK-913-datasheet.pdf; BK-913-ND   ; BK-913-datasheet.pdf; Soporte batería CR2032; MPD (Memory Protection Devices); BK-913      ; ../PCB/EDU-NXP/Datasheets; BK-913-ND   ; ~           ;             ;             
| R7         200         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 200 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-201-D; ..PCB/EDU-NXP/Datasheets; RR12P200DCT-ND; 0805        ;             ;             
| R8         390         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 390 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-391-D; ..PCB/EDU-NXP/Datasheets; RR12P390DCT-ND; 0805        ;             ;             
| R9         100         AOA0000CE4.pdf      ; SM0805      ; AOA0000CE4.pdf; RES 100 OHM 1/2W 1% 0805 SMD; Panasonic Electronic Components; ERJ-P06F1000V; ..PCB/EDU-NXP/Datasheets; P16057CT-ND ; 0805        ;             ;             
| R10        330k        SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-NXP/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| R11        0           RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| R12        330k        SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-NXP/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| R13        330k        SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-NXP/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| R14        330k        SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-NXP/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| R15        0           RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| R16        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R17        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R18        330k        SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-NXP/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| R19        330k        SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-NXP/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| R20        470         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 470 OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ471V; ..PCB/EDU-NXP/Datasheets; P470ACT-ND  ; 0805        ;             ;             
| R21        1k2         SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 1.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT1K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT1K20CT-ND; 0805        ;             ;             
| R22        1k2         SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 1.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT1K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT1K20CT-ND; 0805        ;             ;             
| R23        1k2         SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 1.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT1K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT1K20CT-ND; 0805        ;             ;             
| R57        1k          RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-NXP/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| R58        1k          RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-NXP/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| R59        1k          RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-NXP/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| R60        1k          RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-NXP/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| R61        1k          RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-NXP/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| R62        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R63        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R64        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R65        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R66        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R68        680         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| R70        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R71        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R72        680         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| R73        680         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| R74        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R76        680         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| R82        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R83        10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R84        680         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| R85        680         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-NXP/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| R90        100K        AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 100K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ104V; ..PCB/EDU-NXP/Datasheets; P100KACT-ND ; 0805        ;             ;             
| R91        10M         SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 10M OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT10M0; ..PCB/EDU-NXP/Datasheets; RMCF0805JT10M0CT-ND; 0805        ;             ;             
| R92        12K         RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 12K OHM 1/8W 1% 0805 SMD; Yageo       ; RC0805FR-0712KL; ..PCB/EDU-NXP/Datasheets; 311-12.0KCRCT-ND; 0805        ;             ;             
| R93        10K         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R94        10K         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R95        2.2k        SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 2.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT2K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT2K20CT-ND; 0805        ;             ;             
| R96        15K         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 15.0K OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-153-D; ..PCB/EDU-NXP/Datasheets; RR12P15.0KDCT-ND; 0805        ;             ;             
| R97        2.2k        SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 2.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT2K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT2K20CT-ND; 0805        ;             ;             
| R98        15K         RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 15.0K OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-153-D; ..PCB/EDU-NXP/Datasheets; RR12P15.0KDCT-ND; 0805        ;             ;             
| R99        10K         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R100       10K         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R101       2.2K        SEI-RMCF_RMCP.pdf   ; SM0805      ; SEI-RMCF_RMCP.pdf; RES 2.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT2K20; ..PCB/EDU-NXP/Datasheets; RMCF0805JT2K20CT-ND; 0805        ;             ;             
| R102       10K         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R103       12K 1%      RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 12K OHM 1/8W 1% 0805 SMD; Yageo       ; RC0805FR-0712KL; ..PCB/EDU-NXP/Datasheets; 311-12.0KCRCT-ND; 0805        ;             ;             
| R104       1k          RR Series Resistor Specifications.pdf; SM0805      ; RR Series Resistor Specifications.pdf; RES 15.0K OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-153-D; ..PCB/EDU-NXP/Datasheets; RR12P15.0KDCT-ND; 0805        ;             ;             
| R105       270         mcr_g.pdf           ; SM0805      ; mcr_g.pdf   ; RES 270 OHM 1/8W 5% 0805 SMD; Rohm Semiconductor; MCR10ERTJ271; ../PCB/EDU-NXP/Datasheets; RHM270CPCT-ND; 0805        ;             ;             
| R106       10k         AOA0000CE1.pdf      ; SM0805      ; AOA0000CE1.pdf; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-NXP/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| R107       0           RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| R108       0           RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| R109       0           RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| R110       0           RC0805 Pb Free.pdf  ; SM0805      ; RC0805 Pb Free.pdf; RES 0.0 OHM 1/8W JUMP 0805 SMD; Yageo       ; RC0805JR-070RL; ..PCB/EDU-NXP/Datasheets; 311-0.0ARCT-ND; 0805        ;             ;             
| SW1        TEC_1       ENG_CD_1825910_C7_baseFilename.pdf; PUSH_SWITCH_THT; ENG_CD_1825910_C7_baseFilename.pdf; SWITCH TACTILE SPST-NO 0.05A 24V; TE Connectivity; 1825910-7   ; ../PCN/EDU-NXP/Datasheets; 450-1804-ND ; ~           ;             ;             
| SW2        TEC_2       ENG_CD_1825910_C7_baseFilename.pdf; PUSH_SWITCH_THT; ENG_CD_1825910_C7_baseFilename.pdf; SWITCH TACTILE SPST-NO 0.05A 24V; TE Connectivity; 1825910-7   ; ../PCN/EDU-NXP/Datasheets; 450-1804-ND ; ~           ;             ;             
| SW3        TEC_3       ENG_CD_1825910_C7_baseFilename.pdf; PUSH_SWITCH_THT; ENG_CD_1825910_C7_baseFilename.pdf; SWITCH TACTILE SPST-NO 0.05A 24V; TE Connectivity; 1825910-7   ; ../PCN/EDU-NXP/Datasheets; 450-1804-ND ; ~           ;             ;             
| SW4        TEC_4       ENG_CD_1825910_C7_baseFilename.pdf; PUSH_SWITCH_THT; ENG_CD_1825910_C7_baseFilename.pdf; SWITCH TACTILE SPST-NO 0.05A 24V; TE Connectivity; 1825910-7   ; ../PCN/EDU-NXP/Datasheets; 450-1804-ND ; ~           ;             ;             
| SW5        RESET       ENG_CD_1825910_C7_baseFilename.pdf; PUSH_SWITCH_THT; ENG_CD_1825910_C7_baseFilename.pdf; SWITCH TACTILE SPST-NO 0.05A 24V; TE Connectivity; 1825910-7   ; ../PCN/EDU-NXP/Datasheets; 450-1804-ND ; ~           ;             ;             
| TH1        MF-MSMF030-2mfmsmf.pdf          ; MF-MSMF     ; mfmsmf.pdf  ; PTC RESETTABLE .30A 30V 1812; Bourns Inc. ; MF-MSMF030-2; ../PCB/EDU-NXP/Datasheets; MF-MSMF030-2CT-ND; 1812        ;             ;             
| TH2        MF-MSMF110-2mfmsmf.pdf          ; MF-MSMF     ; mfmsmf.pdf  ; PTC RESETTABLE .30A 30V 1812; Bourns Inc. ; MF-MSMF030-2; ../PCB/EDU-NXP/Datasheets; MF-MSMF030-2CT-ND; 1812        ;             ;             
| TH3        MF-MSMF030-2mfmsmf.pdf          ; MF-MSMF     ; mfmsmf.pdf  ; PTC RESETTABLE .30A 30V 1812; Bourns Inc. ; MF-MSMF030-2; ../PCB/EDU-NXP/Datasheets; MF-MSMF030-2CT-ND; 1812        ;             ;             
| TH4        MF-MSMF110-2mfmsmf.pdf          ; MF-MSMF     ; mfmsmf.pdf  ; PTC RESETTABLE .30A 30V 1812; Bourns Inc. ; MF-MSMF030-2; ../PCB/EDU-NXP/Datasheets; MF-MSMF030-2CT-ND; 1812        ;             ;             
| TR1        DLW21HN900SQ2L0114S0133DLW21H.pdf; SRF2012     ; L0114S0133DLW21H.pdf; CHOKE COMMON MODE 90 OHM 0805; Murata Electronics North America; DLW21HN900SQ2L; ../PCB/EDU-NXP/Datasheets; 490-1064-2-ND; 0805        ;             ;             
| TR2        DLW21HN900SQ2L0114S0133DLW21H.pdf; SRF2012     ; L0114S0133DLW21H.pdf; CHOKE COMMON MODE 90 OHM 0805; Murata Electronics North America; DLW21HN900SQ2L; ../PCB/EDU-NXP/Datasheets; 490-1064-2-ND; 0805        ;             ;             
| U1         SN65HVD1176DRsn65hvd1176.pdf     ; -SOIC8      ; sn65hvd1176.pdf; IC RS485 PROFIBUS TXRX 8-SOIC; Texas Instruments; SN65HVD1176DR; ../PCB/EDU-NXP/Datasheets; 296-26337-1-ND; 8-SOIC (0.154", 3.90mm Width);             ;             
| U2         PRTR5V0U2X  PRTR5V0U2X.pdf      ; sot143B     ; PRTR5V0U2X.pdf; TVS DIODE 5.5VWM SOT143B; NXP Semiconductors; PRTR5V0U2X,215; ../PCB/EDU-NXP/Datasheets; 568-4140-1-ND; SOT-143B    ;             ;             
| U3         NCP1117ST33T3GNCP1117-D.PDF       ; SOT223      ; NCP1117-D.PDF; IC REG LDO 3.3V 1A SOT223; ON Semicinductor; NCP1117ST33T3G; ../PCB/EDU-NXP/Datasheets; NCP1117ST33T3GOSCT-ND; SOT-223     ;             ;             
| U4         LPC4337JBD144LPC435X_3X_2X_1X.pdf; LQFP144-M05 ; LPC435X_3X_2X_1X.pdf; IC MCU ARM 1MB FLASH 144LQFP; NXP Semiconductors; LPC4337JBD144E; ../PCB/EDU-NXP/Datasheets; 568-10159-ND; 144-LQFP    ;             ;             
| U5         93C46       AT93C46D.pdf        ; -SOIC8      ; AT93C46D.pdf; IC EEPROM 1KBIT 2MHZ 8SOIC; Atmel       ; AT93C46DN-SH-T; ../PCB/EDU-NXP/Datasheets; AT93C46DN-SH-TCT-ND; 8-SOIC      ;             ;             
| U6         FT2232H     DS_FT2232H.pdf      ; LQFP64-M05  ; DS_FT2232H.pdf; IC USB HS DUAL UART/FIFO 64-LQFP; FTDI, Future Technology Devices International Ltd; FT2232HL-REEL; ../PCB/EDU-NXP/Datasheets; 768-1024-1-ND; 64-LQFP     ;             ;             
| U7         TXB0108     txb0108.pdf         ; tssop-20    ; txb0108.pdf ; IC 8-BIT TRNSTR 15KV ESD 20TSSOP; Texas Instruments; TXB0108PWR  ; ../PCB/EDU-NXP/Datasheets; 296-21527-1-ND; 20-TSSOP    ;             ;             
| U8         PRTR5V0U2X  PRTR5V0U2X.pdf      ; sot143B     ; PRTR5V0U2X.pdf; TVS DIODE 5.5VWM SOT143B; NXP Semiconductors; PRTR5V0U2X,215; ../PCB/EDU-NXP/Datasheets; 568-4140-1-ND; SOT-143B    ;             ;             
| U9         MIC2025     mic2025.pdf         ; -SOIC8      ; mic2025.pdf ; IC SW DISTRIBUTION 1CHAN 8SOIC; Micrel Inc  ; MIC2025-2YM ; ../PCB/EDU-NXP/Datasheets; 576-1058-ND ; 8-SOIC      ;             ;             
| X1         32.768K     abs25.pdf           ; 4SOJ        ; abs25.pdf   ; CRYSTAL 32.768KHZ 12.5PF SMD; Abracon Corporation; ABS25-32.768KHZ-T; ../PCB/EDU-NXP/Datasheets; 535-9166-1-ND; 4-SOJ, 5.50mm pitch;             ;             
| X2         12MHz       7s.pdf              ; FA238V-XTAL ; 7s.pdf      ; CRYSTAL 12MHZ 12PF SMD; TXC CORPORATION; 7S-12.000MAHE-T; ../PCB/EDU-NXP/Datasheets; 887-1831-1-ND; ~           ;             ;             
| X3         12MHz       7s.pdf              ; FA238V-XTAL ; 7s.pdf      ; CRYSTAL 12MHZ 12PF SMD; TXC CORPORATION; 7S-12.000MAHE-T; ../PCB/EDU-NXP/Datasheets; 887-1831-1-ND; ~           ;             ;             
| ZA1        SMAZ5V6     MMSZ2V4T1-D.PDF     ; SOD123F     ; MMSZ2V4T1-D.PDF; DIODE ZENER 5.6V 500MW SOD123; ON Semiconductor; MMSZ5V6T1G  ; ../PCB/EDU-NXP/Datasheets; MMSZ5V6T1GOSCT-ND; SOD-123     ;             ;             
#End Cmp

#Componentes ( orden = Valor )
| BK-913       BT1       ; BK-913-ND   ; BK-913-datasheet.pdf; Soporte batería CR2032; MPD (Memory Protection Devices); BK-913      ; ../PCB/EDU-NXP/Datasheets; BK-913-ND   ; ~           ;             ;             
| 20p          C11       ; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| 20p          C12       ; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| 20p          C13       ; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| 20p          C14       ; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| 20p          C15       ; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| 20p          C16       ; c_0805      ; KEM_C1003_C0G_SMD.pdf; CAP CER 20PF 50V 5% NP0 0805; Kemet       ; C0805C200J5GACTU; ..PCB/EDU-NXP/Datasheets; 399-8033-1-ND; 0805        ;             ;             
| 100nF        C2        ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C4        ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C7        ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C8        ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C9        ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C10       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C17       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C18       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C19       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C20       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C21       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| 100nF        C22       ; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
