eeschema (2013-dec-23)-stable  >> Creation date: mié 25 mar 2015 16:03:58 ART
#Cmp ( order = Reference )
| BT1        BK-913      BK-913-datasheet.pdf; BK-913-ND   ; BK-913-datasheet.pdf; Soporte batería CR2032; MPD (Memory Protection Devices); BK-913      ; ../PCB/EDU-NXP/Datasheets; BK-913-ND   ; ~           ;             ;             
| C22        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C23        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C24        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C25        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C26        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C27        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C28        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C29        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C30        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C31        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C32        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C33        10uF        KEM_C1002_X7R_SMD.pdf; c_1206_tantalio; KEM_C1002_X7R_SMD.pdf; CAP CER 10UF 16V 10% X7R 1206; Kemet       ; C1206C106K4RACTU; ..PCB/EDU-CIAA/Datasheets; 399-3525-1-ND; 1206        ;             ;             
| C34        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C35        3.3uF       TDKMLCCCapRange.pdf ; c_0805      ; TDKMLCCCapRange.pdf; CAP CER 3.3UF 16V 10% X7R 0805; TDK Corporation; C2012X7R1C335K125AB; ..PCB/EDU-NXP/Datasheets; 445-7582-1-ND; 0805        ;             ;             
| C36        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C37        10uF        KEM_C1002_X7R_SMD.pdf; c_1206_tantalio; KEM_C1002_X7R_SMD.pdf; CAP CER 10UF 16V 10% X7R 1206; Kemet       ; C1206C106K4RACTU; ..PCB/EDU-CIAA/Datasheets; 399-3525-1-ND; 1206        ;             ;             
| C38        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C39        10uF        KEM_C1002_X7R_SMD.pdf; c_1206_tantalio; KEM_C1002_X7R_SMD.pdf; CAP CER 10UF 16V 10% X7R 1206; Kemet       ; C1206C106K4RACTU; ..PCB/EDU-CIAA/Datasheets; 399-3525-1-ND; 1206        ;             ;             
| C40        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C41        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C42        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C43        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C44        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C45        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C46        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C47        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C48        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C49        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| C50        100nF       KEM_C1002_X7R_SMD.pdf; c_0805      ; KEM_C1002_X7R_SMD.pdf; CAP CER 0.1UF 16V 10% X7R 0805; Kemet       ; C0805C104K4RACTU; ..PCB/EDU-NXP/Datasheets; 399-1167-1-ND; 0805        ;             ;             
| D1         PSD12C      P6SMB11CAT3-D.PDF   ; DO-214AA(SMB); P6SMB11CAT3-D.PDF; TVS DIODE 10.2VWM 16.7VC SMB; ON Semiconductor; P6SMB12CAT3G; PCB/EDU-NXP/Datasheets; P6SMB12CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| D2         PSD12C      P6SMB11CAT3-D.PDF   ; DO-214AA(SMB); P6SMB11CAT3-D.PDF; TVS DIODE 10.2VWM 16.7VC SMB; ON Semiconductor; P6SMB12CAT3G; PCB/EDU-NXP/Datasheets; P6SMB12CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| D3         PSD12C      P6SMB11CAT3-D.PDF   ; DO-214AA(SMB); P6SMB11CAT3-D.PDF; TVS DIODE 10.2VWM 16.7VC SMB; ON Semiconductor; P6SMB12CAT3G; PCB/EDU-NXP/Datasheets; P6SMB12CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| D4         PMEG3020EH  PMEG3020EH_EJ.pdf   ; DO-214AA(SMB); PMEG3020EH_EJ.pdf; DIODE SCHOTTKY 30V 2A SOD123F; NXP Semiconductors; PMEG3020EH,115; ...PCB/EDU-NXP/Datasheets; 568-4129-1-ND; SOD-123F    ;             ;             
| D5         PMEG3020EH  PMEG3020EH_EJ.pdf   ; DO-214AA(SMB); PMEG3020EH_EJ.pdf; DIODE SCHOTTKY 30V 2A SOD123F; NXP Semiconductors; PMEG3020EH,115; ...PCB/EDU-NXP/Datasheets; 568-4129-1-ND; SOD-123F    ;             ;             
| D6         LED red     qtlp630c-2.pdf      ; LED-0805    ; qtlp630c-2.pdf; LED ALG RED WTR CLR 0805 SMD T/R; Everlight Electronics Co Ltd; QTLP630C7TR ; ..PCB/EDU-NXP/Datasheets; 1080-1412-1-ND; 0805        ;             ;             
| D7         LED         qtlp630c-2.pdf      ; LED-0805    ; qtlp630c-2.pdf; LED ALG RED WTR CLR 0805 SMD T/R; Everlight Electronics Co Ltd; QTLP630C7TR ; ..PCB/EDU-NXP/Datasheets; 1080-1412-1-ND; 0805        ;             ;             
| D8         LED         qtlp630c-2.pdf      ; LED-0805    ; qtlp630c-2.pdf; LED YELLOW WTR CLR 0805 SMD T/R; Everlight Electronics Co Ltd; QTLP630C7TR ; ..PCB/EDU-NXP/Datasheets; 1080-1410-1-ND; 0805        ;             ;             
| D9         LED         qtlp630c-2.pdf      ; LED-0805    ; qtlp630c-2.pdf; LED GREEN WATER CLR 0805 SMD T/R; Everlight Electronics Co Ltd; QTLP630C7TR ; ..PCB/EDU-NXP/Datasheets; 1080-1411-1-ND; 0805        ;             ;             
| D10        PMEG3020EH  PMEG3020EH_EJ.pdf   ; DO-214AA(SMB); PMEG3020EH_EJ.pdf; DIODE SCHOTTKY 30V 2A SOD123F; NXP Semiconductors; PMEG3020EH,115; ...PCB/EDU-NXP/Datasheets; 568-4129-1-ND; SOD-123F    ;             ;             
| D11        LL4148      LL4148.pdf          ; SOD-123     ; LL4148.pdf  ; DIODE SMALL SIG 100V 0.2A SOD80; Fairchild Semiconductor; LL4148      ; ..NXP/EDU-NXP/Datasheets; LL4148FSTR-ND; SOD-80      ;             ;             
| F1         fiducial                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| F2         fiducial                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| F3         fiducial                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| F4         fiducial                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| F5         fiducial                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| F6         fiducial                        ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| FB1        MI0805M221R-10MI0805M221R-10-B.pdf; SM0805      ; MI0805M221R-10-B.pdf; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-NXP/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| FB2        HZ0805E601R-10HZ0805E601R-10.pdf  ; SM0805      ; HZ0805E601R-10.pdf; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-NXP/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| FB3        HZ0805E601R-10HZ0805E601R-10.pdf  ; SM0805      ; HZ0805E601R-10.pdf; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-NXP/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| FB4        HZ0805E601R-10HZ0805E601R-10.pdf  ; SM0805      ; HZ0805E601R-10.pdf; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-NXP/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| FB5        MI0805M221R-10MI0805M221R-10-B.pdf; SM0805      ; MI0805M221R-10-B.pdf; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-NXP/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| FB6        MI0805M221R-10MI0805M221R-10-B.pdf; SM0805      ; MI0805M221R-10-B.pdf; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-NXP/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| FB7        HZ0805E601R-10HZ0805E601R-10.pdf  ; SM0805      ; HZ0805E601R-10.pdf; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-NXP/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| FB8        HZ0805E601R-10HZ0805E601R-10.pdf  ; SM0805      ; HZ0805E601R-10.pdf; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-NXP/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| FB9        HZ0805E601R-10MI0805M221R-10-B.pdf; SM0805      ; MI0805M221R-10-B.pdf; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-NXP/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| FB10       HZ0805E601R-10MI0805M221R-10-B.pdf; SM0805      ; MI0805M221R-10-B.pdf; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-NXP/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| H1         4mm                             ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
