Source,C:/ciaa/PCB/EDU-FSL/EDU_CIAA_K60/EDU_CIAA_K60.sch
Kicad Rev,Eeschema 4.0.2-stable
Generated Date,18/07/2016 21:50:35

Title,EDU CIAA Freescale - Esquemático jerárquico
Company,EDU-CIAA - FSL . Versión FSL (Freescale K60)
Revision,1.0
Date Issue,26 feb 2016
Comment,Autores: Ver 'doc/CHANGES.txt'      Licencia: Ver  'doc/LICENCIA_CIAA_FSL.txt'

Reference,Value,Descripcion,Path datasheet,Fabricante,Nro. parte,Digikey/Mouser,Footprint estandar,Footprint,Nro parte,Fairchild Semiconductor,Library,Library Ref
C5,100nF,CAP CER 0.1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
TP1,TESTPOINT_PDN,,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,TESTPOINT_PDN
TP2,TESTPOINT_PDN,,..PCB/EDU-FSL/Datasheets,,,,,,,,edu-ciaa-fsl,TESTPOINT_PDN
R3,1k,RES 1K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Yageo,RC0805JR-071KL,311-1.0KARCT-ND,0805,,,,edu-ciaa-fsl,R
C4,10uF,CAP TANT 10UF 10V 10% 1206,..PCB/EDU-FSL/Datasheet,Kemet,T491A106K010AT,399-3684-2-ND,,1206,,,edu-ciaa-fsl,CAPAPOL
D2,PMEG3020EH,DIODE SCHOTTKY 30V 2A SOD123F,..PCB/EDU-FSL/Datasheets,NXP Semiconductors,PMEG3020EH,115,568-4129-1-ND,SOD-123F,,,,edu-ciaa-fsl,DIODESCH
J2,0022232021,CONN HEADER 2POS .100 VERT TIN,..PCB/EDU-FSL/Datasheet,Molex Inc,0022232021,WM4200-ND,,,,,edu-ciaa-fsl,TB_1X2
D16,SMAZ5V6,DIODE ZENER 5.6V 500MW SOD123,../PCB/EDU-FSL/Datasheets,ON Semiconductor,MMSZ5V6T1G,MMSZ5V6T1GOSCT-ND,,SOD-123,,,edu-ciaa-fsl,ZENER
L4,HZ0805E601R-10,FERRITE 500MA 600 OHM 0805 SMD,..PCB/EDU-FSL/Datasheets,Laird-Signal Integrity Products,HZ0805E601R-10,240-2399-1-ND,0805,,,,edu-ciaa-fsl,FILTER
C7,10uF,CAP TANT 10UF 10V 10% 1206,..PCB/EDU-FSL/Datasheets,Kemet,T491A106K010AT,399-3684-2-ND,,1206,,,edu-ciaa-fsl,CAPAPOL
TP3,~,TEST POINT PC MULTIPURPOSE BRWN,..PCB/EDU-FSL/Datasheets,Keystone Electronics,,36-5125-ND,,,5125,,edu-ciaa-fsl,CONN_1
D5,ST2,LED ALG RED WTR CLR 0805 SMD T/R,..PCB/EDU-FSL/Datasheets,Everlight Electronics Co Ltd,QTLP630C7TR,1080-1412-1-ND,0805,,,,edu-ciaa-fsl,LED
R4,12K 1%,RES 12K OHM 1/8W 1% 0805 SMD,..PCB/EDU-FSL/Datasheets,Yageo,RC0805FR-0712KL,311-12.0KCRCT-ND,0805,,,,edu-ciaa-fsl,R
R5,1K,RES 1.0K OHM 1/10W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Susumu,RC0805JR-071KL,RR12P15.0KDCT-ND,0805,,,,edu-ciaa-fsl,R
C15,100nF,CAP CER 0,1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C13,10uF,CAP CER 10UF 16V 10% X7R 1206,..PCB/EDU-FSL/Datasheets,KEMET,C1206C106K4RACTU,399-3525-1-ND,1206,,,,edu-ciaa-fsl,CAPAPOL
U5,FT2232H,IC USB HS DUAL UART/FIFO 64-LQFP,..PCB/EDU-FSL/Datasheets,FTDI, Future Technology Devices International Ltd,FT2232HL,768-1024-1-ND,64-LQFP,,,,edu-ciaa-fsl,FT2232H
T2,DLW21HN900SQ2,CHOKE COMMON MODE 90 OHM 0805,..PCB/EDU-FSL/Datasheets,Murata Electronics North America,DLW21HN900SQ2L,490-1064-2-ND,,,,,edu-ciaa-fsl,TRASF_UNIP
J4,FTSH-105-01-L-DV-K-TR,CONN HEADER 10POS DUAL .05" SMD,..PCB/EDU-FSL/Datasheets,Samtec Inc.,FTSH-105-01-L-DV-K-TR,FTSH-105-01-L-DV-K-TR-ND,,,,,edu-ciaa-fsl,CONN_5X2
U7,PRTR5V0U2X,TVS DIODE 5.5VWM SOT143B,..PCB/EDU-FSL/Datasheets,NXP Semiconductors,PRTR5V0U2X,215,568-4140-1-ND,SOT-143B,,,,edu-ciaa-fsl,PRTR5V0U2X
C16,100nF,CAP CER 0,1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C17,100nF,CAP CER 0,1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C18,100nF,CAP CER 0,1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C19,100nF,CAP CER 0,1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C20,100nF,CAP CER 0,1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C21,100nF,CAP CER 0,1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C12,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C11,100nF,CAP CER 0,1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C22,100nF,CAP CER 0,1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C14,10uF,CAP CER 10UF 16V 10% X7R 1206,..PCB/EDU-FSL/Datasheets,KEMET,C1206C106K4RACTU,399-3525-1-ND,1206,,,,edu-ciaa-fsl,CAPAPOL
C9,10uF,CAP CER 10UF 16V 10% X7R 1206,..PCB/EDU-FSL/Datasheets,KEMET,C1206C106K4RACTU,399-3525-1-ND,1206,,,,edu-ciaa-fsl,CAPAPOL
R11,2K2,RES 2.2K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT2K20,RMCF0805JT2K20CT-ND,0805,,,,edu-ciaa-fsl,R
C23,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
R10,10K,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,0805,,,,edu-ciaa-fsl,R
R9,10K,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,0805,,,,edu-ciaa-fsl,R
R8,10K,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,0805,,,,edu-ciaa-fsl,R
U8,93C46,IC EEPROM 1KBIT 2MHZ 8SOIC,..PCB/EDU-FSL/Datasheets,Atmel,AT93C46DN-SH-T,AT93C46DN-SH-TCT-ND,SOIC-8,,,,edu-ciaa-fsl,93C56
C10,100nF,CAP CER 0,1UF 16V 10% X7R,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
U6,74HC244,IC BUFF/DVR TRI-ST DUAL 20TSSOP,..PCB/EDU-FSL/Datasheets,NXP,74HC244PW,112,568-8285-5-ND,TSSOP-20,,,,edu-ciaa-fsl,74HC244
R7,10K,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,0805,,,,edu-ciaa-fsl,R
J3,ZX62D-AB-5P8,CONN RCPT MCR USB AB SMD TH SHLL,..PCB/EDU-FSL/Datasheets,Hirose Electric Co Ltd,ZX62D-AB-5P8,H11494CT-ND,,,,,edu-ciaa-fsl,MICRO_USB
C24,10uF,CAP CER 10UF 16V 10% X7R 1206,..PCB/EDU-FSL/Datasheets,KEMET,C1206C106K4RACTU,399-3525-1-ND,1206,,,,edu-ciaa-fsl,CAPAPOL
C25,100nF,CAP CER 0,1UF 16V X7R 10% 0805,..PCB/EDU-FSL/Datasheets,KEMET,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
