Source,C:/ciaa/PCB/EDU-FSL/EDU_CIAA_K60/EDU_CIAA_K60.sch
Kicad Rev,Eeschema 4.0.2-stable
Generated Date,18/07/2016 21:50:35

Title,EDU CIAA Freescale - Esquemático jerárquico
Company,EDU-CIAA - FSL . Versión FSL (Freescale K60)
Revision,1.0
Date Issue,26 feb 2016
Comment,Autores: Ver 'doc/CHANGES.txt'      Licencia: Ver  'doc/LICENCIA_CIAA_FSL.txt'

Reference,Value,Descripcion,Path datasheet,Fabricante,Nro. parte,Digikey/Mouser,Footprint estandar,Footprint,Nro parte,Fairchild Semiconductor,Library,Library Ref
R36,330k,RES 330K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT330K,RMCF0805JT330KCT-ND,,0805,,,edu-ciaa-fsl,R
R27,330k,RES 330K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT330K,RMCF0805JT330KCT-ND,,0805,,,edu-ciaa-fsl,R
R39,330k,RES 330K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT330K,RMCF0805JT330KCT-ND,,0805,,,edu-ciaa-fsl,R
R31,330k,RES 330K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT330K,RMCF0805JT330KCT-ND,,0805,,,edu-ciaa-fsl,R
R40,330k,RES 330K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT330K,RMCF0805JT330KCT-ND,,0805,,,edu-ciaa-fsl,R
R44,680,RES 680 OHM 1/10W .5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Susumu,RR1220P-681-D,RR12P680DCT-ND,,0805,,,edu-ciaa-fsl,R
R42,10k,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,,0805,,,edu-ciaa-fsl,R
Q6,2N7002,MOSFET N-CH 60V 115MA SOT-23,..PCB/EDU-FSL/Datasheets,Fairchild Semiconductor,2N7002,2N7002NCT-ND,,SOT-23,,,edu-ciaa-fsl,MOSFET_N
D10,LED,LED ALG RED WTR CLR 0805 SMD T/R,..PCB/EDU-FSL/Datasheets,Everlight Electronics Co Ltd,QTLP630C7TR,1080-1412-1-ND,,0805,,,edu-ciaa-fsl,LED
D12,LED,LED GREEN WATER CLR 0805 SMD T/R,..PCB/EDU-FSL/Datasheets,Everlight Electronics Co Ltd,QTLP630C7TR,1080-1411-1-ND,,0805,,,edu-ciaa-fsl,LED
D11,LED,LED YELLOW WTR CLR 0805 SMD T/R,..PCB/EDU-FSL/Datasheets,Everlight Electronics Co Ltd,QTLP630C7TR,1080-1410-1-ND,,0805,,,edu-ciaa-fsl,LED
Q5,2N7002,MOSFET N-CH 60V 115MA SOT-23,..PCB/EDU-FSL/Datasheets,Fairchild Semiconductor,2N7002,2N7002NCT-ND,,SOT-23,,,edu-ciaa-fsl,MOSFET_N
Q1,2N7002,MOSFET N-CH 60V 115MA SOT-23,..PCB/EDU-FSL/Datasheets,Fairchild Semiconductor,2N7002,2N7002NCT-ND,,SOT-23,,,edu-ciaa-fsl,MOSFET_N
SW1,TEC_1,SWITCH TACTILE SPST-NO 0.05A 24V,../PCN/EDU-NXP/Datasheets,TE Connectivity,1825910-7,450-1804-ND,,,,,edu-ciaa-fsl,SW_PUSH
SW3,TEC_3,SWITCH TACTILE SPST-NO 0.05A 24V,../PCN/EDU-NXP/Datasheets,TE Connectivity,1825910-7,450-1804-ND,,,,,edu-ciaa-fsl,SW_PUSH
SW4,TEC_4,SWITCH TACTILE SPST-NO 0.05A 24V,../PCN/EDU-NXP/Datasheets,TE Connectivity,1825910-7,450-1804-ND,,,,,edu-ciaa-fsl,SW_PUSH
SW2,TEC_2,SWITCH TACTILE SPST-NO 0.05A 24V,../PCN/EDU-NXP/Datasheets,TE Connectivity,1825910-7,450-1804-ND,,,,,edu-ciaa-fsl,SW_PUSH
F3,MF-MSMF030-2,PTC RESETTABLE .30A 30V 1812,../PCB/EDU-FSL/Datasheets,Bourns Inc.,MF-MSMF030-2,MF-MSMF030-2CT-ND,,1812,,,edu-ciaa-fsl,THERMISTOR
P1,CONN_20X2,edu-ciaa-fsl,CONN_20X2
P2,CONN_20X2,edu-ciaa-fsl,CONN_20X2
R48,470,RES 470 OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ471V,P470ACT-ND,,0805,,,edu-ciaa-fsl,R
R47,1k2,RES 1.2K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT1K20,RMCF0805JT1K20CT-ND,,0805,,,edu-ciaa-fsl,R
R46,1k2,RES 1.2K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT1K20,RMCF0805JT1K20CT-ND,,0805,,,edu-ciaa-fsl,R
R45,1k2,RES 1.2K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT1K20,RMCF0805JT1K20CT-ND,,0805,,,edu-ciaa-fsl,R
F5,MF-MSMF030-2,PTC RESETTABLE .30A 30V 1812,../PCB/EDU-FSL/Datasheets,Bourns Inc.,MF-MSMF030-2,MF-MSMF030-2CT-ND,,1812,,,edu-ciaa-fsl,THERMISTOR
F4,MF-MSMF030-2,PTC RESETTABLE .30A 30V 1812,../PCB/EDU-FSL/Datasheets,Bourns Inc.,MF-MSMF030-2,MF-MSMF030-2CT-ND,,1812,,,edu-ciaa-fsl,THERMISTOR
F6,MF-MSMF030-2,PTC RESETTABLE .30A 30V 1812,../PCB/EDU-FSL/Datasheets,Bourns Inc.,MF-MSMF030-2,MF-MSMF030-2CT-ND,,1812,,,edu-ciaa-fsl,THERMISTOR
L9,MI0805M221R-10,FERRITE CHIP POWER 220 OHM SMD,..PCB/EDU-FSL/Datasheets,Laird-Signal Integrity Products,MI0805M221R-10,240-2392-1-ND,0805,,,,edu-ciaa-fsl,FILTER
C44,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C43,10uF,CAP CER 10UF 16V 10% X7R 1206,..PCB/EDU-FSL/Datasheets,Kemet,C1206C106K4RACTU,399-3525-1-ND,1206,,,,edu-ciaa-fsl,CAPAPOL
C46,2.2uF,CAP CER 2.2UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C225K4RACTU,399-3523-1-ND,0805,,,,edu-ciaa-fsl,C
C50,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,,,0805,,,,edu-ciaa-fsl,C
C45,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C33,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C34,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C35,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C37,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C38,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C39,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C40,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C41,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C48,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C51,10nF,CAP CER 10000PF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C103K4RACTU,399-7995-1-ND,0805,,,,edu-ciaa-fsl,C
R55,10K,RES 10K OHM 1/8W 5% 0805 SMD,..PCB/EDU-FSL/Datasheets,Panasonic Electronic Components,ERJ-6GEYJ103V,P10KACT-ND,0805,,,,edu-ciaa-fsl,R
Y1,32.768KHZ,CRYSTAL 32.768KHZ 12.5PF SMD,..PCB/EDU-FSL/Datasheets,Abracon Corporation,ABS25-32.768KHZ-T,535-9166-1-ND,,,,,edu-ciaa-fsl,CRYSTAL_4Pin_Mini_GND
R50,2K2,RES 2.2K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT2K20,RMCF0805JT2K20CT-ND,0805,,,,edu-ciaa-fsl,R
R52,2K2,RES 2.2K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT2K20,RMCF0805JT2K20CT-ND,0805,,,,edu-ciaa-fsl,R
L10,MI0805M221R-10,FERRITE CHIP POWER 220 OHM SMD,..PCB/EDU-FSL/Datasheets,Laird-Signal Integrity Products,MI0805M221R-10,240-2392-1-ND,0805,,,,edu-ciaa-fsl,FILTER
C42,100nF,CAP CER 0.1UF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C104K4RACTU,399-1167-1-ND,0805,,,,edu-ciaa-fsl,C
C47,10nF,CAP CER 10000PF 16V 10% X7R 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C103K4RACTU,399-7995-1-ND,0805,,,,edu-ciaa-fsl,C
S5,RESET,SWITCH TACTILE SPST-NO 0.05A 24V,..PCB/EDU-FSL/Datasheets,TE Connectivity,1825910-7,450-1804-ND,,,,,edu-ciaa-fsl,SW_PUSH
D15,LL4148,DIODE SMALL SIG 100V 0.2A SOD80,..PCB/EDU-FSL/Datasheets,,LL4148,LL4148FSCT-ND,SOD80,,,Fairchild,edu-ciaa-fsl,DIODE
U10,MK60FX512VLQ15,MCU ARM 512KB FLASH,..PCB/EDU-FSL/Datasheets,Freescale Semiconductor,MCIMX6D5EYM10AC,MK60FX512VLQ15-ND,144 LQFP,,,,edu-ciaa-fsl,MK60FX512VLQ15
D13,ST1,LED GREEN WATER CLR 0805 SMD T/R,..PCB/EDU-FSL/Datasheets,Everlight Electronics Co Ltd,QTLP600C4TR,1080-1411-1-ND,0805,,,,edu-ciaa-fsl,LED
D14,ST2,LED ALG RED WTR CLR 0805 SMD T/R,..PCB/EDU-FSL/Datasheets,Everlight Electronics Co Ltd,QTLP630C7TR,1080-1412-1-ND,0805,,,,edu-ciaa-fsl,LED
R51,680,RES 680 OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT680R,RMCF0805JT680RCT-ND,0805,,,,edu-ciaa-fsl,R
R49,680,RES 680 OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT680R,RMCF0805JT680RCT-ND,0805,,,,edu-ciaa-fsl,R
R54,10M,RES 10M OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT10M0,RMCF0805JT10M0CT-ND,0805,,,,edu-ciaa-fsl,R
Y2,12MHz,CRYSTAL 12MHZ 12PF SMD,../PCB/EDU-FSL/Datasheets,TXC_CORPORATION,,887-1831-1-ND,,,7S-12.000MAHE-T,,edu-ciaa-fsl,SMD_Sealing_Glass_Crystal
C49,20pF,CAP CER 20PF 50V 5% NP0 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C200J5GACTU,399-8033-1-ND,0805,,,,edu-ciaa-fsl,C
C52,20pF,CAP CER 20PF 50V 5% NP0 0805,..PCB/EDU-FSL/Datasheets,Kemet,C0805C200J5GACTU,399-8033-1-ND,0805,,,,edu-ciaa-fsl,C
R6,2K2,RES 2.2K OHM 1/8W 5% 0805,..PCB/EDU-FSL/Datasheets,Stackpole Electronics Inc,RMCF0805JT2K20,RMCF0805JT2K20CT-ND,0805,,,,edu-ciaa-fsl,R
