eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 09/10/2015 08:34:25 p.m.
#Cmp ( order = Reference )
| BT1        CR2032      ; 2032batPTH  ; Soporte batería CR2032 ; MPD         ; BH32T-C     ; ..PCB/EDU-FSL/Datasheets; BH32T-C-ND  ; ~           ;             ;             
| ST1          D13       ; LED-0805    ; LED GREEN WATER CLR 0805 SMD T/R; Everlight Electronics Co Ltd; QTLP600C4TR ; ..PCB/EDU-FSL/Datasheets; 1080-1411-1-ND; 0805        ;             ;             
| ST2          D14       ; LED-0805    ; LED ALG RED WTR CLR 0805 SMD T/R; Everlight Electronics Co Ltd; QTLP630C7TR ; ..PCB/EDU-FSL/Datasheets; 1080-1412-1-ND; 0805        ;             ;             
| LL4148       D15       ; SOD-123     ; DIODE SMALL SIG 100V 0.2A SOD80; Fairchild   ; LL4148      ; ..PCB/EDU-FSL/Datasheets; LL4148FSCT-ND; SOD80       ;             ;             
| SMAZ5V6      D16       ; SOD123F     ; DIODE ZENER 5.6V 500MW SOD123; ON Semiconductor; MMSZ5V6T1G  ; ../PCB/EDU-FSL/Datasheets; MMSZ5V6T1GOSCT-ND; SOD-123     ;             ;             
| BAT54C       D6        ; SOT-23      ; DIODE SCHOTTKY 30V 200MA; Fairchild Semiconductor; BAT54       ; ..PCB/EDU-FSL/Datasheets; BAT54FSCT-ND; SOT23-3     ;             ;             
| MF-MSMF030-2 F3        ; MF-MSMF     ; PTC RESETTABLE .30A 30V 1812; Bourns Inc. ; MF-MSMF030-2; ../PCB/EDU-FSL/Datasheets; MF-MSMF030-2CT-ND; 1812        ;             ;             
| MF-MSMF030-2 F4        ; MF-MSMF     ; PTC RESETTABLE .30A 30V 1812; Bourns Inc. ; MF-MSMF030-2; ../PCB/EDU-FSL/Datasheets; MF-MSMF030-2CT-ND; 1812        ;             ;             
| MF-MSMF030-2 F5        ; MF-MSMF     ; PTC RESETTABLE .30A 30V 1812; Bourns Inc. ; MF-MSMF030-2; ../PCB/EDU-FSL/Datasheets; MF-MSMF030-2CT-ND; 1812        ;             ;             
| MF-MSMF030-2 F6        ; MF-MSMF     ; PTC RESETTABLE .30A 30V 1812; Bourns Inc. ; MF-MSMF030-2; ../PCB/EDU-FSL/Datasheets; MF-MSMF030-2CT-ND; 1812        ;             ;             
| USMF020      F1        ; ptc_1210    ; FUSE RESETTABLE .20A 30V HLD SMD; Bourns Inc. ; MF-USMF020-2; ..PCB/EDU-FSL/Datasheets; MF-USMF020-2CT-ND; 1210 (3225 métrico), cóncavo;             ;             
| USMF020      F2        ; ptc_1210    ; FUSE RESETTABLE .20A 30V HLD SMD; Bourns Inc. ; MF-USMF020-2; ..PCB/EDU-FSL/Datasheets; MF-USMF020-2CT-ND; 1210 (3225 métrico), cóncavo;             ;             
| FIDUCIAL     FD1       ; Fiducial_1mm; FIDUCIAL    ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| FIDUCIAL     FD2       ; Fiducial_1mm; FIDUCIAL    ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| FIDUCIAL     FD3       ; Fiducial_1mm; FIDUCIAL    ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| FIDUCIAL     FD4       ; Fiducial_1mm; FIDUCIAL    ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| FIDUCIAL     FD5       ; Fiducial_1mm; FIDUCIAL    ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| FIDUCIAL     FD6       ; Fiducial_1mm; FIDUCIAL    ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| LOGO         G1        ; LOGO        ;             ;             ;             ;             ;             ;             ;             ;             
| OSHWA        G2        ; OSHWA       ; LOGO DE OPEN SOURCE HARDWARE;             ;             ;             ;             ;             ;             ;             
| 0022232021   J2        ; Con_2P      ; CONN HEADER 2POS .100 VERT TIN; Molex Inc   ; 0022232021  ; ..PCB/EDU-FSL/Datasheet; WM4200-ND   ; ~           ;             ;             
| TB_1X3       J5        ; bornier3    ; TERM BLOCK 5.08MM VERT 3POS PCB; On Shore Technology Inc; OSTTC032162 ; ..PCB/EDU-FSL/Datasheets; ED2610-ND   ; ~           ;             ;             
| FTSH-105-01-L-DV-K-TR J4        ; PIN_ARRAY_5x2_1.27_SMD; CONN HEADER 10POS DUAL .05" SMD; Samtec Inc. ; FTSH-105-01-L-DV-K-TR; ..PCB/EDU-FSL/Datasheets; FTSH-105-01-L-DV-K-TR-ND; ~           ;             ;             
| ZX62D-AB-5P8 J1        ; USB_microAB_ZX62-AB-5P8; CONN RCPT MCR USB AB SMD TH SHLL; Hirose Electric Co Ltd; ZX62D-AB-5P8; ..PCB/EDU-FSL/Datasheets; H11494CT-ND ; ~           ;             ;             
| ZX62D-AB-5P8 J3        ; USB_microAB_ZX62-AB-5P8; CONN RCPT MCR USB AB SMD TH SHLL; Hirose Electric Co Ltd; ZX62D-AB-5P8; ..PCB/EDU-FSL/Datasheets; H11494CT-ND ; ~           ;             ;             
| JUMPER-2     JP1       ; GS2         ; ~           ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER-2     JP2       ; GS2         ; ~           ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER-2     JP3       ; GS2         ; ~           ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER-2     JP4       ; GS2         ; ~           ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| MI0805M221R-10 L1        ; SM0805      ; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-FSL/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| HZ0805E601R-10 L2        ; SM0805      ; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-FSL/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| HZ0805E601R-10 L3        ; SM0805      ; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-FSL/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| HZ0805E601R-10 L4        ; SM0805      ; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-FSL/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| HZ0805E601R-10 L5        ; SM0805      ; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-FSL/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| HZ0805E601R-10 L6        ; SM0805      ; FERRITE 500MA 600 OHM 0805 SMD; Laird-Signal Integrity Products; HZ0805E601R-10; ..PCB/EDU-FSL/Datasheets; 240-2399-1-ND; 0805        ;             ;             
| MI0805M221R-10 L7        ; SM0805      ; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-FSL/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| MI0805M221R-10 L8        ; SM0805      ; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-FSL/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| MI0805M221R-10 L9        ; SM0805      ; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-FSL/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| MI0805M221R-10 L10       ; SM0805      ; FERRITE CHIP POWER 220 OHM SMD; Laird-Signal Integrity Products; MI0805M221R-10; ..PCB/EDU-FSL/Datasheets; 240-2392-1-ND; 0805        ;             ;             
| LED_ARBG     LED1      ; PLCC-4      ; LED RGB 605/525/470NM DIFF SMD; Lite-On Inc ; LTST-C19FD1WT; ..PCB/EDU-FSL/Datasheets; 160-2022-1-ND; PLCC-4      ;             ;             
| PCB_HOLE     MH1       ; PCB_HOLE    ; PCB HOLE    ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| PCB_HOLE     MH2       ; PCB_HOLE    ; PCB HOLE    ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| PCB_HOLE     MH3       ; PCB_HOLE    ; PCB HOLE    ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| PCB_HOLE     MH4       ; PCB_HOLE    ; PCB HOLE    ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| CONN_20X2    P1        ; PIN_ARRAY_20X2;             ;             ;             ;             ;             ;             ;             ;             
| CONN_20X2    P2        ; PIN_ARRAY_20X2;             ;             ;             ;             ;             ;             ;             ;             
| 2N7002       Q1        ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 2N7002       Q2        ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 2N7002       Q3        ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 2N7002       Q4        ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 2N7002       Q5        ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 2N7002       Q6        ; SOT23GDS    ; MOSFET N-CH 60V 115MA SOT-23; Fairchild Semiconductor; 2N7002      ; ..PCB/EDU-FSL/Datasheets; 2N7002NCT-ND; SOT-23      ;             ;             
| 22           R53       ; r_0805      ; RES 22 OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT22R0; ..PCB/EDU-FSL/Datasheets; RMCF0805JT22R0CT-ND; 0805        ;             ;             
| 100          R18       ; r_2010      ; RES 100 OHM 1/2W 5% 2010 SMD; Bourns Inc. ; CR2010-JW-101ELF; ..PCB/EDU-FSL/Datasheets; CR2010-JW-101ELFCT-ND; 2010        ;             ;             
| 220          R16       ; r_0805      ; RES 200 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-201-D; ..PCB/EDU-FSL/Datasheets; RR12P200DCT-ND; 0805        ;             ;             
| 390          R15       ; r_0805      ; RES 390 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-391-D; ..PCB/EDU-FSL/Datasheets; RR12P390DCT-ND; 0805        ;             ;             
| 390          R17       ; r_0805      ; RES 390 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-391-D; ..PCB/EDU-FSL/Datasheets; RR12P390DCT-ND; 0805        ;             ;             
| 470          R48       ; SM0805      ; RES 470 OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ471V; ..PCB/EDU-FSL/Datasheets; P470ACT-ND  ; 0805        ;             ;             
| 680          R49       ; r_0805      ; RES 680 OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT680R; ..PCB/EDU-FSL/Datasheets; RMCF0805JT680RCT-ND; 0805        ;             ;             
| 680          R51       ; r_0805      ; RES 680 OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT680R; ..PCB/EDU-FSL/Datasheets; RMCF0805JT680RCT-ND; 0805        ;             ;             
| 680          R29       ; SM0805      ; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-FSL/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 680          R34       ; SM0805      ; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-FSL/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 680          R35       ; SM0805      ; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-FSL/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 680          R38       ; SM0805      ; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-FSL/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 680          R43       ; SM0805      ; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-FSL/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 680          R44       ; SM0805      ; RES 680 OHM 1/10W .5% 0805 SMD; Susumu      ; RR1220P-681-D; ..PCB/EDU-FSL/Datasheets; RR12P680DCT-ND; 0805        ;             ;             
| 1k           R3        ; r_0805      ; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-FSL/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| 1K           R5        ; r_0805      ; RES 1.0K OHM 1/10W 5% 0805 SMD; Susumu      ; RC0805JR-071KL; ..PCB/EDU-FSL/Datasheets; RR12P15.0KDCT-ND; 0805        ;             ;             
| 1k           R19       ; SM0805      ; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-FSL/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| 1k           R20       ; SM0805      ; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-FSL/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| 1k           R21       ; SM0805      ; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-FSL/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| 1k           R22       ; SM0805      ; RES 1K OHM 1/8W 5% 0805 SMD; Yageo       ; RC0805JR-071KL; ..PCB/EDU-FSL/Datasheets; 311-1.0KARCT-ND; 0805        ;             ;             
| 1k2          R45       ; SM0805      ; RES 1.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT1K20; ..PCB/EDU-FSL/Datasheets; RMCF0805JT1K20CT-ND; 0805        ;             ;             
| 1k2          R46       ; SM0805      ; RES 1.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT1K20; ..PCB/EDU-FSL/Datasheets; RMCF0805JT1K20CT-ND; 0805        ;             ;             
| 1k2          R47       ; SM0805      ; RES 1.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT1K20; ..PCB/EDU-FSL/Datasheets; RMCF0805JT1K20CT-ND; 0805        ;             ;             
| 2K2          R11       ; r_0805      ; RES 2.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT2K20; ..PCB/EDU-FSL/Datasheets; RMCF0805JT2K20CT-ND; 0805        ;             ;             
| 2K2          R50       ; r_0805      ; RES 2.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT2K20; ..PCB/EDU-FSL/Datasheets; RMCF0805JT2K20CT-ND; 0805        ;             ;             
| 2K2          R52       ; r_0805      ; RES 2.2K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT2K20; ..PCB/EDU-FSL/Datasheets; RMCF0805JT2K20CT-ND; 0805        ;             ;             
| 4K7          R12       ; r_0805      ; RES 4.7K ohm 1/8W 5% 0805 SMD; Samsung     ; RC2012J472CS; ..PCB/EDU-FSL/Datasheets; 1276-5544-1-ND; 0805        ;             ;             
| 4K7          R13       ; r_0805      ; RES 4.7K OHM 1/8W 5% 0805 SMD; Samsung     ; RC2012J472CS; ..PCB/EDU-FSL/Datasheets; 1276-5544-1-ND; 0805        ;             ;             
| 4K7          R14       ; r_0805      ; RES 4.7K ohm 1/8W 5% 0805 SMD; Samsung     ; RC2012J472CS; ..PCB/EDU-FSL/Datasheets; 1276-5544-1-ND; 0805        ;             ;             
| 10k          R1        ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R2        ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10K          R7        ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10K          R8        ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10K          R9        ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10K          R10       ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10K          R55       ; r_0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R23       ; SM0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R24       ; SM0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R25       ; SM0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R26       ; SM0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R28       ; SM0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R32       ; SM0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R33       ; SM0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R37       ; SM0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R41       ; SM0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 10k          R42       ; SM0805      ; RES 10K OHM 1/8W 5% 0805 SMD; Panasonic Electronic Components; ERJ-6GEYJ103V; ..PCB/EDU-FSL/Datasheets; P10KACT-ND  ; 0805        ;             ;             
| 12K 1%       R4        ; r_0805      ; RES 12K OHM 1/8W 1% 0805 SMD; Yageo       ; RC0805FR-0712KL; ..PCB/EDU-FSL/Datasheets; 311-12.0KCRCT-ND; 0805        ;             ;             
| 330k         R27       ; SM0805      ; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-FSL/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| 330k         R30       ; SM0805      ; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-FSL/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| 330k         R31       ; SM0805      ; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-FSL/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| 330k         R36       ; SM0805      ; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-FSL/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| 330k         R39       ; SM0805      ; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-FSL/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| 330k         R40       ; SM0805      ; RES 330K OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT330K; ..PCB/EDU-FSL/Datasheets; RMCF0805JT330KCT-ND; 0805        ;             ;             
| 10M          R6        ; r_0805      ; RES 10M OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT10M0; ..PCB/EDU-FSL/Datasheets; RMCF0805JT10M0CT-ND; 0805        ;             ;             
| 10M          R54       ; r_0805      ; RES 10M OHM 1/8W 5% 0805; Stackpole Electronics Inc; RMCF0805JT10M0; ..PCB/EDU-FSL/Datasheets; RMCF0805JT10M0CT-ND; 0805        ;             ;             
| RESET        S5        ; PUSH_SWITCH_THT; SWITCH TACTILE SPST-NO 0.05A 24V; TE Connectivity; 1825910-7   ; ..PCB/EDU-FSL/Datasheets; 450-1804-ND ; ~           ;             ;             
| TEC_1        SW1       ; PUSH_SWITCH_THT; SWITCH TACTILE SPST-NO 0.05A 24V; TE Connectivity; 1825910-7   ; ../PCN/EDU-NXP/Datasheets; 450-1804-ND ; ~           ;             ;             
| TEC_2        SW2       ; PUSH_SWITCH_THT; SWITCH TACTILE SPST-NO 0.05A 24V; TE Connectivity; 1825910-7   ; ../PCN/EDU-NXP/Datasheets; 450-1804-ND ; ~           ;             ;             
| TEC_3        SW3       ; PUSH_SWITCH_THT; SWITCH TACTILE SPST-NO 0.05A 24V; TE Connectivity; 1825910-7   ; ../PCN/EDU-NXP/Datasheets; 450-1804-ND ; ~           ;             ;             
| TEC_4        SW4       ; PUSH_SWITCH_THT; SWITCH TACTILE SPST-NO 0.05A 24V; TE Connectivity; 1825910-7   ; ../PCN/EDU-NXP/Datasheets; 450-1804-ND ; ~           ;             ;             
| DLW21HN900SQ2 T1        ; SRF2012     ; CHOKE COMMON MODE 90 OHM 0805; Murata Electronics North America; DLW21HN900SQ2L; ..PCB/EDU-FSL/Datasheets; 490-1064-2-ND; 0805        ;             ;             
| DLW21HN900SQ2 T2        ; SRF2012     ; CHOKE COMMON MODE 90 OHM 0805; Murata Electronics North America; DLW21HN900SQ2L; ..PCB/EDU-FSL/Datasheets; 490-1064-2-ND; ~           ;             ;             
| ~            TP3       ; 4mm         ; TEST POINT PC MULTIPURPOSE BRWN; Keystone Electronics; 5125        ; ..PCB/EDU-FSL/Datasheets; 36-5125-ND  ; ~           ;             ;             
| TESTPOINT_PDN TP1       ; TESTPOINT_PDN; ~           ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| TESTPOINT_PDN TP2       ; TESTPOINT_PDN; ~           ; ~           ; ~           ; ..PCB/EDU-FSL/Datasheets; ~           ; ~           ;             ;             
| MK60FX512VLQ15 U10       ; LQFP144     ; MCU ARM 512KB FLASH; Freescale Semiconductor; MCIMX6D5EYM10AC; ..PCB/EDU-FSL/Datasheets; MK60FX512VLQ15-ND; 144 LQFP    ;             ;             
| MIC2025-2YM  U1        ; SOIC-8      ; IC SINGLE CHANNEL POWER DISTRIBUTION SWITCH 500mA; MICREL      ; MIC2025-2YM ; ..PCB/EDU-FSL/Datasheets; 576-1058-ND ; SOIC-8      ;             ;             
| 93C46        U8        ; SOIC-8      ; IC EEPROM 1KBIT 2MHZ 8SOIC; Atmel       ; AT93C46DN-SH-T; ..PCB/EDU-FSL/Datasheets; AT93C46DN-SH-TCT-ND; SOIC-8      ;             ;             
| SN65HVD1176DR U9        ; SOIC-8      ; IC RS485 PROFIBUS TXRX 8-SOIC; Exar Corporation; SN65HVD1176DR; ..PCB/EDU-FSL/Datasheets; 296-26337-1-ND; SOIC-8      ;             ;             
| PRTR5V0U2X   U2        ; SOT-143-4   ; IC TVS DIODE 2 CHANNEL 10V CLAMP SOT1434; NXP Semiconductors; PRTR5V0U2X,215; ..PCB/EDU-FSL/Datasheets; 568-4140-1-ND; SOT-143B    ;             ;             
| PRTR5V0U2X   U7        ; SOT-143-4   ; TVS DIODE 5.5VWM SOT143B; NXP Semiconductors; PRTR5V0U2X,215; ..PCB/EDU-FSL/Datasheets; 568-4140-1-ND; SOT-143B    ;             ;             
| NCP1117ST33T3G U3        ; SOT-223     ; IC REG LDO 3.3V 1A SOT223; ON Semiconductor; NCP1117ST33T3G; ..PCB/EDU-FSL/Datasheets; NCP1117ST33T3GOSCT-ND; SOT-223     ;             ;             
| FT2232H      U5        ; TQFP64      ; IC USB HS DUAL UART/FIFO 64-LQFP; FTDI, Future Technology Devices International Ltd; FT2232HL    ; ..PCB/EDU-FSL/Datasheets; 768-1024-1-ND; 64-LQFP     ;             ;             
| 74HC244      U6        ; TSSOP-20    ; IC BUFF/DVR TRI-ST DUAL 20TSSOP; NXP         ; 74HC244PW,112; ..PCB/EDU-FSL/Datasheets; 568-8285-5-ND; TSSOP-20    ;             ;             
| 32.768KHZ    Y1        ; 4SOJ        ; CRYSTAL 32.768KHZ 12.5PF SMD; Abracon Corporation; ABS25-32.768KHZ-T; ..PCB/EDU-FSL/Datasheets; 535-9166-1-ND; ~           ;             ;             
| 12MHz        Y2        ; FA238V-XTAL ; CRYSTAL 12MHZ 12PF SMD; TXC_CORPORATION; 7S-12.000MAHE-T; ../PCB/EDU-FSL/Datasheets; 887-1831-1-ND; ~           ;             ;             
| 12MHz        Y3        ; FA238V-XTAL ; CRYSTAL_12MHZ_12PF_SMD; TXC_CORPORATION; 7S-12.000MAHE-T; ../PCB/EDU-FSL/Datasheets; 887-1831-1-ND; ~           ;             ;             
#Fin Componentes

#Fin de Lista
