eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 08/08/2014 10:40:54 a.m.

#Componentes ( orden = Valor )
| CR2032       BT1101    ; HOLDER BATTERY FOR 2032 CELL; MPD         ; BH32T-C     ; ../datasheets/connectors/BH32T-C.pdf; BH32T-C-ND  ; ~           ;             ;             
| LL4148       D301      ; DIODE SMALL SIG 100V 0.2A; Fairchild   ; LL4148      ; ../datasheets/passive/diode/LL4148.pdf; LL4148FSCT-ND; SOD80 - Minimelf;             ;             
| LL4148       D302      ; DIODE SMALL SIG 100V 0.2A; Fairchild   ; LL4148      ; ../datasheets/passive/diode/LL4148.pdf; LL4148FSCT-ND; SOD80 - Minimelf;             ;             
| LL4148       D801      ; DIODE SMALL SIG 100V 0.2A SOD80; Fairchild   ; LL4148      ; ../datasheets/passive/diode/LL4148.pdf; LL4148FSCT-ND; SOD80 - Minimelf;             ;             
| LL4148       D803      ; DIODE SMALL SIG 100V 0.2A SOD80; Fairchild   ; LL4148      ; ../datasheets/passive/diode/LL4148.pdf; LL4148FSCT-ND; SOD80 - Minimelf;             ;             
| LL4148       D805      ; DIODE SMALL SIG 100V 0.2A SOD80; Fairchild   ; LL4148      ; ../datasheets/passive/diode/LL4148.pdf; LL4148FSCT-ND; SOD80 - Minimelf;             ;             
| LL4148       D807      ; DIODE SMALL SIG 100V 0.2A SOD80; Fairchild   ; LL4148      ; ../datasheets/passive/diode/LL4148.pdf; LL4148FSCT-ND; SOD80 - Minimelf;             ;             
| MMSZ5V6T1G   D1106     ; DIODE ZENER 5.6V 500MW SOD123; ON Semiconductor; MMSZ5V6T1G  ; ../datasheets/passive/diode/MMSZ2V4T1-D.pdf; MMSZ5V6T1GOSCT-ND; SOD-123     ;             ;             
| PESD1CAN     D404      ; TVS DIODE 24VWM 70VC SOT23; NXP Semiconductors; PESD1CAN,215; ../datasheet/passive/diode/PESD1CAN.pdf; 568-4032-1-ND; SOT-23 (TO-236AB);             ;             
| BAV199       D601      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D602      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D603      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D604      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D605      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D606      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D607      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D609      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D611      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D612      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D614      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D615      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D616      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D617      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D618      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D619      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D620      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D621      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D622      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D624      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D626      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D627      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D629      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D630      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D631      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D632      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D901      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D902      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D903      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAV199       D904      ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT-23-3    ;             ;             
| BAT54C       D1108     ; DIODE SCHOTTKY 30V 200MA; Fairchild Semiconductor; BAT54       ; ~           ; BAT54FSCT-ND; SOT23-3     ;             ;             
| BAV199       D1201     ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT23       ;             ;             
| BAV199       D1202     ; DIODE ARRAY 70V 215MA SOT23; ON Semiconductor; BAV199LT1G  ; ../datasheets/passive/protect/BAV199LT1-D.PDF; BAV199LT1GOSCT-ND; SOT23       ;             ;             
| FIDUCIAL     F1        ; FIDUCIAL    ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| FIDUCIAL     F2        ; FIDUCIAL    ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| FIDUCIAL     F3        ; FIDUCIAL    ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| FIDUCIAL     F4        ; FIDUCIAL    ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| FIDUCIAL     F5        ; FIDUCIAL    ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| FIDUCIAL     F6        ; FIDUCIAL    ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| ACML0603101  FB201     ; FERRITE CHIP 100 OHM 200MA 0603; Abracon Corporation; ACML-0603-101-T; ../datasheets/passive/Ferrite/ACML-0603.pdf; ACML-0603-101-TCT-ND; 0603        ;             ;             
| ACML0603101  FB202     ; FERRITE CHIP 100 OHM 200MA 0603; Abracon Corporation; ACML-0603-101-T; ../datasheets/passive/Ferrite/ACML-0603.pdf; ACML-0603-101-TCT-ND; 0603        ;             ;             
| BK1608HS220-T FB301     ; Ferrite Bead 22OHM 1500mA; Taiyo Yuden ; BK1608HS220-T; ../datasheets/passive/Ferrite/BK1608HS220-T.pdf; Alternativo: MH1608-221YCT-ND; 0603        ;             ;             
| BK1608HS220-T FB302     ; Ferrite Bead 22OHM 1500mA; Taiyo Yuden ; BK1608HS220-T; ../datasheets/passive/Ferrite/BK1608HS220-T.pdf; Alternativo: MH1608-221YCT-ND; 0603        ;             ;             
| BK1608HS220-T FB303     ; Ferrite Bead 22OHM 1500mA; Taiyo Yuden ; BK1608HS220-T; ../datasheets/passive/Ferrite/BK1608HS220-T.pdf; Alternativo: MH1608-221YCT-ND; 0603        ;             ;             
| BK1608HS220-T FB304     ; Ferrite Bead 22OHM 1500mA; Taiyo Yuden ; BK1608HS220-T; ../datasheets/passive/Ferrite/BK1608HS220-T.pdf; Alternativo: MH1608-221YCT-ND; 0603        ;             ;             
| BLM18BD470SN1 FB402     ; FERRITE CHIP 47 OHM 500MA 0603; Murata Electronics North America; BLM18BD470SN1D; ../datasheet/passive/Ferrite/L0110S0100BLM18B.pdf; 490-5211-1-ND; 0603 (1608 métrico);             ;             
| BLM18BD470SN1 FB403     ; FERRITE CHIP 47 OHM 500MA 0603; Murata Electronics North America; BLM18BD470SN1D; ../datasheet/passive/Ferrite/L0110S0100BLM18B.pdf; 490-5211-1-ND; 0603 (1608 métrico);             ;             
| BLM18BD470SN1 FB404     ; FERRITE CHIP 47 OHM 500MA 0603; Murata Electronics North America; BLM18BD470SN1D; ../datasheet/passive/Ferrite/L0110S0100BLM18B.pdf; 490-5211-1-ND; 0603 (1608 métrico);             ;             
| BLM18BD470SN1 FB405     ; FERRITE CHIP 47 OHM 500MA 0603; Murata Electronics North America; BLM18BD470SN1D; ../datasheet/passive/Ferrite/L0110S0100BLM18B.pdf; 490-5211-1-ND; 0603 (1608 métrico);             ;             
| BLM18KG221SN1D FB501     ; FERRITE CHIP 220 OHM 2200MA 0603; MURATA      ; BLM18KG221SN1D; ../datasheets/passive/Ferrite/L0110S0100BLM18K.pdf; 490-5255-1-ND; 0603        ;             ;             
| MMZ1608B601C FB502     ; FERRITE CHIP 600 OHM 500MA 0603; TDK         ; MMZ1608B601C; ../datasheets/passive/Ferrite/E9412_MMZ.pdf; 445-2166-1-ND; 0603        ;             ;             
| MMZ1608B601C FB901     ; FERRITE CHIP 600 OHM 500MA 0603; TDK Corporation; MMZ1608B601C; ~           ; 445-2166-1-ND; ~           ;             ;             
| MMZ1608B601C FB902     ; FERRITE CHIP 600 OHM 500MA 0603; TDK Corporation; MMZ1608B601C; ~           ; 445-2166-1-ND; ~           ;             ;             
| MMZ1608B601C FB903     ; FERRITE CHIP 600 OHM 500MA 0603; TDK Corporation; MMZ1608B601C; ~           ; 445-2166-1-ND; ~           ;             ;             
| MMZ1608B601C FB904     ; FERRITE CHIP 600 OHM 500MA 0603; TDK Corporation; MMZ1608B601C; ~           ; 445-2166-1-ND; ~           ;             ;             
| MMZ1608B601C FB1101    ; FERRITE CHIP 600 OHM 500MA 0603; TDK Corporation; MMZ1608B601C; ~           ; 445-2166-1-ND; 0603        ;             ;             
| MMZ1608B601C FB1102    ; FERRITE CHIP 600 OHM 500MA 0603; TDK Corporation; MMZ1608B601C; ~           ; 445-2166-1-ND; 0603        ;             ;             
| MMZ1608B601C FB1201    ; FERRITE CHIP 600 OHM 500MA 0603; TDK Corporation; MMZ1608B601C; ~           ; 445-2166-1-ND; 0603        ;             ;             
| MMZ1608B601C FB1301    ; FERRITE CHIP 600 OHM 500MA 0603; TDK         ; MMZ1608B601C; ../datasheets/passive/Ferrite/E9412_MMZ.pdf; 445-2166-1-ND; 0603        ;             ;             
| MMZ1608B601C FB1302    ; FERRITE CHIP 600 OHM 500MA 0603; TDK         ; MMZ1608B601C; ../datasheets/passive/Ferrite/E9412_MMZ.pdf; 445-2166-1-ND; 0603        ;             ;             
| BLM18BD331SN1D FB1303    ; FERRITE CHIP 330 OHM 200mA 0603; MURATA      ; BLM18BD331SN1D; ../datasheets/passive/Ferrite/L0110S0100BLM18B.pdf; 490-5251-1-ND; 0603        ;             ;             
| BLM18BD331SN1D FB1304    ; FERRITE CHIP 330 OHM 200mA 0603; MURATA      ; BLM18BD331SN1D; ../datasheets/passive/Ferrite/L0110S0100BLM18B.pdf; 490-5251-1-ND; 0603        ;             ;             
| LOGO-CIAA-FSL G102      ;             ;             ;             ;             ;             ;             ;             ;             
| OSHWA        G101      ; LOGO DE OPEN SOURCE HARDWARE;             ;             ;             ;             ;             ;             ;             
| PCB_HOLE     H1        ; PCB HOLE    ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| PCB_HOLE     H2        ; PCB HOLE    ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| PCB_HOLE     H3        ; PCB HOLE    ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| PCB_HOLE     H4        ; PCB HOLE    ; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| OPDRAIN_OUTA J801      ; BORNERA 5.08MM VERT 2 POS PCB; TE Connectivity; 796949-2    ; ../datasheets/connectors/bornera_796949_2p.pdf; 571-7969492 ;             ;             ;             
| OPDRAIN_OUTB J802      ; BORNERA 5.08MM VERT 2 POS PCB; TE Connectivity; 796949-2    ; ../datasheets/connectors/bornera_796949_2p.pdf; 571-7969492 ;             ;             ;             
| ANALOG INPUT 2 J902      ; TERM BLOCK 5.08MM VERT 2POS PCB; TE Connectivity; 796949-2    ; ../datasheets/connectors/bornera_796949_2p.pdf; 571-7969492 ; ~           ;             ;             
| DC-OUT       J1102     ; BORNERA 5.08MM VERT 2 POS PCB; TE Connectivity; 796949-2    ; ../datasheets/connectors/bornera_796949_2p.pdf; 571-7969492 ;             ;             ;             
| ANALOG OUT   J1201     ; TERM BLOCK 5.08MM VERT 2POS PCB; TE Connectivity; 796949-2    ; ../datasheets/connectors/bornera_796949_2p.pdf; 571-7969492 ; ~           ;             ;             
| RS485        J401      ; TERM BLOCK 5.08MM VERT 3POS PCB; TE Connectivity; 796949-3    ; ../datasheet/connectors/bornera_796949.pdf; 571-7969493 ; ~           ;             ;             
| CAN          J403      ; TERM BLOCK 5.08MM VERT 3POS PCB; TE Connectivity; 796949-3    ; ../datasheet/connectors/bornera_796949.pdf; 571-7969493 ; ~           ;             ;             
| DIG_INA      J701      ; TERM BLOCK 5.08MM VERT 3POS PCB; TE Connectivity; 796949-3    ; ../datasheets/connectors/bornera_796949.pdf; 571-7969493 ; ~           ;             ;             
| DIG_INB      J702      ; TERM BLOCK 5.08MM VERT 3POS PCB; TE Connectivity; 796949-3    ; ../datasheets/connectors/bornera_796949.pdf; 571-7969493 ; ~           ;             ;             
| DIG_INC      J703      ; TERM BLOCK 5.08MM VERT 3POS PCB; TE Connectivity; 796949-3    ; ../datasheets/connectors/bornera_796949.pdf; 571-7969493 ; ~           ;             ;             
| RELAY_OUTD   J803      ; TERM BLOCK 5.08MM VERT 3POS PCB; TE Connectivity; 796949-3    ; ../datasheets/connectors/bornera_796949.pdf; 571-7969493 ; ~           ;             ;             
| RELAY_OUTB   J804      ; TERM BLOCK 5.08MM VERT 3POS PCB; TE Connectivity; 796949-3    ; ../datasheets/connectors/bornera_796949.pdf; 571-7969493 ; ~           ;             ;             
| RELAY_OUTB   J805      ; TERM BLOCK 5.08MM VERT 3POS PCB; TE Connectivity; 796949-3    ; ../datasheets/connectors/bornera_796949.pdf; 571-7969493 ; ~           ;             ;             
| ANALOG INPUT 1 J901      ; TERM BLOCK 5.08MM VERT 3POS PCB; TE Connectivity; 796949-3    ; ../datasheets/connectors/bornera_796949.pdf; 571-7969493 ; ~           ;             ;             
| DC-INPUT     J1101     ; TERM BLOCK 5.08MM VERT 3POS PCB; TE Connectivity; 796949-3    ; ../datasheets/connectors/bornera_796949.pdf; 571-7969493 ; ~           ;             ;             
| DB9          J402      ; CONN D-SUB RCPT 9POS RA GOLD; Sullins     ; SDS107-PRP1-F09-SN63-11; ../datasheets/connectors/SDS107-PRP1-F09-SN63-11.pdf; S9554-ND    ; DB9F 7.2mm  ;             ;             
| SD CARD      J1001     ; CONN MEMORY CARD R/A 8POS SMD; Molex Inc.  ; 0472192001  ; ../datasheets/connectors/472192001_sd.pdf; WM6698CT-ND ; ~           ;             ;             
| GPIO         J601      ; CONN HEADER .100" DUAL STR 80POS; Sullins Connector Solutions; S2012EC-40-ND; ~           ; S2012EC-40-ND; ~           ;             ;             
| I2C          J602      ; CONN HEADER .100" DUAL STR 80POS; Sullins Connector Solutions; S2012EC-40-ND; ~           ; S2012EC-40-ND; ~           ;             ;             
| SPI          J604      ; CONN HEADER .100" DUAL STR 80POS; Sullins Connector Solutions; S2012EC-40-ND; ~           ; S2012EC-40-ND; ~           ;             ;             
| ANALOG AUX   J603      ; CONN HEADER .100" DUAL STR 80POS; Sullins Connector Solutions; S2012EC-40-ND; ~           ; S2012EC-40-ND; ~           ;             ;             
| JTAG DIRECTO J1303     ; CONECTOR HDR 1,27MM SMD AU 10POS; HARWIN      ; M50-3600542 ; ../datasheets/connectors/M50360.pdf; 952-1389-ND ; ~           ;             ;             
| ETHERNET     J301      ; CONN MAGJACK 1PORT 100 BASE-TX; Pulse       ; J0011D01BNL ; ../datasheets/connectors/J0011D01BNL.pdf; 553-1483-ND ; ~           ;             ;             
| USB OTG      J502      ; CONNECTOR RECEPTACLE MICRO USB AB SMD BOTTOM MOUNT; HIROSE ELECTRIC; ZX62-AB-5PA(11); ../datasheets/connectors/MICRO_USB_AB.pdf; H11635TR-ND ; ~           ;             ;             
| JTAG DEBUG USB J1302     ; CONNECTOR RECEPTACLE MICRO USB B SMD; HIROSE ELECTRIC; ZX62-B-5PA(11); ../datasheets/connectors/MICRO_USB_AB.pdf; H11634CT-ND ; ~           ;             ;             
| JUMPER       JP402     ; JUMPER 2 TERM; Sullins Connector Solutions; PREC040SFAN-RC; ../datasheet/connectors/; S1212EC-40-ND; ~           ;             ;             
| JUMPER       JP403     ; JUMPER 2 TERM; Sullins Connector Solutions; PREC040SFAN-RC; ../datasheet/connectors/; S1212EC-40-ND; ~           ;             ;             
| JUMPER       JP404     ; JUMPER 2 TERM; Sullins Connector Solutions; PREC040SFAN-RC; ../datasheet/connectors/; S1212EC-40-ND; ~           ;             ;             
| JUMPER       JP405     ; JUMPER 2 TERM; Sullins Connector Solutions; PREC040SFAN-RC; ../datasheet/connectors/; S1212EC-40-ND; ~           ;             ;             
| JUMPER       JP406     ; JUMPER 2 TERM; Sullins Connector Solutions; PREC040SFAN-RC; ../datasheet/connectors/; S1212EC-40-ND; ~           ;             ;             
| JUMPER       JP901     ; JUMPER 2 TERM; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER       JP902     ; JUMPER 2 TERM; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER       JP903     ; JUMPER 2 TERM; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER       JP904     ; JUMPER 2 TERM; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER3      JP905     ; JUMPER 3 TERM; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER3      JP906     ; JUMPER 3 TERM; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER3      JP907     ; JUMPER 3 TERM; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER3      JP908     ; JUMPER 3 TERM; ~           ; ~           ; ~           ; ~           ; ~           ;             ;             
| JUMPER3      JP1201    ; JUMPER 3 TERM; Sullins Connector Solutions; PREC040SFAN-RC; ~           ; S1212EC-40-ND; ~           ;             ;             
| 1461353-2    K801      ; RELAY GENERAL PURPOSE SPST 5A 5V; TE Connectivity; 1461353-2   ; ../datasheets/passive/Rele/1461353-2.pdf; PB1652-ND   ; Compatible con relays DPDT standard;             ;             
| 1461353-2    K802      ; RELAY GENERAL PURPOSE SPST 5A 5V; TE Connectivity; 1461353-2   ; ../datasheets/passive/Rele/1461353-2.pdf; PB1652-ND   ; Compatible con relays DPDT standard;             ;             
| 1461353-2    K803      ; RELAY GENERAL PURPOSE SPST 5A 5V; TE Connectivity; 1461353-2   ; ../datasheets/passive/Rele/1461353-2.pdf; PB1652-ND   ; Compatible con relays DPDT standard;             ;             
| 1461353-2    K804      ; RELAY GENERAL PURPOSE SPST 5A 5V; TE Connectivity; 1461353-2   ; ../datasheets/passive/Rele/1461353-2.pdf; PB1652-ND   ; Compatible con relays DPDT standard;             ;             
| 47uH         L1101     ; INDUCTOR POWER SHIELD 47UH SMD; Bourns Inc. ; SRN1060-470M; ~           ; SRN1060-470MCT-ND; ~           ;             ;             
| NDS7002A     Q801      ; MOSFET N-CH 60V 280MA SOT-23; Fairchild   ; NDS7002A    ; ../datasheets/device/NDS7002A.pdf; NDS7002ACT-ND; SOT-23      ;             ;             
| NDS7002A     Q802      ; MOSFET N-CH 60V 280MA SOT-23; Fairchild   ; NDS7002A    ; ../datasheets/device/NDS7002A.pdf; NDS7002ACT-ND; SOT-23      ;             ;             
| NDS7002A     Q803      ; MOSFET N-CH 60V 280MA SOT-23; Fairchild   ; NDS7002A    ; ../datasheets/device/NDS7002A.pdf; NDS7002ACT-ND; SOT-23      ;             ;             
| NDS7002A     Q804      ; MOSFET N-CH 60V 280MA SOT-23; Fairchild   ; NDS7002A    ; ../datasheets/device/NDS7002A.pdf; NDS7002ACT-ND; SOT-23      ;             ;             
| FDN340P      Q1001     ; MOSFET P-CH 20V 2A SSOT3; ON Semiconductor; FDN340P     ; ../datasheets/device/FDN340P.pdf; FDN340PCT-ND; SOT-23      ;             ;             
| BC817-40     Q1201     ; TRANS NPN 45V 500MA SOT-23; ON Semiconductor; BC817-40LT3G; ../datasheets/device/BC817-16LT1-D.pdf; BC817-40LT3GOSCT-ND; SOT-23-3    ;             ;             
| PBSS5240XF   Q1202     ; TRANS PNP 40V 2A SOT89; NXP Semiconductors; PBSS5240XF  ; ../datasheets/device/PBSS5240X.pdf; 568-10522-1-ND; SOT-89      ;             ;             
| IRF820S      Q805      ; MOSFET N-CH 500V 2.5A D2PAK; Vishay Siliconix; IRF820SPBF  ; ../datasheets/device/IRF820SPBF.pdf; IRF820SPBF-ND; D2PAK       ;             ;             
| IRF820S      Q806      ; MOSFET N-CH 500V 2.5A D2PAK; Vishay Siliconix; IRF820SPBF  ; ../datasheets/device/IRF820SPBF.pdf; IRF820SPBF-ND; D2PAK       ;             ;             
| IRF820S      Q807      ; MOSFET N-CH 500V 2.5A D2PAK; Vishay Siliconix; IRF820SPBF  ; ../datasheets/device/IRF820SPBF.pdf; IRF820SPBF-ND; D2PAK       ;             ;             
| IRF820S      Q808      ; MOSFET N-CH 500V 2.5A D2PAK; Vishay Siliconix; IRF820SPBF  ; ../datasheets/device/IRF820SPBF.pdf; IRF820SPBF-ND; D2PAK       ;             ;             
| 0R           R1001     ; RES 0.0 OHM 1/10W JUMP 0603 SMD; Yageo       ; RC0603JR-070RL; ~           ; 311-0.0GRCT-ND; 0603        ;             ;             
| 0R           R1002     ; RES 0.0 OHM 1/10W JUMP 0603 SMD; Yageo       ; RC0603JR-070RL; ~           ; 311-0.0GRCT-ND; 0603        ;             ;             
| 0R           R1003     ; RES 0.0 OHM 1/10W JUMP 0603 SMD; Yageo       ; RC0603JR-070RL; ~           ; 311-0.0GRCT-ND; 0603        ;             ;             
| 0R           R1004     ; RES 0.0 OHM 1/10W JUMP 0603 SMD; Yageo       ; RC0603JR-070RL; ~           ; 311-0.0GRCT-ND; 0603        ;             ;             
| 0R           R1005     ; RES 0.0 OHM 1/10W JUMP 0603 SMD; Yageo       ; RC0603JR-070RL; ~           ; 311-0.0GRCT-ND; 0603        ;             ;             
| 0R           R1006     ; RES 0.0 OHM 1/10W JUMP 0603 SMD; Yageo       ; RC0603JR-070RL; ~           ; 311-0.0GRCT-ND; 0603        ;             ;             
| 0R           R1007     ; RES 0.0 OHM 1/10W JUMP 0603 SMD; Yageo       ; RC0603JR-070RL; ~           ; 311-0.0GRCT-ND; 0603        ;             ;             
| 0R           R1014     ; RES 0.0 OHM 1/10W JUMP 0603 SMD; Yageo       ; RC0603JR-070RL; ~           ; 311-0.0GRCT-ND; 0603        ;             ;             
| 4.7          R901      ; RES 4.7 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074R7L; ~           ; 311-4.7GRCT-ND; 0603        ;             ;             
| 4.7          R902      ; RES 4.7 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074R7L; ~           ; 311-4.7GRCT-ND; 0603        ;             ;             
| 4.7          R903      ; RES 4.7 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074R7L; ~           ; 311-4.7GRCT-ND; 0603        ;             ;             
| 4.7          R904      ; RES 4.7 OHM 1/10W 5% 0603 SMD; Yageo       ; RC0603JR-074R7L; ~           ; 311-4.7GRCT-ND; 0603        ;             ;             
| 22           R205      ; RES 22 OHM 1/10W 5%; Yageo       ; RC0603JR-0722RL; ~           ; 311-22GRCT-ND; 0603        ;             ;             
| 24.9         R1205     ; RES 24.9 OHM 1/10W .1% SMD 0603; Yageo       ; RT0603BRD0724R9L; ~           ; RT0603BRD0724R9L-ND; 0603        ; 0.1%        ; 25ppm/°C    
| 33           R302      ; RES 33 OHM 1/10W 5% 0603 SMD; Bourns Inc. ; CR0603-JW-330GLF; ~           ; CR0603-JW-330GLFCT-ND; 0603        ;             ;             
