eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 08/08/2014 10:40:54 a.m.

#Componentes ( orden = Valor )
| CR2032       BT1101    ; HOLDER BATTERY FOR 2032 CELL; MPD         ; BH32T-C     ; ../datasheets/connectors/BH32T-C.pdf; BH32T-C-ND  ; ~           ;             ;             
| 100nF        C227      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C230      ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C302      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C304      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C305      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C306      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C307      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C310      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C312      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C314      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C315      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C317      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C402      ; CAP CER 0.1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheet/passive/; 399-1096-1-ND; 0603 (1608 Metric);             ;             
| 100nF        C403      ; CAP CER 0.1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheet/passive/; 399-1096-1-ND; 0603 (1608 Metric);             ;             
| 100nF        C404      ; CAP CER 0.1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheet/passive/; 399-1096-1-ND; 0603 (1608 Metric);             ;             
| 100nF        C406      ; CAP CER 0.1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheet/passive/; 399-1096-1-ND; 0603 (1608 Metric);             ;             
| 100nF        C407      ; CAP CER 0.1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheet/passive/; 399-1096-1-ND; 0603 (1608 Metric);             ;             
| 100nF        C408      ; CAP CER 0.1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheet/passive/; 399-1096-1-ND; 0603 (1608 Metric);             ;             
| 100nF        C409      ; CAP CER 0.1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheet/passive/; 399-1096-1-ND; 0603 (1608 Metric);             ;             
| 100nF        C410      ; CAP CER 0.1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheet/passive/; 399-1096-1-ND; 0603 (1608 Metric);             ;             
| 100nF        C501      ; CAP CER 0,1UF 16V X7R 10% 0603; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C503      ; CAP CER 0,1UF 16V X7R 10% 0603; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C801      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C802      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C803      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C804      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C910      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheets/passive/Capacitores/KEM_C1002_X7R_SMD.pdf; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C911      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheets/passive/Capacitores/KEM_C1002_X7R_SMD.pdf; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C912      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheets/passive/Capacitores/KEM_C1002_X7R_SMD.pdf; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C913      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheets/passive/Capacitores/KEM_C1002_X7R_SMD.pdf; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C914      ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheets/passive/Capacitores/KEM_C1002_X7R_SMD.pdf; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1001     ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheets/passive/Capacitores/KEM_C1002_X7R_SMD.pdf; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1002     ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheets/passive/Capacitores/KEM_C1002_X7R_SMD.pdf; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1003     ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheets/passive/Capacitores/KEM_C1002_X7R_SMD.pdf; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1005     ; CAP CER 0,1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ../datasheets/passive/Capacitores/KEM_C1002_X7R_SMD.pdf; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1104     ; CAP CER 0,1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1105     ; CAP CER 0.1UF 50V 10% X7R 0603; Samsung     ; CL10B104KB8SFNC; ~           ; 1276-1936-1-ND; 0603        ;             ;             
| 100nF        C1106     ; CAP CER 0.1UF 16V 10% X7R; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1201     ; CAP CER 0.1UF 16V 10% X7R 0603; Kemet       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1302     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1305     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1306     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1307     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1311     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1312     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1313     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1314     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1315     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1316     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1317     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1318     ; CAP CER 0,1UF 16V 10% X7R; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 100nF        C1319     ; CAP CER 0,1UF 16V X7R 10% 0603; KEMET       ; C0603C104K4RACTU; ~           ; 399-1096-1-ND; 0603        ;             ;             
| 1uF          C805      ; CAP CER 1UF 16V 10% X7R 0603; Kemet       ; C0603C105K4RACTU; ~           ; 399-7847-1-ND; 0603        ;             ;             
| 1uF          C806      ; CAP CER 1UF 16V 10% X7R 0603; Kemet       ; C0603C105K4RACTU; ~           ; 399-7847-1-ND; 0603        ;             ;             
| 1uF          C807      ; CAP CER 1UF 16V 10% X7R 0603; Kemet       ; C0603C105K4RACTU; ~           ; 399-7847-1-ND; 0603        ;             ;             
| 1uF          C808      ; CAP CER 1UF 16V 10% X7R 0603; Kemet       ; C0603C105K4RACTU; ~           ; 399-7847-1-ND; 0603        ;             ;             
| 2.2uF        C203      ; CAP CER 2.2UF 10V 10% X7R 0603; Taiyo Yuden ; LMK107B7225KA-T; ~           ; 587-2983-1-ND; 0603        ;             ;             
| 4,7uF        C502      ; CAP TANT 4,7uF 6,3V 10% 1206 ; KEMET       ; T491A475K006AT; ~           ; 399-9717-1-ND; 1206        ;             ;             
| 4,7uF        C1303     ; CAP TANT 4,7UF 6,3V 10% 1206; KEMET       ; T491A475K006AT; ~           ; 399-9717-1-ND; 1206        ;             ;             
| 4,7uF        C1308     ; CAP TANT 4,7UF 6,3V 10% 1206; KEMET       ; T491A475K006AT; ~           ; 399-9717-1-ND; 1206        ;             ;             
| 4,7uF        C1309     ; CAP TANT 4,7UF 6,3V 10% 1206; KEMET       ; T491A475K006AT; ~           ; 399-9717-1-ND; 1206        ;             ;             
| 4,7uF        C1310     ; CAP TANT 4,7uF 6,3V 10% 1206 ; KEMET       ; T491A475K006AT; ~           ; 399-9717-1-ND; 1206        ;             ;             
| 10uF         C231      ; CAP TANT 10UF 6.3V 10%; Kemet       ; T491A106K006AT7280; ~           ; 399-10116-1-ND; 1206        ;             ;             
| 10uF         C303      ; CAP TANT 10UF 6.3V 10% 1206; Kemet       ; T491A106K006AT7280; ~           ; 399-10116-1-ND; 1206        ;             ;             
| 10uF         C401      ; CAP TANT 10UF 6.3V 10% 1206; Kemet       ; T491A106K006AT7280; ../datasheet/passive/; 399-10116-1-ND; 1206 (3216 Metric);             ;             
| 10uF         C405      ; CAP TANT 10UF 6.3V 10% 1206; Kemet       ; T491A106K006AT7280; ../datasheet/passive/; 399-10116-1-ND; 1206 (3216 Metric);             ;             
| 10uF         C909      ; CAP TANT 10UF 6.3V 10% 1206; Kemet       ; T491A106K006AT7280; ../datasheets/passive/Capacitores/KEM_TC111_SPACE.pdf; 399-10116-1-ND; 1206        ;             ;             
| 10uF         C1004     ; CAP TANT 10UF 6.3V 10% 1206; Kemet       ; T491A106K006AT7280; ../datasheets/passive/Capacitores/KEM_TC111_SPACE.pdf; 399-10116-1-ND; 1206        ;             ;             
| 10uF         C1103     ; CAP TANT 10UF 6.3V 10% 1206; Kemet       ; T491A106K006AT7280; ../datasheets/passive/Capacitores/KEM_TC111_SPACE.pdf; 399-10116-1-ND; 1206        ;             ;             
| 22uF         C308      ; CAP TANT 22UF 6.3V 10% 1206; Kemet       ; T491A226K006AT; ~           ; 399-8279-1-ND; 1206        ;             ;             
| 22uF         C311      ; CAP TANT 22UF 6.3V 10% 1206; Kemet       ; T491A226K006AT; ~           ; 399-8279-1-ND; 1206        ;             ;             
| 22uF         C313      ; CAP TANT 22UF 6.3V 10% 1206; Kemet       ; T491A226K006AT; ~           ; 399-8279-1-ND; 1206        ;             ;             
| 22uF         C316      ; CAP TANT 22UF 6.3V 10% 1206; Kemet       ; T491A226K006AT; ~           ; 399-8279-1-ND; 1206        ;             ;             
| 330uF        C1102     ; CAP ALUM 330UF 25V 20% SMD; Nichicon    ; UCW1E331MNL1GS; ~           ; 493-9422-1-ND;             ;             ;             
| 470uF        C1101     ; CAP ALUM 470UF 35V 20% SMD; Nichicon    ; UCL1V471MNL1GS; ~           ; 493-3961-1-ND;             ;             ;             
| P6SMB12CAT3G D401      ; TVS DIODE 10.2VWM 16.7VC SMB; ON Semiconductor; P6SMB12CAT3G; ../datasheet/passive/diode/psd12c.pdf; P6SMB12CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| P6SMB12CAT3G D402      ; TVS DIODE 10.2VWM 16.7VC SMB; ON Semiconductor; P6SMB12CAT3G; ../datasheet/passive/diode/psd12c.pdf; P6SMB12CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| P6SMB12CAT3G D403      ; TVS DIODE 10.2VWM 16.7VC SMB; ON Semiconductor; P6SMB12CAT3G; ../datasheet/passive/diode/psd12c.pdf; P6SMB12CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| P6SMB20CAT3G D905      ; TVS DIODE 17.1VWM 27.7VC SMB; ON Semiconductor; P6SMB20CAT3G; ../ datasheets/passive/protect/P6SMB_Series.pdf; P6SMB20CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| P6SMB20CAT3G D906      ; TVS DIODE 17.1VWM 27.7VC SMB; ON Semiconductor; P6SMB20CAT3G; ../ datasheets/passive/protect/P6SMB_Series.pdf; P6SMB20CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| P6SMB20CAT3G D907      ; TVS DIODE 17.1VWM 27.7VC SMB; ON Semiconductor; P6SMB20CAT3G; ../ datasheets/passive/protect/P6SMB_Series.pdf; P6SMB20CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| P6SMB20CAT3G D908      ; TVS DIODE 17.1VWM 27.7VC SMB; ON Semiconductor; P6SMB20CAT3G; ../ datasheets/passive/protect/P6SMB_Series.pdf; P6SMB20CAT3GOSCT-ND; DO-214AA, SMB;             ;             
| MBRS130LT3G  D1103     ; DIODE SCHOTTKY 30V 2A SMB; ON Semiconductor; MBRS130LT3G ; ../datasheets/passive/diode/MBRS130LT3-D.pdf; MBRS130LT3GOSCT-ND; DO-214AA, SMB;             ;             
| MBRS130LT3G  D1104     ; DIODE SCHOTTKY 30V 2A SMB; ON Semiconductor; MBRS130LT3G ; ../datasheets/passive/diode/MBRS130LT3-D.pdf; MBRS130LT3GOSCT-ND; DO-214AA, SMB;             ;             
| P6SMB33CA    D1107     ; TVS DIODE 28.2VWM 45.7VC SMB; Vishay Semiconductor Diodes Division; P6SMB33CA-E3/52; ../datasheets/passive/protect/P6SMB_Series.pdf; P6SMB33CA-E3/52GICT-ND; DO-214AA, SMB;             ;             
| MURS360      D1101     ; DIODE ULTRAFAST 600V 3A SMC; ON Semiconductor; MURS360T3G  ; ../datasheet/passive/diode/MURS320T3-D.pdf; MURS360T3GOSCT-ND; DO-214AB, SMC;             ;             
| MBRS540T3G   D1102     ; DIODE SCHOTTKY 40V 5A SMC; ON Semiconductor; MBRS540T3G  ; ../datasheets/passive/diode/MBRS540T3-D.pdf; MBRS540T3GOSCT-ND; DO-214AB, SMC;             ;             
| MURS360      D1109     ; DIODE ULTRAFAST 600V 3A SMC; ON Semiconductor; MURS360T3G  ; ../datasheet/passive/diode/MURS320T3-D.pdf; MURS360T3GOSCT-ND; DO-214AB, SMC;             ;             
| SMAJ5.0A     D501      ; TVS DIODE 5VWM SMD; Bourns Inc. ; SMAJ5.0A    ; ../datasheets/passive/protect/SMAJ.pdf; SMAJ5.0ABCT-ND; SMA         ;             ;             
| ST1          D202      ; LED GRN WATER CLEAR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C4TR ; ../datasheets/passive/diode/ds300084.pdf; 1080-1399-1-ND; 0603        ;             ;             
| ST2          D203      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D701      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D702      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D703      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D704      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D705      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D706      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D707      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
| LED red      D708      ; LED ALG RED WTR CLR 0603 SMD; Everlight Electronics Co Ltd; QTLP600C7TR ; ~           ; 1080-1400-1-ND; 0603        ;             ;             
