.HEADER
..NAMES
Time,V U3.F8
.DATA
1.03941e-008,0.2076
1.04366e-008,0.2083
1.04790e-008,0.1923
1.05214e-008,0.1837
1.05638e-008,0.1909
1.06063e-008,0.1957
1.06487e-008,0.2031
1.06911e-008,0.2123
1.07335e-008,0.2179
1.07759e-008,0.2200
1.08184e-008,0.2231
1.08608e-008,0.2303
1.09032e-008,0.2296
1.09456e-008,0.2239
1.09881e-008,0.2212
1.10305e-008,0.2197
1.10729e-008,0.2186
1.11154e-008,0.2188
1.11578e-008,0.2205
1.12002e-008,0.2219
1.12426e-008,0.2229
1.12851e-008,0.2221
1.13275e-008,0.2193
1.13699e-008,0.2203
1.14123e-008,0.2229
1.14548e-008,0.2240
1.14972e-008,0.2664
1.15396e-008,0.3907
1.15820e-008,0.5276
1.16244e-008,0.7051
1.16669e-008,0.8639
1.17093e-008,0.9935
1.17517e-008,1.0919
1.17941e-008,1.1584
1.18366e-008,1.2088
1.18790e-008,1.2312
1.19214e-008,1.2359
1.19639e-008,1.2398
1.20063e-008,1.2394
1.20487e-008,1.2448
1.20911e-008,1.2506
1.21336e-008,1.2594
1.21760e-008,1.2650
1.22184e-008,1.2695
1.22608e-008,1.2702
1.23032e-008,1.2670
1.23457e-008,1.2723
1.23881e-008,1.2753
1.24305e-008,1.2065
1.24729e-008,1.0248
1.25154e-008,0.8584
1.25578e-008,0.6818
1.26002e-008,0.5181
1.26427e-008,0.3996
1.26851e-008,0.3170
1.27275e-008,0.2611
1.27699e-008,0.2244
1.28124e-008,0.2176
1.28548e-008,0.2292
1.28972e-008,0.2299
1.29396e-008,0.2308
1.29821e-008,0.2270
1.30245e-008,0.2203
1.30669e-008,0.2103
1.31093e-008,0.2046
1.31517e-008,0.2018
1.31942e-008,0.2046
1.32366e-008,0.2088
1.32790e-008,0.1980
1.33214e-008,0.1845
1.33639e-008,0.2237
1.34063e-008,0.3670
1.34487e-008,0.5238
1.34912e-008,0.7092
1.35336e-008,0.8789
1.35760e-008,1.0058
1.36184e-008,1.1058
1.36609e-008,1.1763
1.37033e-008,1.2252
1.37457e-008,1.2410
1.37881e-008,1.2367
1.38306e-008,1.2381
1.38730e-008,1.2363
1.39154e-008,1.2425
1.39578e-008,1.2503
1.40002e-008,1.2613
1.40427e-008,1.2686
1.40851e-008,1.2724
1.41275e-008,1.2701
1.41699e-008,1.2657
1.42124e-008,1.2730
1.42548e-008,1.2826
1.42972e-008,1.2332
1.43397e-008,1.0602
1.43821e-008,0.8831
1.44245e-008,0.7117
1.44669e-008,0.5419
1.45094e-008,0.4187
1.45518e-008,0.3292
1.45942e-008,0.2675
1.46366e-008,0.2272
1.46790e-008,0.2164
1.47215e-008,0.2294
1.47639e-008,0.2318
1.48063e-008,0.2324
1.48487e-008,0.2286
1.48912e-008,0.2221
1.49336e-008,0.2117
1.49760e-008,0.2049
1.50185e-008,0.2019
1.50609e-008,0.2047
1.51033e-008,0.2096
1.51457e-008,0.2013
1.51881e-008,0.1847
1.52306e-008,0.1866
1.52730e-008,0.1936
1.53154e-008,0.1988
1.53579e-008,0.2081
1.54003e-008,0.2154
1.54427e-008,0.2190
1.54851e-008,0.2207
1.55276e-008,0.2268
1.55700e-008,0.2313
1.56124e-008,0.2264
1.56548e-008,0.2219
1.56972e-008,0.2202
1.57397e-008,0.2189
1.57821e-008,0.2184
1.58245e-008,0.2195
1.58670e-008,0.2212
1.59094e-008,0.2224
1.59518e-008,0.2228
1.59942e-008,0.2204
1.60366e-008,0.2190
1.60791e-008,0.2218
1.61215e-008,0.2231
1.61639e-008,0.2351
1.62064e-008,0.3254
1.62488e-008,0.4591
1.62912e-008,0.6151
1.63336e-008,0.7924
1.63761e-008,0.9328
1.64185e-008,1.0491
1.64609e-008,1.1283
1.65033e-008,1.1865
1.65457e-008,1.2242
1.65882e-008,1.2336
1.66306e-008,1.2389
1.66730e-008,1.2389
1.67155e-008,1.2419
1.67579e-008,1.2473
1.68003e-008,1.2552
1.68427e-008,1.2626
1.68851e-008,1.2674
1.69276e-008,1.2706
1.69700e-008,1.2684
1.70124e-008,1.2682
1.70548e-008,1.2768
1.70973e-008,1.2560
1.71397e-008,1.1203
1.71821e-008,0.9350
1.72246e-008,0.7722
1.72670e-008,0.5918
1.73094e-008,0.4529
1.73518e-008,0.3529
1.73942e-008,0.2861
1.74367e-008,0.2396
1.74791e-008,0.2165
1.75215e-008,0.2242
1.75640e-008,0.2302
1.76064e-008,0.2306
1.76488e-008,0.2292
1.76912e-008,0.2241
1.77336e-008,0.2149
1.77761e-008,0.2069
1.78185e-008,0.2026
1.78609e-008,0.2025
1.79033e-008,0.2075
1.79458e-008,0.2056
1.79882e-008,0.1889
1.80306e-008,0.1928
1.80731e-008,0.2898
1.81155e-008,0.4491
1.81579e-008,0.6142
1.82003e-008,0.8043
1.82427e-008,0.9471
1.82852e-008,1.0616
1.83276e-008,1.1447
1.83700e-008,1.2046
1.84125e-008,1.2378
1.84549e-008,1.2386
1.84973e-008,1.2375
1.85397e-008,1.2369
1.85822e-008,1.2388
1.86246e-008,1.2463
1.86670e-008,1.2559
1.87094e-008,1.2656
1.87518e-008,1.2711
1.87943e-008,1.2720
1.88367e-008,1.2673
1.88791e-008,1.2675
1.89216e-008,1.2805
1.89640e-008,1.2859
1.90064e-008,1.2836
1.90488e-008,1.2798
1.90912e-008,1.2704
1.91337e-008,1.2625
1.91761e-008,1.2579
1.92185e-008,1.2561
1.92610e-008,1.2522
1.93034e-008,1.2463
1.93458e-008,1.2479
1.93882e-008,1.2519
1.94307e-008,1.2550
1.94731e-008,1.2577
1.95155e-008,1.2586
1.95579e-008,1.2582
1.96003e-008,1.2565
1.96428e-008,1.2554
1.96852e-008,1.2544
1.97276e-008,1.2553
1.97701e-008,1.2575
1.98125e-008,1.2566
1.98549e-008,1.2552
1.98973e-008,1.2548
1.99397e-008,1.2547
1.99822e-008,1.2556
2.00246e-008,1.2568
2.00670e-008,1.2576
2.01095e-008,1.2566
2.01519e-008,1.2559
2.01943e-008,1.2574
2.02367e-008,1.2584
2.02792e-008,1.2581
2.03216e-008,1.2576
2.03640e-008,1.2571
2.04064e-008,1.2566
2.04488e-008,1.2565
2.04913e-008,1.2570
2.05337e-008,1.2572
2.05761e-008,1.2575
2.06186e-008,1.2577
2.06610e-008,1.2573
2.07034e-008,1.2571
2.07458e-008,1.2573
2.07882e-008,1.2575
2.08307e-008,1.2524
2.08731e-008,1.1818
2.09155e-008,1.0128
2.09580e-008,0.8650
2.10004e-008,0.6952
2.10428e-008,0.5351
2.10852e-008,0.4158
2.11277e-008,0.3313
2.11701e-008,0.2754
2.12125e-008,0.2373
2.12549e-008,0.2274
2.12973e-008,0.2335
2.13398e-008,0.2308
2.13822e-008,0.2309
2.14246e-008,0.2277
2.14671e-008,0.2219
2.15095e-008,0.2128
2.15519e-008,0.2080
2.15943e-008,0.2057
2.16367e-008,0.2067
2.16792e-008,0.2096
2.17216e-008,0.1994
2.17640e-008,0.1884
2.18064e-008,0.1932
2.18489e-008,0.1963
2.18913e-008,0.2002
2.19337e-008,0.2089
2.19762e-008,0.2165
2.20186e-008,0.2208
2.20610e-008,0.2223
2.21034e-008,0.2281
2.21458e-008,0.2300
2.21883e-008,0.2255
2.22307e-008,0.2231
2.22731e-008,0.2219
2.23156e-008,0.2204
2.23580e-008,0.2195
2.24004e-008,0.2208
2.24428e-008,0.2222
2.24852e-008,0.2229
2.25277e-008,0.2232
2.25701e-008,0.2209
2.26125e-008,0.2208
2.26549e-008,0.2231
2.26974e-008,0.2236
2.27398e-008,0.2534
2.27822e-008,0.3686
2.28247e-008,0.5039
2.28671e-008,0.6749
2.29095e-008,0.8400
2.29519e-008,0.9728
2.29943e-008,1.0784
2.30368e-008,1.1490
2.30792e-008,1.2024
2.31216e-008,1.2300
2.31641e-008,1.2352
2.32065e-008,1.2400
2.32489e-008,1.2394
2.32913e-008,1.2445
2.33338e-008,1.2499
2.33762e-008,1.2587
2.34186e-008,1.2648
2.34610e-008,1.2693
2.35034e-008,1.2709
2.35459e-008,1.2678
2.35883e-008,1.2712
2.36307e-008,1.2802
2.36732e-008,1.2815
2.37156e-008,1.2817
2.37580e-008,1.2771
2.38004e-008,1.2692
2.38428e-008,1.2622
2.38853e-008,1.2567
2.39277e-008,1.2553
2.39701e-008,1.2515
2.40126e-008,1.2485
2.40550e-008,1.2503
2.40974e-008,1.2525
2.41398e-008,1.2553
2.41823e-008,1.2572
2.42247e-008,1.2581
2.42671e-008,1.2575
2.43095e-008,1.2564
2.43519e-008,1.2557
2.43944e-008,1.2548
2.44368e-008,1.2560
2.44792e-008,1.2570
2.45217e-008,1.2561
2.45641e-008,1.2557
2.46065e-008,1.2552
2.46489e-008,1.2553
2.46913e-008,1.2558
2.47338e-008,1.2567
2.47762e-008,1.2575
2.48186e-008,1.2567
2.48611e-008,1.2567
2.49035e-008,1.2577
2.49459e-008,1.2580
2.49883e-008,1.2579
2.50308e-008,1.2576
2.50732e-008,1.2572
2.51156e-008,1.2569
2.51580e-008,1.2568
2.52004e-008,1.2571
2.52429e-008,1.2573
2.52853e-008,1.2576
2.53277e-008,1.2576
2.53702e-008,1.2574
2.54126e-008,1.2574
2.54550e-008,1.2575
2.54974e-008,1.2576
2.55398e-008,1.2577
2.55823e-008,1.2578
2.56247e-008,1.2577
2.56671e-008,1.2574
2.57096e-008,1.2576
2.57520e-008,1.2579
2.57944e-008,1.2579
2.58368e-008,1.2577
2.58793e-008,1.2577
2.59217e-008,1.2577
2.59641e-008,1.2577
2.60065e-008,1.2579
2.60489e-008,1.2580
2.60914e-008,1.2580
2.61338e-008,1.2579
2.61762e-008,1.2579
2.62187e-008,1.2579
2.62611e-008,1.2580
2.63035e-008,1.2580
2.63459e-008,1.2580
2.63883e-008,1.2580
2.64308e-008,1.2576
2.64732e-008,1.2381
2.65156e-008,1.1170
2.65580e-008,0.9493
2.66005e-008,0.8009
2.66429e-008,0.6242
2.66853e-008,0.4817
2.67278e-008,0.3770
2.67702e-008,0.3063
2.68126e-008,0.2581
2.68550e-008,0.2296
2.68974e-008,0.2312
2.69399e-008,0.2328
2.69823e-008,0.2312
2.70247e-008,0.2303
2.70672e-008,0.2265
2.71096e-008,0.2185
2.71520e-008,0.2108
2.71944e-008,0.2072
2.72368e-008,0.2060
2.72793e-008,0.2087
2.73217e-008,0.2079
2.73641e-008,0.1934
2.74065e-008,0.1899
2.74490e-008,0.1957
2.74914e-008,0.1974
2.75338e-008,0.2039
2.75763e-008,0.2127
2.76187e-008,0.2193
2.76611e-008,0.2217
2.77035e-008,0.2246
2.77459e-008,0.2304
2.77884e-008,0.2286
2.78308e-008,0.2245
2.78732e-008,0.2231
2.79157e-008,0.2217
2.79581e-008,0.2202
2.80005e-008,0.2202
2.80429e-008,0.2218
2.80854e-008,0.2228
2.81278e-008,0.2236
2.81702e-008,0.2228
2.82126e-008,0.2207
2.82550e-008,0.2221
2.82975e-008,0.2237
2.83399e-008,0.2275
