.HEADER
..NAMES
Time,V U3.E3
.DATA
1.03941e-008,0.2167
1.04366e-008,0.2020
1.04790e-008,0.1859
1.05214e-008,0.1766
1.05638e-008,0.2358
1.06063e-008,0.3879
1.06487e-008,0.5598
1.06911e-008,0.7420
1.07335e-008,0.9102
1.07759e-008,1.0351
1.08184e-008,1.1213
1.08608e-008,1.1813
1.09032e-008,1.2222
1.09456e-008,1.2451
1.09881e-008,1.2593
1.10305e-008,1.2685
1.10729e-008,1.2724
1.11154e-008,1.2727
1.11578e-008,1.2705
1.12002e-008,1.2657
1.12426e-008,1.2580
1.12851e-008,1.2534
1.13275e-008,1.2571
1.13699e-008,1.2690
1.14123e-008,1.2839
1.14548e-008,1.2977
1.14972e-008,1.2994
1.15396e-008,1.2898
1.15820e-008,1.2793
1.16244e-008,1.2685
1.16669e-008,1.2589
1.17093e-008,1.2539
1.17517e-008,1.2529
1.17941e-008,1.2524
1.18366e-008,1.2522
1.18790e-008,1.2531
1.19214e-008,1.2536
1.19639e-008,1.2535
1.20063e-008,1.2534
1.20487e-008,1.2539
1.20911e-008,1.2550
1.21336e-008,1.2572
1.21760e-008,1.2600
1.22184e-008,1.2615
1.22608e-008,1.2606
1.23032e-008,1.2580
1.23457e-008,1.2553
1.23881e-008,1.2503
1.24305e-008,1.2039
1.24729e-008,1.0676
1.25154e-008,0.9099
1.25578e-008,0.7491
1.26002e-008,0.5813
1.26427e-008,0.4466
1.26851e-008,0.3574
1.27275e-008,0.2962
1.27699e-008,0.2526
1.28124e-008,0.2291
1.28548e-008,0.2168
1.28972e-008,0.2089
1.29396e-008,0.2060
1.29821e-008,0.2061
1.30245e-008,0.2070
1.30669e-008,0.2089
1.31093e-008,0.2135
1.31517e-008,0.2176
1.31942e-008,0.2169
1.32366e-008,0.2094
1.32790e-008,0.1984
1.33214e-008,0.1864
1.33639e-008,0.2113
1.34063e-008,0.3353
1.34487e-008,0.5012
1.34912e-008,0.6819
1.35336e-008,0.8597
1.35760e-008,1.0003
1.36184e-008,1.0990
1.36609e-008,1.1661
1.37033e-008,1.2133
1.37457e-008,1.2405
1.37881e-008,1.2566
1.38306e-008,1.2668
1.38730e-008,1.2717
1.39154e-008,1.2728
1.39578e-008,1.2717
1.40002e-008,1.2688
1.40427e-008,1.2625
1.40851e-008,1.2563
1.41275e-008,1.2559
1.41699e-008,1.2644
1.42124e-008,1.2779
1.42548e-008,1.2931
1.42972e-008,1.3005
1.43397e-008,1.2943
1.43821e-008,1.2838
1.44245e-008,1.2728
1.44669e-008,1.2621
1.45094e-008,1.2553
