.HEADER
..NAMES
Time,V U3.H3
.DATA
1.03941e-008,1.2606
1.04366e-008,1.2606
1.04790e-008,1.2599
1.05214e-008,1.2304
1.05638e-008,1.0737
1.06063e-008,0.9070
1.06487e-008,0.7521
1.06911e-008,0.5762
1.07335e-008,0.4469
1.07759e-008,0.3617
1.08184e-008,0.2967
1.08608e-008,0.2545
1.09032e-008,0.2329
1.09456e-008,0.2190
1.09881e-008,0.2123
1.10305e-008,0.2089
1.10729e-008,0.2069
1.11154e-008,0.2091
1.11578e-008,0.2081
1.12002e-008,0.2069
1.12426e-008,0.2115
1.12851e-008,0.2208
1.13275e-008,0.2171
1.13699e-008,0.1982
1.14123e-008,0.1989
1.14548e-008,0.2016
1.14972e-008,0.2005
1.15396e-008,0.2105
1.15820e-008,0.2198
1.16244e-008,0.2223
1.16669e-008,0.2257
1.17093e-008,0.2278
1.17517e-008,0.2271
1.17941e-008,0.2268
1.18366e-008,0.2259
1.18790e-008,0.2256
1.19214e-008,0.2262
1.19639e-008,0.2242
1.20063e-008,0.2233
1.20487e-008,0.2255
1.20911e-008,0.2269
1.21336e-008,0.2231
1.21760e-008,0.2205
1.22184e-008,0.2235
1.22608e-008,0.2238
1.23032e-008,0.2235
1.23457e-008,0.2254
1.23881e-008,0.2248
1.24305e-008,0.2230
1.24729e-008,0.2231
1.25154e-008,0.2229
1.25578e-008,0.2224
1.26002e-008,0.2224
1.26427e-008,0.2223
1.26851e-008,0.2228
1.27275e-008,0.2228
1.27699e-008,0.2220
1.28124e-008,0.2222
1.28548e-008,0.2232
1.28972e-008,0.2228
1.29396e-008,0.2216
1.29821e-008,0.2219
1.30245e-008,0.2227
1.30669e-008,0.2223
1.31093e-008,0.2223
1.31517e-008,0.2226
1.31942e-008,0.2219
1.32366e-008,0.2217
1.32790e-008,0.2220
1.33214e-008,0.2259
1.33639e-008,0.3056
1.34063e-008,0.4501
1.34487e-008,0.5996
1.34912e-008,0.7880
1.35336e-008,0.9267
1.35760e-008,1.0399
1.36184e-008,1.1216
1.36609e-008,1.1815
1.37033e-008,1.2173
1.37457e-008,1.2414
1.37881e-008,1.2540
1.38306e-008,1.2619
1.38730e-008,1.2668
1.39154e-008,1.2678
1.39578e-008,1.2682
1.40002e-008,1.2698
1.40427e-008,1.2682
1.40851e-008,1.2632
1.41275e-008,1.2586
1.41699e-008,1.2692
1.42124e-008,1.2755
1.42548e-008,1.2780
1.42972e-008,1.2802
1.43397e-008,1.2715
1.43821e-008,1.2636
1.44245e-008,1.2589
1.44669e-008,1.2558
1.45094e-008,1.2537
1.45518e-008,1.2537
1.45942e-008,1.2536
1.46366e-008,1.2547
1.46790e-008,1.2557
1.47215e-008,1.2556
1.47639e-008,1.2566
1.48063e-008,1.2577
1.48487e-008,1.2574
1.48912e-008,1.2561
1.49336e-008,1.2568
1.49760e-008,1.2595
1.50185e-008,1.2592
1.50609e-008,1.2591
1.51033e-008,1.2586
1.51457e-008,1.2566
1.51881e-008,1.2504
1.52306e-008,1.1646
1.52730e-008,0.9782
1.53154e-008,0.8363
1.53579e-008,0.6572
1.54003e-008,0.5043
1.54427e-008,0.3981
1.54851e-008,0.3263
1.55276e-008,0.2694
1.55700e-008,0.2415
1.56124e-008,0.2232
1.56548e-008,0.2133
1.56972e-008,0.2084
1.57397e-008,0.2062
1.57821e-008,0.2065
1.58245e-008,0.2080
1.58670e-008,0.2054
1.59094e-008,0.2071
1.59518e-008,0.2142
1.59942e-008,0.2208
1.60366e-008,0.2059
1.60791e-008,0.1949
1.61215e-008,0.2009
1.61639e-008,0.1985
1.62064e-008,0.2034
1.62488e-008,0.2149
1.62912e-008,0.2203
1.63336e-008,0.2224
1.63761e-008,0.2264
1.64185e-008,0.2264
1.64609e-008,0.2258
1.65033e-008,0.2253
1.65457e-008,0.2246
1.65882e-008,0.2251
1.66306e-008,0.2244
1.66730e-008,0.2223
1.67155e-008,0.2232
1.67579e-008,0.2256
1.68003e-008,0.2247
1.68427e-008,0.2202
1.68851e-008,0.2210
1.69276e-008,0.2233
1.69700e-008,0.2223
1.70124e-008,0.2237
1.70548e-008,0.2248
1.70973e-008,0.2229
1.71397e-008,0.2221
1.71821e-008,0.2224
1.72246e-008,0.2217
1.72670e-008,0.2216
1.73094e-008,0.2216
1.73518e-008,0.2218
1.73942e-008,0.2222
1.74367e-008,0.2217
1.74791e-008,0.2212
1.75215e-008,0.2220
1.75640e-008,0.2225
1.76064e-008,0.2215
1.76488e-008,0.2208
1.76912e-008,0.2218
1.77336e-008,0.2219
1.77761e-008,0.2215
1.78185e-008,0.2219
1.78609e-008,0.2217
1.79033e-008,0.2210
1.79458e-008,0.2213
1.79882e-008,0.2215
1.80306e-008,0.2213
1.80731e-008,0.2213
1.81155e-008,0.2213
1.81579e-008,0.2214
1.82003e-008,0.2214
1.82427e-008,0.2211
1.82852e-008,0.2211
1.83276e-008,0.2214
1.83700e-008,0.2213
1.84125e-008,0.2209
1.84549e-008,0.2210
1.84973e-008,0.2213
1.85397e-008,0.2211
1.85822e-008,0.2211
1.86246e-008,0.2212
1.86670e-008,0.2210
1.87094e-008,0.2209
1.87518e-008,0.2210
1.87943e-008,0.2210
1.88367e-008,0.2209
1.88791e-008,0.2209
1.89216e-008,0.2210
1.89640e-008,0.2438
1.90064e-008,0.3659
1.90488e-008,0.5049
1.90912e-008,0.6802
1.91337e-008,0.8489
1.91761e-008,0.9772
1.92185e-008,1.0759
1.92610e-008,1.1486
1.93034e-008,1.1973
1.93458e-008,1.2283
1.93882e-008,1.2468
1.94307e-008,1.2567
1.94731e-008,1.2633
1.95155e-008,1.2669
1.95579e-008,1.2667
1.96003e-008,1.2684
1.96428e-008,1.2686
1.96852e-008,1.2660
1.97276e-008,1.2591
1.97701e-008,1.2611
1.98125e-008,1.2726
1.98549e-008,1.2737
1.98973e-008,1.2372
1.99397e-008,1.0551
1.99822e-008,0.8706
2.00246e-008,0.7053
2.00670e-008,0.5348
2.01095e-008,0.4142
2.01519e-008,0.3357
2.01943e-008,0.2759
2.02367e-008,0.2396
2.02792e-008,0.2227
2.03216e-008,0.2114
2.03640e-008,0.2060
2.04064e-008,0.2043
2.04488e-008,0.2032
2.04913e-008,0.2049
2.05337e-008,0.2027
2.05761e-008,0.2039
2.06186e-008,0.2108
2.06610e-008,0.2202
2.07034e-008,0.2142
2.07458e-008,0.1919
2.07882e-008,0.1925
2.08307e-008,0.2120
2.08731e-008,0.3391
2.09155e-008,0.5067
2.09580e-008,0.6808
2.10004e-008,0.8576
2.10428e-008,0.9857
2.10852e-008,1.0853
2.11277e-008,1.1549
2.11701e-008,1.2035
2.12125e-008,1.2318
2.12549e-008,1.2501
2.12973e-008,1.2596
2.13398e-008,1.2640
2.13822e-008,1.2678
2.14246e-008,1.2698
2.14671e-008,1.2720
2.15095e-008,1.2688
2.15519e-008,1.2634
2.15943e-008,1.2595
2.16367e-008,1.2601
2.16792e-008,1.2755
2.17216e-008,1.2805
2.17640e-008,1.2807
2.18064e-008,1.2770
2.18489e-008,1.2674
2.18913e-008,1.2603
2.19337e-008,1.2567
2.19762e-008,1.2542
2.20186e-008,1.2531
2.20610e-008,1.2536
2.21034e-008,1.2538
2.21458e-008,1.2546
2.21883e-008,1.2557
2.22307e-008,1.2563
2.22731e-008,1.2574
2.23156e-008,1.2569
2.23580e-008,1.2563
2.24004e-008,1.2559
2.24428e-008,1.2578
2.24852e-008,1.2605
2.25277e-008,1.2593
2.25701e-008,1.2582
2.26125e-008,1.2571
2.26549e-008,1.2561
2.26974e-008,1.2569
2.27398e-008,1.2583
2.27822e-008,1.2586
2.28247e-008,1.2589
2.28671e-008,1.2591
2.29095e-008,1.2588
2.29519e-008,1.2589
2.29943e-008,1.2588
2.30368e-008,1.2588
2.30792e-008,1.2590
2.31216e-008,1.2587
2.31641e-008,1.2585
2.32065e-008,1.2586
2.32489e-008,1.2593
2.32913e-008,1.2594
2.33338e-008,1.2589
2.33762e-008,1.2587
2.34186e-008,1.2587
2.34610e-008,1.2588
2.35034e-008,1.2593
2.35459e-008,1.2595
2.35883e-008,1.2592
2.36307e-008,1.2494
2.36732e-008,1.1439
2.37156e-008,0.9580
2.37580e-008,0.8161
2.38004e-008,0.6349
2.38428e-008,0.4886
2.38853e-008,0.3879
2.39277e-008,0.3183
2.39701e-008,0.2649
2.40126e-008,0.2391
2.40550e-008,0.2218
2.40974e-008,0.2131
2.41398e-008,0.2087
2.41823e-008,0.2061
2.42247e-008,0.2067
2.42671e-008,0.2081
2.43095e-008,0.2056
2.43519e-008,0.2082
2.43944e-008,0.2162
2.44368e-008,0.2204
2.44792e-008,0.2032
2.45217e-008,0.1952
2.45641e-008,0.2034
2.46065e-008,0.2740
2.46489e-008,0.4428
2.46913e-008,0.6034
2.47338e-008,0.7972
2.47762e-008,0.9382
2.48186e-008,1.0526
2.48611e-008,1.1310
2.49035e-008,1.1895
2.49459e-008,1.2232
2.49883e-008,1.2458
2.50308e-008,1.2581
2.50732e-008,1.2644
2.51156e-008,1.2676
2.51580e-008,1.2700
2.52004e-008,1.2718
2.52429e-008,1.2724
2.52853e-008,1.2666
2.53277e-008,1.2633
2.53702e-008,1.2587
2.54126e-008,1.2693
2.54550e-008,1.2806
2.54974e-008,1.2813
2.55398e-008,1.2813
2.55823e-008,1.2722
2.56247e-008,1.2637
2.56671e-008,1.2585
2.57096e-008,1.2561
2.57520e-008,1.2538
2.57944e-008,1.2542
2.58368e-008,1.2545
2.58793e-008,1.2550
2.59217e-008,1.2560
2.59641e-008,1.2566
2.60065e-008,1.2576
2.60489e-008,1.2581
2.60914e-008,1.2573
2.61338e-008,1.2568
2.61762e-008,1.2570
2.62187e-008,1.2602
2.62611e-008,1.2607
2.63035e-008,1.2593
2.63459e-008,1.2584
2.63883e-008,1.2568
2.64308e-008,1.2537
2.64732e-008,1.1914
2.65156e-008,1.0091
2.65580e-008,0.8621
2.66005e-008,0.6893
2.66429e-008,0.5277
2.66853e-008,0.4132
2.67278e-008,0.3380
2.67702e-008,0.2777
2.68126e-008,0.2454
2.68550e-008,0.2258
2.68974e-008,0.2147
2.69399e-008,0.2092
2.69823e-008,0.2067
2.70247e-008,0.2065
2.70672e-008,0.2084
2.71096e-008,0.2056
2.71520e-008,0.2064
2.71944e-008,0.2126
2.72368e-008,0.2212
2.72793e-008,0.2098
2.73217e-008,0.1950
2.73641e-008,0.2004
2.74065e-008,0.2380
2.74490e-008,0.3927
2.74914e-008,0.5527
2.75338e-008,0.7432
2.75763e-008,0.9006
2.76187e-008,1.0228
2.76611e-008,1.1104
2.77035e-008,1.1747
2.77459e-008,1.2150
2.77884e-008,1.2404
2.78308e-008,1.2552
2.78732e-008,1.2631
2.79157e-008,1.2665
2.79581e-008,1.2695
2.80005e-008,1.2710
2.80429e-008,1.2732
2.80854e-008,1.2683
2.81278e-008,1.2644
2.81702e-008,1.2591
2.82126e-008,1.2644
2.82550e-008,1.2789
2.82975e-008,1.2811
2.83399e-008,1.2822
2.83823e-008,1.2753
2.84248e-008,1.2659
2.84672e-008,1.2595
2.85096e-008,1.2568
2.85520e-008,1.2542
2.85944e-008,1.2540
2.86369e-008,1.2544
2.86793e-008,1.2547
2.87217e-008,1.2556
2.87642e-008,1.2564
2.88066e-008,1.2572
2.88490e-008,1.2582
2.88914e-008,1.2575
2.89339e-008,1.2570
2.89763e-008,1.2565
