.HEADER
..NAMES
Time,V U3.T3
.DATA
1.12516e-008,0.2318
1.12975e-008,0.2313
1.13435e-008,0.2304
1.13894e-008,0.2277
1.14353e-008,0.2236
1.14812e-008,0.2197
1.15272e-008,0.2177
1.15731e-008,0.2188
1.16190e-008,0.2234
1.16649e-008,0.2303
1.17109e-008,0.2376
1.17568e-008,0.2442
1.18027e-008,0.2493
1.18487e-008,0.2523
1.18946e-008,0.2533
1.19405e-008,0.2535
1.19864e-008,0.2538
1.20324e-008,0.2544
1.20783e-008,0.2556
1.21242e-008,0.2652
1.21701e-008,0.3049
1.22161e-008,0.3778
1.22620e-008,0.4701
1.23079e-008,0.5950
1.23538e-008,0.7505
1.23997e-008,0.8997
1.24457e-008,1.0270
1.24916e-008,1.1338
1.25375e-008,1.1995
1.25834e-008,1.2188
1.26294e-008,1.2109
1.26753e-008,1.1870
1.27212e-008,1.1569
1.27672e-008,1.1383
1.28131e-008,1.1382
1.28590e-008,1.1532
1.29049e-008,1.1795
1.29509e-008,1.2090
1.29968e-008,1.2319
1.30427e-008,1.2449
1.30886e-008,1.2490
1.31346e-008,1.2477
1.31805e-008,1.2455
1.32264e-008,1.2457
1.32723e-008,1.2486
1.33182e-008,1.2525
1.33642e-008,1.2550
1.34101e-008,1.2546
1.34560e-008,1.2509
1.35019e-008,1.2442
1.35479e-008,1.2365
1.35938e-008,1.2297
1.36397e-008,1.2244
1.36856e-008,1.2209
1.37316e-008,1.2194
1.37775e-008,1.2194
1.38234e-008,1.2197
1.38694e-008,1.2197
1.39153e-008,1.2196
1.39612e-008,1.2181
1.40071e-008,1.2041
1.40531e-008,1.1595
1.40990e-008,1.0903
1.41449e-008,1.0039
1.41908e-008,0.8834
1.42367e-008,0.7347
1.42827e-008,0.5913
1.43286e-008,0.4662
1.43745e-008,0.3608
1.44204e-008,0.2924
1.44664e-008,0.2651
1.45123e-008,0.2662
1.45582e-008,0.2854
1.46041e-008,0.3116
1.46501e-008,0.3293
1.46960e-008,0.3318
1.47419e-008,0.3203
1.47879e-008,0.2987
1.48338e-008,0.2738
1.48797e-008,0.2531
1.49256e-008,0.2395
1.49715e-008,0.2329
1.50175e-008,0.2311
1.50634e-008,0.2308
1.51093e-008,0.2295
1.51552e-008,0.2262
1.52012e-008,0.2219
1.52471e-008,0.2185
1.52930e-008,0.2174
1.53389e-008,0.2197
1.53849e-008,0.2253
1.54308e-008,0.2326
1.54767e-008,0.2398
1.55226e-008,0.2459
1.55686e-008,0.2504
1.56145e-008,0.2526
1.56604e-008,0.2532
1.57063e-008,0.2533
1.57523e-008,0.2537
1.57982e-008,0.2543
1.58441e-008,0.2546
1.58901e-008,0.2542
1.59360e-008,0.2524
1.59819e-008,0.2495
1.60278e-008,0.2464
1.60738e-008,0.2442
1.61197e-008,0.2438
1.61656e-008,0.2457
1.62115e-008,0.2494
1.62575e-008,0.2537
1.63034e-008,0.2572
1.63493e-008,0.2588
1.63952e-008,0.2584
1.64412e-008,0.2562
