.HEADER
..NAMES
Time,V U2.P2
.DATA
0.0e+000,1.2270
4.59e-011,1.2270
9.18e-011,1.2270
1.378e-010,1.2270
1.837e-010,1.2270
2.296e-010,1.2270
2.755e-010,1.2270
3.215e-010,1.2270
3.674e-010,1.2270
4.133e-010,1.2270
4.592e-010,1.2270
5.052e-010,1.2270
5.511e-010,1.2270
5.970e-010,1.2270
6.430e-010,1.2270
6.889e-010,1.2270
7.348e-010,1.2269
7.807e-010,1.2187
8.266e-010,1.1633
8.726e-010,1.0645
9.185e-010,0.9612
9.644e-010,0.8124
1.0104e-009,0.6570
1.0563e-009,0.5258
1.1022e-009,0.4330
1.1481e-009,0.3904
1.1940e-009,0.3743
1.2400e-009,0.3777
1.2859e-009,0.3836
1.3318e-009,0.3806
1.3778e-009,0.3554
1.4237e-009,0.3183
1.4696e-009,0.2819
1.5155e-009,0.2516
1.5614e-009,0.2348
1.6074e-009,0.2315
1.6533e-009,0.2400
1.6992e-009,0.2507
1.7452e-009,0.2594
1.7911e-009,0.2558
1.8370e-009,0.2460
1.8829e-009,0.2348
1.9288e-009,0.2206
1.9748e-009,0.2143
2.0207e-009,0.2154
2.0666e-009,0.2247
2.1125e-009,0.2367
2.1585e-009,0.2457
2.2044e-009,0.2501
2.2503e-009,0.2476
2.2963e-009,0.2415
2.3422e-009,0.2373
2.3881e-009,0.2383
2.4340e-009,0.2442
2.4800e-009,0.2538
2.5259e-009,0.2627
2.5718e-009,0.2674
2.6177e-009,0.2658
2.6636e-009,0.2677
2.7096e-009,0.3240
2.7555e-009,0.4289
2.8014e-009,0.5495
2.8473e-009,0.7319
2.8933e-009,0.9037
2.9392e-009,1.0323
2.9851e-009,1.1119
3.0311e-009,1.1270
3.0770e-009,1.1098
3.1229e-009,1.0824
3.1688e-009,1.0677
3.2148e-009,1.0803
3.2607e-009,1.1248
3.3066e-009,1.1775
3.3525e-009,1.2227
3.3984e-009,1.2527
3.4444e-009,1.2607
3.4903e-009,1.2513
3.5362e-009,1.2325
3.5821e-009,1.2155
3.6281e-009,1.2052
3.6740e-009,1.2130
3.7199e-009,1.2286
3.7658e-009,1.2472
3.8118e-009,1.2668
3.8577e-009,1.2713
3.9036e-009,1.2631
3.9496e-009,1.2450
3.9955e-009,1.2252
4.0414e-009,1.2135
4.0873e-009,1.2126
4.1333e-009,1.2232
4.1792e-009,1.2376
4.2251e-009,1.2457
4.2710e-009,1.2431
4.3169e-009,1.2312
4.3629e-009,1.2146
4.4088e-009,1.2023
4.4547e-009,1.1997
4.5007e-009,1.2071
4.5466e-009,1.2034
4.5925e-009,1.1417
4.6384e-009,1.0485
4.6843e-009,0.9295
4.7303e-009,0.7592
4.7762e-009,0.5990
4.8221e-009,0.4664
4.8680e-009,0.3891
4.9140e-009,0.3612
4.9599e-009,0.3628
5.0058e-009,0.3806
5.0518e-009,0.3931
5.0977e-009,0.3869
5.1436e-009,0.3523
5.1895e-009,0.3072
5.2354e-009,0.2629
5.2814e-009,0.2304
5.3273e-009,0.2163
5.3732e-009,0.2219
5.4192e-009,0.2400
5.4651e-009,0.2589
5.5110e-009,0.2696
5.5569e-009,0.2619
5.6029e-009,0.2471
5.6488e-009,0.2264
5.6947e-009,0.2081
5.7406e-009,0.2029
5.7865e-009,0.2097
5.8325e-009,0.2270
5.8784e-009,0.2439
5.9243e-009,0.2547
5.9703e-009,0.2559
6.0162e-009,0.2476
6.0621e-009,0.2367
6.1080e-009,0.2306
6.1539e-009,0.2325
6.1999e-009,0.2420
6.2458e-009,0.2555
6.2917e-009,0.2668
6.3376e-009,0.2717
6.3836e-009,0.2686
6.4295e-009,0.2806
6.4754e-009,0.3573
6.5214e-009,0.4614
6.5673e-009,0.6008
6.6132e-009,0.7920
6.6591e-009,0.9495
6.7050e-009,1.0684
6.7510e-009,1.1271
6.7969e-009,1.1281
6.8428e-009,1.1036
6.8888e-009,1.0749
6.9347e-009,1.0650
6.9806e-009,1.0875
7.0265e-009,1.1384
7.0725e-009,1.1913
7.1184e-009,1.2355
7.1643e-009,1.2603
7.2102e-009,1.2624
7.2561e-009,1.2474
7.3021e-009,1.2263
7.3480e-009,1.2085
7.3939e-009,1.2023
7.4399e-009,1.2149
7.4858e-009,1.2320
7.5317e-009,1.2543
7.5776e-009,1.2714
7.6235e-009,1.2715
7.6695e-009,1.2594
7.7154e-009,1.2380
7.7613e-009,1.2190
7.8072e-009,1.2097
7.8532e-009,1.2125
7.8991e-009,1.2262
7.9450e-009,1.2405
7.9910e-009,1.2463
8.0369e-009,1.2412
8.0828e-009,1.2270
8.1287e-009,1.2100
8.1747e-009,1.1996
8.2206e-009,1.1996
8.2665e-009,1.2101
8.3124e-009,1.2257
8.3583e-009,1.2394
8.4043e-009,1.2459
8.4502e-009,1.2429
8.4961e-009,1.2334
8.5420e-009,1.2207
8.5880e-009,1.2105
8.6339e-009,1.2064
8.6798e-009,1.2089
8.7257e-009,1.2171
8.7717e-009,1.2271
8.8176e-009,1.2353
8.8635e-009,1.2390
8.9095e-009,1.2363
8.9554e-009,1.2285
9.0013e-009,1.2195
9.0472e-009,1.2129
9.0932e-009,1.2117
9.1391e-009,1.2167
9.1850e-009,1.2251
9.2309e-009,1.2332
9.2769e-009,1.2371
9.3228e-009,1.2354
9.3687e-009,1.2292
9.4146e-009,1.2218
9.4605e-009,1.2168
9.5065e-009,1.2163
9.5524e-009,1.2200
9.5983e-009,1.2259
9.6442e-009,1.2308
9.6902e-009,1.2330
9.7361e-009,1.2315
9.7820e-009,1.2277
9.8280e-009,1.2234
