.HEADER
..NAMES
Time,V U3.P2
.DATA
0.0e+000,1.2264
4.59e-011,1.2264
9.18e-011,1.2264
1.378e-010,1.2264
1.837e-010,1.2264
2.296e-010,1.2264
2.755e-010,1.2264
3.215e-010,1.2264
3.674e-010,1.2264
4.133e-010,1.2264
4.592e-010,1.2264
5.052e-010,1.2264
5.511e-010,1.2264
5.970e-010,1.2264
6.430e-010,1.2264
6.889e-010,1.2264
7.348e-010,1.2264
7.807e-010,1.2264
8.266e-010,1.2263
8.726e-010,1.2218
9.185e-010,1.1872
9.644e-010,1.1171
1.0104e-009,1.0415
1.0563e-009,0.9334
1.1022e-009,0.7874
1.1481e-009,0.6368
1.1940e-009,0.5082
1.2400e-009,0.3977
1.2859e-009,0.3161
1.3318e-009,0.2716
1.3778e-009,0.2584
1.4237e-009,0.2694
1.4696e-009,0.2879
1.5155e-009,0.3033
1.5614e-009,0.3079
1.6074e-009,0.3034
1.6533e-009,0.2878
1.6992e-009,0.2691
1.7452e-009,0.2538
1.7911e-009,0.2439
1.8370e-009,0.2399
1.8829e-009,0.2378
1.9288e-009,0.2377
1.9748e-009,0.2386
2.0207e-009,0.2366
2.0666e-009,0.2319
2.1125e-009,0.2287
2.1585e-009,0.2287
2.2044e-009,0.2306
2.2503e-009,0.2348
2.2963e-009,0.2406
2.3422e-009,0.2456
2.3881e-009,0.2487
2.4340e-009,0.2512
2.4800e-009,0.2533
2.5259e-009,0.2544
2.5718e-009,0.2561
2.6177e-009,0.2590
2.6636e-009,0.2623
2.7096e-009,0.2646
2.7555e-009,0.2701
2.8014e-009,0.3089
2.8473e-009,0.3849
2.8933e-009,0.4693
2.9392e-009,0.5963
2.9851e-009,0.7562
3.0311e-009,0.9086
3.0770e-009,1.0382
3.1229e-009,1.1478
3.1688e-009,1.2130
3.2148e-009,1.2347
3.2607e-009,1.2277
3.3066e-009,1.2013
3.3525e-009,1.1742
3.3984e-009,1.1594
3.4444e-009,1.1609
3.4903e-009,1.1754
3.5362e-009,1.2016
3.5821e-009,1.2260
3.6281e-009,1.2412
3.6740e-009,1.2464
3.7199e-009,1.2432
3.7658e-009,1.2390
3.8118e-009,1.2361
3.8577e-009,1.2358
3.9036e-009,1.2407
3.9496e-009,1.2472
3.9955e-009,1.2497
4.0414e-009,1.2485
4.0873e-009,1.2446
4.1333e-009,1.2376
4.1792e-009,1.2299
4.2251e-009,1.2247
4.2710e-009,1.2229
4.3169e-009,1.2224
4.3629e-009,1.2225
4.4088e-009,1.2231
4.4547e-009,1.2216
4.5007e-009,1.2181
4.5466e-009,1.2145
4.5925e-009,1.2119
4.6384e-009,1.2015
4.6843e-009,1.1560
4.7303e-009,1.0883
4.7762e-009,1.0106
4.8221e-009,0.8897
4.8680e-009,0.7375
4.9140e-009,0.5883
4.9599e-009,0.4602
5.0058e-009,0.3513
5.0518e-009,0.2806
5.0977e-009,0.2489
5.1436e-009,0.2505
5.1895e-009,0.2720
5.2354e-009,0.2962
5.2814e-009,0.3105
5.3273e-009,0.3110
5.3732e-009,0.2995
5.4192e-009,0.2772
5.4651e-009,0.2562
5.5110e-009,0.2416
5.5569e-009,0.2355
5.6029e-009,0.2355
5.6488e-009,0.2370
5.6947e-009,0.2398
5.7406e-009,0.2402
5.7865e-009,0.2357
5.8325e-009,0.2290
5.8784e-009,0.2251
5.9243e-009,0.2247
5.9703e-009,0.2277
6.0162e-009,0.2341
6.0621e-009,0.2418
6.1080e-009,0.2475
6.1539e-009,0.2504
6.1999e-009,0.2520
6.2458e-009,0.2521
6.2917e-009,0.2518
6.3376e-009,0.2532
6.3836e-009,0.2569
6.4295e-009,0.2614
6.4754e-009,0.2651
6.5214e-009,0.2787
6.5673e-009,0.3339
6.6132e-009,0.4117
6.6591e-009,0.5055
6.7050e-009,0.6475
6.7510e-009,0.8081
6.7969e-009,0.9529
6.8428e-009,1.0779
6.8888e-009,1.1766
6.9347e-009,1.2253
6.9806e-009,1.2364
7.0265e-009,1.2203
7.0725e-009,1.1905
7.1184e-009,1.1653
7.1643e-009,1.1556
7.2102e-009,1.1615
7.2561e-009,1.1814
7.3021e-009,1.2098
7.3480e-009,1.2322
7.3939e-009,1.2447
7.4399e-009,1.2463
7.4858e-009,1.2413
7.5317e-009,1.2368
7.5776e-009,1.2336
7.6235e-009,1.2349
7.6695e-009,1.2414
7.7154e-009,1.2475
7.7613e-009,1.2493
7.8072e-009,1.2476
7.8532e-009,1.2426
7.8991e-009,1.2345
7.9450e-009,1.2267
7.9910e-009,1.2223
8.0369e-009,1.2211
8.0828e-009,1.2209
8.1287e-009,1.2219
8.1747e-009,1.2225
8.2206e-009,1.2205
8.2665e-009,1.2167
8.3124e-009,1.2131
8.3583e-009,1.2112
8.4043e-009,1.2122
8.4502e-009,1.2171
8.4961e-009,1.2240
8.5420e-009,1.2303
8.5880e-009,1.2341
8.6339e-009,1.2336
8.6798e-009,1.2288
8.7257e-009,1.2221
8.7717e-009,1.2161
8.8176e-009,1.2128
8.8635e-009,1.2135
8.9095e-009,1.2174
8.9554e-009,1.2228
9.0013e-009,1.2273
9.0472e-009,1.2291
9.0932e-009,1.2282
9.1391e-009,1.2254
9.1850e-009,1.2219
9.2309e-009,1.2196
9.2769e-009,1.2193
9.3228e-009,1.2208
9.3687e-009,1.2234
9.4146e-009,1.2261
9.4605e-009,1.2277
9.5065e-009,1.2276
9.5524e-009,1.2261
9.5983e-009,1.2239
9.6442e-009,1.2219
9.6902e-009,1.2211
9.7361e-009,1.2217
9.7820e-009,1.2234
9.8280e-009,1.2254
9.8739e-009,1.2267
9.9198e-009,1.2268
9.9657e-009,1.2256
1.00117e-008,1.2239
1.00576e-008,1.2225
1.01035e-008,1.2220
1.01494e-008,1.2227
1.01954e-008,1.2242
1.02413e-008,1.2228
1.02872e-008,1.1947
1.03331e-008,1.1270
1.03790e-008,1.0515
1.04250e-008,0.9487
1.04709e-008,0.8054
1.05168e-008,0.6530
1.05627e-008,0.5220
1.06087e-008,0.4106
1.06546e-008,0.3252
1.07005e-008,0.2769
1.07464e-008,0.2593
1.07924e-008,0.2671
