.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
1.03941e-008,0.2311
1.04366e-008,0.2229
1.04790e-008,0.2234
1.05214e-008,0.2252
1.05638e-008,0.2216
1.06063e-008,0.2127
1.06487e-008,0.2016
1.06911e-008,0.1906
1.07335e-008,0.1885
1.07759e-008,0.1957
1.08184e-008,0.2039
1.08608e-008,0.2050
1.09032e-008,0.2022
1.09456e-008,0.2064
1.09881e-008,0.2390
1.10305e-008,0.3621
1.10729e-008,0.5081
1.11154e-008,0.6755
1.11578e-008,0.8538
1.12002e-008,0.9902
1.12426e-008,1.0887
1.12851e-008,1.1568
1.13275e-008,1.1953
1.13699e-008,1.2186
1.14123e-008,1.2277
1.14548e-008,1.2339
1.14972e-008,1.2421
1.15396e-008,1.2522
1.15820e-008,1.2661
1.16244e-008,1.2773
1.16669e-008,1.2797
1.17093e-008,1.2762
1.17517e-008,1.2715
1.17941e-008,1.2689
1.18366e-008,1.2682
1.18790e-008,1.2618
1.19214e-008,1.2278
1.19639e-008,1.0867
1.20063e-008,0.9077
1.20487e-008,0.7374
1.20911e-008,0.5596
1.21336e-008,0.4150
1.21760e-008,0.3219
1.22184e-008,0.2628
1.22608e-008,0.2348
1.23032e-008,0.2235
1.23457e-008,0.2230
1.23881e-008,0.2253
1.24305e-008,0.2227
1.24729e-008,0.2150
1.25154e-008,0.2038
1.25578e-008,0.1926
1.26002e-008,0.1880
1.26427e-008,0.1941
1.26851e-008,0.2027
1.27275e-008,0.2055
1.27699e-008,0.2025
1.28124e-008,0.2049
1.28548e-008,0.2267
1.28972e-008,0.3328
1.29396e-008,0.4800
1.29821e-008,0.6393
1.30245e-008,0.8215
1.30669e-008,0.9675
1.31093e-008,1.0712
1.31517e-008,1.1467
1.31942e-008,1.1889
1.32366e-008,1.2156
1.32790e-008,1.2266
1.33214e-008,1.2326
1.33639e-008,1.2406
1.34063e-008,1.2498
1.34487e-008,1.2636
1.34912e-008,1.2756
1.35336e-008,1.2801
1.35760e-008,1.2770
1.36184e-008,1.2725
1.36609e-008,1.2691
1.37033e-008,1.2687
1.37457e-008,1.2637
1.37881e-008,1.2408
1.38306e-008,1.1221
1.38730e-008,0.9405
1.39154e-008,0.7726
1.39578e-008,0.5930
1.40002e-008,0.4388
1.40427e-008,0.3375
1.40851e-008,0.2714
1.41275e-008,0.2390
1.41699e-008,0.2245
1.42124e-008,0.2228
1.42548e-008,0.2252
1.42972e-008,0.2236
1.43397e-008,0.2171
1.43821e-008,0.2060
1.44245e-008,0.1948
1.44669e-008,0.1879
1.45094e-008,0.1925
1.45518e-008,0.2012
1.45942e-008,0.2058
1.46366e-008,0.2031
1.46790e-008,0.2037
1.47215e-008,0.2183
1.47639e-008,0.3049
1.48063e-008,0.4522
1.48487e-008,0.6044
1.48912e-008,0.7876
1.49336e-008,0.9430
1.49760e-008,1.0529
1.50185e-008,1.1351
1.50609e-008,1.1820
1.51033e-008,1.2118
1.51457e-008,1.2252
1.51881e-008,1.2313
1.52306e-008,1.2391
1.52730e-008,1.2476
1.53154e-008,1.2609
1.53579e-008,1.2737
1.54003e-008,1.2802
1.54427e-008,1.2778
1.54851e-008,1.2735
1.55276e-008,1.2695
