.HEADER
..NAMES
Time,V U2.E3
.DATA
1.03941e-008,1.2822
1.04366e-008,1.2736
1.04790e-008,1.2651
1.05214e-008,1.2599
1.05638e-008,1.2546
1.06063e-008,1.2515
1.06487e-008,1.2507
1.06911e-008,1.2513
1.07335e-008,1.2524
1.07759e-008,1.2543
1.08184e-008,1.2554
1.08608e-008,1.2563
1.09032e-008,1.2578
1.09456e-008,1.2586
1.09881e-008,1.2594
1.10305e-008,1.2597
1.10729e-008,1.2589
1.11154e-008,1.2574
1.11578e-008,1.2564
1.12002e-008,1.2572
1.12426e-008,1.2583
1.12851e-008,1.2589
1.13275e-008,1.2592
1.13699e-008,1.2593
1.14123e-008,1.2595
1.14548e-008,1.2597
1.14972e-008,1.2596
1.15396e-008,1.2592
1.15820e-008,1.2593
1.16244e-008,1.2593
1.16669e-008,1.2592
1.17093e-008,1.2592
1.17517e-008,1.2591
1.17941e-008,1.2590
1.18366e-008,1.2590
1.18790e-008,1.2593
1.19214e-008,1.2596
1.19639e-008,1.2597
1.20063e-008,1.2596
1.20487e-008,1.2594
1.20911e-008,1.2594
1.21336e-008,1.2595
1.21760e-008,1.2595
1.22184e-008,1.2595
1.22608e-008,1.2595
1.23032e-008,1.2596
1.23457e-008,1.2596
1.23881e-008,1.2597
1.24305e-008,1.2597
1.24729e-008,1.2597
1.25154e-008,1.2597
1.25578e-008,1.2598
1.26002e-008,1.2598
1.26427e-008,1.2598
1.26851e-008,1.2598
1.27275e-008,1.2598
1.27699e-008,1.2598
1.28124e-008,1.2598
1.28548e-008,1.2599
1.28972e-008,1.2599
1.29396e-008,1.2599
1.29821e-008,1.2599
1.30245e-008,1.2599
1.30669e-008,1.2599
1.31093e-008,1.2599
1.31517e-008,1.2599
1.31942e-008,1.2600
1.32366e-008,1.2600
1.32790e-008,1.2600
1.33214e-008,1.2600
1.33639e-008,1.2600
1.34063e-008,1.2600
1.34487e-008,1.2601
1.34912e-008,1.2601
1.35336e-008,1.2601
1.35760e-008,1.2601
1.36184e-008,1.2601
1.36609e-008,1.2601
1.37033e-008,1.2601
1.37457e-008,1.2601
1.37881e-008,1.2601
1.38306e-008,1.2602
1.38730e-008,1.2602
1.39154e-008,1.2602
1.39578e-008,1.2602
1.40002e-008,1.2602
1.40427e-008,1.2602
1.40851e-008,1.2602
1.41275e-008,1.2602
1.41699e-008,1.2602
1.42124e-008,1.2602
1.42548e-008,1.2603
1.42972e-008,1.2603
1.43397e-008,1.2603
1.43821e-008,1.2603
1.44245e-008,1.2603
1.44669e-008,1.2603
1.45094e-008,1.2603
1.45518e-008,1.2603
1.45942e-008,1.2603
1.46366e-008,1.2603
1.46790e-008,1.2603
1.47215e-008,1.2603
1.47639e-008,1.2603
1.48063e-008,1.2604
1.48487e-008,1.2604
1.48912e-008,1.2604
1.49336e-008,1.2604
1.49760e-008,1.2604
1.50185e-008,1.2604
1.50609e-008,1.2604
1.51033e-008,1.2603
1.51457e-008,1.2510
1.51881e-008,1.1683
1.52306e-008,1.0129
1.52730e-008,0.8566
1.53154e-008,0.6757
1.53579e-008,0.5195
1.54003e-008,0.4018
1.54427e-008,0.3109
1.54851e-008,0.2543
1.55276e-008,0.2275
1.55700e-008,0.2103
1.56124e-008,0.1993
1.56548e-008,0.2024
1.56972e-008,0.2055
1.57397e-008,0.2061
1.57821e-008,0.2103
1.58245e-008,0.2130
1.58670e-008,0.2092
1.59094e-008,0.1980
1.59518e-008,0.1915
1.59942e-008,0.1908
1.60366e-008,0.1950
1.60791e-008,0.2084
1.61215e-008,0.2724
1.61639e-008,0.4047
1.62064e-008,0.5595
1.62488e-008,0.7450
1.62912e-008,0.8985
1.63336e-008,1.0234
1.63761e-008,1.1234
1.64185e-008,1.1877
1.64609e-008,1.2273
1.65033e-008,1.2501
1.65457e-008,1.2630
1.65882e-008,1.2653
1.66306e-008,1.2661
1.66730e-008,1.2664
1.67155e-008,1.2648
1.67579e-008,1.2652
1.68003e-008,1.2667
1.68427e-008,1.2744
1.68851e-008,1.2815
1.69276e-008,1.2845
1.69700e-008,1.2812
1.70124e-008,1.2634
1.70548e-008,1.1811
1.70973e-008,1.0138
1.71397e-008,0.8501
1.71821e-008,0.6699
1.72246e-008,0.5124
1.72670e-008,0.3966
1.73094e-008,0.3061
1.73518e-008,0.2501
1.73942e-008,0.2237
1.74367e-008,0.2091
1.74791e-008,0.1984
1.75215e-008,0.2008
1.75640e-008,0.2059
1.76064e-008,0.2061
1.76488e-008,0.2089
1.76912e-008,0.2102
1.77336e-008,0.2068
1.77761e-008,0.1963
1.78185e-008,0.1894
1.78609e-008,0.1897
1.79033e-008,0.1943
1.79458e-008,0.2061
1.79882e-008,0.2535
1.80306e-008,0.3763
1.80731e-008,0.5245
1.81155e-008,0.7073
1.81579e-008,0.8691
1.82003e-008,0.9980
1.82427e-008,1.1048
1.82852e-008,1.1754
1.83276e-008,1.2200
1.83700e-008,1.2451
1.84125e-008,1.2602
1.84549e-008,1.2646
1.84973e-008,1.2654
1.85397e-008,1.2666
1.85822e-008,1.2649
1.86246e-008,1.2649
1.86670e-008,1.2654
1.87094e-008,1.2719
1.87518e-008,1.2797
1.87943e-008,1.2836
1.88367e-008,1.2822
1.88791e-008,1.2730
1.89216e-008,1.2651
1.89640e-008,1.2599
1.90064e-008,1.2548
1.90488e-008,1.2520
1.90912e-008,1.2514
1.91337e-008,1.2521
1.91761e-008,1.2533
1.92185e-008,1.2552
1.92610e-008,1.2561
1.93034e-008,1.2571
1.93458e-008,1.2586
1.93882e-008,1.2593
1.94307e-008,1.2601
1.94731e-008,1.2602
1.95155e-008,1.2593
1.95579e-008,1.2578
1.96003e-008,1.2571
1.96428e-008,1.2580
1.96852e-008,1.2589
1.97276e-008,1.2595
1.97701e-008,1.2598
1.98125e-008,1.2583
1.98549e-008,1.2229
1.98973e-008,1.0902
1.99397e-008,0.9349
1.99822e-008,0.7638
2.00246e-008,0.5891
2.00670e-008,0.4553
2.01095e-008,0.3503
2.01519e-008,0.2770
2.01943e-008,0.2369
2.02367e-008,0.2175
2.02792e-008,0.2022
2.03216e-008,0.1990
2.03640e-008,0.2045
2.04064e-008,0.2050
2.04488e-008,0.2077
2.04913e-008,0.2115
2.05337e-008,0.2117
2.05761e-008,0.2033
2.06186e-008,0.1931
2.06610e-008,0.1902
2.07034e-008,0.1914
2.07458e-008,0.1997
2.07882e-008,0.2092
2.08307e-008,0.2142
2.08731e-008,0.2205
2.09155e-008,0.2259
2.09580e-008,0.2260
2.10004e-008,0.2246
2.10428e-008,0.2251
2.10852e-008,0.2240
2.11277e-008,0.2224
2.11701e-008,0.2220
2.12125e-008,0.2205
2.12549e-008,0.2191
2.12973e-008,0.2185
2.13398e-008,0.2183
2.13822e-008,0.2192
2.14246e-008,0.2210
2.14671e-008,0.2220
2.15095e-008,0.2208
2.15519e-008,0.2198
2.15943e-008,0.2198
2.16367e-008,0.2192
2.16792e-008,0.2186
2.17216e-008,0.2307
2.17640e-008,0.3124
2.18064e-008,0.4395
2.18489e-008,0.6021
2.18913e-008,0.7811
2.19337e-008,0.9268
2.19762e-008,1.0486
2.20186e-008,1.1378
2.20610e-008,1.1973
2.21034e-008,1.2323
2.21458e-008,1.2539
2.21883e-008,1.2638
2.22307e-008,1.2653
2.22731e-008,1.2671
2.23156e-008,1.2652
2.23580e-008,1.2628
2.24004e-008,1.2618
2.24428e-008,1.2658
2.24852e-008,1.2748
2.25277e-008,1.2808
2.25701e-008,1.2836
2.26125e-008,1.2776
2.26549e-008,1.2437
2.26974e-008,1.1159
2.27398e-008,0.9441
2.27822e-008,0.7754
2.28247e-008,0.5972
2.28671e-008,0.4592
2.29095e-008,0.3537
2.29519e-008,0.2771
2.29943e-008,0.2348
2.30368e-008,0.2162
2.30792e-008,0.2023
2.31216e-008,0.1968
2.31641e-008,0.2032
2.32065e-008,0.2056
2.32489e-008,0.2067
2.32913e-008,0.2095
2.33338e-008,0.2092
2.33762e-008,0.2022
2.34186e-008,0.1914
2.34610e-008,0.1882
2.35034e-008,0.1902
2.35459e-008,0.1980
2.35883e-008,0.2086
2.36307e-008,0.2137
2.36732e-008,0.2190
2.37156e-008,0.2249
2.37580e-008,0.2259
2.38004e-008,0.2241
2.38428e-008,0.2241
2.38853e-008,0.2236
2.39277e-008,0.2218
2.39701e-008,0.2211
2.40126e-008,0.2198
2.40550e-008,0.2183
2.40974e-008,0.2179
2.41398e-008,0.2179
2.41823e-008,0.2187
2.42247e-008,0.2203
2.42671e-008,0.2215
2.43095e-008,0.2206
2.43519e-008,0.2192
2.43944e-008,0.2191
2.44368e-008,0.2188
2.44792e-008,0.2182
2.45217e-008,0.2220
2.45641e-008,0.2801
2.46065e-008,0.4000
2.46489e-008,0.5485
2.46913e-008,0.7314
2.47338e-008,0.8866
2.47762e-008,1.0151
2.48186e-008,1.1152
2.48611e-008,1.1821
2.49035e-008,1.2236
2.49459e-008,1.2482
2.49883e-008,1.2618
2.50308e-008,1.2646
2.50732e-008,1.2664
2.51156e-008,1.2658
2.51580e-008,1.2629
2.52004e-008,1.2616
2.52429e-008,1.2634
2.52853e-008,1.2719
2.53277e-008,1.2791
2.53702e-008,1.2830
2.54126e-008,1.2803
2.54550e-008,1.2598
2.54974e-008,1.1637
2.55398e-008,0.9923
2.55823e-008,0.8276
2.56247e-008,0.6465
2.56671e-008,0.4948
2.57096e-008,0.3822
2.57520e-008,0.2955
2.57944e-008,0.2438
2.58368e-008,0.2203
2.58793e-008,0.2059
2.59217e-008,0.1965
2.59641e-008,0.2008
2.60065e-008,0.2054
2.60489e-008,0.2057
2.60914e-008,0.2087
2.61338e-008,0.2095
2.61762e-008,0.2050
2.62187e-008,0.1939
2.62611e-008,0.1881
2.63035e-008,0.1890
2.63459e-008,0.1947
2.63883e-008,0.2077
2.64308e-008,0.2640
2.64732e-008,0.3924
2.65156e-008,0.5438
2.65580e-008,0.7284
2.66005e-008,0.8850
2.66429e-008,1.0117
2.66853e-008,1.1145
2.67278e-008,1.1814
2.67702e-008,1.2231
2.68126e-008,1.2467
2.68550e-008,1.2607
2.68974e-008,1.2641
2.69399e-008,1.2651
2.69823e-008,1.2659
2.70247e-008,1.2643
2.70672e-008,1.2644
2.71096e-008,1.2653
2.71520e-008,1.2724
2.71944e-008,1.2799
2.72368e-008,1.2834
2.72793e-008,1.2809
2.73217e-008,1.2652
2.73641e-008,1.1906
2.74065e-008,1.0262
2.74490e-008,0.8623
2.74914e-008,0.6829
2.75338e-008,0.5220
2.75763e-008,0.4039
2.76187e-008,0.3111
2.76611e-008,0.2526
2.77035e-008,0.2243
2.77459e-008,0.2094
2.77884e-008,0.1980
2.78308e-008,0.1996
2.78732e-008,0.2052
2.79157e-008,0.2054
2.79581e-008,0.2081
2.80005e-008,0.2097
2.80429e-008,0.2067
2.80854e-008,0.1965
2.81278e-008,0.1890
2.81702e-008,0.1890
2.82126e-008,0.1931
2.82550e-008,0.2043
2.82975e-008,0.2460
2.83399e-008,0.3650
2.83823e-008,0.5114
2.84248e-008,0.6927
2.84672e-008,0.8578
2.85096e-008,0.9884
2.85520e-008,1.0975
2.85944e-008,1.1706
2.86369e-008,1.2170
2.86793e-008,1.2431
2.87217e-008,1.2590
2.87642e-008,1.2642
2.88066e-008,1.2648
2.88490e-008,1.2663
2.88914e-008,1.2646
2.89339e-008,1.2645
2.89763e-008,1.2648
2.90187e-008,1.2708
2.90611e-008,1.2789
2.91035e-008,1.2831
2.91460e-008,1.2823
2.91884e-008,1.2734
2.92308e-008,1.2652
2.92733e-008,1.2600
2.93157e-008,1.2548
2.93581e-008,1.2518
2.94005e-008,1.2511
2.94429e-008,1.2517
2.94854e-008,1.2528
2.95278e-008,1.2547
2.95702e-008,1.2558
2.96127e-008,1.2567
2.96551e-008,1.2582
2.96975e-008,1.2589
2.97399e-008,1.2597
2.97824e-008,1.2600
2.98248e-008,1.2591
2.98672e-008,1.2576
2.99096e-008,1.2568
2.99521e-008,1.2576
2.99945e-008,1.2586
3.00369e-008,1.2592
3.00793e-008,1.2596
3.01218e-008,1.2585
3.01642e-008,1.2286
3.02066e-008,1.1021
3.02490e-008,0.9463
3.02914e-008,0.7776
3.03339e-008,0.6009
3.03763e-008,0.4641
3.04187e-008,0.3571
3.04612e-008,0.2811
3.05036e-008,0.2387
3.05460e-008,0.2186
3.05884e-008,0.2029
3.06309e-008,0.1985
3.06733e-008,0.2041
3.07157e-008,0.2048
3.07581e-008,0.2072
3.08005e-008,0.2111
3.08430e-008,0.2117
3.08854e-008,0.2040
3.09278e-008,0.1934
3.09702e-008,0.1901
3.10127e-008,0.1909
3.10551e-008,0.1986
3.10975e-008,0.2085
3.11400e-008,0.2136
3.11824e-008,0.2198
3.12248e-008,0.2255
3.12672e-008,0.2259
3.13096e-008,0.2245
3.13521e-008,0.2249
3.13945e-008,0.2240
3.14369e-008,0.2223
3.14793e-008,0.2219
3.15218e-008,0.2204
3.15642e-008,0.2190
3.16066e-008,0.2184
3.16491e-008,0.2182
3.16915e-008,0.2190
3.17339e-008,0.2207
3.17763e-008,0.2219
3.18188e-008,0.2208
3.18612e-008,0.2197
3.19036e-008,0.2196
3.19460e-008,0.2191
3.19884e-008,0.2185
3.20309e-008,0.2184
3.20733e-008,0.2184
3.21157e-008,0.2184
