.HEADER
..NAMES
Time,V U3.P8
.DATA
1.12516e-008,1.2248
1.12975e-008,1.2253
1.13435e-008,1.2281
1.13894e-008,1.2332
1.14353e-008,1.2394
1.14812e-008,1.2453
1.15272e-008,1.2489
1.15731e-008,1.2491
1.16190e-008,1.2462
1.16649e-008,1.2410
1.17109e-008,1.2351
1.17568e-008,1.2306
1.18027e-008,1.2283
1.18487e-008,1.2274
1.18946e-008,1.2271
1.19405e-008,1.2259
1.19864e-008,1.2233
1.20324e-008,1.2198
1.20783e-008,1.2162
1.21242e-008,1.2074
1.21701e-008,1.1790
1.22161e-008,1.1250
1.22620e-008,1.0532
1.23079e-008,0.9562
1.23538e-008,0.8250
1.23997e-008,0.6805
1.24457e-008,0.5478
1.24916e-008,0.4332
1.25375e-008,0.3450
1.25834e-008,0.2927
1.26294e-008,0.2721
1.26753e-008,0.2737
1.27212e-008,0.2885
1.27672e-008,0.3037
1.28131e-008,0.3104
1.28590e-008,0.3078
1.29049e-008,0.2976
1.29509e-008,0.2834
1.29968e-008,0.2704
1.30427e-008,0.2613
1.30886e-008,0.2559
1.31346e-008,0.2531
1.31805e-008,0.2514
1.32264e-008,0.2489
1.32723e-008,0.2444
1.33182e-008,0.2381
1.33642e-008,0.2312
1.34101e-008,0.2261
1.34560e-008,0.2245
1.35019e-008,0.2264
1.35479e-008,0.2307
1.35938e-008,0.2358
1.36397e-008,0.2399
1.36856e-008,0.2428
1.37316e-008,0.2447
1.37775e-008,0.2460
1.38234e-008,0.2475
1.38694e-008,0.2497
1.39153e-008,0.2526
1.39612e-008,0.2564
1.40071e-008,0.2675
1.40531e-008,0.3027
1.40990e-008,0.3670
1.41449e-008,0.4521
1.41908e-008,0.5662
1.42367e-008,0.7114
1.42827e-008,0.8593
1.43286e-008,0.9895
1.43745e-008,1.0979
1.44204e-008,1.1704
1.44664e-008,1.2011
1.45123e-008,1.2046
1.45582e-008,1.1926
1.46041e-008,1.1741
1.46501e-008,1.1621
1.46960e-008,1.1614
1.47419e-008,1.1697
1.47879e-008,1.1849
1.48338e-008,1.2023
1.48797e-008,1.2151
1.49256e-008,1.2219
1.49715e-008,1.2245
1.50175e-008,1.2249
1.50634e-008,1.2261
1.51093e-008,1.2297
1.51552e-008,1.2352
1.52012e-008,1.2415
1.52471e-008,1.2468
1.52930e-008,1.2493
1.53389e-008,1.2484
1.53849e-008,1.2446
1.54308e-008,1.2389
1.54767e-008,1.2334
1.55226e-008,1.2296
1.55686e-008,1.2278
1.56145e-008,1.2273
1.56604e-008,1.2268
1.57063e-008,1.2251
1.57523e-008,1.2221
1.57982e-008,1.2186
1.58441e-008,1.2143
1.58901e-008,1.2005
1.59360e-008,1.1627
1.59819e-008,1.1019
1.60278e-008,1.0232
1.60738e-008,0.9141
1.61197e-008,0.7747
1.61656e-008,0.6326
1.62115e-008,0.5058
1.62575e-008,0.3990
1.63034e-008,0.3228
1.63493e-008,0.2826
1.63952e-008,0.2706
1.64412e-008,0.2779
1.64871e-008,0.2943
1.65330e-008,0.3070
