.HEADER
..NAMES
Time,V U3.J7&K7
.DATA
0.0e+000,-0.6840
3.40e-011,-0.6840
6.80e-011,-0.6840
1.020e-010,-0.6840
1.360e-010,-0.6840
1.700e-010,-0.6840
2.040e-010,-0.6840
2.380e-010,-0.6840
2.720e-010,-0.6840
3.060e-010,-0.6840
3.400e-010,-0.6840
3.740e-010,-0.6840
4.080e-010,-0.6840
4.420e-010,-0.6840
4.760e-010,-0.6840
5.100e-010,-0.6840
5.440e-010,-0.6840
5.780e-010,-0.6840
6.120e-010,-0.6840
6.460e-010,-0.6840
6.800e-010,-0.6840
7.140e-010,-0.6840
7.480e-010,-0.6840
7.820e-010,-0.6840
8.160e-010,-0.6840
8.500e-010,-0.6840
8.840e-010,-0.6840
9.180e-010,-0.6840
9.520e-010,-0.6840
9.860e-010,-0.6840
1.0200e-009,-0.6840
1.0540e-009,-0.6840
1.0880e-009,-0.6840
1.1220e-009,-0.6840
1.1560e-009,-0.6840
1.1900e-009,-0.6840
1.2240e-009,-0.6840
1.2580e-009,-0.6840
1.2920e-009,-0.6840
1.3260e-009,-0.6840
1.3600e-009,-0.6840
1.3940e-009,-0.6840
1.4280e-009,-0.6840
1.4620e-009,-0.6840
1.4960e-009,-0.6840
1.5300e-009,-0.6840
1.5640e-009,-0.6840
1.5980e-009,-0.6840
1.6320e-009,-0.6840
1.6660e-009,-0.6840
1.7000e-009,-0.6840
1.7340e-009,-0.6840
1.7680e-009,-0.6840
1.8020e-009,-0.6818
1.8360e-009,-0.6654
1.8700e-009,-0.6078
1.9040e-009,-0.4936
1.9380e-009,-0.3371
1.9720e-009,-0.1524
2.0060e-009,0.0621
2.0400e-009,0.2941
2.0740e-009,0.5085
2.1080e-009,0.6671
2.1420e-009,0.7517
2.1760e-009,0.7764
2.2100e-009,0.7644
2.2440e-009,0.7233
2.2780e-009,0.6569
2.3120e-009,0.5838
2.3460e-009,0.5311
2.3800e-009,0.5120
2.4140e-009,0.5168
2.4480e-009,0.5315
2.4820e-009,0.5526
2.5160e-009,0.5793
2.5500e-009,0.6056
2.5840e-009,0.6244
2.6180e-009,0.6322
2.6520e-009,0.6306
2.6860e-009,0.6238
2.7200e-009,0.6132
2.7540e-009,0.5978
2.7880e-009,0.5711
2.8220e-009,0.5187
2.8560e-009,0.4338
2.8900e-009,0.3233
