.HEADER
..NAMES
Time,V U2.M2
.DATA
1.12516e-008,0.2455
1.12975e-008,0.2504
1.13435e-008,0.2549
1.13894e-008,0.2567
1.14353e-008,0.2552
1.14812e-008,0.2512
1.15272e-008,0.2470
1.15731e-008,0.2445
1.16190e-008,0.2448
1.16649e-008,0.2475
1.17109e-008,0.2509
1.17568e-008,0.2534
1.18027e-008,0.2537
1.18487e-008,0.2520
1.18946e-008,0.2493
1.19405e-008,0.2471
1.19864e-008,0.2462
1.20324e-008,0.2488
1.20783e-008,0.2836
1.21242e-008,0.3817
1.21701e-008,0.4983
1.22161e-008,0.6643
1.22620e-008,0.8462
1.23079e-008,0.9796
1.23538e-008,1.0608
1.23997e-008,1.0826
1.24457e-008,1.0681
1.24916e-008,1.0424
1.25375e-008,1.0333
1.25834e-008,1.0597
1.26294e-008,1.1096
1.26753e-008,1.1640
1.27212e-008,1.2079
1.27672e-008,1.2302
1.28131e-008,1.2312
1.28590e-008,1.2185
1.29049e-008,1.2069
1.29509e-008,1.2023
1.29968e-008,1.2066
1.30427e-008,1.2204
1.30886e-008,1.2377
1.31346e-008,1.2523
1.31805e-008,1.2616
1.32264e-008,1.2656
1.32723e-008,1.2600
1.33182e-008,1.2487
1.33642e-008,1.2340
1.34101e-008,1.2214
1.34560e-008,1.2162
1.35019e-008,1.2184
1.35479e-008,1.2278
1.35938e-008,1.2361
1.36397e-008,1.2376
1.36856e-008,1.2312
1.37316e-008,1.2177
1.37775e-008,1.2050
1.38234e-008,1.2007
1.38694e-008,1.2067
1.39153e-008,1.2147
1.39612e-008,1.1827
1.40071e-008,1.0957
1.40531e-008,0.9822
1.40990e-008,0.8146
1.41449e-008,0.6422
1.41908e-008,0.5059
1.42367e-008,0.4230
1.42827e-008,0.3936
1.43286e-008,0.3956
1.43745e-008,0.4153
1.44204e-008,0.4234
1.44664e-008,0.4050
1.45123e-008,0.3658
1.45582e-008,0.3185
1.46041e-008,0.2765
1.46501e-008,0.2497
1.46960e-008,0.2414
1.47419e-008,0.2476
1.47879e-008,0.2575
1.48338e-008,0.2657
1.48797e-008,0.2670
1.49256e-008,0.2581
1.49715e-008,0.2418
1.50175e-008,0.2238
1.50634e-008,0.2081
1.51093e-008,0.1992
1.51552e-008,0.2026
1.52012e-008,0.2153
1.52471e-008,0.2334
1.52930e-008,0.2477
1.53389e-008,0.2535
1.53849e-008,0.2498
1.54308e-008,0.2393
1.54767e-008,0.2311
1.55226e-008,0.2297
1.55686e-008,0.2370
1.56145e-008,0.2503
1.56604e-008,0.2625
1.57063e-008,0.2676
1.57523e-008,0.2632
1.57982e-008,0.2587
1.58441e-008,0.3030
1.58901e-008,0.4039
1.59360e-008,0.5342
1.59819e-008,0.7272
1.60278e-008,0.9082
1.60738e-008,1.0340
1.61197e-008,1.0971
1.61656e-008,1.0975
1.62115e-008,1.0677
1.62575e-008,1.0353
1.63034e-008,1.0328
1.63493e-008,1.0684
1.63952e-008,1.1242
1.64412e-008,1.1812
1.64871e-008,1.2233
1.65330e-008,1.2415
1.65789e-008,1.2381
1.66249e-008,1.2227
1.66708e-008,1.2092
1.67167e-008,1.2016
1.67626e-008,1.2047
1.68085e-008,1.2187
1.68545e-008,1.2379
1.69004e-008,1.2559
1.69463e-008,1.2695
1.69922e-008,1.2737
1.70382e-008,1.2647
1.70841e-008,1.2478
1.71300e-008,1.2271
1.71759e-008,1.2128
1.72219e-008,1.2094
1.72678e-008,1.2176
1.73137e-008,1.2325
1.73596e-008,1.2425
1.74056e-008,1.2426
1.74515e-008,1.2314
1.74974e-008,1.2135
1.75433e-008,1.1999
1.75893e-008,1.1977
1.76352e-008,1.2074
1.76811e-008,1.2104
1.77271e-008,1.1585
1.77730e-008,1.0643
1.78189e-008,0.9335
1.78648e-008,0.7544
1.79108e-008,0.5910
1.79567e-008,0.4692
1.80026e-008,0.4061
1.80485e-008,0.3891
1.80945e-008,0.4001
1.81404e-008,0.4205
1.81863e-008,0.4210
1.82322e-008,0.3955
1.82782e-008,0.3524
1.83241e-008,0.3051
1.83700e-008,0.2663
1.84159e-008,0.2442
1.84619e-008,0.2406
1.85078e-008,0.2489
1.85537e-008,0.2595
1.85996e-008,0.2677
1.86455e-008,0.2670
1.86915e-008,0.2558
1.87374e-008,0.2376
1.87833e-008,0.2188
1.88292e-008,0.2031
1.88752e-008,0.1975
1.89211e-008,0.2047
1.89670e-008,0.2209
1.90129e-008,0.2400
1.90589e-008,0.2523
1.91048e-008,0.2551
1.91507e-008,0.2476
1.91966e-008,0.2362
1.92426e-008,0.2294
1.92885e-008,0.2306
1.93344e-008,0.2407
1.93803e-008,0.2550
1.94263e-008,0.2657
1.94722e-008,0.2678
1.95181e-008,0.2606
1.95640e-008,0.2483
1.96100e-008,0.2366
1.96559e-008,0.2305
1.97018e-008,0.2329
1.97478e-008,0.2416
1.97937e-008,0.2522
1.98396e-008,0.2603
1.98855e-008,0.2635
1.99315e-008,0.2614
1.99774e-008,0.2560
2.00233e-008,0.2498
2.00692e-008,0.2452
2.01152e-008,0.2434
2.01611e-008,0.2445
2.02070e-008,0.2481
2.02529e-008,0.2525
2.02989e-008,0.2564
2.03448e-008,0.2583
2.03907e-008,0.2569
2.04366e-008,0.2528
2.04826e-008,0.2476
2.05285e-008,0.2435
2.05744e-008,0.2425
2.06203e-008,0.2449
2.06662e-008,0.2498
2.07122e-008,0.2545
2.07581e-008,0.2568
2.08040e-008,0.2558
2.08499e-008,0.2520
2.08959e-008,0.2476
2.09418e-008,0.2448
2.09877e-008,0.2447
2.10336e-008,0.2471
2.10796e-008,0.2505
2.11255e-008,0.2532
2.11714e-008,0.2539
2.12173e-008,0.2524
2.12633e-008,0.2499
2.13092e-008,0.2475
2.13551e-008,0.2463
2.14010e-008,0.2466
2.14470e-008,0.2480
2.14929e-008,0.2496
2.15388e-008,0.2509
2.15847e-008,0.2515
2.16307e-008,0.2513
2.16766e-008,0.2505
2.17225e-008,0.2494
2.17685e-008,0.2482
2.18144e-008,0.2474
2.18603e-008,0.2474
2.19062e-008,0.2481
2.19522e-008,0.2493
2.19981e-008,0.2506
2.20440e-008,0.2513
2.20899e-008,0.2510
2.21359e-008,0.2498
2.21818e-008,0.2484
2.22277e-008,0.2473
2.22736e-008,0.2471
2.23196e-008,0.2479
2.23655e-008,0.2493
2.24114e-008,0.2504
2.24573e-008,0.2508
2.25033e-008,0.2504
2.25492e-008,0.2493
2.25951e-008,0.2483
2.26410e-008,0.2477
2.26869e-008,0.2478
2.27329e-008,0.2484
2.27788e-008,0.2492
2.28247e-008,0.2497
2.28706e-008,0.2498
2.29166e-008,0.2495
2.29625e-008,0.2491
2.30084e-008,0.2486
2.30543e-008,0.2484
2.31003e-008,0.2483
2.31462e-008,0.2485
2.31921e-008,0.2487
2.32380e-008,0.2490
2.32840e-008,0.2516
2.33299e-008,0.2870
2.33758e-008,0.3845
2.34217e-008,0.5003
2.34677e-008,0.6676
2.35136e-008,0.8486
2.35595e-008,0.9817
2.36055e-008,1.0627
2.36514e-008,1.0843
2.36973e-008,1.0699
2.37432e-008,1.0438
2.37892e-008,1.0344
2.38351e-008,1.0600
2.38810e-008,1.1088
2.39269e-008,1.1626
2.39729e-008,1.2068
2.40188e-008,1.2300
2.40647e-008,1.2321
2.41106e-008,1.2202
2.41566e-008,1.2087
2.42025e-008,1.2030
2.42484e-008,1.2060
2.42943e-008,1.2188
2.43403e-008,1.2359
2.43862e-008,1.2511
2.44321e-008,1.2616
2.44780e-008,1.2665
2.45239e-008,1.2611
2.45699e-008,1.2494
2.46158e-008,1.2338
2.46617e-008,1.2205
2.47076e-008,1.2149
2.47536e-008,1.2174
2.47995e-008,1.2273
2.48454e-008,1.2359
2.48913e-008,1.2378
2.49373e-008,1.2314
2.49832e-008,1.2178
2.50291e-008,1.2051
2.50750e-008,1.2007
2.51210e-008,1.2065
2.51669e-008,1.2199
2.52128e-008,1.2339
2.52587e-008,1.2420
2.53047e-008,1.2402
2.53506e-008,1.2299
2.53965e-008,1.2169
2.54424e-008,1.2071
2.54884e-008,1.2042
2.55343e-008,1.2081
2.55802e-008,1.2162
2.56262e-008,1.2240
2.56721e-008,1.2285
2.57180e-008,1.2288
2.57639e-008,1.2259
2.58099e-008,1.2216
2.58558e-008,1.2176
2.59017e-008,1.2153
2.59476e-008,1.2148
2.59936e-008,1.2164
2.60395e-008,1.2197
2.60854e-008,1.2237
2.61313e-008,1.2271
2.61773e-008,1.2283
2.62232e-008,1.2266
2.62691e-008,1.2225
2.63150e-008,1.2178
2.63610e-008,1.2150
2.64069e-008,1.2154
2.64528e-008,1.2189
2.64987e-008,1.2238
2.65446e-008,1.2274
2.65906e-008,1.2279
2.66365e-008,1.2253
2.66824e-008,1.2212
2.67283e-008,1.2178
2.67743e-008,1.2169
2.68202e-008,1.2187
2.68661e-008,1.2220
2.69120e-008,1.2251
2.69580e-008,1.2264
2.70039e-008,1.2256
2.70498e-008,1.2234
2.70957e-008,1.2211
2.71417e-008,1.2197
2.71876e-008,1.2196
2.72335e-008,1.2207
2.72794e-008,1.2221
2.73254e-008,1.2233
2.73713e-008,1.2240
2.74172e-008,1.2241
2.74631e-008,1.2238
2.75091e-008,1.2231
2.75550e-008,1.2222
2.76009e-008,1.2213
2.76469e-008,1.2208
2.76928e-008,1.2211
2.77387e-008,1.2220
2.77846e-008,1.2234
2.78306e-008,1.2245
2.78765e-008,1.2247
2.79224e-008,1.2240
2.79683e-008,1.2226
2.80143e-008,1.2212
2.80602e-008,1.2207
2.81061e-008,1.2212
2.81520e-008,1.2225
2.81980e-008,1.2238
2.82439e-008,1.2245
2.82898e-008,1.2243
2.83357e-008,1.2234
2.83817e-008,1.2223
2.84276e-008,1.2217
2.84735e-008,1.2217
2.85194e-008,1.2223
2.85653e-008,1.2231
2.86113e-008,1.2237
2.86572e-008,1.2238
2.87031e-008,1.2236
2.87490e-008,1.2231
2.87950e-008,1.2228
2.88409e-008,1.2226
2.88868e-008,1.2221
2.89327e-008,1.2068
2.89787e-008,1.1392
2.90246e-008,1.0423
2.90705e-008,0.9198
2.91164e-008,0.7582
2.91624e-008,0.6116
2.92083e-008,0.4977
2.92542e-008,0.4316
2.93001e-008,0.4027
2.93461e-008,0.4007
2.93920e-008,0.4125
2.94379e-008,0.4114
2.94839e-008,0.3900
2.95298e-008,0.3532
2.95757e-008,0.3116
2.96216e-008,0.2760
2.96676e-008,0.2543
2.97135e-008,0.2495
2.97594e-008,0.2548
2.98053e-008,0.2615
2.98513e-008,0.2655
2.98972e-008,0.2617
2.99431e-008,0.2500
2.99890e-008,0.2347
3.00350e-008,0.2211
3.00809e-008,0.2106
3.01268e-008,0.2074
