.HEADER
..NAMES
Time,V U2.R3
.DATA
1.12516e-008,0.2486
1.12975e-008,0.2484
1.13435e-008,0.2480
1.13894e-008,0.2476
1.14353e-008,0.2473
1.14812e-008,0.2472
1.15272e-008,0.2473
1.15731e-008,0.2477
1.16190e-008,0.2480
1.16649e-008,0.2483
1.17109e-008,0.2483
1.17568e-008,0.2481
1.18027e-008,0.2478
1.18487e-008,0.2474
1.18946e-008,0.2473
1.19405e-008,0.2474
1.19864e-008,0.2503
1.20324e-008,0.2708
1.20783e-008,0.3368
1.21242e-008,0.4454
1.21701e-008,0.5770
1.22161e-008,0.7370
1.22620e-008,0.8976
1.23079e-008,1.0154
1.23538e-008,1.0823
1.23997e-008,1.1034
1.24457e-008,1.0913
1.24916e-008,1.0670
1.25375e-008,1.0535
1.25834e-008,1.0653
1.26294e-008,1.1025
1.26753e-008,1.1500
1.27212e-008,1.1945
1.27672e-008,1.2282
1.28131e-008,1.2439
1.28590e-008,1.2437
1.29049e-008,1.2364
1.29509e-008,1.2287
1.29968e-008,1.2247
1.30427e-008,1.2279
1.30886e-008,1.2378
1.31346e-008,1.2503
1.31805e-008,1.2608
1.32264e-008,1.2652
1.32723e-008,1.2618
1.33182e-008,1.2514
1.33642e-008,1.2380
1.34101e-008,1.2269
1.34560e-008,1.2225
1.35019e-008,1.2250
1.35479e-008,1.2315
1.35938e-008,1.2369
1.36397e-008,1.2371
1.36856e-008,1.2316
1.37316e-008,1.2226
1.37775e-008,1.2147
1.38234e-008,1.2123
1.38694e-008,1.2165
1.39153e-008,1.2251
1.39612e-008,1.2338
1.40071e-008,1.2389
1.40531e-008,1.2381
1.40990e-008,1.2323
1.41449e-008,1.2241
1.41908e-008,1.2169
1.42367e-008,1.2130
1.42827e-008,1.2132
1.43286e-008,1.2169
1.43745e-008,1.2223
1.44204e-008,1.2274
1.44664e-008,1.2306
1.45123e-008,1.2312
1.45582e-008,1.2291
1.46041e-008,1.2252
1.46501e-008,1.2211
1.46960e-008,1.2186
1.47419e-008,1.2186
1.47879e-008,1.2213
1.48338e-008,1.2253
1.48797e-008,1.2289
1.49256e-008,1.2304
1.49715e-008,1.2292
1.50175e-008,1.2260
1.50634e-008,1.2225
1.51093e-008,1.2204
1.51552e-008,1.2206
1.52012e-008,1.2228
1.52471e-008,1.2257
1.52930e-008,1.2278
1.53389e-008,1.2283
1.53849e-008,1.2271
1.54308e-008,1.2252
1.54767e-008,1.2234
1.55226e-008,1.2227
1.55686e-008,1.2231
1.56145e-008,1.2243
1.56604e-008,1.2256
1.57063e-008,1.2266
