.HEADER
..NAMES
Time,V U2.D3
.DATA
1.00971e-008,-0.0495
1.01396e-008,-0.0517
1.01820e-008,-0.0520
1.02244e-008,-0.0499
1.02668e-008,-0.0536
1.03093e-008,-0.0603
1.03517e-008,-0.0601
1.03941e-008,-0.0536
1.04366e-008,-0.0435
1.04790e-008,-0.0276
1.05214e-008,-0.0088
1.05638e-008,0.0166
1.06063e-008,0.0834
1.06487e-008,0.1945
1.06911e-008,0.3523
1.07335e-008,0.5325
1.07759e-008,0.7538
1.08184e-008,0.9809
1.08608e-008,1.1903
1.09032e-008,1.3603
1.09456e-008,1.4885
1.09881e-008,1.5793
1.10305e-008,1.6400
1.10729e-008,1.6782
1.11154e-008,1.7003
1.11578e-008,1.7157
1.12002e-008,1.7256
1.12426e-008,1.7312
1.12851e-008,1.7349
1.13275e-008,1.7343
1.13699e-008,1.7336
1.14123e-008,1.7370
1.14548e-008,1.6969
1.14972e-008,1.4883
1.15396e-008,1.2312
1.15820e-008,0.9676
1.16244e-008,0.5958
1.16669e-008,0.2428
1.17093e-008,-0.0525
1.17517e-008,-0.2585
1.17941e-008,-0.3800
1.18366e-008,-0.4101
1.18790e-008,-0.4093
1.19214e-008,-0.3944
1.19639e-008,-0.3764
1.20063e-008,-0.3556
1.20487e-008,-0.3338
1.20911e-008,-0.3194
1.21336e-008,-0.3138
1.21760e-008,-0.3051
1.22184e-008,-0.2960
1.22608e-008,-0.2993
1.23032e-008,-0.3220
1.23457e-008,-0.2977
1.23881e-008,-0.2298
1.24305e-008,-0.1739
1.24729e-008,-0.0990
1.25154e-008,-0.0025
1.25578e-008,0.0833
1.26002e-008,0.1405
1.26427e-008,0.1765
1.26851e-008,0.1870
1.27275e-008,0.1805
1.27699e-008,0.1692
1.28124e-008,0.1590
1.28548e-008,0.1504
1.28972e-008,0.1391
1.29396e-008,0.1295
1.29821e-008,0.1276
1.30245e-008,0.1286
1.30669e-008,0.1251
1.31093e-008,0.1205
1.31517e-008,0.1301
1.31942e-008,0.1400
1.32366e-008,0.1273
1.32790e-008,0.1049
1.33214e-008,0.0790
1.33639e-008,0.0416
1.34063e-008,-0.0013
1.34487e-008,-0.0371
1.34912e-008,-0.0643
1.35336e-008,-0.0802
1.35760e-008,-0.0825
1.36184e-008,-0.0767
1.36609e-008,-0.0692
1.37033e-008,-0.0643
1.37457e-008,-0.0600
1.37881e-008,-0.0541
1.38306e-008,-0.0506
1.38730e-008,-0.0518
1.39154e-008,-0.0534
1.39578e-008,-0.0513
1.40002e-008,-0.0513
1.40427e-008,-0.0576
1.40851e-008,-0.0606
1.41275e-008,-0.0561
1.41699e-008,-0.0480
1.42124e-008,-0.0353
1.42548e-008,-0.0171
1.42972e-008,0.0013
1.43397e-008,0.0173
1.43821e-008,0.0299
1.44245e-008,0.0367
1.44669e-008,0.0369
1.45094e-008,0.0329
1.45518e-008,0.0287
1.45942e-008,0.0263
1.46366e-008,0.0238
1.46790e-008,0.0210
1.47215e-008,0.0200
1.47639e-008,0.0214
1.48063e-008,0.0221
1.48487e-008,0.0215
1.48912e-008,0.0227
1.49336e-008,0.0255
1.49760e-008,0.0266
1.50185e-008,0.0255
1.50609e-008,0.0223
1.51033e-008,0.0159
1.51457e-008,0.0075
1.51881e-008,-0.0007
1.52306e-008,-0.0080
1.52730e-008,-0.0138
1.53154e-008,-0.0168
1.53579e-008,-0.0164
1.54003e-008,-0.0139
1.54427e-008,-0.0117
1.54851e-008,-0.0104
1.55276e-008,-0.0090
1.55700e-008,-0.0078
1.56124e-008,-0.0078
1.56548e-008,-0.0086
1.56972e-008,-0.0089
1.57397e-008,-0.0091
1.57821e-008,-0.0100
1.58245e-008,-0.0111
1.58670e-008,-0.0116
1.59094e-008,-0.0115
1.59518e-008,-0.0101
1.59942e-008,-0.0070
1.60366e-008,-0.0032
1.60791e-008,0.0005
1.61215e-008,0.0038
1.61639e-008,0.0054
1.62064e-008,0.0361
1.62488e-008,0.1133
1.62912e-008,0.2490
1.63336e-008,0.4216
1.63761e-008,0.6351
1.64185e-008,0.8739
1.64609e-008,1.1018
1.65033e-008,1.2995
1.65457e-008,1.4507
1.65882e-008,1.5590
1.66306e-008,1.6290
1.66730e-008,1.6745
1.67155e-008,1.7018
1.67579e-008,1.7172
1.68003e-008,1.7255
1.68427e-008,1.7309
1.68851e-008,1.7357
1.69276e-008,1.7395
1.69700e-008,1.7425
1.70124e-008,1.7501
1.70548e-008,1.7581
1.70973e-008,1.7554
1.71397e-008,1.7337
1.71821e-008,1.6970
1.72246e-008,1.6513
1.72670e-008,1.5952
1.73094e-008,1.5379
1.73518e-008,1.4878
1.73942e-008,1.4517
1.74367e-008,1.4297
1.74791e-008,1.4199
1.75215e-008,1.4165
1.75640e-008,1.4153
1.76064e-008,1.4151
1.76488e-008,1.4158
1.76912e-008,1.4166
1.77336e-008,1.4160
1.77761e-008,1.4139
1.78185e-008,1.4125
1.78609e-008,1.4104
1.79033e-008,1.4060
1.79458e-008,1.4012
1.79882e-008,1.4049
1.80306e-008,1.4457
1.80731e-008,1.4271
1.81155e-008,1.3531
1.81579e-008,1.2699
1.82003e-008,1.0875
1.82427e-008,0.8492
1.82852e-008,0.5933
1.83276e-008,0.3378
1.83700e-008,0.1034
1.84125e-008,-0.0685
1.84549e-008,-0.1868
1.84973e-008,-0.2593
1.85397e-008,-0.2983
1.85822e-008,-0.3171
1.86246e-008,-0.3231
1.86670e-008,-0.3236
1.87094e-008,-0.3273
1.87518e-008,-0.3297
1.87943e-008,-0.3301
1.88367e-008,-0.3282
1.88791e-008,-0.3470
1.89216e-008,-0.3654
1.89640e-008,-0.3564
1.90064e-008,-0.3414
1.90488e-008,-0.3080
1.90912e-008,-0.2501
1.91337e-008,-0.1806
1.91761e-008,-0.1063
1.92185e-008,-0.0282
1.92610e-008,0.0361
1.93034e-008,0.0797
1.93458e-008,0.1070
1.93882e-008,0.1216
1.94307e-008,0.1292
1.94731e-008,0.1313
1.95155e-008,0.1293
1.95579e-008,0.1283
1.96003e-008,0.1298
1.96428e-008,0.1321
1.96852e-008,0.1307
1.97276e-008,0.1332
1.97701e-008,0.1428
1.98125e-008,0.1481
1.98549e-008,0.1497
1.98973e-008,0.1415
1.99397e-008,0.1047
1.99822e-008,0.1152
2.00246e-008,0.1782
2.00670e-008,0.2861
2.01095e-008,0.4395
2.01519e-008,0.6594
2.01943e-008,0.9025
2.02367e-008,1.1388
2.02792e-008,1.3399
2.03216e-008,1.4914
2.03640e-008,1.5962
2.04064e-008,1.6635
2.04488e-008,1.7042
2.04913e-008,1.7250
2.05337e-008,1.7354
2.05761e-008,1.7411
2.06186e-008,1.7440
2.06610e-008,1.7471
2.07034e-008,1.7481
2.07458e-008,1.7492
2.07882e-008,1.7655
2.08307e-008,1.7458
2.08731e-008,1.5507
2.09155e-008,1.2998
2.09580e-008,1.0366
2.10004e-008,0.6584
2.10428e-008,0.2889
2.10852e-008,-0.0280
2.11277e-008,-0.2546
2.11701e-008,-0.3898
2.12125e-008,-0.4220
2.12549e-008,-0.4185
