.HEADER
..NAMES
Time,V U2.K3
.DATA
4.4088e-009,1.2324
4.4547e-009,1.2203
4.5007e-009,1.2089
4.5466e-009,1.2044
4.5925e-009,1.2089
4.6384e-009,1.2203
4.6843e-009,1.2314
4.7303e-009,1.2371
4.7762e-009,1.2355
4.8221e-009,1.2283
4.8680e-009,1.2210
4.9140e-009,1.2174
4.9599e-009,1.2178
5.0058e-009,1.2208
5.0518e-009,1.2232
5.0977e-009,1.2243
5.1436e-009,1.2241
5.1895e-009,1.2235
5.2354e-009,1.2238
5.2814e-009,1.2249
5.3273e-009,1.2261
5.3732e-009,1.2260
5.4192e-009,1.2243
5.4651e-009,1.2215
5.5110e-009,1.2193
5.5569e-009,1.2192
5.6029e-009,1.2220
5.6488e-009,1.2264
5.6947e-009,1.2298
5.7406e-009,1.2300
5.7865e-009,1.2268
5.8325e-009,1.2222
5.8784e-009,1.2190
5.9243e-009,1.2189
5.9703e-009,1.2217
6.0162e-009,1.2256
6.0621e-009,1.2282
6.1080e-009,1.2283
6.1539e-009,1.2262
6.1999e-009,1.2234
6.2458e-009,1.2216
6.2917e-009,1.2215
6.3376e-009,1.2229
6.3836e-009,1.2249
6.4295e-009,1.2235
6.4754e-009,1.1905
6.5214e-009,1.1031
6.5673e-009,0.9912
6.6132e-009,0.8404
6.6591e-009,0.6732
6.7050e-009,0.5280
6.7510e-009,0.4157
6.7969e-009,0.3510
6.8428e-009,0.3235
6.8888e-009,0.3231
6.9347e-009,0.3402
6.9806e-009,0.3466
7.0265e-009,0.3366
7.0725e-009,0.3166
7.1184e-009,0.2933
7.1643e-009,0.2766
7.2102e-009,0.2675
7.2561e-009,0.2657
7.3021e-009,0.2699
7.3480e-009,0.2752
7.3939e-009,0.2787
7.4399e-009,0.2800
7.4858e-009,0.2763
7.5317e-009,0.2676
7.5776e-009,0.2549
7.6235e-009,0.2433
7.6695e-009,0.2361
7.7154e-009,0.2343
7.7613e-009,0.2374
7.8072e-009,0.2443
7.8532e-009,0.2526
7.8991e-009,0.2585
7.9450e-009,0.2599
7.9910e-009,0.2563
8.0369e-009,0.2505
8.0828e-009,0.2467
8.1287e-009,0.2460
8.1747e-009,0.2509
8.2206e-009,0.2592
8.2665e-009,0.2655
8.3124e-009,0.2671
8.3583e-009,0.2633
8.4043e-009,0.2567
8.4502e-009,0.2506
8.4961e-009,0.2466
8.5420e-009,0.2462
8.5880e-009,0.2489
8.6339e-009,0.2526
8.6798e-009,0.2560
8.7257e-009,0.2578
8.7717e-009,0.2579
8.8176e-009,0.2567
8.8635e-009,0.2546
8.9095e-009,0.2530
8.9554e-009,0.2522
9.0013e-009,0.2520
9.0472e-009,0.2520
9.0932e-009,0.2523
9.1391e-009,0.2532
9.1850e-009,0.2547
9.2309e-009,0.2561
9.2769e-009,0.2567
9.3228e-009,0.2556
9.3687e-009,0.2533
9.4146e-009,0.2508
9.4605e-009,0.2496
9.5065e-009,0.2503
9.5524e-009,0.2522
9.5983e-009,0.2542
9.6442e-009,0.2554
9.6902e-009,0.2554
9.7361e-009,0.2543
9.7820e-009,0.2526
9.8280e-009,0.2511
9.8739e-009,0.2506
9.9198e-009,0.2513
9.9657e-009,0.2526
1.00117e-008,0.2538
1.00576e-008,0.2542
1.01035e-008,0.2537
1.01494e-008,0.2527
1.01954e-008,0.2577
1.02413e-008,0.3087
1.02872e-008,0.4145
1.03331e-008,0.5498
1.03790e-008,0.7350
1.04250e-008,0.9158
1.04709e-008,1.0497
1.05168e-008,1.1359
1.05627e-008,1.1601
1.06087e-008,1.1529
1.06546e-008,1.1321
1.07005e-008,1.1147
1.07464e-008,1.1242
1.07924e-008,1.1506
1.08383e-008,1.1807
1.08842e-008,1.2074
1.09302e-008,1.2187
1.09761e-008,1.2183
1.10220e-008,1.2113
1.10679e-008,1.2029
1.11139e-008,1.2002
1.11598e-008,1.2015
1.12057e-008,1.2040
1.12516e-008,1.2089
1.12975e-008,1.2168
1.13435e-008,1.2283
1.13894e-008,1.2397
1.14353e-008,1.2469
1.14812e-008,1.2467
1.15272e-008,1.2384
1.15731e-008,1.2253
1.16190e-008,1.2136
1.16649e-008,1.2093
1.17109e-008,1.2131
1.17568e-008,1.2229
1.18027e-008,1.2319
1.18487e-008,1.2350
1.18946e-008,1.2315
1.19405e-008,1.2208
1.19864e-008,1.2094
1.20324e-008,1.2042
1.20783e-008,1.2070
1.21242e-008,1.2168
1.21701e-008,1.2278
1.22161e-008,1.2345
1.22620e-008,1.2350
1.23079e-008,1.2294
1.23538e-008,1.2221
1.23997e-008,1.2175
1.24457e-008,1.2164
1.24916e-008,1.2184
1.25375e-008,1.2209
1.25834e-008,1.2226
1.26294e-008,1.2234
1.26753e-008,1.2235
1.27212e-008,1.2237
1.27672e-008,1.2243
1.28131e-008,1.2248
1.28590e-008,1.2245
1.29049e-008,1.2229
1.29509e-008,1.2207
1.29968e-008,1.2189
1.30427e-008,1.2189
1.30886e-008,1.2213
1.31346e-008,1.2251
1.31805e-008,1.2283
1.32264e-008,1.2287
1.32723e-008,1.2262
1.33182e-008,1.2221
1.33642e-008,1.2190
1.34101e-008,1.2184
1.34560e-008,1.2205
1.35019e-008,1.2240
1.35479e-008,1.2268
1.35938e-008,1.2274
1.36397e-008,1.2259
1.36856e-008,1.2234
1.37316e-008,1.2214
1.37775e-008,1.2209
1.38234e-008,1.2219
1.38694e-008,1.2236
1.39153e-008,1.2243
1.39612e-008,1.2060
1.40071e-008,1.1334
1.40531e-008,1.0287
1.40990e-008,0.8916
1.41449e-008,0.7240
1.41908e-008,0.5698
1.42367e-008,0.4455
1.42827e-008,0.3651
1.43286e-008,0.3285
1.43745e-008,0.3196
1.44204e-008,0.3347
1.44664e-008,0.3463
1.45123e-008,0.3406
1.45582e-008,0.3228
1.46041e-008,0.2993
1.46501e-008,0.2799
1.46960e-008,0.2688
1.47419e-008,0.2649
1.47879e-008,0.2678
1.48338e-008,0.2734
1.48797e-008,0.2773
1.49256e-008,0.2793
1.49715e-008,0.2771
1.50175e-008,0.2700
1.50634e-008,0.2584
1.51093e-008,0.2461
1.51552e-008,0.2375
1.52012e-008,0.2338
1.52471e-008,0.2354
1.52930e-008,0.2411
1.53389e-008,0.2494
1.53849e-008,0.2565
1.54308e-008,0.2595
1.54767e-008,0.2575
1.55226e-008,0.2518
1.55686e-008,0.2470
1.56145e-008,0.2451
1.56604e-008,0.2481
1.57063e-008,0.2560
1.57523e-008,0.2635
1.57982e-008,0.2668
1.58441e-008,0.2646
1.58901e-008,0.2584
1.59360e-008,0.2518
1.59819e-008,0.2469
1.60278e-008,0.2453
1.60738e-008,0.2473
1.61197e-008,0.2510
1.61656e-008,0.2547
1.62115e-008,0.2570
1.62575e-008,0.2576
1.63034e-008,0.2566
1.63493e-008,0.2547
1.63952e-008,0.2528
1.64412e-008,0.2519
1.64871e-008,0.2516
1.65330e-008,0.2516
1.65789e-008,0.2518
1.66249e-008,0.2524
1.66708e-008,0.2537
