.HEADER
..NAMES
Time,V U3.R8
.DATA
1.26753e-008,0.2563
1.27212e-008,0.2760
1.27672e-008,0.2967
1.28131e-008,0.3096
1.28590e-008,0.3122
1.29049e-008,0.3041
1.29509e-008,0.2889
1.29968e-008,0.2732
1.30427e-008,0.2604
1.30886e-008,0.2508
1.31346e-008,0.2452
1.31805e-008,0.2433
1.32264e-008,0.2430
1.32723e-008,0.2422
1.33182e-008,0.2401
1.33642e-008,0.2375
1.34101e-008,0.2353
1.34560e-008,0.2342
1.35019e-008,0.2351
1.35479e-008,0.2377
1.35938e-008,0.2410
1.36397e-008,0.2441
1.36856e-008,0.2467
1.37316e-008,0.2486
1.37775e-008,0.2500
1.38234e-008,0.2512
1.38694e-008,0.2525
1.39153e-008,0.2543
1.39612e-008,0.2574
1.40071e-008,0.2710
1.40531e-008,0.3133
1.40990e-008,0.3841
1.41449e-008,0.4730
1.41908e-008,0.5926
1.42367e-008,0.7408
1.42827e-008,0.8868
1.43286e-008,1.0176
1.43745e-008,1.1285
1.44204e-008,1.2001
1.44664e-008,1.2294
1.45123e-008,1.2302
1.45582e-008,1.2110
1.46041e-008,1.1830
1.46501e-008,1.1623
1.46960e-008,1.1538
1.47419e-008,1.1578
1.47879e-008,1.1742
1.48338e-008,1.1964
1.48797e-008,1.2155
1.49256e-008,1.2282
1.49715e-008,1.2342
1.50175e-008,1.2345
1.50634e-008,1.2323
1.51093e-008,1.2310
1.51552e-008,1.2318
1.52012e-008,1.2342
1.52471e-008,1.2366
1.52930e-008,1.2381
1.53389e-008,1.2381
1.53849e-008,1.2359
1.54308e-008,1.2322
1.54767e-008,1.2283
1.55226e-008,1.2252
1.55686e-008,1.2230
1.56145e-008,1.2220
1.56604e-008,1.2216
1.57063e-008,1.2210
1.57523e-008,1.2196
1.57982e-008,1.2178
1.58441e-008,1.2160
1.58901e-008,1.2155
1.59360e-008,1.2168
1.59819e-008,1.2198
1.60278e-008,1.2238
1.60738e-008,1.2273
1.61197e-008,1.2293
1.61656e-008,1.2291
1.62115e-008,1.2268
1.62575e-008,1.2233
1.63034e-008,1.2198
1.63493e-008,1.2174
1.63952e-008,1.2168
1.64412e-008,1.2181
1.64871e-008,1.2205
1.65330e-008,1.2231
1.65789e-008,1.2250
1.66249e-008,1.2255
1.66708e-008,1.2247
1.67167e-008,1.2233
1.67626e-008,1.2218
1.68085e-008,1.2210
1.68545e-008,1.2210
1.69004e-008,1.2217
1.69463e-008,1.2228
1.69922e-008,1.2238
1.70382e-008,1.2244
1.70841e-008,1.2243
1.71300e-008,1.2236
1.71759e-008,1.2228
1.72219e-008,1.2222
1.72678e-008,1.2220
1.73137e-008,1.2223
1.73596e-008,1.2230
1.74056e-008,1.2236
1.74515e-008,1.2239
1.74974e-008,1.2238
1.75433e-008,1.2234
1.75893e-008,1.2229
1.76352e-008,1.2225
1.76811e-008,1.2222
1.77271e-008,1.2180
1.77730e-008,1.1957
1.78189e-008,1.1436
1.78648e-008,1.0726
1.79108e-008,0.9834
1.79567e-008,0.8601
1.80026e-008,0.7146
1.80485e-008,0.5765
1.80945e-008,0.4550
1.81404e-008,0.3559
1.81863e-008,0.2906
1.82322e-008,0.2586
1.82782e-008,0.2526
1.83241e-008,0.2665
1.83700e-008,0.2882
1.84159e-008,0.3049
1.84619e-008,0.3120
1.85078e-008,0.3085
1.85537e-008,0.2958
1.85996e-008,0.2798
1.86455e-008,0.2658
1.86915e-008,0.2551
1.87374e-008,0.2479
1.87833e-008,0.2444
1.88292e-008,0.2434
1.88752e-008,0.2428
1.89211e-008,0.2411
1.89670e-008,0.2384
1.90129e-008,0.2360
1.90589e-008,0.2344
1.91048e-008,0.2344
1.91507e-008,0.2365
1.91966e-008,0.2397
1.92426e-008,0.2429
1.92885e-008,0.2456
1.93344e-008,0.2478
1.93803e-008,0.2493
1.94263e-008,0.2505
1.94722e-008,0.2518
1.95181e-008,0.2535
1.95640e-008,0.2557
1.96100e-008,0.2622
1.96559e-008,0.2887
1.97018e-008,0.3476
1.97478e-008,0.4275
1.97937e-008,0.5302
1.98396e-008,0.6676
1.98855e-008,0.8183
1.99315e-008,0.9565
1.99774e-008,1.0789
2.00233e-008,1.1717
2.00692e-008,1.2200
2.01152e-008,1.2329
2.01611e-008,1.2223
2.02070e-008,1.1964
2.02529e-008,1.1707
2.02989e-008,1.1563
2.03448e-008,1.1543
2.03907e-008,1.1651
2.04366e-008,1.1858
2.04826e-008,1.2072
2.05285e-008,1.2231
2.05744e-008,1.2323
2.06203e-008,1.2350
2.06662e-008,1.2334
2.07122e-008,1.2314
2.07581e-008,1.2312
2.08040e-008,1.2330
2.08499e-008,1.2356
2.08959e-008,1.2377
2.09418e-008,1.2385
2.09877e-008,1.2374
2.10336e-008,1.2342
2.10796e-008,1.2302
2.11255e-008,1.2266
2.11714e-008,1.2240
2.12173e-008,1.2224
2.12633e-008,1.2219
2.13092e-008,1.2215
2.13551e-008,1.2205
2.14010e-008,1.2188
2.14470e-008,1.2169
2.14929e-008,1.2156
2.15388e-008,1.2160
2.15847e-008,1.2183
2.16307e-008,1.2219
