.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
1.03941e-008,1.2212
1.04366e-008,1.2373
1.04790e-008,1.2488
1.05214e-008,1.2620
1.05638e-008,1.2744
1.06063e-008,1.2764
1.06487e-008,1.2763
1.06911e-008,1.2752
1.07335e-008,1.2722
1.07759e-008,1.2663
1.08184e-008,1.2648
1.08608e-008,1.2635
1.09032e-008,1.2518
1.09456e-008,1.1887
1.09881e-008,1.0282
1.10305e-008,0.8686
1.10729e-008,0.6932
1.11154e-008,0.5185
1.11578e-008,0.3920
1.12002e-008,0.3154
1.12426e-008,0.2637
1.12851e-008,0.2346
1.13275e-008,0.2288
1.13699e-008,0.2253
1.14123e-008,0.2172
1.14548e-008,0.2045
1.14972e-008,0.1924
1.15396e-008,0.1926
1.15820e-008,0.1972
1.16244e-008,0.1993
1.16669e-008,0.1997
1.17093e-008,0.2044
1.17517e-008,0.2081
1.17941e-008,0.2094
1.18366e-008,0.2183
1.18790e-008,0.2596
1.19214e-008,0.3817
1.19639e-008,0.5159
1.20063e-008,0.6847
1.20487e-008,0.8590
1.20911e-008,0.9892
1.21336e-008,1.0828
1.21760e-008,1.1516
1.22184e-008,1.1956
1.22608e-008,1.2177
1.23032e-008,1.2345
1.23457e-008,1.2465
1.23881e-008,1.2591
1.24305e-008,1.2727
1.24729e-008,1.2765
1.25154e-008,1.2762
1.25578e-008,1.2755
1.26002e-008,1.2730
1.26427e-008,1.2673
1.26851e-008,1.2645
1.27275e-008,1.2643
1.27699e-008,1.2555
1.28124e-008,1.2096
1.28548e-008,1.0626
1.28972e-008,0.8986
1.29396e-008,0.7298
1.29821e-008,0.5498
1.30245e-008,0.4120
1.30669e-008,0.3278
1.31093e-008,0.2724
1.31517e-008,0.2378
1.31942e-008,0.2292
1.32366e-008,0.2263
1.32790e-008,0.2191
1.33214e-008,0.2073
1.33639e-008,0.1939
1.34063e-008,0.1916
1.34487e-008,0.1965
1.34912e-008,0.1990
1.35336e-008,0.1994
1.35760e-008,0.2031
1.36184e-008,0.2078
1.36609e-008,0.2087
1.37033e-008,0.2156
1.37457e-008,0.2451
1.37881e-008,0.3544
1.38306e-008,0.4891
1.38730e-008,0.6478
1.39154e-008,0.8282
1.39578e-008,0.9670
1.40002e-008,1.0665
1.40427e-008,1.1399
1.40851e-008,1.1891
1.41275e-008,1.2141
1.41699e-008,1.2314
1.42124e-008,1.2444
1.42548e-008,1.2562
1.42972e-008,1.2704
1.43397e-008,1.2764
1.43821e-008,1.2760
1.44245e-008,1.2758
1.44669e-008,1.2735
1.45094e-008,1.2685
1.45518e-008,1.2644
1.45942e-008,1.2648
1.46366e-008,1.2582
1.46790e-008,1.2257
1.47215e-008,1.0968
1.47639e-008,0.9285
1.48063e-008,0.7659
1.48487e-008,0.5827
1.48912e-008,0.4342
1.49336e-008,0.3412
1.49760e-008,0.2819
1.50185e-008,0.2423
1.50609e-008,0.2297
1.51033e-008,0.2271
1.51457e-008,0.2208
1.51881e-008,0.2099
1.52306e-008,0.1960
1.52730e-008,0.1909
1.53154e-008,0.1956
1.53579e-008,0.1986
1.54003e-008,0.1993
1.54427e-008,0.2019
1.54851e-008,0.2073
1.55276e-008,0.2083
1.55700e-008,0.2135
1.56124e-008,0.2345
1.56548e-008,0.3277
1.56972e-008,0.4632
1.57397e-008,0.6121
1.57821e-008,0.7956
1.58245e-008,0.9432
1.58670e-008,1.0494
1.59094e-008,1.1273
1.59518e-008,1.1816
1.59942e-008,1.2103
1.60366e-008,1.2282
1.60791e-008,1.2422
1.61215e-008,1.2536
1.61639e-008,1.2679
1.62064e-008,1.2762
1.62488e-008,1.2760
1.62912e-008,1.2760
1.63336e-008,1.2740
1.63761e-008,1.2698
1.64185e-008,1.2646
1.64609e-008,1.2649
1.65033e-008,1.2602
1.65457e-008,1.2374
1.65882e-008,1.1297
1.66306e-008,0.9590
1.66730e-008,0.8007
1.67155e-008,0.6170
1.67579e-008,0.4588
1.68003e-008,0.3558
1.68427e-008,0.2919
1.68851e-008,0.2479
1.69276e-008,0.2305
1.69700e-008,0.2277
1.70124e-008,0.2223
1.70548e-008,0.2124
1.70973e-008,0.1985
1.71397e-008,0.1907
1.71821e-008,0.1946
1.72246e-008,0.1981
1.72670e-008,0.1993
1.73094e-008,0.2008
1.73518e-008,0.2066
1.73942e-008,0.2081
1.74367e-008,0.2118
1.74791e-008,0.2271
1.75215e-008,0.3024
1.75640e-008,0.4374
1.76064e-008,0.5785
1.76488e-008,0.7612
1.76912e-008,0.9178
1.77336e-008,1.0312
1.77761e-008,1.1138
1.78185e-008,1.1730
1.78609e-008,1.2062
1.79033e-008,1.2248
1.79458e-008,1.2399
1.79882e-008,1.2511
1.80306e-008,1.2650
1.80731e-008,1.2755
1.81155e-008,1.2760
1.81579e-008,1.2761
1.82003e-008,1.2745
1.82427e-008,1.2709
1.82852e-008,1.2651
1.83276e-008,1.2648
1.83700e-008,1.2619
1.84125e-008,1.2456
1.84549e-008,1.1598
1.84973e-008,0.9909
1.85397e-008,0.8337
1.85822e-008,0.6526
1.86246e-008,0.4858
1.86670e-008,0.3719
1.87094e-008,0.3026
1.87518e-008,0.2547
1.87943e-008,0.2319
1.88367e-008,0.2282
1.88791e-008,0.2237
1.89216e-008,0.2147
1.89640e-008,0.2012
1.90064e-008,0.1910
1.90488e-008,0.1936
1.90912e-008,0.1976
1.91337e-008,0.1992
1.91761e-008,0.2000
1.92185e-008,0.2056
1.92610e-008,0.2080
1.93034e-008,0.2104
1.93458e-008,0.2220
1.93882e-008,0.2799
1.94307e-008,0.4112
1.94731e-008,0.5474
1.95155e-008,0.7253
1.95579e-008,0.8908
1.96003e-008,1.0119
1.96428e-008,1.0995
1.96852e-008,1.1634
1.97276e-008,1.2015
1.97701e-008,1.2214
1.98125e-008,1.2374
1.98549e-008,1.2488
1.98973e-008,1.2621
1.99397e-008,1.2743
1.99822e-008,1.2761
2.00246e-008,1.2761
2.00670e-008,1.2749
2.01095e-008,1.2719
2.01519e-008,1.2659
2.01943e-008,1.2646
2.02367e-008,1.2632
2.02792e-008,1.2511
2.03216e-008,1.1860
2.03640e-008,1.0242
2.04064e-008,0.8650
2.04488e-008,0.6890
2.04913e-008,0.5149
2.05337e-008,0.3896
2.05761e-008,0.3139
2.06186e-008,0.2626
2.06610e-008,0.2341
2.07034e-008,0.2286
2.07458e-008,0.2250
2.07882e-008,0.2168
