.HEADER
..NAMES
Time,V U3.C3
.DATA
1.03941e-008,1.2710
1.04366e-008,1.2816
1.04790e-008,1.2785
1.05214e-008,1.2262
1.05638e-008,1.0292
1.06063e-008,0.8542
1.06487e-008,0.6891
1.06911e-008,0.5211
1.07335e-008,0.4012
1.07759e-008,0.3233
1.08184e-008,0.2731
1.08608e-008,0.2439
1.09032e-008,0.2346
1.09456e-008,0.2203
1.09881e-008,0.2215
1.10305e-008,0.2134
1.10729e-008,0.2082
1.11154e-008,0.2048
1.11578e-008,0.2030
1.12002e-008,0.2060
1.12426e-008,0.2124
1.12851e-008,0.2196
1.13275e-008,0.2036
1.13699e-008,0.1891
1.14123e-008,0.1979
1.14548e-008,0.2203
1.14972e-008,0.3586
1.15396e-008,0.5208
1.15820e-008,0.6952
1.16244e-008,0.8706
1.16669e-008,0.9974
1.17093e-008,1.0949
1.17517e-008,1.1592
1.17941e-008,1.2039
1.18366e-008,1.2222
1.18790e-008,1.2423
1.19214e-008,1.2474
1.19639e-008,1.2571
1.20063e-008,1.2645
1.20487e-008,1.2701
1.20911e-008,1.2721
1.21336e-008,1.2683
1.21760e-008,1.2678
1.22184e-008,1.2620
1.22608e-008,1.2684
1.23032e-008,1.2807
1.23457e-008,1.2796
1.23881e-008,1.2462
1.24305e-008,1.0730
1.24729e-008,0.8819
1.25154e-008,0.7255
1.25578e-008,0.5493
1.26002e-008,0.4214
1.26427e-008,0.3353
1.26851e-008,0.2815
1.27275e-008,0.2470
1.27699e-008,0.2367
1.28124e-008,0.2220
1.28548e-008,0.2205
1.28972e-008,0.2152
1.29396e-008,0.2080
1.29821e-008,0.2057
1.30245e-008,0.2026
1.30669e-008,0.2053
1.31093e-008,0.2101
1.31517e-008,0.2192
1.31942e-008,0.2079
1.32366e-008,0.1896
1.32790e-008,0.1955
1.33214e-008,0.2014
1.33639e-008,0.2040
1.34063e-008,0.2138
1.34487e-008,0.2221
1.34912e-008,0.2261
1.35336e-008,0.2301
1.35760e-008,0.2291
1.36184e-008,0.2265
1.36609e-008,0.2274
1.37033e-008,0.2240
1.37457e-008,0.2233
1.37881e-008,0.2237
1.38306e-008,0.2235
1.38730e-008,0.2245
1.39154e-008,0.2270
1.39578e-008,0.2259
1.40002e-008,0.2204
1.40427e-008,0.2212
1.40851e-008,0.2248
1.41275e-008,0.2245
1.41699e-008,0.2241
1.42124e-008,0.2246
1.42548e-008,0.2238
1.42972e-008,0.2235
1.43397e-008,0.2230
1.43821e-008,0.2217
1.44245e-008,0.2224
1.44669e-008,0.2226
1.45094e-008,0.2220
1.45518e-008,0.2228
1.45942e-008,0.2228
1.46366e-008,0.2226
1.46790e-008,0.2232
1.47215e-008,0.2233
1.47639e-008,0.2218
1.48063e-008,0.2215
1.48487e-008,0.2228
1.48912e-008,0.2231
1.49336e-008,0.2225
1.49760e-008,0.2224
1.50185e-008,0.2223
1.50609e-008,0.2223
1.51033e-008,0.2224
1.51457e-008,0.2221
1.51881e-008,0.2245
1.52306e-008,0.2934
1.52730e-008,0.4364
1.53154e-008,0.5793
1.53579e-008,0.7683
1.54003e-008,0.9106
1.54427e-008,1.0304
1.54851e-008,1.1155
1.55276e-008,1.1738
1.55700e-008,1.2079
1.56124e-008,1.2304
1.56548e-008,1.2437
1.56972e-008,1.2490
1.57397e-008,1.2594
1.57821e-008,1.2615
1.58245e-008,1.2674
1.58670e-008,1.2696
1.59094e-008,1.2702
1.59518e-008,1.2632
1.59942e-008,1.2617
1.60366e-008,1.2723
1.60791e-008,1.2762
1.61215e-008,1.2777
1.61639e-008,1.2769
1.62064e-008,1.2681
1.62488e-008,1.2613
1.62912e-008,1.2558
1.63336e-008,1.2513
1.63761e-008,1.2499
1.64185e-008,1.2513
1.64609e-008,1.2511
1.65033e-008,1.2537
1.65457e-008,1.2553
1.65882e-008,1.2553
1.66306e-008,1.2566
1.66730e-008,1.2565
1.67155e-008,1.2551
1.67579e-008,1.2538
1.68003e-008,1.2564
1.68427e-008,1.2580
1.68851e-008,1.2574
1.69276e-008,1.2572
1.69700e-008,1.2562
1.70124e-008,1.2555
1.70548e-008,1.2518
1.70973e-008,1.1784
1.71397e-008,0.9943
1.71821e-008,0.8537
1.72246e-008,0.6784
1.72670e-008,0.5187
1.73094e-008,0.4047
1.73518e-008,0.3277
1.73942e-008,0.2753
1.74367e-008,0.2480
1.74791e-008,0.2326
1.75215e-008,0.2200
1.75640e-008,0.2215
1.76064e-008,0.2132
1.76488e-008,0.2103
1.76912e-008,0.2070
1.77336e-008,0.2044
1.77761e-008,0.2044
1.78185e-008,0.2132
1.78609e-008,0.2170
1.79033e-008,0.2003
1.79458e-008,0.1944
1.79882e-008,0.2017
1.80306e-008,0.2002
1.80731e-008,0.2062
1.81155e-008,0.2162
1.81579e-008,0.2222
1.82003e-008,0.2270
1.82427e-008,0.2296
1.82852e-008,0.2271
1.83276e-008,0.2275
1.83700e-008,0.2268
1.84125e-008,0.2236
1.84549e-008,0.2242
1.84973e-008,0.2235
1.85397e-008,0.2230
1.85822e-008,0.2249
1.86246e-008,0.2273
1.86670e-008,0.2237
1.87094e-008,0.2206
1.87518e-008,0.2234
1.87943e-008,0.2243
1.88367e-008,0.2234
1.88791e-008,0.2244
1.89216e-008,0.2244
1.89640e-008,0.2236
1.90064e-008,0.2235
1.90488e-008,0.2222
1.90912e-008,0.2219
1.91337e-008,0.2227
1.91761e-008,0.2221
1.92185e-008,0.2222
1.92610e-008,0.2228
1.93034e-008,0.2224
1.93458e-008,0.2226
1.93882e-008,0.2234
1.94307e-008,0.2227
1.94731e-008,0.2214
1.95155e-008,0.2221
1.95579e-008,0.2228
1.96003e-008,0.2225
1.96428e-008,0.2223
1.96852e-008,0.2224
1.97276e-008,0.2222
1.97701e-008,0.2223
1.98125e-008,0.2221
1.98549e-008,0.2220
1.98973e-008,0.2456
1.99397e-008,0.3672
1.99822e-008,0.5042
2.00246e-008,0.6776
2.00670e-008,0.8463
2.01095e-008,0.9751
2.01519e-008,1.0784
2.01943e-008,1.1480
2.02367e-008,1.1943
2.02792e-008,1.2194
2.03216e-008,1.2396
2.03640e-008,1.2449
2.04064e-008,1.2555
2.04488e-008,1.2603
2.04913e-008,1.2644
2.05337e-008,1.2688
2.05761e-008,1.2702
2.06186e-008,1.2672
2.06610e-008,1.2603
2.07034e-008,1.2669
2.07458e-008,1.2753
2.07882e-008,1.2763
2.08307e-008,1.2785
2.08731e-008,1.2724
2.09155e-008,1.2642
2.09580e-008,1.2583
2.10004e-008,1.2532
2.10428e-008,1.2499
2.10852e-008,1.2505
2.11277e-008,1.2511
2.11701e-008,1.2518
2.12125e-008,1.2550
2.12549e-008,1.2548
2.12973e-008,1.2559
2.13398e-008,1.2565
2.13822e-008,1.2559
2.14246e-008,1.2540
2.14671e-008,1.2547
2.15095e-008,1.2575
2.15519e-008,1.2575
2.15943e-008,1.2572
2.16367e-008,1.2566
2.16792e-008,1.2555
2.17216e-008,1.2552
2.17640e-008,1.2321
2.18064e-008,1.0867
2.18489e-008,0.9183
2.18913e-008,0.7702
2.19337e-008,0.5899
2.19762e-008,0.4552
2.20186e-008,0.3614
2.20610e-008,0.2981
2.21034e-008,0.2579
2.21458e-008,0.2405
2.21883e-008,0.2238
2.22307e-008,0.2210
2.22731e-008,0.2176
2.23156e-008,0.2108
2.23580e-008,0.2089
2.24004e-008,0.2052
2.24428e-008,0.2038
2.24852e-008,0.2075
2.25277e-008,0.2177
2.25701e-008,0.2096
2.26125e-008,0.1940
2.26549e-008,0.1987
2.26974e-008,0.2113
2.27398e-008,0.3247
2.27822e-008,0.4926
2.28247e-008,0.6593
2.28671e-008,0.8454
2.29095e-008,0.9772
2.29519e-008,1.0818
2.29943e-008,1.1504
2.30368e-008,1.1995
2.30792e-008,1.2207
2.31216e-008,1.2396
2.31641e-008,1.2476
2.32065e-008,1.2540
2.32489e-008,1.2628
2.32913e-008,1.2680
2.33338e-008,1.2729
2.33762e-008,1.2692
2.34186e-008,1.2685
2.34610e-008,1.2621
2.35034e-008,1.2650
2.35459e-008,1.2785
2.35883e-008,1.2803
2.36307e-008,1.2591
2.36732e-008,1.1121
2.37156e-008,0.9078
2.37580e-008,0.7564
2.38004e-008,0.5760
2.38428e-008,0.4405
2.38853e-008,0.3468
2.39277e-008,0.2892
2.39701e-008,0.2506
2.40126e-008,0.2376
2.40550e-008,0.2241
2.40974e-008,0.2196
2.41398e-008,0.2173
2.41823e-008,0.2080
2.42247e-008,0.2061
2.42671e-008,0.2020
2.43095e-008,0.2044
2.43519e-008,0.2084
2.43944e-008,0.2182
2.44368e-008,0.2113
2.44792e-008,0.1908
2.45217e-008,0.1930
2.45641e-008,0.2009
2.46065e-008,0.2026
2.46489e-008,0.2116
2.46913e-008,0.2207
2.47338e-008,0.2251
2.47762e-008,0.2292
2.48186e-008,0.2294
2.48611e-008,0.2263
2.49035e-008,0.2272
2.49459e-008,0.2243
2.49883e-008,0.2227
2.50308e-008,0.2234
2.50732e-008,0.2231
2.51156e-008,0.2239
2.51580e-008,0.2263
2.52004e-008,0.2263
2.52429e-008,0.2208
2.52853e-008,0.2202
2.53277e-008,0.2240
2.53702e-008,0.2244
2.54126e-008,0.2237
2.54550e-008,0.2243
2.54974e-008,0.2254
2.55398e-008,0.2852
2.55823e-008,0.4258
2.56247e-008,0.5650
2.56671e-008,0.7544
2.57096e-008,0.9009
2.57520e-008,1.0218
2.57944e-008,1.1102
2.58368e-008,1.1707
2.58793e-008,1.2067
2.59217e-008,1.2295
2.59641e-008,1.2442
2.60065e-008,1.2478
2.60489e-008,1.2581
2.60914e-008,1.2616
2.61338e-008,1.2679
2.61762e-008,1.2697
2.62187e-008,1.2704
2.62611e-008,1.2641
2.63035e-008,1.2613
2.63459e-008,1.2716
2.63883e-008,1.2760
2.64308e-008,1.2774
2.64732e-008,1.2778
2.65156e-008,1.2689
2.65580e-008,1.2618
2.66005e-008,1.2564
2.66429e-008,1.2517
2.66853e-008,1.2499
2.67278e-008,1.2513
2.67702e-008,1.2510
2.68126e-008,1.2531
2.68550e-008,1.2553
2.68974e-008,1.2555
2.69399e-008,1.2566
2.69823e-008,1.2564
2.70247e-008,1.2553
2.70672e-008,1.2538
2.71096e-008,1.2561
2.71520e-008,1.2579
2.71944e-008,1.2574
2.72368e-008,1.2573
2.72793e-008,1.2563
2.73217e-008,1.2554
2.73641e-008,1.2561
2.74065e-008,1.2567
2.74490e-008,1.2569
2.74914e-008,1.2580
2.75338e-008,1.2580
2.75763e-008,1.2577
2.76187e-008,1.2582
2.76611e-008,1.2578
2.77035e-008,1.2575
2.77459e-008,1.2577
2.77884e-008,1.2574
2.78308e-008,1.2571
2.78732e-008,1.2575
2.79157e-008,1.2583
2.79581e-008,1.2580
2.80005e-008,1.2578
2.80429e-008,1.2577
2.80854e-008,1.2576
2.81278e-008,1.2578
2.81702e-008,1.2581
