.HEADER
..NAMES
Time,V U2.E7
.DATA
1.01820e-008,-0.0542
1.02244e-008,-0.0435
1.02668e-008,-0.0318
1.03093e-008,-0.0186
1.03517e-008,-0.0047
1.03941e-008,0.0062
1.04366e-008,0.0137
1.04790e-008,0.0191
1.05214e-008,0.0224
1.05638e-008,0.0235
1.06063e-008,0.0239
1.06487e-008,0.0250
1.06911e-008,0.0263
1.07335e-008,0.0277
1.07759e-008,0.0291
1.08184e-008,0.0301
1.08608e-008,0.0302
1.09032e-008,0.0293
1.09456e-008,0.0274
1.09881e-008,0.0237
1.10305e-008,0.0191
1.10729e-008,0.0140
1.11154e-008,0.0079
1.11578e-008,0.0018
1.12002e-008,-0.0029
1.12426e-008,-0.0063
1.12851e-008,-0.0085
1.13275e-008,-0.0096
1.13699e-008,-0.0099
1.14123e-008,-0.0100
1.14548e-008,-0.0103
1.14972e-008,-0.0109
1.15396e-008,-0.0117
1.15820e-008,-0.0125
1.16244e-008,-0.0130
1.16669e-008,-0.0131
1.17093e-008,-0.0128
1.17517e-008,-0.0118
1.17941e-008,-0.0100
1.18366e-008,-0.0081
1.18790e-008,-0.0058
1.19214e-008,-0.0031
1.19639e-008,-0.0005
1.20063e-008,0.0015
1.20487e-008,0.0030
1.20911e-008,0.0039
1.21336e-008,0.0043
1.21760e-008,0.0043
1.22184e-008,0.0043
1.22608e-008,0.0044
1.23032e-008,0.0047
1.23457e-008,0.0049
1.23881e-008,0.0086
1.24305e-008,0.0517
1.24729e-008,0.1392
1.25154e-008,0.2962
1.25578e-008,0.4881
1.26002e-008,0.7280
1.26427e-008,0.9722
1.26851e-008,1.1933
1.27275e-008,1.3720
1.27699e-008,1.5002
1.28124e-008,1.5899
1.28548e-008,1.6475
1.28972e-008,1.6899
1.29396e-008,1.7162
1.29821e-008,1.7380
1.30245e-008,1.7550
1.30669e-008,1.7658
1.31093e-008,1.7712
1.31517e-008,1.7747
1.31942e-008,1.7731
1.32366e-008,1.7593
1.32790e-008,1.7105
1.33214e-008,1.5390
1.33639e-008,1.2727
1.34063e-008,0.9976
1.34487e-008,0.6273
1.34912e-008,0.2844
1.35336e-008,0.0084
1.35760e-008,-0.1754
1.36184e-008,-0.2854
1.36609e-008,-0.3300
1.37033e-008,-0.3430
1.37457e-008,-0.3544
1.37881e-008,-0.3464
1.38306e-008,-0.3461
1.38730e-008,-0.3443
1.39154e-008,-0.3391
1.39578e-008,-0.3259
1.40002e-008,-0.3104
1.40427e-008,-0.3070
1.40851e-008,-0.2792
1.41275e-008,-0.2146
1.41699e-008,-0.1551
1.42124e-008,-0.0802
1.42548e-008,0.0367
1.42972e-008,0.1822
1.43397e-008,0.3029
1.43821e-008,0.4782
1.44245e-008,0.6385
1.44669e-008,0.8078
1.45094e-008,0.9838
1.45518e-008,1.1431
1.45942e-008,1.2761
1.46366e-008,1.3864
1.46790e-008,1.4827
1.47215e-008,1.5412
1.47639e-008,1.5830
1.48063e-008,1.6173
1.48487e-008,1.6440
1.48912e-008,1.6518
1.49336e-008,1.6507
1.49760e-008,1.6542
1.50185e-008,1.6488
1.50609e-008,1.6307
1.51033e-008,1.6243
1.51457e-008,1.6114
1.51881e-008,1.5975
1.52306e-008,1.5869
1.52730e-008,1.5681
1.53154e-008,1.5416
1.53579e-008,1.5189
1.54003e-008,1.5011
1.54427e-008,1.4783
1.54851e-008,1.4623
1.55276e-008,1.4547
1.55700e-008,1.4485
1.56124e-008,1.4422
1.56548e-008,1.4377
1.56972e-008,1.4386
1.57397e-008,1.4386
1.57821e-008,1.4389
1.58245e-008,1.4444
1.58670e-008,1.4485
1.59094e-008,1.4531
1.59518e-008,1.4595
1.59942e-008,1.4635
1.60366e-008,1.4665
1.60791e-008,1.4780
1.61215e-008,1.5045
1.61639e-008,1.4456
1.62064e-008,1.3582
1.62488e-008,1.2158
1.62912e-008,0.9836
1.63336e-008,0.7134
1.63761e-008,0.4438
1.64185e-008,0.1981
1.64609e-008,-0.0026
1.65033e-008,-0.1360
1.65457e-008,-0.2244
1.65882e-008,-0.2813
1.66306e-008,-0.3073
1.66730e-008,-0.3282
1.67155e-008,-0.3448
1.67579e-008,-0.3581
1.68003e-008,-0.3609
1.68427e-008,-0.3599
1.68851e-008,-0.3730
1.69276e-008,-0.3691
1.69700e-008,-0.3458
1.70124e-008,-0.3161
1.70548e-008,-0.2375
1.70973e-008,-0.0234
1.71397e-008,0.1957
1.71821e-008,0.4930
1.72246e-008,0.8110
1.72670e-008,1.0886
1.73094e-008,1.3060
1.73518e-008,1.4601
1.73942e-008,1.5495
1.74367e-008,1.5911
1.74791e-008,1.6285
1.75215e-008,1.6521
1.75640e-008,1.6666
1.76064e-008,1.6817
1.76488e-008,1.6930
1.76912e-008,1.7020
1.77336e-008,1.6940
1.77761e-008,1.6887
1.78185e-008,1.6851
1.78609e-008,1.6440
1.79033e-008,1.5961
1.79458e-008,1.5426
1.79882e-008,1.4341
1.80306e-008,1.2361
1.80731e-008,1.0568
1.81155e-008,0.8396
1.81579e-008,0.5829
1.82003e-008,0.3598
1.82427e-008,0.1679
1.82852e-008,0.0061
1.83276e-008,-0.1145
1.83700e-008,-0.1948
1.84125e-008,-0.2559
1.84549e-008,-0.2936
1.84973e-008,-0.3020
1.85397e-008,-0.3105
1.85822e-008,-0.3186
1.86246e-008,-0.3154
1.86670e-008,-0.3001
1.87094e-008,-0.2942
1.87518e-008,-0.2904
1.87943e-008,-0.2545
1.88367e-008,-0.2168
1.88791e-008,-0.1837
1.89216e-008,-0.1330
1.89640e-008,-0.0815
1.90064e-008,-0.0363
1.90488e-008,0.0076
1.90912e-008,0.0468
1.91337e-008,0.0724
1.91761e-008,0.0958
1.92185e-008,0.1183
1.92610e-008,0.1261
1.93034e-008,0.1285
1.93458e-008,0.1322
1.93882e-008,0.1357
1.94307e-008,0.1317
1.94731e-008,0.1269
1.95155e-008,0.1283
1.95579e-008,0.1226
1.96003e-008,0.1094
1.96428e-008,0.0963
1.96852e-008,0.0785
1.97276e-008,0.0563
1.97701e-008,0.0356
1.98125e-008,0.0153
1.98549e-008,-0.0061
1.98973e-008,-0.0209
1.99397e-008,-0.0308
1.99822e-008,-0.0424
2.00246e-008,-0.0507
2.00670e-008,-0.0535
2.01095e-008,-0.0547
2.01519e-008,-0.0570
2.01943e-008,-0.0575
2.02367e-008,-0.0555
2.02792e-008,-0.0552
2.03216e-008,-0.0548
2.03640e-008,-0.0518
2.04064e-008,-0.0477
2.04488e-008,-0.0419
2.04913e-008,-0.0331
2.05337e-008,-0.0238
2.05761e-008,-0.0153
2.06186e-008,-0.0053
2.06610e-008,0.0038
2.07034e-008,0.0092
2.07458e-008,0.0139
2.07882e-008,0.0188
2.08307e-008,0.0218
2.08731e-008,0.0230
2.09155e-008,0.0240
2.09580e-008,0.0248
2.10004e-008,0.0246
2.10428e-008,0.0244
2.10852e-008,0.0243
2.11277e-008,0.0237
2.11701e-008,0.0227
2.12125e-008,0.0213
2.12549e-008,0.0185
2.12973e-008,0.0144
2.13398e-008,0.0107
2.13822e-008,0.0067
2.14246e-008,0.0019
2.14671e-008,-0.0017
2.15095e-008,-0.0041
2.15519e-008,-0.0062
2.15943e-008,-0.0081
2.16367e-008,-0.0091
2.16792e-008,-0.0097
2.17216e-008,-0.0106
2.17640e-008,-0.0045
2.18064e-008,0.0443
2.18489e-008,0.1373
2.18913e-008,0.3027
2.19337e-008,0.5027
2.19762e-008,0.7488
2.20186e-008,0.9960
2.20610e-008,1.2181
2.21034e-008,1.3954
2.21458e-008,1.5205
2.21883e-008,1.6077
2.22307e-008,1.6621
2.22731e-008,1.7017
2.23156e-008,1.7252
2.23580e-008,1.7449
2.24004e-008,1.7598
2.24428e-008,1.7687
2.24852e-008,1.7733
2.25277e-008,1.7758
2.25701e-008,1.7721
2.26125e-008,1.7564
2.26549e-008,1.7218
2.26974e-008,1.6754
2.27398e-008,1.6178
2.27822e-008,1.5559
2.28247e-008,1.4993
2.28671e-008,1.4556
2.29095e-008,1.4297
2.29519e-008,1.4173
2.29943e-008,1.4137
2.30368e-008,1.4113
2.30792e-008,1.4093
2.31216e-008,1.4067
2.31641e-008,1.4017
2.32065e-008,1.3970
2.32489e-008,1.3939
2.32913e-008,1.3931
2.33338e-008,1.3933
2.33762e-008,1.3956
2.34186e-008,1.4036
2.34610e-008,1.4174
2.35034e-008,1.4369
2.35459e-008,1.4604
2.35883e-008,1.4852
2.36307e-008,1.5076
2.36732e-008,1.5235
2.37156e-008,1.5315
2.37580e-008,1.5325
2.38004e-008,1.5307
2.38428e-008,1.5290
2.38853e-008,1.5282
2.39277e-008,1.5292
2.39701e-008,1.5316
2.40126e-008,1.5344
2.40550e-008,1.5360
2.40974e-008,1.5363
2.41398e-008,1.5357
2.41823e-008,1.5339
2.42247e-008,1.5304
2.42671e-008,1.5247
2.43095e-008,1.5168
2.43519e-008,1.5076
2.43944e-008,1.4980
2.44368e-008,1.4897
2.44792e-008,1.4840
2.45217e-008,1.4868
2.45641e-008,1.4991
2.46065e-008,1.4270
2.46489e-008,1.3367
2.46913e-008,1.1800
2.47338e-008,0.9461
2.47762e-008,0.6815
2.48186e-008,0.4212
2.48611e-008,0.1854
2.49035e-008,-0.0034
2.49459e-008,-0.1273
2.49883e-008,-0.2128
2.50308e-008,-0.2645
2.50732e-008,-0.2898
2.51156e-008,-0.3099
2.51580e-008,-0.3246
2.52004e-008,-0.3361
2.52429e-008,-0.3401
2.52853e-008,-0.3441
2.53277e-008,-0.3587
2.53702e-008,-0.3537
2.54126e-008,-0.3331
2.54550e-008,-0.3043
