.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
1.03941e-008,1.1939
1.04366e-008,1.2373
1.04790e-008,1.2532
1.05214e-008,1.2503
1.05638e-008,1.2544
1.06063e-008,1.2598
1.06487e-008,1.2607
1.06911e-008,1.2639
1.07335e-008,1.2681
1.07759e-008,1.2696
1.08184e-008,1.2658
1.08608e-008,1.2644
1.09032e-008,1.2679
1.09456e-008,1.2718
1.09881e-008,1.2486
1.10305e-008,1.1243
1.10729e-008,0.9218
1.11154e-008,0.7272
1.11578e-008,0.5584
1.12002e-008,0.4322
1.12426e-008,0.3382
1.12851e-008,0.2847
1.13275e-008,0.2411
1.13699e-008,0.2071
1.14123e-008,0.1974
1.14548e-008,0.2076
1.14972e-008,0.2103
1.15396e-008,0.2064
1.15820e-008,0.2058
1.16244e-008,0.2052
1.16669e-008,0.2058
1.17093e-008,0.2070
1.17517e-008,0.2097
1.17941e-008,0.2078
1.18366e-008,0.2044
1.18790e-008,0.2016
1.19214e-008,0.2136
1.19639e-008,0.3006
1.20063e-008,0.4641
1.20487e-008,0.6439
1.20911e-008,0.8247
1.21336e-008,0.9657
1.21760e-008,1.0695
1.22184e-008,1.1305
1.22608e-008,1.1829
1.23032e-008,1.2308
1.23457e-008,1.2521
1.23881e-008,1.2509
1.24305e-008,1.2527
1.24729e-008,1.2594
1.25154e-008,1.2603
1.25578e-008,1.2631
1.26002e-008,1.2671
1.26427e-008,1.2698
1.26851e-008,1.2665
1.27275e-008,1.2642
1.27699e-008,1.2668
1.28124e-008,1.2716
1.28548e-008,1.2586
1.28972e-008,1.1581
1.29396e-008,0.9620
1.29821e-008,0.7639
1.30245e-008,0.5879
1.30669e-008,0.4543
1.31093e-008,0.3533
1.31517e-008,0.2931
1.31942e-008,0.2497
1.32366e-008,0.2119
1.32790e-008,0.1972
1.33214e-008,0.2052
1.33639e-008,0.2109
1.34063e-008,0.2067
1.34487e-008,0.2059
1.34912e-008,0.2051
1.35336e-008,0.2057
1.35760e-008,0.2064
1.36184e-008,0.2094
1.36609e-008,0.2084
1.37033e-008,0.2050
1.37457e-008,0.2018
1.37881e-008,0.2077
1.38306e-008,0.2752
1.38730e-008,0.4300
1.39154e-008,0.6075
1.39578e-008,0.7916
1.40002e-008,0.9412
1.40427e-008,1.0524
1.40851e-008,1.1208
1.41275e-008,1.1719
1.41699e-008,1.2233
1.42124e-008,1.2500
1.42548e-008,1.2518
1.42972e-008,1.2513
1.43397e-008,1.2586
1.43821e-008,1.2600
1.44245e-008,1.2623
1.44669e-008,1.2662
1.45094e-008,1.2697
1.45518e-008,1.2672
1.45942e-008,1.2642
1.46366e-008,1.2659
1.46790e-008,1.2709
1.47215e-008,1.2651
1.47639e-008,1.1877
1.48063e-008,1.0026
1.48487e-008,0.8013
1.48912e-008,0.6193
1.49336e-008,0.4775
1.49760e-008,0.3702
1.50185e-008,0.3020
1.50609e-008,0.2584
1.51033e-008,0.2176
1.51457e-008,0.1980
1.51881e-008,0.2026
1.52306e-008,0.2111
1.52730e-008,0.2072
1.53154e-008,0.2060
1.53579e-008,0.2051
1.54003e-008,0.2055
1.54427e-008,0.2060
1.54851e-008,0.2089
1.55276e-008,0.2089
1.55700e-008,0.2056
1.56124e-008,0.2023
1.56548e-008,0.2042
1.56972e-008,0.2537
1.57397e-008,0.3962
1.57821e-008,0.5716
1.58245e-008,0.7569
1.58670e-008,0.9154
1.59094e-008,1.0336
1.59518e-008,1.1104
1.59942e-008,1.1611
1.60366e-008,1.2147
1.60791e-008,1.2470
1.61215e-008,1.2526
1.61639e-008,1.2502
1.62064e-008,1.2574
1.62488e-008,1.2599
1.62912e-008,1.2616
1.63336e-008,1.2653
1.63761e-008,1.2693
1.64185e-008,1.2680
1.64609e-008,1.2644
1.65033e-008,1.2651
1.65457e-008,1.2699
1.65882e-008,1.2689
1.66306e-008,1.2125
1.66730e-008,1.0431
1.67155e-008,0.8392
1.67579e-008,0.6524
1.68003e-008,0.5018
1.68427e-008,0.3887
1.68851e-008,0.3119
1.69276e-008,0.2670
1.69700e-008,0.2243
1.70124e-008,0.1999
1.70548e-008,0.2002
1.70973e-008,0.2106
1.71397e-008,0.2080
1.71821e-008,0.2060
1.72246e-008,0.2052
1.72670e-008,0.2053
1.73094e-008,0.2057
1.73518e-008,0.2082
1.73942e-008,0.2093
1.74367e-008,0.2062
1.74791e-008,0.2029
1.75215e-008,0.2023
1.75640e-008,0.2364
1.76064e-008,0.3633
1.76488e-008,0.5365
1.76912e-008,0.7210
1.77336e-008,0.8880
1.77761e-008,1.0131
1.78185e-008,1.0990
1.78609e-008,1.1508
1.79033e-008,1.2051
1.79458e-008,1.2429
1.79882e-008,1.2531
1.80306e-008,1.2498
1.80731e-008,1.2560
1.81155e-008,1.2598
1.81579e-008,1.2610
1.82003e-008,1.2644
1.82427e-008,1.2687
1.82852e-008,1.2687
1.83276e-008,1.2648
1.83700e-008,1.2646
1.84125e-008,1.2688
1.84549e-008,1.2709
1.84973e-008,1.2323
1.85397e-008,1.0827
1.85822e-008,0.8778
1.86246e-008,0.6871
1.86670e-008,0.5276
1.87094e-008,0.4085
1.87518e-008,0.3233
1.87943e-008,0.2753
1.88367e-008,0.2317
1.88791e-008,0.2026
1.89216e-008,0.1983
1.89640e-008,0.2094
1.90064e-008,0.2090
1.90488e-008,0.2060
1.90912e-008,0.2053
1.91337e-008,0.2051
1.91761e-008,0.2056
1.92185e-008,0.2075
1.92610e-008,0.2095
1.93034e-008,0.2069
1.93458e-008,0.2035
1.93882e-008,0.2015
1.94307e-008,0.2233
1.94731e-008,0.3320
1.95155e-008,0.5018
1.95579e-008,0.6844
1.96003e-008,0.8589
1.96428e-008,0.9912
1.96852e-008,1.0859
1.97276e-008,1.1409
1.97701e-008,1.1947
1.98125e-008,1.2377
1.98549e-008,1.2530
1.98973e-008,1.2500
1.99397e-008,1.2543
1.99822e-008,1.2596
2.00246e-008,1.2605
2.00670e-008,1.2637
2.01095e-008,1.2679
2.01519e-008,1.2693
2.01943e-008,1.2654
2.02367e-008,1.2642
2.02792e-008,1.2677
2.03216e-008,1.2715
2.03640e-008,1.2471
2.04064e-008,1.1202
2.04488e-008,0.9171
2.04913e-008,0.7229
2.05337e-008,0.5550
2.05761e-008,0.4295
2.06186e-008,0.3364
2.06610e-008,0.2836
2.07034e-008,0.2399
2.07458e-008,0.2064
2.07882e-008,0.1972
2.08307e-008,0.2076
2.08731e-008,0.2099
2.09155e-008,0.2061
2.09580e-008,0.2055
2.10004e-008,0.2050
2.10428e-008,0.2056
2.10852e-008,0.2068
2.11277e-008,0.2095
2.11701e-008,0.2075
2.12125e-008,0.2041
2.12549e-008,0.2013
2.12973e-008,0.2140
2.13398e-008,0.3030
2.13822e-008,0.4675
2.14246e-008,0.6476
2.14671e-008,0.8280
2.15095e-008,0.9680
2.15519e-008,1.0710
2.15943e-008,1.1313
2.16367e-008,1.1839
2.16792e-008,1.2314
2.17216e-008,1.2521
2.17640e-008,1.2506
2.18064e-008,1.2526
2.18489e-008,1.2592
2.18913e-008,1.2601
2.19337e-008,1.2629
2.19762e-008,1.2670
2.20186e-008,1.2696
2.20610e-008,1.2661
2.21034e-008,1.2640
