.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
9.9699e-009,1.0604
1.00123e-008,1.0680
1.00547e-008,1.0157
1.00971e-008,0.7696
1.01396e-008,0.3905
1.01820e-008,0.0136
1.02244e-008,-0.3190
1.02668e-008,-0.5733
1.03093e-008,-0.7599
1.03517e-008,-0.8671
1.03941e-008,-0.9522
1.04366e-008,-1.0265
1.04790e-008,-1.0543
1.05214e-008,-1.0473
1.05638e-008,-1.0543
1.06063e-008,-1.0699
1.06487e-008,-1.0691
1.06911e-008,-1.0586
1.07335e-008,-1.0564
1.07759e-008,-1.0601
1.08184e-008,-1.0565
1.08608e-008,-1.0543
1.09032e-008,-1.0631
1.09456e-008,-1.0724
1.09881e-008,-1.0320
1.10305e-008,-0.8076
1.10729e-008,-0.4329
1.11154e-008,-0.0528
1.11578e-008,0.2895
1.12002e-008,0.5499
1.12426e-008,0.7396
1.12851e-008,0.8527
1.13275e-008,0.9410
1.13699e-008,1.0201
1.14123e-008,1.0493
1.14548e-008,1.0404
1.14972e-008,1.0471
1.15396e-008,1.0671
1.15820e-008,1.0697
1.16244e-008,1.0580
1.16669e-008,1.0522
1.17093e-008,1.0552
1.17517e-008,1.0529
1.17941e-008,1.0509
1.18366e-008,1.0583
1.18790e-008,1.0683
1.19214e-008,1.0375
1.19639e-008,0.8348
1.20063e-008,0.4662
1.20487e-008,0.0861
1.20911e-008,-0.2602
1.21336e-008,-0.5285
1.21760e-008,-0.7296
1.22184e-008,-0.8503
1.22608e-008,-0.9347
1.23032e-008,-1.0149
1.23457e-008,-1.0527
1.23881e-008,-1.0486
1.24305e-008,-1.0509
1.24729e-008,-1.0677
1.25154e-008,-1.0703
1.25578e-008,-1.0604
1.26002e-008,-1.0556
1.26427e-008,-1.0597
1.26851e-008,-1.0574
1.27275e-008,-1.0538
1.27699e-008,-1.0605
1.28124e-008,-1.0716
1.28548e-008,-1.0497
1.28972e-008,-0.8691
1.29396e-008,-0.5086
1.29821e-008,-0.1261
1.30245e-008,0.2287
1.30669e-008,0.5048
1.31093e-008,0.7086
1.31517e-008,0.8352
1.31942e-008,0.9231
1.32366e-008,1.0080
1.32790e-008,1.0481
1.33214e-008,1.0426
1.33639e-008,1.0436
1.34063e-008,1.0643
1.34487e-008,1.0709
1.34912e-008,1.0606
1.35336e-008,1.0523
1.35760e-008,1.0550
1.36184e-008,1.0539
1.36609e-008,1.0509
1.37033e-008,1.0562
1.37457e-008,1.0674
1.37881e-008,1.0523
1.38306e-008,0.8928
1.38730e-008,0.5422
1.39154e-008,0.1595
1.39578e-008,-0.1979
1.40002e-008,-0.4814
1.40427e-008,-0.6959
1.40851e-008,-0.8323
1.41275e-008,-0.9175
1.41699e-008,-1.0015
1.42124e-008,-1.0494
1.42548e-008,-1.0505
1.42972e-008,-1.0483
1.43397e-008,-1.0649
1.43821e-008,-1.0711
1.44245e-008,-1.0624
1.44669e-008,-1.0553
1.45094e-008,-1.0590
1.45518e-008,-1.0583
1.45942e-008,-1.0538
1.46366e-008,-1.0582
1.46790e-008,-1.0701
1.47215e-008,-1.0610
1.47639e-008,-0.9227
1.48063e-008,-0.5844
1.48487e-008,-0.1999
1.48912e-008,0.1645
1.49336e-008,0.4571
1.49760e-008,0.6744
1.50185e-008,0.8162
1.50609e-008,0.9055
1.51033e-008,0.9939
1.51457e-008,1.0448
1.51881e-008,1.0452
1.52306e-008,1.0410
1.52730e-008,1.0606
1.53154e-008,1.0715
1.53579e-008,1.0633
1.54003e-008,1.0529
1.54427e-008,1.0545
1.54851e-008,1.0547
1.55276e-008,1.0512
1.55700e-008,1.0545
1.56124e-008,1.0657
1.56548e-008,1.0614
1.56972e-008,0.9423
1.57397e-008,0.6179
1.57821e-008,0.2334
1.58245e-008,-0.1325
1.58670e-008,-0.4320
1.59094e-008,-0.6591
1.59518e-008,-0.8121
1.59942e-008,-0.9007
1.60366e-008,-0.9866
1.60791e-008,-1.0440
1.61215e-008,-1.0523
1.61639e-008,-1.0466
1.62064e-008,-1.0615
1.62488e-008,-1.0713
1.62912e-008,-1.0645
1.63336e-008,-1.0556
1.63761e-008,-1.0580
1.64185e-008,-1.0590
1.64609e-008,-1.0542
1.65033e-008,-1.0562
1.65457e-008,-1.0679
1.65882e-008,-1.0676
1.66306e-008,-0.9675
1.66730e-008,-0.6593
1.67155e-008,-0.2743
1.67579e-008,0.0973
1.68003e-008,0.4067
1.68427e-008,0.6373
1.68851e-008,0.7949
1.69276e-008,0.8884
1.69700e-008,0.9781
1.70124e-008,1.0394
1.70548e-008,1.0476
1.70973e-008,1.0397
1.71397e-008,1.0565
1.71821e-008,1.0712
1.72246e-008,1.0660
1.72670e-008,1.0541
1.73094e-008,1.0538
1.73518e-008,1.0554
1.73942e-008,1.0517
1.74367e-008,1.0530
1.74791e-008,1.0636
1.75215e-008,1.0664
1.75640e-008,0.9826
1.76064e-008,0.6921
1.76488e-008,0.3078
1.76912e-008,-0.0643
1.77336e-008,-0.3799
1.77761e-008,-0.6196
1.78185e-008,-0.7890
1.78609e-008,-0.8844
1.79033e-008,-0.9704
1.79458e-008,-1.0366
1.79882e-008,-1.0536
1.80306e-008,-1.0460
1.80731e-008,-1.0578
1.81155e-008,-1.0708
1.81579e-008,-1.0665
1.82003e-008,-1.0564
1.82427e-008,-1.0569
1.82852e-008,-1.0595
1.83276e-008,-1.0549
1.83700e-008,-1.0548
1.84125e-008,-1.0654
1.84549e-008,-1.0709
1.84973e-008,-1.0029
1.85397e-008,-0.7318
1.85822e-008,-0.3490
1.86246e-008,0.0274
1.86670e-008,0.3532
1.87094e-008,0.5974
1.87518e-008,0.7707
1.87943e-008,0.8717
1.88367e-008,0.9612
1.88791e-008,1.0317
1.89216e-008,1.0494
1.89640e-008,1.0396
1.90064e-008,1.0522
1.90488e-008,1.0700
1.90912e-008,1.0683
1.91337e-008,1.0559
1.91761e-008,1.0532
1.92185e-008,1.0557
1.92610e-008,1.0525
1.93034e-008,1.0520
1.93458e-008,1.0613
1.93882e-008,1.0685
1.94307e-008,1.0138
1.94731e-008,0.7630
1.95155e-008,0.3827
1.95579e-008,0.0062
1.96003e-008,-0.3248
1.96428e-008,-0.5775
1.96852e-008,-0.7626
1.97276e-008,-0.8683
1.97701e-008,-0.9535
1.98125e-008,-1.0272
1.98549e-008,-1.0539
1.98973e-008,-1.0465
1.99397e-008,-1.0541
1.99822e-008,-1.0696
2.00246e-008,-1.0683
2.00670e-008,-1.0579
2.01095e-008,-1.0559
2.01519e-008,-1.0596
2.01943e-008,-1.0558
2.02367e-008,-1.0538
2.02792e-008,-1.0628
2.03216e-008,-1.0718
2.03640e-008,-1.0294
2.04064e-008,-0.8003
2.04488e-008,-0.4243
2.04913e-008,-0.0444
2.05337e-008,0.2963
2.05761e-008,0.5550
2.06186e-008,0.7432
2.06610e-008,0.8550
2.07034e-008,0.9434
2.07458e-008,1.0218
2.07882e-008,1.0499
2.08307e-008,1.0407
2.08731e-008,1.0480
2.09155e-008,1.0680
2.09580e-008,1.0701
2.10004e-008,1.0582
2.10428e-008,1.0527
2.10852e-008,1.0558
2.11277e-008,1.0533
2.11701e-008,1.0515
2.12125e-008,1.0590
2.12549e-008,1.0689
2.12973e-008,1.0363
2.13398e-008,0.8288
2.13822e-008,0.4583
2.14246e-008,0.0784
2.14671e-008,-0.2664
2.15095e-008,-0.5331
2.15519e-008,-0.7327
2.15943e-008,-0.8518
2.16367e-008,-0.9362
2.16792e-008,-1.0158
2.17216e-008,-1.0526
2.17640e-008,-1.0479
2.18064e-008,-1.0507
2.18489e-008,-1.0675
2.18913e-008,-1.0698
2.19337e-008,-1.0597
2.19762e-008,-1.0552
2.20186e-008,-1.0593
2.20610e-008,-1.0568
2.21034e-008,-1.0534
2.21458e-008,-1.0603
2.21883e-008,-1.0713
2.22307e-008,-1.0479
2.22731e-008,-0.8627
2.23156e-008,-0.5000
2.23580e-008,-0.1176
2.24004e-008,0.2360
2.24428e-008,0.5102
2.24852e-008,0.7125
2.25277e-008,0.8376
2.25701e-008,0.9255
2.26125e-008,1.0098
2.26549e-008,1.0488
2.26974e-008,1.0427
2.27398e-008,1.0443
2.27822e-008,1.0651
2.28247e-008,1.0713
2.28671e-008,1.0607
2.29095e-008,1.0527
2.29519e-008,1.0555
2.29943e-008,1.0542
2.30368e-008,1.0513
2.30792e-008,1.0569
2.31216e-008,1.0680
2.31641e-008,1.0516
2.32065e-008,0.8876
2.32489e-008,0.5343
2.32913e-008,0.1516
2.33338e-008,-0.2047
2.33762e-008,-0.4864
2.34186e-008,-0.6995
2.34610e-008,-0.8341
2.35034e-008,-0.9189
2.35459e-008,-1.0027
2.35883e-008,-1.0496
2.36307e-008,-1.0499
2.36732e-008,-1.0480
2.37156e-008,-1.0648
2.37580e-008,-1.0707
2.38004e-008,-1.0618
2.38428e-008,-1.0549
2.38853e-008,-1.0587
2.39277e-008,-1.0578
2.39701e-008,-1.0534
2.40126e-008,-1.0580
2.40550e-008,-1.0699
2.40974e-008,-1.0599
2.41398e-008,-0.9174
2.41823e-008,-0.5760
2.42247e-008,-0.1915
2.42671e-008,0.1721
2.43095e-008,0.4627
2.43519e-008,0.6786
2.43944e-008,0.8188
2.44368e-008,0.9078
2.44792e-008,0.9958
2.45217e-008,1.0457
2.45641e-008,1.0453
2.46065e-008,1.0415
2.46489e-008,1.0614
2.46913e-008,1.0719
2.47338e-008,1.0634
2.47762e-008,1.0531
2.48186e-008,1.0549
2.48611e-008,1.0550
2.49035e-008,1.0515
2.49459e-008,1.0550
2.49883e-008,1.0663
2.50308e-008,1.0611
2.50732e-008,0.9381
2.51156e-008,0.6102
2.51580e-008,0.2255
2.52004e-008,-0.1396
2.52429e-008,-0.4372
2.52853e-008,-0.6630
2.53277e-008,-0.8142
2.53702e-008,-0.9022
2.54126e-008,-0.9880
2.54550e-008,-1.0445
2.54974e-008,-1.0519
2.55398e-008,-1.0463
2.55823e-008,-1.0615
2.56247e-008,-1.0710
2.56671e-008,-1.0640
2.57096e-008,-1.0552
2.57520e-008,-1.0578
2.57944e-008,-1.0586
2.58368e-008,-1.0538
2.58793e-008,-1.0561
2.59217e-008,-1.0678
2.59641e-008,-1.0669
2.60065e-008,-0.9632
2.60489e-008,-0.6512
2.60914e-008,-0.2659
2.61338e-008,0.1050
2.61762e-008,0.4126
2.62187e-008,0.6417
2.62611e-008,0.7976
2.63035e-008,0.8905
2.63459e-008,0.9802
2.63883e-008,1.0404
2.64308e-008,1.0477
2.64732e-008,1.0400
