.HEADER
..NAMES
Time,V U2.A7
.DATA
1.03941e-008,1.2639
1.04366e-008,1.2798
1.04790e-008,1.2869
1.05214e-008,1.2831
1.05638e-008,1.2768
1.06063e-008,1.2682
1.06487e-008,1.2614
1.06911e-008,1.2565
1.07335e-008,1.2545
1.07759e-008,1.2519
1.08184e-008,1.2520
1.08608e-008,1.2528
1.09032e-008,1.2557
1.09456e-008,1.2587
1.09881e-008,1.2578
1.10305e-008,1.2579
1.10729e-008,1.2565
1.11154e-008,1.2576
1.11578e-008,1.2577
1.12002e-008,1.2581
1.12426e-008,1.2606
1.12851e-008,1.2606
1.13275e-008,1.2582
1.13699e-008,1.2567
1.14123e-008,1.2568
1.14548e-008,1.2383
1.14972e-008,1.1044
1.15396e-008,0.9160
1.15820e-008,0.7694
1.16244e-008,0.6028
1.16669e-008,0.4679
1.17093e-008,0.3705
1.17517e-008,0.3100
1.17941e-008,0.2627
1.18366e-008,0.2377
1.18790e-008,0.2261
1.19214e-008,0.2218
1.19639e-008,0.2206
1.20063e-008,0.2117
1.20487e-008,0.2120
1.20911e-008,0.2093
1.21336e-008,0.2124
1.21760e-008,0.2111
1.22184e-008,0.2122
1.22608e-008,0.2177
1.23032e-008,0.2042
1.23457e-008,0.1893
1.23881e-008,0.1956
1.24305e-008,0.2026
1.24729e-008,0.2066
1.25154e-008,0.2138
1.25578e-008,0.2214
1.26002e-008,0.2246
1.26427e-008,0.2269
1.26851e-008,0.2273
1.27275e-008,0.2275
1.27699e-008,0.2265
1.28124e-008,0.2230
1.28548e-008,0.2229
1.28972e-008,0.2230
1.29396e-008,0.2245
1.29821e-008,0.2235
1.30245e-008,0.2226
1.30669e-008,0.2243
1.31093e-008,0.2222
1.31517e-008,0.2195
1.31942e-008,0.2222
1.32366e-008,0.2250
1.32790e-008,0.2239
1.33214e-008,0.2232
1.33639e-008,0.2231
1.34063e-008,0.2225
1.34487e-008,0.2222
1.34912e-008,0.2216
1.35336e-008,0.2216
1.35760e-008,0.2216
1.36184e-008,0.2211
1.36609e-008,0.2214
1.37033e-008,0.2219
1.37457e-008,0.2224
1.37881e-008,0.2219
1.38306e-008,0.2213
1.38730e-008,0.2218
1.39154e-008,0.2217
1.39578e-008,0.2210
1.40002e-008,0.2216
1.40427e-008,0.2223
1.40851e-008,0.2216
1.41275e-008,0.2212
1.41699e-008,0.2213
1.42124e-008,0.2214
1.42548e-008,0.2233
1.42972e-008,0.2842
1.43397e-008,0.4342
1.43821e-008,0.5839
1.44245e-008,0.7656
1.44669e-008,0.9066
1.45094e-008,1.0223
1.45518e-008,1.1056
1.45942e-008,1.1674
1.46366e-008,1.2091
1.46790e-008,1.2303
1.47215e-008,1.2442
1.47639e-008,1.2469
1.48063e-008,1.2574
1.48487e-008,1.2603
1.48912e-008,1.2657
1.49336e-008,1.2650
1.49760e-008,1.2639
1.50185e-008,1.2653
1.50609e-008,1.2606
1.51033e-008,1.2662
1.51457e-008,1.2788
1.51881e-008,1.2735
1.52306e-008,1.1752
1.52730e-008,0.9548
1.53154e-008,0.7870
1.53579e-008,0.6209
1.54003e-008,0.4809
1.54427e-008,0.3743
1.54851e-008,0.3061
1.55276e-008,0.2602
1.55700e-008,0.2314
1.56124e-008,0.2249
1.56548e-008,0.2189
1.56972e-008,0.2208
1.57397e-008,0.2103
1.57821e-008,0.2074
1.58245e-008,0.2071
1.58670e-008,0.2087
1.59094e-008,0.2120
1.59518e-008,0.2110
1.59942e-008,0.2168
1.60366e-008,0.2080
1.60791e-008,0.1865
1.61215e-008,0.1873
1.61639e-008,0.1992
1.62064e-008,0.2065
1.62488e-008,0.2121
1.62912e-008,0.2193
1.63336e-008,0.2234
1.63761e-008,0.2260
1.64185e-008,0.2276
1.64609e-008,0.2268
1.65033e-008,0.2262
1.65457e-008,0.2220
1.65882e-008,0.2209
1.66306e-008,0.2220
1.66730e-008,0.2233
1.67155e-008,0.2238
1.67579e-008,0.2216
1.68003e-008,0.2229
1.68427e-008,0.2220
1.68851e-008,0.2186
1.69276e-008,0.2199
1.69700e-008,0.2242
1.70124e-008,0.2244
1.70548e-008,0.2229
1.70973e-008,0.2557
1.71397e-008,0.3879
1.71821e-008,0.5360
1.72246e-008,0.7120
1.72670e-008,0.8687
1.73094e-008,0.9899
1.73518e-008,1.0833
1.73942e-008,1.1497
1.74367e-008,1.2002
1.74791e-008,1.2256
1.75215e-008,1.2420
1.75640e-008,1.2454
1.76064e-008,1.2542
1.76488e-008,1.2599
1.76912e-008,1.2633
1.77336e-008,1.2660
1.77761e-008,1.2642
1.78185e-008,1.2660
1.78609e-008,1.2612
1.79033e-008,1.2627
1.79458e-008,1.2755
1.79882e-008,1.2789
1.80306e-008,1.2218
1.80731e-008,1.0202
1.81155e-008,0.8318
1.81579e-008,0.6706
1.82003e-008,0.5174
1.82427e-008,0.4025
1.82852e-008,0.3224
1.83276e-008,0.2727
1.83700e-008,0.2363
1.84125e-008,0.2261
1.84549e-008,0.2200
1.84973e-008,0.2205
1.85397e-008,0.2140
1.85822e-008,0.2069
1.86246e-008,0.2078
1.86670e-008,0.2070
1.87094e-008,0.2118
1.87518e-008,0.2105
1.87943e-008,0.2152
1.88367e-008,0.2132
1.88791e-008,0.1916
1.89216e-008,0.1845
1.89640e-008,0.2209
1.90064e-008,0.3713
1.90488e-008,0.5432
1.90912e-008,0.7194
1.91337e-008,0.8844
1.91761e-008,1.0023
1.92185e-008,1.0985
1.92610e-008,1.1609
1.93034e-008,1.2089
1.93458e-008,1.2286
1.93882e-008,1.2411
1.94307e-008,1.2469
1.94731e-008,1.2547
1.95155e-008,1.2641
1.95579e-008,1.2643
1.96003e-008,1.2681
1.96428e-008,1.2642
1.96852e-008,1.2635
1.97276e-008,1.2603
1.97701e-008,1.2635
1.98125e-008,1.2795
1.98549e-008,1.2862
1.98973e-008,1.2825
1.99397e-008,1.2760
1.99822e-008,1.2674
2.00246e-008,1.2606
2.00670e-008,1.2559
2.01095e-008,1.2540
2.01519e-008,1.2514
2.01943e-008,1.2514
2.02367e-008,1.2522
2.02792e-008,1.2553
2.03216e-008,1.2581
2.03640e-008,1.2573
2.04064e-008,1.2574
2.04488e-008,1.2560
2.04913e-008,1.2571
2.05337e-008,1.2571
2.05761e-008,1.2577
2.06186e-008,1.2602
2.06610e-008,1.2600
2.07034e-008,1.2577
2.07458e-008,1.2562
2.07882e-008,1.2566
2.08307e-008,1.2572
2.08731e-008,1.2582
2.09155e-008,1.2587
2.09580e-008,1.2588
2.10004e-008,1.2591
2.10428e-008,1.2591
2.10852e-008,1.2596
2.11277e-008,1.2596
2.11701e-008,1.2588
2.12125e-008,1.2584
2.12549e-008,1.2583
2.12973e-008,1.2589
2.13398e-008,1.2591
2.13822e-008,1.2590
2.14246e-008,1.2593
2.14671e-008,1.2592
2.15095e-008,1.2587
