.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
9.9699e-009,1.0615
1.00123e-008,1.0478
1.00547e-008,0.9571
1.00971e-008,0.6653
1.01396e-008,0.3441
1.01820e-008,-0.0007
1.02244e-008,-0.3479
1.02668e-008,-0.6143
1.03093e-008,-0.7953
1.03517e-008,-0.9101
1.03941e-008,-0.9724
1.04366e-008,-1.0000
1.04790e-008,-1.0048
1.05214e-008,-1.0105
1.05638e-008,-1.0229
1.06063e-008,-1.0440
1.06487e-008,-1.0696
1.06911e-008,-1.0916
1.07335e-008,-1.0922
1.07759e-008,-1.0790
1.08184e-008,-1.0659
1.08608e-008,-1.0631
1.09032e-008,-1.0654
1.09456e-008,-1.0541
1.09881e-008,-0.9779
1.10305e-008,-0.7001
1.10729e-008,-0.3770
1.11154e-008,-0.0388
1.11578e-008,0.3133
1.12002e-008,0.5899
1.12426e-008,0.7777
1.12851e-008,0.8987
1.13275e-008,0.9636
1.13699e-008,0.9960
1.14123e-008,1.0012
1.14548e-008,1.0059
1.14972e-008,1.0179
1.15396e-008,1.0376
1.15820e-008,1.0640
1.16244e-008,1.0868
1.16669e-008,1.0886
1.17093e-008,1.0759
1.17517e-008,1.0638
1.17941e-008,1.0597
1.18366e-008,1.0622
1.18790e-008,1.0525
1.19214e-008,0.9903
1.19639e-008,0.7319
1.20063e-008,0.4050
1.20487e-008,0.0713
1.20911e-008,-0.2844
1.21336e-008,-0.5704
1.21760e-008,-0.7642
1.22184e-008,-0.8932
1.22608e-008,-0.9623
1.23032e-008,-0.9973
1.23457e-008,-1.0041
1.23881e-008,-1.0086
1.24305e-008,-1.0199
1.24729e-008,-1.0389
1.25154e-008,-1.0646
1.25578e-008,-1.0881
1.26002e-008,-1.0939
1.26427e-008,-1.0815
1.26851e-008,-1.0679
1.27275e-008,-1.0624
1.27699e-008,-1.0655
1.28124e-008,-1.0578
1.28548e-008,-1.0063
1.28972e-008,-0.7660
1.29396e-008,-0.4372
1.29821e-008,-0.1101
1.30245e-008,0.2486
1.30669e-008,0.5441
1.31093e-008,0.7457
1.31517e-008,0.8811
1.31942e-008,0.9532
1.32366e-008,0.9929
1.32790e-008,1.0010
1.33214e-008,1.0044
1.33639e-008,1.0154
1.34063e-008,1.0330
1.34487e-008,1.0591
1.34912e-008,1.0835
1.35336e-008,1.0904
1.35760e-008,1.0786
1.36184e-008,1.0661
1.36609e-008,1.0595
1.37033e-008,1.0624
1.37457e-008,1.0560
1.37881e-008,1.0142
1.38306e-008,0.7965
1.38730e-008,0.4659
1.39154e-008,0.1421
1.39578e-008,-0.2184
1.40002e-008,-0.5225
1.40427e-008,-0.7311
1.40851e-008,-0.8738
1.41275e-008,-0.9511
1.41699e-008,-0.9935
1.42124e-008,-1.0033
1.42548e-008,-1.0071
1.42972e-008,-1.0171
1.43397e-008,-1.0341
1.43821e-008,-1.0595
1.44245e-008,-1.0840
1.44669e-008,-1.0948
1.45094e-008,-1.0841
1.45518e-008,-1.0703
1.45942e-008,-1.0622
1.46366e-008,-1.0651
1.46790e-008,-1.0606
1.47215e-008,-1.0260
1.47639e-008,-0.8288
1.48063e-008,-0.4981
1.48487e-008,-0.1793
1.48912e-008,0.1815
1.49336e-008,0.4943
1.49760e-008,0.7116
1.50185e-008,0.8607
1.50609e-008,0.9418
1.51033e-008,0.9884
1.51457e-008,1.0006
1.51881e-008,1.0033
1.52306e-008,1.0129
1.52730e-008,1.0288
1.53154e-008,1.0540
1.53579e-008,1.0794
1.54003e-008,1.0914
1.54427e-008,1.0812
1.54851e-008,1.0686
1.55276e-008,1.0599
1.55700e-008,1.0621
1.56124e-008,1.0587
1.56548e-008,1.0304
1.56972e-008,0.8567
1.57397e-008,0.5282
1.57821e-008,0.2104
1.58245e-008,-0.1500
1.58670e-008,-0.4704
1.59094e-008,-0.6959
1.59518e-008,-0.8515
1.59942e-008,-0.9390
1.60366e-008,-0.9882
1.60791e-008,-1.0025
1.61215e-008,-1.0059
1.61639e-008,-1.0146
1.62064e-008,-1.0298
1.62488e-008,-1.0543
1.62912e-008,-1.0794
1.63336e-008,-1.0948
1.63761e-008,-1.0867
1.64185e-008,-1.0728
1.64609e-008,-1.0626
1.65033e-008,-1.0644
1.65457e-008,-1.0626
1.65882e-008,-1.0391
1.66306e-008,-0.8859
1.66730e-008,-0.5610
1.67155e-008,-0.2457
1.67579e-008,0.1122
1.68003e-008,0.4402
1.68427e-008,0.6754
1.68851e-008,0.8373
1.69276e-008,0.9295
1.69700e-008,0.9823
1.70124e-008,0.9999
1.70548e-008,1.0026
1.70973e-008,1.0106
1.71397e-008,1.0250
1.71821e-008,1.0489
1.72246e-008,1.0748
1.72670e-008,1.0913
1.73094e-008,1.0839
1.73518e-008,1.0711
1.73942e-008,1.0608
1.74367e-008,1.0615
1.74791e-008,1.0607
1.75215e-008,1.0410
1.75640e-008,0.9098
1.76064e-008,0.5925
1.76488e-008,0.2755
1.76912e-008,-0.0797
1.77336e-008,-0.4142
1.77761e-008,-0.6585
1.78185e-008,-0.8262
1.78609e-008,-0.9259
1.79033e-008,-0.9813
1.79458e-008,-1.0013
1.79882e-008,-1.0050
1.80306e-008,-1.0123
1.80731e-008,-1.0260
1.81155e-008,-1.0491
1.81579e-008,-1.0745
1.82003e-008,-1.0936
1.82427e-008,-1.0892
1.82852e-008,-1.0755
1.83276e-008,-1.0636
1.83700e-008,-1.0635
1.84125e-008,-1.0640
1.84549e-008,-1.0476
1.84973e-008,-0.9348
1.85397e-008,-0.6261
1.85822e-008,-0.3090
1.86246e-008,0.0412
1.86670e-008,0.3821
1.87094e-008,0.6367
1.87518e-008,0.8108
1.87943e-008,0.9160
1.88367e-008,0.9745
1.88791e-008,0.9987
1.89216e-008,1.0021
1.89640e-008,1.0085
1.90064e-008,1.0217
1.90488e-008,1.0437
1.90912e-008,1.0700
1.91337e-008,1.0901
1.91761e-008,1.0865
1.92185e-008,1.0737
1.92610e-008,1.0622
1.93034e-008,1.0608
1.93458e-008,1.0620
1.93882e-008,1.0479
1.94307e-008,0.9539
1.94731e-008,0.6586
1.95155e-008,0.3379
1.95579e-008,-0.0080
1.96003e-008,-0.3542
1.96428e-008,-0.6185
1.96852e-008,-0.7981
1.97276e-008,-0.9113
1.97701e-008,-0.9729
1.98125e-008,-0.9997
1.98549e-008,-1.0043
1.98973e-008,-1.0101
1.99397e-008,-1.0227
1.99822e-008,-1.0440
2.00246e-008,-1.0696
2.00670e-008,-1.0914
2.01095e-008,-1.0915
2.01519e-008,-1.0781
2.01943e-008,-1.0651
2.02367e-008,-1.0626
2.02792e-008,-1.0649
2.03216e-008,-1.0532
2.03640e-008,-0.9741
2.04064e-008,-0.6925
2.04488e-008,-0.3700
2.04913e-008,-0.0306
2.05337e-008,0.3206
2.05761e-008,0.5951
2.06186e-008,0.7815
2.06610e-008,0.9009
2.07034e-008,0.9652
2.07458e-008,0.9968
2.07882e-008,1.0017
2.08307e-008,1.0066
2.08731e-008,1.0187
2.09155e-008,1.0387
2.09580e-008,1.0651
2.10004e-008,1.0877
2.10428e-008,1.0889
2.10852e-008,1.0762
2.11277e-008,1.0640
2.11701e-008,1.0602
2.12125e-008,1.0627
2.12549e-008,1.0527
2.12973e-008,0.9880
2.13398e-008,0.7252
2.13822e-008,0.3987
2.14246e-008,0.0639
2.14671e-008,-0.2912
2.15095e-008,-0.5751
2.15519e-008,-0.7674
2.15943e-008,-0.8948
2.16367e-008,-0.9630
2.16792e-008,-0.9972
2.17216e-008,-1.0037
2.17640e-008,-1.0083
2.18064e-008,-1.0197
2.18489e-008,-1.0390
2.18913e-008,-1.0646
2.19337e-008,-1.0881
2.19762e-008,-1.0933
2.20186e-008,-1.0808
2.20610e-008,-1.0672
2.21034e-008,-1.0620
2.21458e-008,-1.0651
2.21883e-008,-1.0571
2.22307e-008,-1.0035
2.22731e-008,-0.7587
2.23156e-008,-0.4302
2.23580e-008,-0.1020
2.24004e-008,0.2561
2.24428e-008,0.5498
2.24852e-008,0.7498
2.25277e-008,0.8836
2.25701e-008,0.9548
2.26125e-008,0.9938
2.26549e-008,1.0014
2.26974e-008,1.0050
2.27398e-008,1.0160
2.27822e-008,1.0339
2.28247e-008,1.0600
2.28671e-008,1.0843
2.29095e-008,1.0907
2.29519e-008,1.0787
2.29943e-008,1.0662
2.30368e-008,1.0599
2.30792e-008,1.0629
2.31216e-008,1.0561
2.31641e-008,1.0128
2.32065e-008,0.7903
2.32489e-008,0.4595
2.32913e-008,0.1348
2.33338e-008,-0.2254
2.33762e-008,-0.5277
2.34186e-008,-0.7345
2.34610e-008,-0.8758
2.35034e-008,-0.9521
2.35459e-008,-0.9937
2.35883e-008,-1.0031
2.36307e-008,-1.0068
2.36732e-008,-1.0170
2.37156e-008,-1.0342
2.37580e-008,-1.0596
2.38004e-008,-1.0841
2.38428e-008,-1.0944
2.38853e-008,-1.0834
2.39277e-008,-1.0696
2.39701e-008,-1.0618
2.40126e-008,-1.0648
2.40550e-008,-1.0600
2.40974e-008,-1.0242
2.41398e-008,-0.8221
2.41823e-008,-0.4912
2.42247e-008,-0.1716
2.42671e-008,0.1891
2.43095e-008,0.5003
2.43519e-008,0.7158
2.43944e-008,0.8634
2.44368e-008,0.9434
2.44792e-008,0.9893
2.45217e-008,1.0010
2.45641e-008,1.0038
2.46065e-008,1.0135
2.46489e-008,1.0296
2.46913e-008,1.0549
2.47338e-008,1.0802
2.47762e-008,1.0917
2.48186e-008,1.0813
2.48611e-008,1.0686
2.49035e-008,1.0601
2.49459e-008,1.0625
2.49883e-008,1.0588
2.50308e-008,1.0296
2.50732e-008,0.8511
2.51156e-008,0.5217
2.51580e-008,0.2033
2.52004e-008,-0.1573
2.52429e-008,-0.4761
2.52853e-008,-0.6996
2.53277e-008,-0.8539
2.53702e-008,-0.9401
2.54126e-008,-0.9886
2.54550e-008,-1.0023
2.54974e-008,-1.0057
2.55398e-008,-1.0145
2.55823e-008,-1.0299
2.56247e-008,-1.0546
2.56671e-008,-1.0796
2.57096e-008,-1.0945
2.57520e-008,-1.0861
2.57944e-008,-1.0722
2.58368e-008,-1.0622
2.58793e-008,-1.0642
2.59217e-008,-1.0621
2.59641e-008,-1.0379
2.60065e-008,-0.8801
2.60489e-008,-0.5539
2.60914e-008,-0.2384
2.61338e-008,0.1199
2.61762e-008,0.4466
2.62187e-008,0.6797
2.62611e-008,0.8403
2.63035e-008,0.9312
2.63459e-008,0.9833
2.63883e-008,1.0003
2.64308e-008,1.0029
2.64732e-008,1.0111
2.65156e-008,1.0257
2.65580e-008,1.0497
2.66005e-008,1.0756
2.66429e-008,1.0917
2.66853e-008,1.0839
2.67278e-008,1.0711
2.67702e-008,1.0609
2.68126e-008,1.0619
2.68550e-008,1.0608
2.68974e-008,1.0403
2.69399e-008,0.9049
2.69823e-008,0.5856
2.70247e-008,0.2686
2.70672e-008,-0.0873
2.71096e-008,-0.4204
2.71520e-008,-0.6626
2.71944e-008,-0.8290
2.72368e-008,-0.9272
2.72793e-008,-0.9819
2.73217e-008,-1.0012
2.73641e-008,-1.0048
2.74065e-008,-1.0122
2.74490e-008,-1.0261
2.74914e-008,-1.0494
2.75338e-008,-1.0748
2.75763e-008,-1.0936
2.76187e-008,-1.0886
2.76611e-008,-1.0749
2.77035e-008,-1.0631
2.77459e-008,-1.0633
2.77884e-008,-1.0636
2.78308e-008,-1.0464
2.78732e-008,-0.9298
2.79157e-008,-0.6186
2.79581e-008,-0.3019
2.80005e-008,0.0492
2.80429e-008,0.3889
2.80854e-008,0.6413
2.81278e-008,0.8141
2.81702e-008,0.9178
2.82126e-008,0.9757
2.82550e-008,0.9991
2.82975e-008,1.0024
2.83399e-008,1.0089
2.83823e-008,1.0223
2.84248e-008,1.0445
2.84672e-008,1.0708
2.85096e-008,1.0905
2.85520e-008,1.0865
2.85944e-008,1.0736
2.86369e-008,1.0622
2.86793e-008,1.0611
2.87217e-008,1.0622
2.87642e-008,1.0475
2.88066e-008,0.9500
2.88490e-008,0.6515
2.88914e-008,0.3313
2.89339e-008,-0.0158
2.89763e-008,-0.3608
2.90187e-008,-0.6229
2.90611e-008,-0.8012
2.91035e-008,-0.9128
2.91460e-008,-0.9737
2.91884e-008,-0.9997
2.92308e-008,-1.0042
2.92733e-008,-1.0101
2.93157e-008,-1.0228
2.93581e-008,-1.0443
2.94005e-008,-1.0699
2.94429e-008,-1.0915
2.94854e-008,-1.0910
2.95278e-008,-1.0776
2.95702e-008,-1.0647
2.96127e-008,-1.0624
2.96551e-008,-1.0646
2.96975e-008,-1.0523
2.97399e-008,-0.9703
2.97824e-008,-0.6851
2.98248e-008,-0.3633
2.98672e-008,-0.0227
2.99096e-008,0.3276
2.99521e-008,0.6000
2.99945e-008,0.7851
3.00369e-008,0.9029
3.00793e-008,0.9665
3.01218e-008,0.9972
3.01642e-008,1.0020
3.02066e-008,1.0070
3.02490e-008,1.0192
3.02914e-008,1.0394
3.03339e-008,1.0658
3.03763e-008,1.0882
3.04187e-008,1.0889
3.04612e-008,1.0761
3.05036e-008,1.0640
3.05460e-008,1.0605
3.05884e-008,1.0629
3.06309e-008,1.0524
3.06733e-008,0.9852
3.07157e-008,0.7183
3.07581e-008,0.3924
3.08005e-008,0.0563
3.08430e-008,-0.2980
3.08854e-008,-0.5799
3.09278e-008,-0.7708
3.09702e-008,-0.8966
3.10127e-008,-0.9640
3.10551e-008,-0.9974
3.10975e-008,-1.0036
3.11400e-008,-1.0083
3.11824e-008,-1.0198
