.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
3.97522e-008,1.0886
3.97946e-008,1.0887
3.98371e-008,1.0760
3.98795e-008,1.0640
3.99219e-008,1.0607
3.99644e-008,1.0629
4.00068e-008,1.0519
4.00492e-008,0.9806
4.00916e-008,0.7100
4.01341e-008,0.3850
4.01765e-008,0.0475
4.02189e-008,-0.3056
4.02613e-008,-0.5850
4.03037e-008,-0.7743
4.03462e-008,-0.8984
4.03886e-008,-0.9651
4.04310e-008,-0.9975
4.04734e-008,-1.0035
4.05159e-008,-1.0084
4.05583e-008,-1.0201
4.06007e-008,-1.0398
4.06432e-008,-1.0655
4.06856e-008,-1.0885
4.07280e-008,-1.0925
4.07704e-008,-1.0798
4.08128e-008,-1.0664
4.08553e-008,-1.0618
4.08977e-008,-1.0647
4.09401e-008,-1.0558
4.09825e-008,-0.9965
4.10250e-008,-0.7430
4.10674e-008,-0.4160
4.11098e-008,-0.0854
4.11523e-008,0.2713
4.11947e-008,0.5606
4.12371e-008,0.7574
4.12795e-008,0.8879
4.13220e-008,0.9575
4.13644e-008,0.9948
4.14068e-008,1.0018
4.14492e-008,1.0056
4.14916e-008,1.0170
4.15341e-008,1.0353
4.15765e-008,1.0615
4.16189e-008,1.0854
4.16614e-008,1.0906
4.17038e-008,1.0784
4.17462e-008,1.0661
4.17886e-008,1.0603
4.18311e-008,1.0632
4.18735e-008,1.0556
4.19159e-008,1.0074
4.19583e-008,0.7754
4.20007e-008,0.4456
4.20432e-008,0.1187
4.20856e-008,-0.2405
4.21280e-008,-0.5386
4.21704e-008,-0.7419
4.22129e-008,-0.8801
4.22553e-008,-0.9544
4.22977e-008,-0.9943
4.23402e-008,-1.0029
4.23826e-008,-1.0069
4.24250e-008,-1.0173
4.24674e-008,-1.0350
4.25098e-008,-1.0605
4.25523e-008,-1.0847
4.25947e-008,-1.0938
4.26371e-008,-1.0825
4.26795e-008,-1.0687
4.27220e-008,-1.0616
4.27644e-008,-1.0646
4.28068e-008,-1.0590
4.28493e-008,-1.0192
4.28917e-008,-0.8071
4.29341e-008,-0.4767
4.29765e-008,-0.1555
4.30190e-008,0.2050
4.30614e-008,0.5121
4.31038e-008,0.7239
4.31462e-008,0.8685
4.31886e-008,0.9463
4.32311e-008,0.9907
4.32735e-008,1.0013
4.33159e-008,1.0043
4.33584e-008,1.0144
4.34008e-008,1.0309
4.34432e-008,1.0564
4.34856e-008,1.0815
4.35281e-008,1.0918
4.35705e-008,1.0810
