.HEADER
..NAMES
Time,V U3.M3
.DATA
1.12516e-008,0.2553
1.12975e-008,0.2587
1.13435e-008,0.2594
1.13894e-008,0.2561
1.14353e-008,0.2498
1.14812e-008,0.2430
1.15272e-008,0.2389
1.15731e-008,0.2390
1.16190e-008,0.2424
1.16649e-008,0.2474
1.17109e-008,0.2521
1.17568e-008,0.2552
1.18027e-008,0.2564
1.18487e-008,0.2564
1.18946e-008,0.2560
1.19405e-008,0.2570
1.19864e-008,0.2590
1.20324e-008,0.2608
1.20783e-008,0.2616
1.21242e-008,0.2634
1.21701e-008,0.2887
1.22161e-008,0.3530
1.22620e-008,0.4363
1.23079e-008,0.5643
1.23538e-008,0.7334
1.23997e-008,0.9018
1.24457e-008,1.0491
1.24916e-008,1.1676
1.25375e-008,1.2372
1.25834e-008,1.2573
1.26294e-008,1.2440
1.26753e-008,1.2150
1.27212e-008,1.1885
1.27672e-008,1.1756
1.28131e-008,1.1780
1.28590e-008,1.1923
1.29049e-008,1.2128
1.29509e-008,1.2294
1.29968e-008,1.2349
1.30427e-008,1.2315
1.30886e-008,1.2213
1.31346e-008,1.2103
1.31805e-008,1.2055
1.32264e-008,1.2071
1.32723e-008,1.2153
1.33182e-008,1.2266
1.33642e-008,1.2356
1.34101e-008,1.2385
1.34560e-008,1.2347
1.35019e-008,1.2267
1.35479e-008,1.2182
1.35938e-008,1.2124
1.36397e-008,1.2110
1.36856e-008,1.2129
1.37316e-008,1.2159
1.37775e-008,1.2179
1.38234e-008,1.2168
1.38694e-008,1.2134
1.39153e-008,1.2104
1.39612e-008,1.2090
1.40071e-008,1.2106
1.40531e-008,1.2150
1.40990e-008,1.2209
1.41449e-008,1.2263
1.41908e-008,1.2291
1.42367e-008,1.2284
1.42827e-008,1.2246
1.43286e-008,1.2193
1.43745e-008,1.2146
1.44204e-008,1.2121
1.44664e-008,1.2129
1.45123e-008,1.2163
1.45582e-008,1.2209
1.46041e-008,1.2247
1.46501e-008,1.2261
1.46960e-008,1.2249
1.47419e-008,1.2217
1.47879e-008,1.2181
1.48338e-008,1.2157
1.48797e-008,1.2156
1.49256e-008,1.2177
1.49715e-008,1.2208
1.50175e-008,1.2235
1.50634e-008,1.2247
1.51093e-008,1.2241
1.51552e-008,1.2223
1.52012e-008,1.2202
1.52471e-008,1.2185
1.52930e-008,1.2181
1.53389e-008,1.2189
1.53849e-008,1.2204
1.54308e-008,1.2220
1.54767e-008,1.2230
1.55226e-008,1.2230
1.55686e-008,1.2222
1.56145e-008,1.2209
1.56604e-008,1.2198
1.57063e-008,1.2195
1.57523e-008,1.2199
1.57982e-008,1.2210
1.58441e-008,1.2219
1.58901e-008,1.2131
1.59360e-008,1.1695
1.59819e-008,1.0996
1.60278e-008,1.0095
1.60738e-008,0.8761
1.61197e-008,0.7175
1.61656e-008,0.5651
1.62115e-008,0.4334
1.62575e-008,0.3270
1.63034e-008,0.2599
1.63493e-008,0.2323
1.63952e-008,0.2351
1.64412e-008,0.2517
1.64871e-008,0.2691
1.65330e-008,0.2797
1.65789e-008,0.2817
1.66249e-008,0.2744
1.66708e-008,0.2613
1.67167e-008,0.2506
1.67626e-008,0.2465
1.68085e-008,0.2476
1.68545e-008,0.2532
1.69004e-008,0.2579
1.69463e-008,0.2600
1.69922e-008,0.2586
1.70382e-008,0.2535
1.70841e-008,0.2466
1.71300e-008,0.2408
1.71759e-008,0.2389
1.72219e-008,0.2410
1.72678e-008,0.2454
1.73137e-008,0.2505
1.73596e-008,0.2544
1.74056e-008,0.2564
1.74515e-008,0.2569
1.74974e-008,0.2566
1.75433e-008,0.2567
1.75893e-008,0.2585
1.76352e-008,0.2605
1.76811e-008,0.2618
1.77271e-008,0.2622
1.77730e-008,0.2717
1.78189e-008,0.3191
1.78648e-008,0.3933
1.79108e-008,0.4957
1.79567e-008,0.6497
1.80026e-008,0.8228
1.80485e-008,0.9812
1.80945e-008,1.1154
1.81404e-008,1.2109
1.81863e-008,1.2531
1.82322e-008,1.2540
1.82782e-008,1.2301
1.83241e-008,1.2005
1.83700e-008,1.1802
1.84159e-008,1.1756
1.84619e-008,1.1846
1.85078e-008,1.2031
1.85537e-008,1.2229
1.85996e-008,1.2340
1.86455e-008,1.2344
1.86915e-008,1.2273
1.87374e-008,1.2154
1.87833e-008,1.2074
1.88292e-008,1.2059
1.88752e-008,1.2110
1.89211e-008,1.2215
1.89670e-008,1.2322
1.90129e-008,1.2384
1.90589e-008,1.2376
1.91048e-008,1.2312
1.91507e-008,1.2225
1.91966e-008,1.2150
1.92426e-008,1.2115
1.92885e-008,1.2121
1.93344e-008,1.2148
1.93803e-008,1.2176
1.94263e-008,1.2181
1.94722e-008,1.2155
1.95181e-008,1.2121
1.95640e-008,1.2097
1.96100e-008,1.2085
1.96559e-008,1.1939
1.97018e-008,1.1451
1.97478e-008,1.0778
1.97937e-008,0.9791
1.98396e-008,0.8345
1.98855e-008,0.6711
1.99315e-008,0.5181
1.99774e-008,0.3862
2.00233e-008,0.2867
2.00692e-008,0.2329
2.01152e-008,0.2208
2.01611e-008,0.2364
2.02070e-008,0.2606
2.02529e-008,0.2803
2.02989e-008,0.2882
2.03448e-008,0.2838
2.03907e-008,0.2689
2.04366e-008,0.2512
2.04826e-008,0.2407
2.05285e-008,0.2393
2.05744e-008,0.2455
2.06203e-008,0.2554
2.06662e-008,0.2623
2.07122e-008,0.2643
2.07581e-008,0.2601
2.08040e-008,0.2514
2.08499e-008,0.2417
2.08959e-008,0.2352
2.09418e-008,0.2348
2.09877e-008,0.2393
2.10336e-008,0.2464
2.10796e-008,0.2532
2.11255e-008,0.2574
2.11714e-008,0.2582
2.12173e-008,0.2568
2.12633e-008,0.2547
2.13092e-008,0.2542
2.13551e-008,0.2562
2.14010e-008,0.2591
2.14470e-008,0.2617
2.14929e-008,0.2641
2.15388e-008,0.2847
2.15847e-008,0.3444
2.16307e-008,0.4235
2.16766e-008,0.5429
2.17225e-008,0.7080
2.17685e-008,0.8784
2.18144e-008,1.0298
2.18603e-008,1.1545
2.19062e-008,1.2326
2.19522e-008,1.2588
2.19981e-008,1.2486
2.20440e-008,1.2196
2.20899e-008,1.1908
2.21359e-008,1.1750
2.21818e-008,1.1754
2.22277e-008,1.1888
2.22736e-008,1.2099
2.23196e-008,1.2285
2.23655e-008,1.2360
2.24114e-008,1.2336
2.24573e-008,1.2236
2.25033e-008,1.2114
2.25492e-008,1.2050
2.25951e-008,1.2055
2.26410e-008,1.2131
2.26869e-008,1.2249
2.27329e-008,1.2351
2.27788e-008,1.2394
2.28247e-008,1.2364
2.28706e-008,1.2285
2.29166e-008,1.2193
2.29625e-008,1.2125
2.30084e-008,1.2103
2.30543e-008,1.2120
2.31003e-008,1.2154
2.31462e-008,1.2181
2.31921e-008,1.2177
2.32380e-008,1.2146
2.32840e-008,1.2112
2.33299e-008,1.2091
2.33758e-008,1.2060
2.34217e-008,1.1800
2.34677e-008,1.1227
2.35136e-008,1.0487
2.35595e-008,0.9333
2.36055e-008,0.7786
2.36514e-008,0.6164
2.36973e-008,0.4701
2.37432e-008,0.3470
2.37892e-008,0.2625
2.38351e-008,0.2239
2.38810e-008,0.2235
2.39269e-008,0.2442
2.39729e-008,0.2683
2.40188e-008,0.2845
2.40647e-008,0.2882
2.41106e-008,0.2797
2.41566e-008,0.2625
2.42025e-008,0.2462
2.42484e-008,0.2389
2.42943e-008,0.2402
2.43403e-008,0.2486
2.43862e-008,0.2581
2.44321e-008,0.2636
2.44780e-008,0.2636
2.45239e-008,0.2575
2.45699e-008,0.2479
2.46158e-008,0.2387
2.46617e-008,0.2341
2.47076e-008,0.2356
2.47536e-008,0.2414
2.47995e-008,0.2488
2.48454e-008,0.2550
2.48913e-008,0.2580
2.49373e-008,0.2579
2.49832e-008,0.2560
2.50291e-008,0.2541
2.50750e-008,0.2545
2.51210e-008,0.2569
2.51669e-008,0.2599
2.52128e-008,0.2621
2.52587e-008,0.2672
2.53047e-008,0.3013
2.53506e-008,0.3695
2.53965e-008,0.4579
