.HEADER
..NAMES
Time,V U2.H3
.DATA
1.03941e-008,1.2578
1.04366e-008,1.2584
1.04790e-008,1.2444
1.05214e-008,1.1491
1.05638e-008,0.9723
1.06063e-008,0.8039
1.06487e-008,0.6469
1.06911e-008,0.4970
1.07335e-008,0.3856
1.07759e-008,0.3154
1.08184e-008,0.2716
1.08608e-008,0.2452
1.09032e-008,0.2254
1.09456e-008,0.2156
1.09881e-008,0.2155
1.10305e-008,0.2157
1.10729e-008,0.2148
1.11154e-008,0.2164
1.11578e-008,0.2158
1.12002e-008,0.2099
1.12426e-008,0.2032
1.12851e-008,0.1943
1.13275e-008,0.1856
1.13699e-008,0.1882
1.14123e-008,0.1986
1.14548e-008,0.2071
1.14972e-008,0.2143
1.15396e-008,0.2213
1.15820e-008,0.2256
1.16244e-008,0.2270
1.16669e-008,0.2257
1.17093e-008,0.2243
1.17517e-008,0.2248
1.17941e-008,0.2247
1.18366e-008,0.2229
1.18790e-008,0.2219
1.19214e-008,0.2215
1.19639e-008,0.2206
1.20063e-008,0.2203
1.20487e-008,0.2210
1.20911e-008,0.2219
1.21336e-008,0.2233
1.21760e-008,0.2243
1.22184e-008,0.2237
1.22608e-008,0.2225
1.23032e-008,0.2217
1.23457e-008,0.2211
1.23881e-008,0.2208
1.24305e-008,0.2206
1.24729e-008,0.2206
1.25154e-008,0.2210
1.25578e-008,0.2212
1.26002e-008,0.2209
1.26427e-008,0.2208
1.26851e-008,0.2210
1.27275e-008,0.2211
1.27699e-008,0.2211
1.28124e-008,0.2212
1.28548e-008,0.2212
1.28972e-008,0.2211
1.29396e-008,0.2209
1.29821e-008,0.2207
1.30245e-008,0.2206
1.30669e-008,0.2207
1.31093e-008,0.2208
1.31517e-008,0.2209
1.31942e-008,0.2209
1.32366e-008,0.2208
1.32790e-008,0.2208
1.33214e-008,0.2208
1.33639e-008,0.2207
1.34063e-008,0.2207
1.34487e-008,0.2207
1.34912e-008,0.2207
1.35336e-008,0.2207
1.35760e-008,0.2206
1.36184e-008,0.2206
1.36609e-008,0.2206
1.37033e-008,0.2206
1.37457e-008,0.2206
1.37881e-008,0.2206
1.38306e-008,0.2206
1.38730e-008,0.2206
1.39154e-008,0.2206
1.39578e-008,0.2205
1.40002e-008,0.2205
1.40427e-008,0.2205
1.40851e-008,0.2205
1.41275e-008,0.2205
1.41699e-008,0.2205
1.42124e-008,0.2220
1.42548e-008,0.2562
1.42972e-008,0.3705
1.43397e-008,0.5261
1.43821e-008,0.6964
1.44245e-008,0.8580
1.44669e-008,0.9870
1.45094e-008,1.0833
1.45518e-008,1.1518
1.45942e-008,1.1957
1.46366e-008,1.2239
1.46790e-008,1.2424
1.47215e-008,1.2518
1.47639e-008,1.2568
1.48063e-008,1.2591
1.48487e-008,1.2589
1.48912e-008,1.2594
1.49336e-008,1.2633
1.49760e-008,1.2688
1.50185e-008,1.2758
1.50609e-008,1.2847
1.51033e-008,1.2887
1.51457e-008,1.2841
1.51881e-008,1.2757
1.52306e-008,1.2666
1.52730e-008,1.2591
1.53154e-008,1.2547
1.53579e-008,1.2524
1.54003e-008,1.2521
1.54427e-008,1.2533
1.54851e-008,1.2542
1.55276e-008,1.2548
1.55700e-008,1.2558
1.56124e-008,1.2567
1.56548e-008,1.2576
1.56972e-008,1.2587
1.57397e-008,1.2593
1.57821e-008,1.2590
1.58245e-008,1.2584
1.58670e-008,1.2574
1.59094e-008,1.2562
1.59518e-008,1.2560
1.59942e-008,1.2567
1.60366e-008,1.2578
1.60791e-008,1.2564
1.61215e-008,1.2187
1.61639e-008,1.0796
1.62064e-008,0.8994
1.62488e-008,0.7387
1.62912e-008,0.5822
1.63336e-008,0.4450
1.63761e-008,0.3521
1.64185e-008,0.2945
1.64609e-008,0.2589
1.65033e-008,0.2361
1.65457e-008,0.2194
1.65882e-008,0.2145
1.66306e-008,0.2157
1.66730e-008,0.2148
1.67155e-008,0.2149
1.67579e-008,0.2165
1.68003e-008,0.2134
1.68427e-008,0.2068
1.68851e-008,0.1996
1.69276e-008,0.1898
1.69700e-008,0.1847
1.70124e-008,0.1925
1.70548e-008,0.2259
1.70973e-008,0.3421
1.71397e-008,0.5124
1.71821e-008,0.6860
1.72246e-008,0.8498
1.72670e-008,0.9829
