.HEADER
..NAMES
Time,V U3.K1
.DATA
1.12516e-008,1.2182
1.12975e-008,1.2138
1.13435e-008,1.2090
1.13894e-008,1.2085
1.14353e-008,1.2126
1.14812e-008,1.2199
1.15272e-008,1.2298
1.15731e-008,1.2385
1.16190e-008,1.2420
1.16649e-008,1.2393
1.17109e-008,1.2318
1.17568e-008,1.2229
1.18027e-008,1.2145
1.18487e-008,1.2094
1.18946e-008,1.2103
1.19405e-008,1.2140
1.19864e-008,1.2184
1.20324e-008,1.2219
1.20783e-008,1.2217
1.21242e-008,1.2179
1.21701e-008,1.2079
1.22161e-008,1.1715
1.22620e-008,1.1076
1.23079e-008,1.0312
1.23538e-008,0.9184
1.23997e-008,0.7682
1.24457e-008,0.6135
1.24916e-008,0.4768
1.25375e-008,0.3629
1.25834e-008,0.2819
1.26294e-008,0.2444
1.26753e-008,0.2474
1.27212e-008,0.2724
1.27672e-008,0.3015
1.28131e-008,0.3225
1.28590e-008,0.3315
1.29049e-008,0.3281
1.29509e-008,0.3136
1.29968e-008,0.2933
1.30427e-008,0.2765
1.30886e-008,0.2662
1.31346e-008,0.2618
1.31805e-008,0.2624
1.32264e-008,0.2652
1.32723e-008,0.2665
1.33182e-008,0.2652
1.33642e-008,0.2607
1.34101e-008,0.2525
1.34560e-008,0.2433
1.35019e-008,0.2372
1.35479e-008,0.2365
1.35938e-008,0.2401
1.36397e-008,0.2467
1.36856e-008,0.2552
1.37316e-008,0.2622
1.37775e-008,0.2646
1.38234e-008,0.2636
1.38694e-008,0.2603
1.39153e-008,0.2567
1.39612e-008,0.2555
1.40071e-008,0.2575
1.40531e-008,0.2679
1.40990e-008,0.3122
1.41449e-008,0.3873
1.41908e-008,0.4798
1.42367e-008,0.6157
1.42827e-008,0.7808
1.43286e-008,0.9355
1.43745e-008,1.0686
1.44204e-008,1.1710
1.44664e-008,1.2277
1.45123e-008,1.2385
1.45582e-008,1.2173
1.46041e-008,1.1845
1.46501e-008,1.1566
1.46960e-008,1.1427
1.47419e-008,1.1442
1.47879e-008,1.1582
1.48338e-008,1.1795
1.48797e-008,1.2002
1.49256e-008,1.2129
1.49715e-008,1.2185
1.50175e-008,1.2188
1.50634e-008,1.2153
1.51093e-008,1.2119
1.51552e-008,1.2122
1.52012e-008,1.2156
1.52471e-008,1.2220
1.52930e-008,1.2307
1.53389e-008,1.2378
1.53849e-008,1.2405
1.54308e-008,1.2379
1.54767e-008,1.2314
1.55226e-008,1.2232
1.55686e-008,1.2148
1.56145e-008,1.2103
1.56604e-008,1.2110
1.57063e-008,1.2142
1.57523e-008,1.2185
1.57982e-008,1.2217
1.58441e-008,1.2211
1.58901e-008,1.2176
1.59360e-008,1.2138
1.59819e-008,1.2119
1.60278e-008,1.2131
1.60738e-008,1.2170
1.61197e-008,1.2224
1.61656e-008,1.2272
1.62115e-008,1.2294
1.62575e-008,1.2283
1.63034e-008,1.2246
1.63493e-008,1.2203
1.63952e-008,1.2169
1.64412e-008,1.2150
1.64871e-008,1.2151
1.65330e-008,1.2171
1.65789e-008,1.2197
1.66249e-008,1.2221
1.66708e-008,1.2238
1.67167e-008,1.2245
1.67626e-008,1.2240
1.68085e-008,1.2226
1.68545e-008,1.2208
1.69004e-008,1.2191
1.69463e-008,1.2182
1.69922e-008,1.2187
1.70382e-008,1.2206
1.70841e-008,1.2228
1.71300e-008,1.2245
1.71759e-008,1.2251
1.72219e-008,1.2242
1.72678e-008,1.2223
1.73137e-008,1.2203
1.73596e-008,1.2191
1.74056e-008,1.2192
1.74515e-008,1.2205
1.74974e-008,1.2222
1.75433e-008,1.2236
1.75893e-008,1.2242
1.76352e-008,1.2237
1.76811e-008,1.2226
1.77271e-008,1.2215
1.77730e-008,1.2209
1.78189e-008,1.2210
1.78648e-008,1.2216
1.79108e-008,1.2224
1.79567e-008,1.2230
