.HEADER
..NAMES
Time,V U3.N2
.DATA
1.12516e-008,0.2514
1.12975e-008,0.2516
1.13435e-008,0.2518
1.13894e-008,0.2518
1.14353e-008,0.2516
1.14812e-008,0.2513
1.15272e-008,0.2511
1.15731e-008,0.2509
1.16190e-008,0.2510
1.16649e-008,0.2511
1.17109e-008,0.2513
1.17568e-008,0.2514
1.18027e-008,0.2514
1.18487e-008,0.2513
1.18946e-008,0.2511
1.19405e-008,0.2509
1.19864e-008,0.2508
1.20324e-008,0.2508
1.20783e-008,0.2509
1.21242e-008,0.2510
1.21701e-008,0.2511
1.22161e-008,0.2511
1.22620e-008,0.2510
1.23079e-008,0.2509
1.23538e-008,0.2508
1.23997e-008,0.2507
1.24457e-008,0.2507
1.24916e-008,0.2507
1.25375e-008,0.2508
1.25834e-008,0.2509
1.26294e-008,0.2509
1.26753e-008,0.2508
1.27212e-008,0.2508
1.27672e-008,0.2507
1.28131e-008,0.2506
1.28590e-008,0.2506
1.29049e-008,0.2506
1.29509e-008,0.2506
1.29968e-008,0.2507
1.30427e-008,0.2507
1.30886e-008,0.2507
1.31346e-008,0.2506
1.31805e-008,0.2505
1.32264e-008,0.2505
1.32723e-008,0.2504
1.33182e-008,0.2504
1.33642e-008,0.2505
1.34101e-008,0.2505
1.34560e-008,0.2505
1.35019e-008,0.2505
1.35479e-008,0.2505
1.35938e-008,0.2504
1.36397e-008,0.2504
1.36856e-008,0.2503
1.37316e-008,0.2503
1.37775e-008,0.2503
1.38234e-008,0.2504
1.38694e-008,0.2504
1.39153e-008,0.2504
1.39612e-008,0.2503
1.40071e-008,0.2503
1.40531e-008,0.2502
1.40990e-008,0.2502
1.41449e-008,0.2502
1.41908e-008,0.2502
1.42367e-008,0.2502
1.42827e-008,0.2502
1.43286e-008,0.2502
1.43745e-008,0.2502
1.44204e-008,0.2502
1.44664e-008,0.2501
1.45123e-008,0.2501
1.45582e-008,0.2501
1.46041e-008,0.2501
1.46501e-008,0.2501
1.46960e-008,0.2501
1.47419e-008,0.2501
1.47879e-008,0.2501
1.48338e-008,0.2501
1.48797e-008,0.2500
1.49256e-008,0.2500
1.49715e-008,0.2500
1.50175e-008,0.2500
1.50634e-008,0.2500
1.51093e-008,0.2500
1.51552e-008,0.2500
1.52012e-008,0.2500
1.52471e-008,0.2500
1.52930e-008,0.2499
1.53389e-008,0.2499
1.53849e-008,0.2499
1.54308e-008,0.2499
1.54767e-008,0.2499
1.55226e-008,0.2499
1.55686e-008,0.2499
1.56145e-008,0.2499
1.56604e-008,0.2499
1.57063e-008,0.2498
1.57523e-008,0.2498
1.57982e-008,0.2498
1.58441e-008,0.2498
1.58901e-008,0.2498
1.59360e-008,0.2498
1.59819e-008,0.2498
1.60278e-008,0.2498
1.60738e-008,0.2498
1.61197e-008,0.2498
1.61656e-008,0.2497
1.62115e-008,0.2497
1.62575e-008,0.2497
1.63034e-008,0.2497
1.63493e-008,0.2497
1.63952e-008,0.2497
1.64412e-008,0.2497
1.64871e-008,0.2497
1.65330e-008,0.2497
1.65789e-008,0.2497
1.66249e-008,0.2497
1.66708e-008,0.2496
1.67167e-008,0.2496
1.67626e-008,0.2496
1.68085e-008,0.2496
1.68545e-008,0.2496
1.69004e-008,0.2496
1.69463e-008,0.2496
1.69922e-008,0.2496
1.70382e-008,0.2496
1.70841e-008,0.2496
1.71300e-008,0.2496
1.71759e-008,0.2496
1.72219e-008,0.2496
1.72678e-008,0.2495
1.73137e-008,0.2495
1.73596e-008,0.2495
1.74056e-008,0.2495
1.74515e-008,0.2495
1.74974e-008,0.2495
1.75433e-008,0.2495
1.75893e-008,0.2495
1.76352e-008,0.2495
1.76811e-008,0.2495
1.77271e-008,0.2504
1.77730e-008,0.2685
1.78189e-008,0.3312
1.78648e-008,0.4133
1.79108e-008,0.5266
1.79567e-008,0.6819
1.80026e-008,0.8415
1.80485e-008,0.9798
1.80945e-008,1.0985
1.81404e-008,1.1804
1.81863e-008,1.2169
1.82322e-008,1.2191
1.82782e-008,1.2023
1.83241e-008,1.1794
1.83700e-008,1.1672
1.84159e-008,1.1692
1.84619e-008,1.1823
1.85078e-008,1.2039
1.85537e-008,1.2217
1.85996e-008,1.2319
1.86455e-008,1.2338
1.86915e-008,1.2289
1.87374e-008,1.2234
1.87833e-008,1.2219
1.88292e-008,1.2237
1.88752e-008,1.2305
1.89211e-008,1.2400
1.89670e-008,1.2478
1.90129e-008,1.2508
1.90589e-008,1.2489
1.91048e-008,1.2425
1.91507e-008,1.2336
1.91966e-008,1.2263
1.92426e-008,1.2215
1.92885e-008,1.2187
1.93344e-008,1.2183
1.93803e-008,1.2186
1.94263e-008,1.2174
1.94722e-008,1.2145
1.95181e-008,1.2118
1.95640e-008,1.2106
1.96100e-008,1.2113
1.96559e-008,1.2152
1.97018e-008,1.2209
1.97478e-008,1.2264
1.97937e-008,1.2298
1.98396e-008,1.2295
1.98855e-008,1.2263
1.99315e-008,1.2217
1.99774e-008,1.2174
2.00233e-008,1.2151
2.00692e-008,1.2153
2.01152e-008,1.2178
2.01611e-008,1.2213
2.02070e-008,1.2243
2.02529e-008,1.2258
2.02989e-008,1.2253
2.03448e-008,1.2234
2.03907e-008,1.2206
2.04366e-008,1.2185
2.04826e-008,1.2182
2.05285e-008,1.2196
2.05744e-008,1.2222
2.06203e-008,1.2249
2.06662e-008,1.2264
2.07122e-008,1.2264
2.07581e-008,1.2251
2.08040e-008,1.2231
2.08499e-008,1.2214
2.08959e-008,1.2208
2.09418e-008,1.2213
2.09877e-008,1.2225
2.10336e-008,1.2239
2.10796e-008,1.2248
2.11255e-008,1.2249
2.11714e-008,1.2243
2.12173e-008,1.2233
2.12633e-008,1.2224
2.13092e-008,1.2222
2.13551e-008,1.2225
2.14010e-008,1.2234
2.14470e-008,1.2243
2.14929e-008,1.2203
2.15388e-008,1.1866
2.15847e-008,1.1198
2.16307e-008,1.0401
2.16766e-008,0.9234
2.17225e-008,0.7764
2.17685e-008,0.6289
2.18144e-008,0.4984
2.18603e-008,0.3865
2.19062e-008,0.3075
2.19522e-008,0.2677
2.19981e-008,0.2590
2.20440e-008,0.2683
2.20899e-008,0.2825
2.21359e-008,0.2907
2.21818e-008,0.2918
2.22277e-008,0.2838
2.22736e-008,0.2692
2.23196e-008,0.2555
2.23655e-008,0.2451
2.24114e-008,0.2415
2.24573e-008,0.2429
2.25033e-008,0.2453
2.25492e-008,0.2463
2.25951e-008,0.2446
2.26410e-008,0.2387
2.26869e-008,0.2308
2.27329e-008,0.2243
2.27788e-008,0.2218
2.28247e-008,0.2228
2.28706e-008,0.2273
2.29166e-008,0.2337
2.29625e-008,0.2397
2.30084e-008,0.2453
2.30543e-008,0.2495
2.31003e-008,0.2515
2.31462e-008,0.2528
2.31921e-008,0.2549
2.32380e-008,0.2576
2.32840e-008,0.2597
2.33299e-008,0.2608
2.33758e-008,0.2656
2.34217e-008,0.3032
2.34677e-008,0.3758
2.35136e-008,0.4658
2.35595e-008,0.6028
2.36055e-008,0.7660
2.36514e-008,0.9178
2.36973e-008,1.0499
2.37432e-008,1.1551
2.37892e-008,1.2141
2.38351e-008,1.2302
2.38810e-008,1.2186
2.39269e-008,1.1934
2.39729e-008,1.1718
2.40188e-008,1.1664
2.40647e-008,1.1749
2.41106e-008,1.1954
2.41566e-008,1.2189
2.42025e-008,1.2341
2.42484e-008,1.2401
2.42943e-008,1.2366
2.43403e-008,1.2285
2.43862e-008,1.2230
2.44321e-008,1.2221
2.44780e-008,1.2262
2.45239e-008,1.2359
2.45699e-008,1.2463
2.46158e-008,1.2531
2.46617e-008,1.2540
2.47076e-008,1.2494
2.47536e-008,1.2403
2.47995e-008,1.2307
2.48454e-008,1.2242
2.48913e-008,1.2204
2.49373e-008,1.2194
2.49832e-008,1.2205
2.50291e-008,1.2207
2.50750e-008,1.2187
2.51210e-008,1.2153
2.51669e-008,1.2126
2.52128e-008,1.2116
2.52587e-008,1.2134
2.53047e-008,1.2186
2.53506e-008,1.2249
2.53965e-008,1.2302
2.54424e-008,1.2323
2.54884e-008,1.2305
2.55343e-008,1.2261
2.55802e-008,1.2209
2.56262e-008,1.2168
2.56721e-008,1.2154
2.57180e-008,1.2169
2.57639e-008,1.2204
2.58099e-008,1.2243
2.58558e-008,1.2271
2.59017e-008,1.2277
2.59476e-008,1.2263
2.59936e-008,1.2234
2.60395e-008,1.2204
2.60854e-008,1.2187
2.61313e-008,1.2192
2.61773e-008,1.2214
2.62232e-008,1.2246
2.62691e-008,1.2272
2.63150e-008,1.2282
2.63610e-008,1.2274
2.64069e-008,1.2253
2.64528e-008,1.2231
2.64987e-008,1.2216
2.65446e-008,1.2215
2.65906e-008,1.2225
2.66365e-008,1.2241
2.66824e-008,1.2255
2.67283e-008,1.2261
2.67743e-008,1.2258
2.68202e-008,1.2248
2.68661e-008,1.2237
2.69120e-008,1.2229
2.69580e-008,1.2228
2.70039e-008,1.2235
2.70498e-008,1.2246
2.70957e-008,1.2248
2.71417e-008,1.2093
2.71876e-008,1.1548
2.72335e-008,1.0821
2.72794e-008,0.9856
2.73254e-008,0.8496
2.73713e-008,0.6985
2.74172e-008,0.5595
2.74631e-008,0.4378
2.75091e-008,0.3413
2.75550e-008,0.2830
2.76009e-008,0.2610
2.76469e-008,0.2632
2.76928e-008,0.2768
2.77387e-008,0.2884
2.77846e-008,0.2928
2.78306e-008,0.2894
2.78765e-008,0.2770
2.79224e-008,0.2625
2.79683e-008,0.2501
2.80143e-008,0.2431
2.80602e-008,0.2426
2.81061e-008,0.2450
2.81520e-008,0.2466
2.81980e-008,0.2465
2.82439e-008,0.2425
2.82898e-008,0.2351
2.83357e-008,0.2276
2.83817e-008,0.2231
2.84276e-008,0.2225
2.84735e-008,0.2254
2.85194e-008,0.2312
2.85653e-008,0.2374
2.86113e-008,0.2432
2.86572e-008,0.2482
2.87031e-008,0.2513
2.87490e-008,0.2527
2.87950e-008,0.2543
2.88409e-008,0.2568
2.88868e-008,0.2594
2.89327e-008,0.2609
2.89787e-008,0.2622
2.90246e-008,0.2794
2.90705e-008,0.3395
2.91164e-008,0.4183
2.91624e-008,0.5311
2.92083e-008,0.6870
2.92542e-008,0.8477
2.93001e-008,0.9886
2.93461e-008,1.1096
2.93920e-008,1.1920
2.94379e-008,1.2273
2.94839e-008,1.2270
2.95298e-008,1.2068
2.95757e-008,1.1810
2.96216e-008,1.1674
2.96676e-008,1.1698
2.97135e-008,1.1847
2.97594e-008,1.2087
2.98053e-008,1.2283
2.98513e-008,1.2389
2.98972e-008,1.2397
2.99431e-008,1.2329
2.99890e-008,1.2254
3.00350e-008,1.2224
3.00809e-008,1.2238
3.01268e-008,1.2312
3.01727e-008,1.2419
3.02187e-008,1.2509
3.02646e-008,1.2546
3.03105e-008,1.2526
3.03564e-008,1.2454
3.04024e-008,1.2354
3.04483e-008,1.2273
3.04942e-008,1.2222
3.05401e-008,1.2199
3.05861e-008,1.2203
3.06320e-008,1.2212
3.06779e-008,1.2203
3.07238e-008,1.2173
3.07698e-008,1.2141
3.08157e-008,1.2122
3.08616e-008,1.2124
3.09075e-008,1.2161
3.09535e-008,1.2222
3.09994e-008,1.2282
3.10453e-008,1.2321
3.10912e-008,1.2321
3.11372e-008,1.2288
3.11831e-008,1.2237
3.12290e-008,1.2188
3.12749e-008,1.2160
3.13209e-008,1.2162
3.13668e-008,1.2188
3.14127e-008,1.2228
