.HEADER
..NAMES
Time,V U3.N8
.DATA
1.12516e-008,1.2210
1.12975e-008,1.2096
1.13435e-008,1.2036
1.13894e-008,1.2024
1.14353e-008,1.2069
1.14812e-008,1.2180
1.15272e-008,1.2292
1.15731e-008,1.2374
1.16190e-008,1.2407
1.16649e-008,1.2378
1.17109e-008,1.2316
1.17568e-008,1.2253
1.18027e-008,1.2212
1.18487e-008,1.2201
1.18946e-008,1.2212
1.19405e-008,1.2238
1.19864e-008,1.2252
1.20324e-008,1.2242
1.20783e-008,1.2211
1.21242e-008,1.2164
1.21701e-008,1.2123
1.22161e-008,1.2109
1.22620e-008,1.2119
1.23079e-008,1.2156
1.23538e-008,1.2209
1.23997e-008,1.2255
1.24457e-008,1.2283
1.24916e-008,1.2283
1.25375e-008,1.2257
1.25834e-008,1.2218
1.26294e-008,1.2180
1.26753e-008,1.2157
1.27212e-008,1.2159
1.27672e-008,1.2182
1.28131e-008,1.2217
1.28590e-008,1.2250
1.29049e-008,1.2266
1.29509e-008,1.2264
1.29968e-008,1.2242
1.30427e-008,1.2213
1.30886e-008,1.2189
1.31346e-008,1.2178
1.31805e-008,1.2184
1.32264e-008,1.2204
1.32723e-008,1.2228
1.33182e-008,1.2247
1.33642e-008,1.2255
1.34101e-008,1.2251
1.34560e-008,1.2238
1.35019e-008,1.2221
1.35479e-008,1.2208
1.35938e-008,1.2204
1.36397e-008,1.2209
1.36856e-008,1.2221
1.37316e-008,1.2235
1.37775e-008,1.2245
1.38234e-008,1.2248
1.38694e-008,1.2243
1.39153e-008,1.2232
1.39612e-008,1.2221
1.40071e-008,1.2214
1.40531e-008,1.2214
1.40990e-008,1.2220
1.41449e-008,1.2231
1.41908e-008,1.2241
1.42367e-008,1.2247
1.42827e-008,1.2246
1.43286e-008,1.2240
1.43745e-008,1.2231
1.44204e-008,1.2224
1.44664e-008,1.2221
1.45123e-008,1.2224
1.45582e-008,1.2230
1.46041e-008,1.2237
1.46501e-008,1.2243
1.46960e-008,1.2245
1.47419e-008,1.2243
1.47879e-008,1.2239
1.48338e-008,1.2233
1.48797e-008,1.2229
1.49256e-008,1.2228
1.49715e-008,1.2230
1.50175e-008,1.2234
1.50634e-008,1.2239
1.51093e-008,1.2243
1.51552e-008,1.2244
1.52012e-008,1.2243
1.52471e-008,1.2239
1.52930e-008,1.2235
1.53389e-008,1.2232
1.53849e-008,1.2232
1.54308e-008,1.2234
1.54767e-008,1.2238
1.55226e-008,1.2242
1.55686e-008,1.2244
1.56145e-008,1.2244
1.56604e-008,1.2242
1.57063e-008,1.2239
1.57523e-008,1.2237
1.57982e-008,1.2236
1.58441e-008,1.2236
1.58901e-008,1.2238
1.59360e-008,1.2240
1.59819e-008,1.2242
1.60278e-008,1.2243
1.60738e-008,1.2243
1.61197e-008,1.2242
1.61656e-008,1.2240
1.62115e-008,1.2239
1.62575e-008,1.2238
1.63034e-008,1.2239
1.63493e-008,1.2240
1.63952e-008,1.2242
1.64412e-008,1.2243
1.64871e-008,1.2244
1.65330e-008,1.2244
1.65789e-008,1.2242
1.66249e-008,1.2241
1.66708e-008,1.2240
1.67167e-008,1.2240
1.67626e-008,1.2241
1.68085e-008,1.2242
1.68545e-008,1.2243
1.69004e-008,1.2244
1.69463e-008,1.2244
1.69922e-008,1.2244
1.70382e-008,1.2243
1.70841e-008,1.2242
1.71300e-008,1.2242
1.71759e-008,1.2242
1.72219e-008,1.2243
1.72678e-008,1.2243
1.73137e-008,1.2244
1.73596e-008,1.2245
1.74056e-008,1.2245
1.74515e-008,1.2244
1.74974e-008,1.2244
1.75433e-008,1.2243
1.75893e-008,1.2243
1.76352e-008,1.2243
1.76811e-008,1.2244
1.77271e-008,1.2243
1.77730e-008,1.2186
1.78189e-008,1.1827
1.78648e-008,1.1178
1.79108e-008,1.0442
1.79567e-008,0.9330
1.80026e-008,0.7854
1.80485e-008,0.6369
1.80945e-008,0.5037
1.81404e-008,0.3917
1.81863e-008,0.3084
1.82322e-008,0.2599
1.82782e-008,0.2454
1.83241e-008,0.2540
1.83700e-008,0.2706
1.84159e-008,0.2834
1.84619e-008,0.2889
1.85078e-008,0.2857
1.85537e-008,0.2749
1.85996e-008,0.2626
1.86455e-008,0.2551
1.86915e-008,0.2514
1.87374e-008,0.2539
1.87833e-008,0.2621
1.88292e-008,0.2692
1.88752e-008,0.2727
1.89211e-008,0.2722
1.89670e-008,0.2653
1.90129e-008,0.2558
1.90589e-008,0.2471
1.91048e-008,0.2413
1.91507e-008,0.2400
1.91966e-008,0.2421
1.92426e-008,0.2461
1.92885e-008,0.2503
1.93344e-008,0.2532
1.93803e-008,0.2546
1.94263e-008,0.2537
1.94722e-008,0.2524
1.95181e-008,0.2526
1.95640e-008,0.2546
1.96100e-008,0.2584
1.96559e-008,0.2691
1.97018e-008,0.3132
1.97478e-008,0.3863
1.97937e-008,0.4702
1.98396e-008,0.5976
1.98855e-008,0.7539
1.99315e-008,0.8998
1.99774e-008,1.0331
2.00233e-008,1.1410
2.00692e-008,1.2094
2.01152e-008,1.2398
2.01611e-008,1.2392
2.02070e-008,1.2206
2.02529e-008,1.1994
2.02989e-008,1.1856
2.03448e-008,1.1818
2.03907e-008,1.1898
2.04366e-008,1.2060
2.04826e-008,1.2215
2.05285e-008,1.2298
2.05744e-008,1.2325
2.06203e-008,1.2272
2.06662e-008,1.2163
2.07122e-008,1.2088
2.07581e-008,1.2055
2.08040e-008,1.2069
2.08499e-008,1.2159
2.08959e-008,1.2267
2.09418e-008,1.2357
