.HEADER
..NAMES
Time,V U2.A2
.DATA
1.03941e-008,0.2298
1.04366e-008,0.2224
1.04790e-008,0.1957
1.05214e-008,0.1889
1.05638e-008,0.1971
1.06063e-008,0.2003
1.06487e-008,0.2120
1.06911e-008,0.2220
1.07335e-008,0.2211
1.07759e-008,0.2200
1.08184e-008,0.2235
1.08608e-008,0.2236
1.09032e-008,0.2224
1.09456e-008,0.2223
1.09881e-008,0.2228
1.10305e-008,0.2232
1.10729e-008,0.2215
1.11154e-008,0.2182
1.11578e-008,0.2201
1.12002e-008,0.2253
1.12426e-008,0.2251
1.12851e-008,0.2188
1.13275e-008,0.2153
1.13699e-008,0.2185
1.14123e-008,0.2207
1.14548e-008,0.2260
1.14972e-008,0.3098
1.15396e-008,0.4760
1.15820e-008,0.6283
1.16244e-008,0.8068
1.16669e-008,0.9440
1.17093e-008,1.0375
1.17517e-008,1.1088
1.17941e-008,1.1678
1.18366e-008,1.2077
1.18790e-008,1.2338
1.19214e-008,1.2491
1.19639e-008,1.2572
1.20063e-008,1.2645
1.20487e-008,1.2681
1.20911e-008,1.2660
1.21336e-008,1.2654
1.21760e-008,1.2676
1.22184e-008,1.2640
1.22608e-008,1.2555
1.23032e-008,1.2520
1.23457e-008,1.2645
1.23881e-008,1.2742
1.24305e-008,1.2750
1.24729e-008,1.2770
1.25154e-008,1.2677
1.25578e-008,1.2578
1.26002e-008,1.2550
1.26427e-008,1.2552
1.26851e-008,1.2537
1.27275e-008,1.2533
1.27699e-008,1.2527
1.28124e-008,1.2532
1.28548e-008,1.2546
1.28972e-008,1.2545
1.29396e-008,1.2540
1.29821e-008,1.2560
1.30245e-008,1.2569
1.30669e-008,1.2549
1.31093e-008,1.2538
1.31517e-008,1.2556
1.31942e-008,1.2586
1.32366e-008,1.2585
1.32790e-008,1.2579
1.33214e-008,1.2501
1.33639e-008,1.1560
1.34063e-008,0.9441
1.34487e-008,0.7902
1.34912e-008,0.6414
1.35336e-008,0.4874
1.35760e-008,0.3936
1.36184e-008,0.3370
1.36609e-008,0.2825
1.37033e-008,0.2459
1.37457e-008,0.2277
1.37881e-008,0.2140
1.38306e-008,0.2079
1.38730e-008,0.2050
1.39154e-008,0.2031
1.39578e-008,0.2051
1.40002e-008,0.2066
1.40427e-008,0.2035
1.40851e-008,0.2092
1.41275e-008,0.2217
1.41699e-008,0.2245
1.42124e-008,0.2054
1.42548e-008,0.1918
1.42972e-008,0.2009
1.43397e-008,0.2009
1.43821e-008,0.2034
1.44245e-008,0.2165
1.44669e-008,0.2217
1.45094e-008,0.2197
1.45518e-008,0.2224
1.45942e-008,0.2241
1.46366e-008,0.2230
1.46790e-008,0.2229
1.47215e-008,0.2227
1.47639e-008,0.2226
1.48063e-008,0.2230
1.48487e-008,0.2209
1.48912e-008,0.2195
1.49336e-008,0.2232
1.49760e-008,0.2251
1.50185e-008,0.2212
1.50609e-008,0.2168
1.51033e-008,0.2188
1.51457e-008,0.2213
1.51881e-008,0.2203
1.52306e-008,0.2219
1.52730e-008,0.2232
1.53154e-008,0.2207
1.53579e-008,0.2194
1.54003e-008,0.2204
1.54427e-008,0.2201
1.54851e-008,0.2196
1.55276e-008,0.2199
1.55700e-008,0.2201
1.56124e-008,0.2203
1.56548e-008,0.2199
1.56972e-008,0.2191
1.57397e-008,0.2197
1.57821e-008,0.2211
1.58245e-008,0.2203
1.58670e-008,0.2188
1.59094e-008,0.2190
1.59518e-008,0.2200
1.59942e-008,0.2199
1.60366e-008,0.2198
1.60791e-008,0.2203
1.61215e-008,0.2200
1.61639e-008,0.2506
1.62064e-008,0.3906
1.62488e-008,0.5540
1.62912e-008,0.7231
1.63336e-008,0.8876
1.63761e-008,0.9953
1.64185e-008,1.0772
1.64609e-008,1.1411
1.65033e-008,1.1904
1.65457e-008,1.2215
1.65882e-008,1.2436
1.66306e-008,1.2544
1.66730e-008,1.2608
1.67155e-008,1.2648
1.67579e-008,1.2664
1.68003e-008,1.2657
1.68427e-008,1.2679
1.68851e-008,1.2664
1.69276e-008,1.2592
1.69700e-008,1.2510
1.70124e-008,1.2557
1.70548e-008,1.2694
1.70973e-008,1.2240
1.71397e-008,1.0272
1.71821e-008,0.8210
1.72246e-008,0.6687
1.72670e-008,0.5083
1.73094e-008,0.4034
1.73518e-008,0.3415
1.73942e-008,0.2885
1.74367e-008,0.2448
1.74791e-008,0.2247
1.75215e-008,0.2119
1.75640e-008,0.2052
1.76064e-008,0.2019
1.76488e-008,0.2013
1.76912e-008,0.2035
1.77336e-008,0.2052
1.77761e-008,0.2000
1.78185e-008,0.2018
1.78609e-008,0.2175
1.79033e-008,0.2291
1.79458e-008,0.2158
1.79882e-008,0.1912
1.80306e-008,0.1916
1.80731e-008,0.1978
1.81155e-008,0.2007
1.81579e-008,0.2138
1.82003e-008,0.2220
1.82427e-008,0.2199
1.82852e-008,0.2202
1.83276e-008,0.2233
1.83700e-008,0.2228
1.84125e-008,0.2222
1.84549e-008,0.2218
1.84973e-008,0.2221
1.85397e-008,0.2227
1.85822e-008,0.2208
1.86246e-008,0.2177
1.86670e-008,0.2207
1.87094e-008,0.2253
1.87518e-008,0.2234
1.87943e-008,0.2171
1.88367e-008,0.2156
1.88791e-008,0.2192
1.89216e-008,0.2202
1.89640e-008,0.2341
1.90064e-008,0.3442
1.90488e-008,0.5096
1.90912e-008,0.6665
1.91337e-008,0.8430
1.91761e-008,0.9661
1.92185e-008,1.0546
1.92610e-008,1.1226
1.93034e-008,1.1781
1.93458e-008,1.2140
1.93882e-008,1.2382
1.94307e-008,1.2508
1.94731e-008,1.2587
1.95155e-008,1.2654
1.95579e-008,1.2678
1.96003e-008,1.2652
1.96428e-008,1.2660
1.96852e-008,1.2673
1.97276e-008,1.2621
1.97701e-008,1.2535
1.98125e-008,1.2535
1.98549e-008,1.2673
1.98973e-008,1.2501
1.99397e-008,1.0958
1.99822e-008,0.8717
2.00246e-008,0.7157
2.00670e-008,0.5525
2.01095e-008,0.4282
2.01519e-008,0.3575
2.01943e-008,0.3044
2.02367e-008,0.2548
2.02792e-008,0.2289
2.03216e-008,0.2156
2.03640e-008,0.2071
2.04064e-008,0.2025
2.04488e-008,0.2008
2.04913e-008,0.2025
2.05337e-008,0.2054
2.05761e-008,0.2019
2.06186e-008,0.1999
2.06610e-008,0.2124
2.07034e-008,0.2273
2.07458e-008,0.2222
2.07882e-008,0.1970
2.08307e-008,0.1960
2.08731e-008,0.3026
2.09155e-008,0.4937
2.09580e-008,0.6692
2.10004e-008,0.8547
2.10428e-008,0.9785
2.10852e-008,1.0614
2.11277e-008,1.1300
2.11701e-008,1.1852
2.12125e-008,1.2198
2.12549e-008,1.2418
2.12973e-008,1.2553
2.13398e-008,1.2628
2.13822e-008,1.2667
2.14246e-008,1.2657
2.14671e-008,1.2657
2.15095e-008,1.2715
2.15519e-008,1.2733
2.15943e-008,1.2619
2.16367e-008,1.2485
2.16792e-008,1.2486
2.17216e-008,1.2671
2.17640e-008,1.2800
2.18064e-008,1.2811
2.18489e-008,1.2781
2.18913e-008,1.2640
2.19337e-008,1.2549
2.19762e-008,1.2546
2.20186e-008,1.2551
2.20610e-008,1.2534
2.21034e-008,1.2533
2.21458e-008,1.2534
2.21883e-008,1.2540
2.22307e-008,1.2541
2.22731e-008,1.2537
2.23156e-008,1.2553
2.23580e-008,1.2583
2.24004e-008,1.2573
2.24428e-008,1.2535
2.24852e-008,1.2527
2.25277e-008,1.2562
2.25701e-008,1.2603
2.26125e-008,1.2602
2.26549e-008,1.2584
2.26974e-008,1.2558
2.27398e-008,1.2535
2.27822e-008,1.2551
2.28247e-008,1.2578
2.28671e-008,1.2582
2.29095e-008,1.2576
2.29519e-008,1.2577
2.29943e-008,1.2577
2.30368e-008,1.2576
2.30792e-008,1.2573
2.31216e-008,1.2573
2.31641e-008,1.2581
2.32065e-008,1.2585
2.32489e-008,1.2573
2.32913e-008,1.2566
2.33338e-008,1.2573
2.33762e-008,1.2584
2.34186e-008,1.2587
2.34610e-008,1.2581
2.35034e-008,1.2575
2.35459e-008,1.2569
2.35883e-008,1.2573
2.36307e-008,1.2584
2.36732e-008,1.2587
2.37156e-008,1.2581
2.37580e-008,1.2579
2.38004e-008,1.2580
2.38428e-008,1.2580
2.38853e-008,1.2580
2.39277e-008,1.2580
2.39701e-008,1.2582
2.40126e-008,1.2584
2.40550e-008,1.2582
2.40974e-008,1.2579
2.41398e-008,1.2580
2.41823e-008,1.2584
2.42247e-008,1.2585
2.42671e-008,1.2584
2.43095e-008,1.2582
2.43519e-008,1.2581
2.43944e-008,1.2581
2.44368e-008,1.2585
2.44792e-008,1.2587
2.45217e-008,1.2585
2.45641e-008,1.2583
2.46065e-008,1.2583
2.46489e-008,1.2584
2.46913e-008,1.2585
2.47338e-008,1.2585
2.47762e-008,1.2585
2.48186e-008,1.2586
2.48611e-008,1.2586
2.49035e-008,1.2585
2.49459e-008,1.2585
2.49883e-008,1.2586
2.50308e-008,1.2586
2.50732e-008,1.2586
2.51156e-008,1.2586
2.51580e-008,1.2586
2.52004e-008,1.2585
2.52429e-008,1.2587
2.52853e-008,1.2588
2.53277e-008,1.2587
2.53702e-008,1.2586
