.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
1.03941e-008,0.2441
1.04366e-008,0.2263
1.04790e-008,0.2153
1.05214e-008,0.2107
1.05638e-008,0.2075
1.06063e-008,0.2069
1.06487e-008,0.2078
1.06911e-008,0.2034
1.07335e-008,0.1964
1.07759e-008,0.1913
1.08184e-008,0.1954
1.08608e-008,0.1945
1.09032e-008,0.1881
1.09456e-008,0.1956
1.09881e-008,0.2534
1.10305e-008,0.4181
1.10729e-008,0.5900
1.11154e-008,0.7558
1.11578e-008,0.9023
1.12002e-008,1.0040
1.12426e-008,1.0815
1.12851e-008,1.1485
1.13275e-008,1.1933
1.13699e-008,1.2222
1.14123e-008,1.2401
1.14548e-008,1.2495
1.14972e-008,1.2570
1.15396e-008,1.2609
1.15820e-008,1.2605
1.16244e-008,1.2654
1.16669e-008,1.2735
1.17093e-008,1.2779
1.17517e-008,1.2739
1.17941e-008,1.2763
1.18366e-008,1.2822
1.18790e-008,1.2722
1.19214e-008,1.2091
1.19639e-008,1.0151
1.20063e-008,0.8082
1.20487e-008,0.6510
1.20911e-008,0.5161
1.21336e-008,0.4111
1.21760e-008,0.3395
1.22184e-008,0.2837
1.22608e-008,0.2492
1.23032e-008,0.2290
1.23457e-008,0.2171
1.23881e-008,0.2114
1.24305e-008,0.2082
1.24729e-008,0.2068
1.25154e-008,0.2080
1.25578e-008,0.2047
1.26002e-008,0.1979
1.26427e-008,0.1918
1.26851e-008,0.1944
1.27275e-008,0.1958
1.27699e-008,0.1888
1.28124e-008,0.1924
1.28548e-008,0.2335
1.28972e-008,0.3813
1.29396e-008,0.5585
1.29821e-008,0.7230
1.30245e-008,0.8774
1.30669e-008,0.9872
1.31093e-008,1.0667
1.31517e-008,1.1374
1.31942e-008,1.1859
1.32366e-008,1.2177
1.32790e-008,1.2373
1.33214e-008,1.2482
1.33639e-008,1.2557
1.34063e-008,1.2608
1.34487e-008,1.2605
1.34912e-008,1.2639
1.35336e-008,1.2721
1.35760e-008,1.2778
1.36184e-008,1.2749
1.36609e-008,1.2749
1.37033e-008,1.2820
1.37457e-008,1.2760
1.37881e-008,1.2310
1.38306e-008,1.0604
1.38730e-008,0.8432
1.39154e-008,0.6802
1.39578e-008,0.5406
1.40002e-008,0.4284
1.40427e-008,0.3524
1.40851e-008,0.2929
1.41275e-008,0.2547
1.41699e-008,0.2321
1.42124e-008,0.2191
1.42548e-008,0.2110
1.42972e-008,0.2043
1.43397e-008,0.2013
1.43821e-008,0.2012
1.44245e-008,0.1995
1.44669e-008,0.1945
1.45094e-008,0.1885
1.45518e-008,0.1892
1.45942e-008,0.1931
1.46366e-008,0.1873
1.46790e-008,0.1886
1.47215e-008,0.2186
1.47639e-008,0.3459
1.48063e-008,0.5275
1.48487e-008,0.6913
1.48912e-008,0.8516
1.49336e-008,0.9702
1.49760e-008,1.0530
1.50185e-008,1.1261
1.50609e-008,1.1777
1.51033e-008,1.2127
1.51457e-008,1.2348
1.51881e-008,1.2498
1.52306e-008,1.2626
1.52730e-008,1.2686
1.53154e-008,1.2679
1.53579e-008,1.2693
1.54003e-008,1.2754
1.54427e-008,1.2812
1.54851e-008,1.2807
1.55276e-008,1.2771
1.55700e-008,1.2824
1.56124e-008,1.2790
1.56548e-008,1.2463
1.56972e-008,1.1025
1.57397e-008,0.8801
1.57821e-008,0.7083
1.58245e-008,0.5643
1.58670e-008,0.4464
1.59094e-008,0.3646
1.59518e-008,0.3026
1.59942e-008,0.2617
1.60366e-008,0.2356
1.60791e-008,0.2199
1.61215e-008,0.2112
1.61639e-008,0.2077
1.62064e-008,0.2056
1.62488e-008,0.2072
1.62912e-008,0.2064
1.63336e-008,0.2003
1.63761e-008,0.1933
1.64185e-008,0.1920
1.64609e-008,0.1969
1.65033e-008,0.1918
1.65457e-008,0.1890
1.65882e-008,0.2082
1.66306e-008,0.3116
1.66730e-008,0.4932
1.67155e-008,0.6573
1.67579e-008,0.8220
1.68003e-008,0.9493
1.68427e-008,1.0365
1.68851e-008,1.1118
1.69276e-008,1.1692
1.69700e-008,1.2074
1.70124e-008,1.2310
1.70548e-008,1.2447
1.70973e-008,1.2491
1.71397e-008,1.2542
1.71821e-008,1.2545
1.72246e-008,1.2552
1.72670e-008,1.2638
1.73094e-008,1.2723
1.73518e-008,1.2729
1.73942e-008,1.2698
1.74367e-008,1.2771
1.74791e-008,1.2790
1.75215e-008,1.2587
1.75640e-008,1.1446
1.76064e-008,0.9230
1.76488e-008,0.7421
1.76912e-008,0.5938
1.77336e-008,0.4694
1.77761e-008,0.3806
1.78185e-008,0.3151
1.78609e-008,0.2676
1.79033e-008,0.2392
1.79458e-008,0.2241
1.79882e-008,0.2160
1.80306e-008,0.2175
1.80731e-008,0.2161
1.81155e-008,0.2148
1.81579e-008,0.2145
1.82003e-008,0.2076
1.82427e-008,0.1991
1.82852e-008,0.1964
1.83276e-008,0.2006
1.83700e-008,0.1951
1.84125e-008,0.1891
1.84549e-008,0.2009
1.84973e-008,0.2808
1.85397e-008,0.4582
1.85822e-008,0.6241
1.86246e-008,0.7898
1.86670e-008,0.9271
1.87094e-008,1.0208
1.87518e-008,1.0973
1.87943e-008,1.1606
1.88367e-008,1.2016
1.88791e-008,1.2257
1.89216e-008,1.2410
1.89640e-008,1.2458
1.90064e-008,1.2512
1.90488e-008,1.2542
1.90912e-008,1.2540
1.91337e-008,1.2617
1.91761e-008,1.2709
1.92185e-008,1.2733
1.92610e-008,1.2696
1.93034e-008,1.2759
1.93458e-008,1.2805
1.93882e-008,1.2665
1.94307e-008,1.1792
1.94731e-008,0.9662
1.95155e-008,0.7733
1.95579e-008,0.6215
1.96003e-008,0.4915
1.96428e-008,0.3948
1.96852e-008,0.3267
1.97276e-008,0.2748
1.97701e-008,0.2436
1.98125e-008,0.2270
1.98549e-008,0.2173
1.98973e-008,0.2172
1.99397e-008,0.2168
1.99822e-008,0.2144
2.00246e-008,0.2150
2.00670e-008,0.2094
2.01095e-008,0.2006
2.01519e-008,0.1961
2.01943e-008,0.2001
2.02367e-008,0.1969
2.02792e-008,0.1893
2.03216e-008,0.1964
2.03640e-008,0.2553
2.04064e-008,0.4219
2.04488e-008,0.5928
2.04913e-008,0.7579
2.05337e-008,0.9041
