.HEADER
..NAMES
Time,V U2.C3
.DATA
1.03941e-008,0.2160
1.04366e-008,0.1996
1.04790e-008,0.1917
1.05214e-008,0.2071
1.05638e-008,0.3164
1.06063e-008,0.4820
1.06487e-008,0.6546
1.06911e-008,0.8414
1.07335e-008,0.9708
1.07759e-008,1.0773
1.08184e-008,1.1483
1.08608e-008,1.2004
1.09032e-008,1.2286
1.09456e-008,1.2485
1.09881e-008,1.2582
1.10305e-008,1.2644
1.10729e-008,1.2663
1.11154e-008,1.2675
1.11578e-008,1.2691
1.12002e-008,1.2710
1.12426e-008,1.2654
1.12851e-008,1.2610
1.13275e-008,1.2587
1.13699e-008,1.2701
1.14123e-008,1.2811
1.14548e-008,1.2822
1.14972e-008,1.2818
1.15396e-008,1.2714
1.15820e-008,1.2625
1.16244e-008,1.2566
1.16669e-008,1.2539
1.17093e-008,1.2516
1.17517e-008,1.2518
1.17941e-008,1.2524
1.18366e-008,1.2532
1.18790e-008,1.2539
1.19214e-008,1.2543
1.19639e-008,1.2554
1.20063e-008,1.2565
1.20487e-008,1.2556
1.20911e-008,1.2549
1.21336e-008,1.2551
1.21760e-008,1.2577
1.22184e-008,1.2591
1.22608e-008,1.2577
1.23032e-008,1.2567
1.23457e-008,1.2549
1.23881e-008,1.2446
1.24305e-008,1.1422
1.24729e-008,0.9624
1.25154e-008,0.8220
1.25578e-008,0.6410
1.26002e-008,0.4937
1.26427e-008,0.3908
1.26851e-008,0.3213
1.27275e-008,0.2656
1.27699e-008,0.2392
1.28124e-008,0.2219
1.28548e-008,0.2124
1.28972e-008,0.2074
1.29396e-008,0.2053
1.29821e-008,0.2057
1.30245e-008,0.2075
1.30669e-008,0.2046
1.31093e-008,0.2058
1.31517e-008,0.2110
1.31942e-008,0.2173
1.32366e-008,0.2057
1.32790e-008,0.1916
1.33214e-008,0.1967
1.33639e-008,0.1959
1.34063e-008,0.1987
1.34487e-008,0.2107
1.34912e-008,0.2185
1.35336e-008,0.2204
1.35760e-008,0.2244
1.36184e-008,0.2258
1.36609e-008,0.2247
1.37033e-008,0.2243
1.37457e-008,0.2236
1.37881e-008,0.2238
1.38306e-008,0.2238
1.38730e-008,0.2218
1.39154e-008,0.2215
1.39578e-008,0.2234
1.40002e-008,0.2241
1.40427e-008,0.2207
1.40851e-008,0.2187
1.41275e-008,0.2216
1.41699e-008,0.2218
1.42124e-008,0.2217
1.42548e-008,0.2244
1.42972e-008,0.2731
1.43397e-008,0.4085
1.43821e-008,0.5465
1.44245e-008,0.7335
1.44669e-008,0.8838
1.45094e-008,1.0070
1.45518e-008,1.0963
1.45942e-008,1.1639
1.46366e-008,1.2061
1.46790e-008,1.2330
1.47215e-008,1.2487
1.47639e-008,1.2583
1.48063e-008,1.2641
1.48487e-008,1.2655
1.48912e-008,1.2652
1.49336e-008,1.2680
1.49760e-008,1.2676
1.50185e-008,1.2653
1.50609e-008,1.2598
1.51033e-008,1.2625
1.51457e-008,1.2737
1.51881e-008,1.2766
1.52306e-008,1.2804
1.52730e-008,1.2770
1.53154e-008,1.2673
1.53579e-008,1.2601
1.54003e-008,1.2560
1.54427e-008,1.2530
1.54851e-008,1.2514
1.55276e-008,1.2517
1.55700e-008,1.2521
1.56124e-008,1.2534
1.56548e-008,1.2536
1.56972e-008,1.2538
1.57397e-008,1.2553
1.57821e-008,1.2559
1.58245e-008,1.2553
1.58670e-008,1.2545
1.59094e-008,1.2556
1.59518e-008,1.2578
1.59942e-008,1.2574
1.60366e-008,1.2572
1.60791e-008,1.2562
1.61215e-008,1.2522
1.61639e-008,1.1996
1.62064e-008,1.0269
1.62488e-008,0.8788
1.62912e-008,0.7120
1.63336e-008,0.5452
1.63761e-008,0.4254
1.64185e-008,0.3466
1.64609e-008,0.2843
1.65033e-008,0.2467
1.65457e-008,0.2278
1.65882e-008,0.2152
1.66306e-008,0.2089
1.66730e-008,0.2057
1.67155e-008,0.2048
1.67579e-008,0.2069
1.68003e-008,0.2056
1.68427e-008,0.2046
1.68851e-008,0.2084
1.69276e-008,0.2157
1.69700e-008,0.2123
1.70124e-008,0.1944
1.70548e-008,0.1938
1.70973e-008,0.1972
1.71397e-008,0.1959
1.71821e-008,0.2057
1.72246e-008,0.2163
1.72670e-008,0.2197
1.73094e-008,0.2224
1.73518e-008,0.2258
1.73942e-008,0.2250
1.74367e-008,0.2244
1.74791e-008,0.2237
1.75215e-008,0.2234
1.75640e-008,0.2239
1.76064e-008,0.2226
1.76488e-008,0.2211
1.76912e-008,0.2225
1.77336e-008,0.2241
1.77761e-008,0.2223
1.78185e-008,0.2186
1.78609e-008,0.2204
1.79033e-008,0.2222
1.79458e-008,0.2213
1.79882e-008,0.2228
1.80306e-008,0.2236
1.80731e-008,0.2216
1.81155e-008,0.2208
1.81579e-008,0.2211
1.82003e-008,0.2204
1.82427e-008,0.2202
1.82852e-008,0.2204
1.83276e-008,0.2205
1.83700e-008,0.2208
1.84125e-008,0.2204
1.84549e-008,0.2200
1.84973e-008,0.2207
1.85397e-008,0.2211
1.85822e-008,0.2203
1.86246e-008,0.2196
1.86670e-008,0.2204
1.87094e-008,0.2207
1.87518e-008,0.2203
1.87943e-008,0.2205
1.88367e-008,0.2206
1.88791e-008,0.2198
1.89216e-008,0.2199
1.89640e-008,0.2339
1.90064e-008,0.3390
1.90488e-008,0.4782
1.90912e-008,0.6409
1.91337e-008,0.8188
1.91761e-008,0.9511
1.92185e-008,1.0574
1.92610e-008,1.1330
1.93034e-008,1.1885
1.93458e-008,1.2206
1.93882e-008,1.2424
1.94307e-008,1.2530
1.94731e-008,1.2607
1.95155e-008,1.2647
1.95579e-008,1.2654
1.96003e-008,1.2659
1.96428e-008,1.2675
1.96852e-008,1.2657
1.97276e-008,1.2618
1.97701e-008,1.2584
1.98125e-008,1.2687
1.98549e-008,1.2753
1.98973e-008,1.2496
1.99397e-008,1.0958
1.99822e-008,0.9016
2.00246e-008,0.7415
2.00670e-008,0.5619
2.01095e-008,0.4345
2.01519e-008,0.3467
2.01943e-008,0.2867
2.02367e-008,0.2426
2.02792e-008,0.2251
2.03216e-008,0.2123
2.03640e-008,0.2062
2.04064e-008,0.2031
2.04488e-008,0.2027
2.04913e-008,0.2037
2.05337e-008,0.2039
2.05761e-008,0.2012
2.06186e-008,0.2064
2.06610e-008,0.2144
2.07034e-008,0.2165
2.07458e-008,0.1976
2.07882e-008,0.1859
2.08307e-008,0.2009
2.08731e-008,0.3061
2.09155e-008,0.4754
2.09580e-008,0.6432
2.10004e-008,0.8315
2.10428e-008,0.9619
2.10852e-008,1.0704
2.11277e-008,1.1428
2.11701e-008,1.1964
2.12125e-008,1.2256
2.12549e-008,1.2464
2.12973e-008,1.2566
2.13398e-008,1.2629
2.13822e-008,1.2651
2.14246e-008,1.2670
2.14671e-008,1.2688
2.15095e-008,1.2705
2.15519e-008,1.2644
2.15943e-008,1.2598
2.16367e-008,1.2578
2.16792e-008,1.2694
2.17216e-008,1.2811
2.17640e-008,1.2650
2.18064e-008,1.1350
2.18489e-008,0.9274
2.18913e-008,0.7726
2.19337e-008,0.5903
2.19762e-008,0.4545
2.20186e-008,0.3596
2.20610e-008,0.2976
2.21034e-008,0.2491
2.21458e-008,0.2285
2.21883e-008,0.2143
2.22307e-008,0.2077
2.22731e-008,0.2046
2.23156e-008,0.2037
2.23580e-008,0.2032
2.24004e-008,0.2042
2.24428e-008,0.2017
2.24852e-008,0.2063
2.25277e-008,0.2142
2.25701e-008,0.2183
2.26125e-008,0.2014
2.26549e-008,0.1851
2.26974e-008,0.1921
2.27398e-008,0.1948
2.27822e-008,0.2011
2.28247e-008,0.2131
2.28671e-008,0.2197
2.29095e-008,0.2210
2.29519e-008,0.2245
2.29943e-008,0.2252
2.30368e-008,0.2240
2.30792e-008,0.2236
2.31216e-008,0.2229
2.31641e-008,0.2229
2.32065e-008,0.2226
2.32489e-008,0.2207
2.32913e-008,0.2212
2.33338e-008,0.2236
2.33762e-008,0.2236
2.34186e-008,0.2190
2.34610e-008,0.2171
2.35034e-008,0.2210
2.35459e-008,0.2220
2.35883e-008,0.2221
2.36307e-008,0.2233
2.36732e-008,0.2221
2.37156e-008,0.2201
2.37580e-008,0.2203
2.38004e-008,0.2204
2.38428e-008,0.2198
2.38853e-008,0.2199
2.39277e-008,0.2201
2.39701e-008,0.2203
2.40126e-008,0.2203
2.40550e-008,0.2197
2.40974e-008,0.2199
2.41398e-008,0.2208
2.41823e-008,0.2205
2.42247e-008,0.2193
2.42671e-008,0.2193
2.43095e-008,0.2205
2.43519e-008,0.2204
2.43944e-008,0.2201
2.44368e-008,0.2203
2.44792e-008,0.2198
2.45217e-008,0.2193
2.45641e-008,0.2205
2.46065e-008,0.2641
2.46489e-008,0.3989
2.46913e-008,0.5361
2.47338e-008,0.7208
2.47762e-008,0.8753
2.48186e-008,0.9994
2.48611e-008,1.0905
2.49035e-008,1.1590
2.49459e-008,1.2032
2.49883e-008,1.2310
2.50308e-008,1.2471
2.50732e-008,1.2562
2.51156e-008,1.2627
2.51580e-008,1.2652
2.52004e-008,1.2650
2.52429e-008,1.2667
2.52853e-008,1.2666
2.53277e-008,1.2645
2.53702e-008,1.2591
2.54126e-008,1.2612
2.54550e-008,1.2730
2.54974e-008,1.2718
2.55398e-008,1.2051
2.55823e-008,1.0064
2.56247e-008,0.8399
2.56671e-008,0.6629
2.57096e-008,0.5039
2.57520e-008,0.3930
2.57944e-008,0.3204
2.58368e-008,0.2647
2.58793e-008,0.2336
2.59217e-008,0.2189
2.59641e-008,0.2091
2.60065e-008,0.2044
2.60489e-008,0.2026
2.60914e-008,0.2026
2.61338e-008,0.2044
2.61762e-008,0.2021
2.62187e-008,0.2024
2.62611e-008,0.2094
2.63035e-008,0.2171
2.63459e-008,0.2106
2.63883e-008,0.1894
2.64308e-008,0.1885
2.64732e-008,0.2274
2.65156e-008,0.3779
2.65580e-008,0.5387
2.66005e-008,0.7264
2.66429e-008,0.8889
2.66853e-008,1.0107
2.67278e-008,1.1032
2.67702e-008,1.1675
2.68126e-008,1.2104
2.68550e-008,1.2351
2.68974e-008,1.2514
2.69399e-008,1.2595
2.69823e-008,1.2640
2.70247e-008,1.2657
2.70672e-008,1.2674
2.71096e-008,1.2700
2.71520e-008,1.2684
2.71944e-008,1.2621
2.72368e-008,1.2581
2.72793e-008,1.2606
2.73217e-008,1.2758
2.73641e-008,1.2817
2.74065e-008,1.2818
2.74490e-008,1.2778
2.74914e-008,1.2668
2.75338e-008,1.2595
2.75763e-008,1.2549
2.76187e-008,1.2526
2.76611e-008,1.2508
2.77035e-008,1.2517
2.77459e-008,1.2521
2.77884e-008,1.2530
2.78308e-008,1.2535
2.78732e-008,1.2542
2.79157e-008,1.2555
2.79581e-008,1.2559
2.80005e-008,1.2546
2.80429e-008,1.2543
2.80854e-008,1.2555
2.81278e-008,1.2585
2.81702e-008,1.2583
2.82126e-008,1.2567
2.82550e-008,1.2556
2.82975e-008,1.2542
2.83399e-008,1.2547
2.83823e-008,1.2562
2.84248e-008,1.2570
2.84672e-008,1.2572
2.85096e-008,1.2575
2.85520e-008,1.2574
2.85944e-008,1.2573
2.86369e-008,1.2572
2.86793e-008,1.2571
2.87217e-008,1.2574
2.87642e-008,1.2574
2.88066e-008,1.2569
2.88490e-008,1.2569
2.88914e-008,1.2573
2.89339e-008,1.2579
2.89763e-008,1.2576
2.90187e-008,1.2571
2.90611e-008,1.2571
2.91035e-008,1.2570
2.91460e-008,1.2574
2.91884e-008,1.2579
2.92308e-008,1.2575
2.92733e-008,1.2358
2.93157e-008,1.0976
2.93581e-008,0.9263
2.94005e-008,0.7789
2.94429e-008,0.5991
2.94854e-008,0.4638
2.95278e-008,0.3717
2.95702e-008,0.3059
2.96127e-008,0.2569
2.96551e-008,0.2347
2.96975e-008,0.2190
2.97399e-008,0.2116
2.97824e-008,0.2074
2.98248e-008,0.2054
2.98672e-008,0.2062
2.99096e-008,0.2071
2.99521e-008,0.2048
2.99945e-008,0.2075
3.00369e-008,0.2139
3.00793e-008,0.2170
3.01218e-008,0.2006
3.01642e-008,0.1915
3.02066e-008,0.2062
3.02490e-008,0.3093
3.02914e-008,0.4749
3.03339e-008,0.6449
3.03763e-008,0.8341
3.04187e-008,0.9648
3.04612e-008,1.0731
3.05036e-008,1.1454
3.05460e-008,1.1988
3.05884e-008,1.2278
3.06309e-008,1.2481
3.06733e-008,1.2580
3.07157e-008,1.2646
3.07581e-008,1.2667
3.08005e-008,1.2680
3.08430e-008,1.2695
3.08854e-008,1.2714
3.09278e-008,1.2659
3.09702e-008,1.2616
3.10127e-008,1.2591
3.10551e-008,1.2699
3.10975e-008,1.2812
3.11400e-008,1.2825
3.11824e-008,1.2824
3.12248e-008,1.2723
3.12672e-008,1.2632
3.13096e-008,1.2572
3.13521e-008,1.2544
3.13945e-008,1.2520
3.14369e-008,1.2521
3.14793e-008,1.2527
3.15218e-008,1.2535
3.15642e-008,1.2543
3.16066e-008,1.2546
3.16491e-008,1.2557
3.16915e-008,1.2568
3.17339e-008,1.2560
3.17763e-008,1.2552
3.18188e-008,1.2555
3.18612e-008,1.2579
3.19036e-008,1.2594
3.19460e-008,1.2581
3.19884e-008,1.2571
3.20309e-008,1.2553
3.20733e-008,1.2466
3.21157e-008,1.1517
3.21582e-008,0.9709
3.22006e-008,0.8309
3.22430e-008,0.6507
3.22854e-008,0.5007
3.23279e-008,0.3955
3.23703e-008,0.3250
3.24127e-008,0.2682
3.24551e-008,0.2405
3.24975e-008,0.2230
3.25400e-008,0.2130
3.25824e-008,0.2079
3.26248e-008,0.2057
3.26672e-008,0.2059
3.27097e-008,0.2079
3.27521e-008,0.2050
3.27945e-008,0.2059
3.28370e-008,0.2109
3.28794e-008,0.2176
3.29218e-008,0.2070
3.29642e-008,0.1921
3.30066e-008,0.1966
3.30491e-008,0.1964
3.30915e-008,0.1985
3.31339e-008,0.2103
3.31763e-008,0.2186
3.32188e-008,0.2206
3.32612e-008,0.2245
3.33036e-008,0.2262
3.33461e-008,0.2250
3.33885e-008,0.2246
3.34309e-008,0.2239
3.34733e-008,0.2240
3.35158e-008,0.2241
3.35582e-008,0.2222
3.36006e-008,0.2217
3.36430e-008,0.2235
3.36854e-008,0.2244
3.37279e-008,0.2212
3.37703e-008,0.2189
3.38127e-008,0.2217
3.38552e-008,0.2222
3.38976e-008,0.2219
3.39400e-008,0.2245
3.39824e-008,0.2688
3.40249e-008,0.4015
3.40673e-008,0.5385
3.41097e-008,0.7241
3.41521e-008,0.8771
3.41945e-008,1.0013
3.42370e-008,1.0925
3.42794e-008,1.1610
3.43218e-008,1.2047
3.43643e-008,1.2320
3.44067e-008,1.2483
3.44491e-008,1.2581
3.44915e-008,1.2641
3.45340e-008,1.2657
3.45764e-008,1.2655
3.46188e-008,1.2681
3.46612e-008,1.2679
3.47036e-008,1.2656
3.47461e-008,1.2603
3.47885e-008,1.2623
3.48309e-008,1.2734
3.48733e-008,1.2767
3.49158e-008,1.2804
3.49582e-008,1.2777
3.50006e-008,1.2680
3.50431e-008,1.2607
3.50855e-008,1.2564
3.51279e-008,1.2534
3.51703e-008,1.2516
3.52128e-008,1.2519
3.52552e-008,1.2523
3.52976e-008,1.2535
3.53400e-008,1.2538
3.53824e-008,1.2540
3.54249e-008,1.2554
3.54673e-008,1.2561
3.55097e-008,1.2555
3.55522e-008,1.2548
3.55946e-008,1.2557
3.56370e-008,1.2579
3.56794e-008,1.2576
3.57219e-008,1.2574
3.57643e-008,1.2565
3.58067e-008,1.2530
3.58491e-008,1.2061
3.58915e-008,1.0371
3.59340e-008,0.8862
3.59764e-008,0.7223
3.60188e-008,0.5530
3.60613e-008,0.4310
3.61037e-008,0.3504
3.61461e-008,0.2875
3.61885e-008,0.2481
3.62310e-008,0.2289
3.62734e-008,0.2159
3.63158e-008,0.2094
3.63582e-008,0.2060
3.64006e-008,0.2050
3.64431e-008,0.2070
3.64855e-008,0.2060
3.65279e-008,0.2047
3.65703e-008,0.2084
