.HEADER
..NAMES
Time,V U3.L7
.DATA
0.0e+000,1.2262
4.59e-011,1.2262
9.18e-011,1.2262
1.378e-010,1.2262
1.837e-010,1.2262
2.296e-010,1.2262
2.755e-010,1.2262
3.215e-010,1.2262
3.674e-010,1.2262
4.133e-010,1.2262
4.592e-010,1.2262
5.052e-010,1.2262
5.511e-010,1.2262
5.970e-010,1.2262
6.430e-010,1.2262
6.889e-010,1.2262
7.348e-010,1.2262
7.807e-010,1.2262
8.266e-010,1.2261
8.726e-010,1.2217
9.185e-010,1.1929
9.644e-010,1.1323
1.0104e-009,1.0506
1.0563e-009,0.9341
1.1022e-009,0.7857
1.1481e-009,0.6334
1.1940e-009,0.4982
1.2400e-009,0.3870
1.2859e-009,0.3082
1.3318e-009,0.2673
1.3778e-009,0.2575
1.4237e-009,0.2640
1.4696e-009,0.2745
1.5155e-009,0.2816
1.5614e-009,0.2818
1.6074e-009,0.2747
1.6533e-009,0.2654
1.6992e-009,0.2585
1.7452e-009,0.2557
1.7911e-009,0.2584
1.8370e-009,0.2655
1.8829e-009,0.2709
1.9288e-009,0.2705
1.9748e-009,0.2658
2.0207e-009,0.2580
2.0666e-009,0.2483
2.1125e-009,0.2396
2.1585e-009,0.2353
2.2044e-009,0.2369
2.2503e-009,0.2418
2.2963e-009,0.2474
2.3422e-009,0.2525
2.3881e-009,0.2563
2.4340e-009,0.2585
2.4800e-009,0.2596
2.5259e-009,0.2604
2.5718e-009,0.2614
2.6177e-009,0.2631
2.6636e-009,0.2646
2.7096e-009,0.2649
2.7555e-009,0.2686
2.8014e-009,0.2997
2.8473e-009,0.3652
2.8933e-009,0.4568
2.9392e-009,0.5920
2.9851e-009,0.7579
3.0311e-009,0.9179
3.0770e-009,1.0538
3.1229e-009,1.1560
3.1688e-009,1.2134
3.2148e-009,1.2297
3.2607e-009,1.2205
3.3066e-009,1.2033
3.3525e-009,1.1903
3.3984e-009,1.1874
3.4444e-009,1.1956
3.4903e-009,1.2106
3.5362e-009,1.2239
3.5821e-009,1.2307
3.6281e-009,1.2302
3.6740e-009,1.2224
3.7199e-009,1.2110
3.7658e-009,1.2045
