.HEADER
..NAMES
Time,V U2.T8
.DATA
1.12516e-008,1.2308
1.12975e-008,1.2278
1.13435e-008,1.2240
1.13894e-008,1.2215
1.14353e-008,1.2211
1.14812e-008,1.2227
1.15272e-008,1.2255
1.15731e-008,1.2280
1.16190e-008,1.2293
1.16649e-008,1.2289
1.17109e-008,1.2273
1.17568e-008,1.2251
1.18027e-008,1.2234
1.18487e-008,1.2228
1.18946e-008,1.2234
1.19405e-008,1.2249
1.19864e-008,1.2240
1.20324e-008,1.2012
1.20783e-008,1.1301
1.21242e-008,1.0256
1.21701e-008,0.9019
1.22161e-008,0.7492
1.22620e-008,0.5896
1.23079e-008,0.4578
1.23538e-008,0.3701
1.23997e-008,0.3240
1.24457e-008,0.3159
1.24916e-008,0.3303
1.25375e-008,0.3487
1.25834e-008,0.3571
1.26294e-008,0.3476
1.26753e-008,0.3230
1.27212e-008,0.2926
1.27672e-008,0.2647
1.28131e-008,0.2447
1.28590e-008,0.2373
1.29049e-008,0.2409
1.29509e-008,0.2497
1.29968e-008,0.2569
1.30427e-008,0.2582
1.30886e-008,0.2538
1.31346e-008,0.2449
1.31805e-008,0.2342
1.32264e-008,0.2267
1.32723e-008,0.2259
1.33182e-008,0.2306
1.33642e-008,0.2384
1.34101e-008,0.2463
1.34560e-008,0.2509
1.35019e-008,0.2504
1.35479e-008,0.2464
1.35938e-008,0.2420
1.36397e-008,0.2402
1.36856e-008,0.2422
1.37316e-008,0.2479
1.37775e-008,0.2551
1.38234e-008,0.2608
1.38694e-008,0.2623
1.39153e-008,0.2589
1.39612e-008,0.2522
1.40071e-008,0.2448
1.40531e-008,0.2398
1.40990e-008,0.2387
1.41449e-008,0.2416
1.41908e-008,0.2473
1.42367e-008,0.2533
1.42827e-008,0.2575
1.43286e-008,0.2588
1.43745e-008,0.2569
1.44204e-008,0.2528
1.44664e-008,0.2482
1.45123e-008,0.2448
1.45582e-008,0.2439
1.46041e-008,0.2456
1.46501e-008,0.2489
1.46960e-008,0.2525
1.47419e-008,0.2547
1.47879e-008,0.2547
1.48338e-008,0.2527
1.48797e-008,0.2496
1.49256e-008,0.2469
1.49715e-008,0.2457
1.50175e-008,0.2463
1.50634e-008,0.2483
1.51093e-008,0.2506
1.51552e-008,0.2523
1.52012e-008,0.2526
1.52471e-008,0.2515
1.52930e-008,0.2497
1.53389e-008,0.2479
1.53849e-008,0.2470
1.54308e-008,0.2472
1.54767e-008,0.2483
1.55226e-008,0.2498
1.55686e-008,0.2510
1.56145e-008,0.2514
1.56604e-008,0.2510
1.57063e-008,0.2499
1.57523e-008,0.2486
1.57982e-008,0.2476
1.58441e-008,0.2473
1.58901e-008,0.2477
1.59360e-008,0.2487
1.59819e-008,0.2499
1.60278e-008,0.2507
1.60738e-008,0.2508
1.61197e-008,0.2503
1.61656e-008,0.2492
1.62115e-008,0.2482
1.62575e-008,0.2476
1.63034e-008,0.2477
1.63493e-008,0.2483
1.63952e-008,0.2492
1.64412e-008,0.2499
1.64871e-008,0.2502
1.65330e-008,0.2499
1.65789e-008,0.2493
1.66249e-008,0.2486
1.66708e-008,0.2481
1.67167e-008,0.2480
1.67626e-008,0.2483
