.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
1.03941e-008,0.2262
1.04366e-008,0.2234
1.04790e-008,0.2148
1.05214e-008,0.2019
1.05638e-008,0.1913
1.06063e-008,0.1909
1.06487e-008,0.1955
1.06911e-008,0.1975
1.07335e-008,0.1967
1.07759e-008,0.2015
1.08184e-008,0.2057
1.08608e-008,0.2077
1.09032e-008,0.2183
1.09456e-008,0.2678
1.09881e-008,0.3949
1.10305e-008,0.5284
1.10729e-008,0.7030
1.11154e-008,0.8724
1.11578e-008,0.9975
1.12002e-008,1.0903
1.12426e-008,1.1544
1.12851e-008,1.1960
1.13275e-008,1.2191
1.13699e-008,1.2346
1.14123e-008,1.2466
1.14548e-008,1.2594
1.14972e-008,1.2711
1.15396e-008,1.2750
1.15820e-008,1.2753
1.16244e-008,1.2748
1.16669e-008,1.2729
1.17093e-008,1.2672
1.17517e-008,1.2640
1.17941e-008,1.2632
1.18366e-008,1.2528
1.18790e-008,1.1980
1.19214e-008,1.0431
1.19639e-008,0.8824
1.20063e-008,0.7089
1.20487e-008,0.5324
1.20911e-008,0.4029
1.21336e-008,0.3203
1.21760e-008,0.2681
1.22184e-008,0.2366
1.22608e-008,0.2268
1.23032e-008,0.2244
1.23457e-008,0.2170
1.23881e-008,0.2046
1.24305e-008,0.1928
1.24729e-008,0.1903
1.25154e-008,0.1947
1.25578e-008,0.1975
1.26002e-008,0.1967
1.26427e-008,0.2003
1.26851e-008,0.2055
1.27275e-008,0.2069
1.27699e-008,0.2151
1.28124e-008,0.2512
1.28548e-008,0.3680
1.28972e-008,0.5011
1.29396e-008,0.6656
1.29821e-008,0.8431
1.30245e-008,0.9758
1.30669e-008,1.0746
1.31093e-008,1.1437
1.31517e-008,1.1897
1.31942e-008,1.2155
1.32366e-008,1.2319
1.32790e-008,1.2444
1.33214e-008,1.2568
1.33639e-008,1.2693
1.34063e-008,1.2748
1.34487e-008,1.2752
1.34912e-008,1.2751
1.35336e-008,1.2736
1.35760e-008,1.2686
