.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
9.9699e-009,1.0916
1.00123e-008,1.0681
1.00547e-008,0.9165
1.00971e-008,0.5337
1.01396e-008,0.1688
1.01820e-008,-0.1498
1.02244e-008,-0.4214
1.02668e-008,-0.6160
1.03093e-008,-0.7599
1.03517e-008,-0.8770
1.03941e-008,-0.9521
1.04366e-008,-0.9980
1.04790e-008,-1.0264
1.05214e-008,-1.0403
1.05638e-008,-1.0512
1.06063e-008,-1.0556
1.06487e-008,-1.0545
1.06911e-008,-1.0646
1.07335e-008,-1.0799
1.07759e-008,-1.0888
1.08184e-008,-1.0805
1.08608e-008,-1.0842
1.09032e-008,-1.0958
1.09456e-008,-1.0770
1.09881e-008,-0.9471
1.10305e-008,-0.5783
1.10729e-008,-0.2033
1.11154e-008,0.1168
1.11578e-008,0.3950
1.12002e-008,0.5976
1.12426e-008,0.7436
1.12851e-008,0.8649
1.13275e-008,0.9435
1.13699e-008,0.9915
1.14123e-008,1.0210
1.14548e-008,1.0360
1.14972e-008,1.0469
1.15396e-008,1.0521
1.15820e-008,1.0508
1.16244e-008,1.0596
1.16669e-008,1.0748
1.17093e-008,1.0852
1.17517e-008,1.0778
1.17941e-008,1.0788
1.18366e-008,1.0916
1.18790e-008,1.0773
1.19214e-008,0.9668
1.19639e-008,0.6162
1.20063e-008,0.2333
1.20487e-008,-0.0887
1.20911e-008,-0.3739
1.21336e-008,-0.5838
1.21760e-008,-0.7327
1.22184e-008,-0.8578
1.22608e-008,-0.9397
1.23032e-008,-0.9907
1.23457e-008,-1.0217
1.23881e-008,-1.0381
1.24305e-008,-1.0490
1.24729e-008,-1.0554
1.25154e-008,-1.0540
1.25578e-008,-1.0616
1.26002e-008,-1.0769
1.26427e-008,-1.0883
1.26851e-008,-1.0823
1.27275e-008,-1.0813
1.27699e-008,-1.0949
1.28124e-008,-1.0843
1.28548e-008,-0.9913
1.28972e-008,-0.6609
1.29396e-008,-0.2687
1.29821e-008,0.0554
1.30245e-008,0.3463
1.30669e-008,0.5644
1.31093e-008,0.7164
1.31517e-008,0.8450
1.31942e-008,0.9308
1.32366e-008,0.9843
1.32790e-008,1.0164
1.33214e-008,1.0341
1.33639e-008,1.0449
1.34063e-008,1.0521
1.34487e-008,1.0509
1.34912e-008,1.0570
1.35336e-008,1.0721
1.35760e-008,1.0845
1.36184e-008,1.0802
1.36609e-008,1.0768
1.37033e-008,1.0905
1.37457e-008,1.0837
1.37881e-008,1.0058
1.38306e-008,0.6985
1.38730e-008,0.3001
1.39154e-008,-0.0265
1.39578e-008,-0.3235
1.40002e-008,-0.5490
1.40427e-008,-0.7050
1.40851e-008,-0.8367
1.41275e-008,-0.9261
1.41699e-008,-0.9827
1.42124e-008,-1.0165
1.42548e-008,-1.0366
1.42972e-008,-1.0494
1.43397e-008,-1.0581
1.43821e-008,-1.0581
1.44245e-008,-1.0626
1.44669e-008,-1.0765
1.45094e-008,-1.0895
1.45518e-008,-1.0873
1.45942e-008,-1.0818
1.46366e-008,-1.0948
1.46790e-008,-1.0903
1.47215e-008,-1.0242
1.47639e-008,-0.7409
1.48063e-008,-0.3362
1.48487e-008,-0.0057
1.48912e-008,0.2956
1.49336e-008,0.5292
1.49760e-008,0.6901
1.50185e-008,0.8238
1.50609e-008,0.9170
1.51033e-008,0.9767
1.51457e-008,1.0119
1.51881e-008,1.0342
1.52306e-008,1.0481
1.52730e-008,1.0563
1.53154e-008,1.0555
1.53579e-008,1.0585
1.54003e-008,1.0716
1.54427e-008,1.0856
1.54851e-008,1.0860
1.55276e-008,1.0776
1.55700e-008,1.0887
1.56124e-008,1.0879
1.56548e-008,1.0328
1.56972e-008,0.7757
1.57397e-008,0.3699
1.57821e-008,0.0348
1.58245e-008,-0.2716
1.58670e-008,-0.5120
1.59094e-008,-0.6781
1.59518e-008,-0.8140
1.59942e-008,-0.9111
1.60366e-008,-0.9744
1.60791e-008,-1.0119
1.61215e-008,-1.0340
1.61639e-008,-1.0455
1.62064e-008,-1.0547
1.62488e-008,-1.0543
1.62912e-008,-1.0568
1.63336e-008,-1.0710
1.63761e-008,-1.0852
1.64185e-008,-1.0866
1.64609e-008,-1.0782
1.65033e-008,-1.0898
1.65457e-008,-1.0926
1.65882e-008,-1.0483
1.66306e-008,-0.8172
1.66730e-008,-0.4101
1.67155e-008,-0.0696
1.67579e-008,0.2405
1.68003e-008,0.4886
1.68427e-008,0.6607
1.68851e-008,0.7991
1.69276e-008,0.9018
1.69700e-008,0.9672
1.70124e-008,1.0057
1.70548e-008,1.0290
1.70973e-008,1.0384
1.71397e-008,1.0476
1.71821e-008,1.0480
1.72246e-008,1.0492
1.72670e-008,1.0635
1.73094e-008,1.0786
1.73518e-008,1.0815
1.73942e-008,1.0730
1.74367e-008,1.0837
1.74791e-008,1.0900
1.75215e-008,1.0548
1.75640e-008,0.8505
1.76064e-008,0.4473
1.76488e-008,0.1007
1.76912e-008,-0.2131
1.77336e-008,-0.4691
1.77761e-008,-0.6474
1.78185e-008,-0.7877
1.78609e-008,-0.8955
1.79033e-008,-0.9637
1.79458e-008,-1.0041
1.79882e-008,-1.0286
1.80306e-008,-1.0375
1.80731e-008,-1.0476
1.81155e-008,-1.0505
1.81579e-008,-1.0509
1.82003e-008,-1.0646
1.82427e-008,-1.0801
1.82852e-008,-1.0841
1.83276e-008,-1.0757
1.83700e-008,-1.0860
1.84125e-008,-1.0942
1.84549e-008,-1.0650
1.84973e-008,-0.8852
1.85397e-008,-0.4876
1.85822e-008,-0.1331
1.86246e-008,0.1820
1.86670e-008,0.4454
1.87094e-008,0.6313
1.87518e-008,0.7730
1.87943e-008,0.8857
1.88367e-008,0.9566
1.88791e-008,0.9981
1.89216e-008,1.0248
1.89640e-008,1.0354
1.90064e-008,1.0451
1.90488e-008,1.0486
1.90912e-008,1.0479
1.91337e-008,1.0601
1.91761e-008,1.0760
1.92185e-008,1.0824
1.92610e-008,1.0738
1.93034e-008,1.0812
1.93458e-008,1.0916
1.93882e-008,1.0682
1.94307e-008,0.9130
1.94731e-008,0.5266
1.95155e-008,0.1637
1.95579e-008,-0.1542
1.96003e-008,-0.4249
1.96428e-008,-0.6179
1.96852e-008,-0.7614
