.HEADER
..NAMES
Time,V U3.D7
.DATA
1.03941e-008,0.2255
1.04366e-008,0.2244
1.04790e-008,0.2234
1.05214e-008,0.2246
1.05638e-008,0.2498
1.06063e-008,0.3543
1.06487e-008,0.4880
1.06911e-008,0.6566
1.07335e-008,0.8254
1.07759e-008,0.9609
1.08184e-008,1.0627
1.08608e-008,1.1353
1.09032e-008,1.1809
1.09456e-008,1.2106
1.09881e-008,1.2302
1.10305e-008,1.2445
1.10729e-008,1.2524
1.11154e-008,1.2587
1.11578e-008,1.2623
1.12002e-008,1.2654
1.12426e-008,1.2682
1.12851e-008,1.2718
1.13275e-008,1.2732
1.13699e-008,1.2725
1.14123e-008,1.2707
1.14548e-008,1.2728
1.14972e-008,1.2364
1.15396e-008,1.0858
1.15820e-008,0.9158
1.16244e-008,0.7413
1.16669e-008,0.5618
1.17093e-008,0.4303
1.17517e-008,0.3455
1.17941e-008,0.2876
1.18366e-008,0.2581
1.18790e-008,0.2434
1.19214e-008,0.2307
1.19639e-008,0.2214
1.20063e-008,0.2187
1.20487e-008,0.2142
1.20911e-008,0.2106
1.21336e-008,0.2096
1.21760e-008,0.2077
1.22184e-008,0.2023
1.22608e-008,0.2007
1.23032e-008,0.2040
1.23457e-008,0.2070
1.23881e-008,0.1990
1.24305e-008,0.2076
1.24729e-008,0.3157
1.25154e-008,0.4684
1.25578e-008,0.6460
1.26002e-008,0.8355
1.26427e-008,0.9793
1.26851e-008,1.0830
1.27275e-008,1.1539
1.27699e-008,1.1939
1.28124e-008,1.2161
1.28548e-008,1.2340
1.28972e-008,1.2474
1.29396e-008,1.2543
1.29821e-008,1.2604
1.30245e-008,1.2647
1.30669e-008,1.2659
1.31093e-008,1.2679
1.31517e-008,1.2730
1.31942e-008,1.2763
1.32366e-008,1.2743
1.32790e-008,1.2698
1.33214e-008,1.2739
1.33639e-008,1.2829
1.34063e-008,1.2855
1.34487e-008,1.2853
1.34912e-008,1.2792
1.35336e-008,1.2681
1.35760e-008,1.2592
1.36184e-008,1.2531
1.36609e-008,1.2497
1.37033e-008,1.2510
1.37457e-008,1.2541
1.37881e-008,1.2556
1.38306e-008,1.2561
1.38730e-008,1.2566
1.39154e-008,1.2561
1.39578e-008,1.2559
1.40002e-008,1.2569
1.40427e-008,1.2579
1.40851e-008,1.2573
1.41275e-008,1.2560
1.41699e-008,1.2561
