.HEADER
..NAMES
Time,V U2.P8
.DATA
0.0e+000,1.2270
4.59e-011,1.2270
9.18e-011,1.2270
1.378e-010,1.2270
1.837e-010,1.2270
2.296e-010,1.2270
2.755e-010,1.2270
3.215e-010,1.2270
3.674e-010,1.2270
4.133e-010,1.2270
4.592e-010,1.2270
5.052e-010,1.2270
5.511e-010,1.2270
5.970e-010,1.2270
6.430e-010,1.2270
6.889e-010,1.2269
7.348e-010,1.2256
7.807e-010,1.2115
8.266e-010,1.1598
8.726e-010,1.0681
9.185e-010,0.9556
9.644e-010,0.8202
1.0104e-009,0.6690
1.0563e-009,0.5356
1.1022e-009,0.4400
1.1481e-009,0.3825
1.1940e-009,0.3608
1.2400e-009,0.3627
1.2859e-009,0.3698
1.3318e-009,0.3704
1.3778e-009,0.3589
1.4237e-009,0.3356
1.4696e-009,0.3076
1.5155e-009,0.2820
1.5614e-009,0.2634
1.6074e-009,0.2541
1.6533e-009,0.2538
1.6992e-009,0.2584
1.7452e-009,0.2625
1.7911e-009,0.2620
1.8370e-009,0.2553
1.8829e-009,0.2445
1.9288e-009,0.2331
1.9748e-009,0.2242
2.0207e-009,0.2204
2.0666e-009,0.2223
2.1125e-009,0.2279
2.1585e-009,0.2347
2.2044e-009,0.2401
2.2503e-009,0.2421
2.2963e-009,0.2409
2.3422e-009,0.2387
2.3881e-009,0.2378
2.4340e-009,0.2399
2.4800e-009,0.2449
2.5259e-009,0.2510
2.5718e-009,0.2558
2.6177e-009,0.2573
2.6636e-009,0.2552
2.7096e-009,0.2505
2.7555e-009,0.2454
2.8014e-009,0.2417
2.8473e-009,0.2407
2.8933e-009,0.2423
2.9392e-009,0.2456
2.9851e-009,0.2494
3.0311e-009,0.2523
3.0770e-009,0.2537
3.1229e-009,0.2530
3.1688e-009,0.2510
3.2148e-009,0.2484
3.2607e-009,0.2464
3.3066e-009,0.2458
3.3525e-009,0.2468
3.3984e-009,0.2488
3.4444e-009,0.2510
3.4903e-009,0.2523
3.5362e-009,0.2523
3.5821e-009,0.2511
3.6281e-009,0.2492
3.6740e-009,0.2474
3.7199e-009,0.2465
3.7658e-009,0.2467
3.8118e-009,0.2478
3.8577e-009,0.2492
3.9036e-009,0.2502
3.9496e-009,0.2504
3.9955e-009,0.2498
4.0414e-009,0.2487
4.0873e-009,0.2478
4.1333e-009,0.2474
4.1792e-009,0.2476
4.2251e-009,0.2481
4.2710e-009,0.2488
4.3169e-009,0.2494
4.3629e-009,0.2496
4.4088e-009,0.2494
4.4547e-009,0.2489
4.5007e-009,0.2482
4.5466e-009,0.2477
4.5925e-009,0.2475
4.6384e-009,0.2476
4.6843e-009,0.2481
4.7303e-009,0.2486
4.7762e-009,0.2490
4.8221e-009,0.2491
4.8680e-009,0.2488
4.9140e-009,0.2484
4.9599e-009,0.2479
5.0058e-009,0.2476
5.0518e-009,0.2476
5.0977e-009,0.2479
5.1436e-009,0.2483
5.1895e-009,0.2486
5.2354e-009,0.2488
5.2814e-009,0.2486
5.3273e-009,0.2483
5.3732e-009,0.2480
5.4192e-009,0.2478
5.4651e-009,0.2478
5.5110e-009,0.2479
5.5569e-009,0.2481
5.6029e-009,0.2483
5.6488e-009,0.2484
5.6947e-009,0.2483
5.7406e-009,0.2482
5.7865e-009,0.2481
5.8325e-009,0.2479
5.8784e-009,0.2478
5.9243e-009,0.2478
5.9703e-009,0.2479
6.0162e-009,0.2481
6.0621e-009,0.2482
6.1080e-009,0.2482
6.1539e-009,0.2482
6.1999e-009,0.2481
6.2458e-009,0.2479
6.2917e-009,0.2478
6.3376e-009,0.2480
6.3836e-009,0.2523
6.4295e-009,0.2816
6.4754e-009,0.3606
6.5214e-009,0.4766
6.5673e-009,0.6167
6.6132e-009,0.7803
6.6591e-009,0.9328
6.7050e-009,1.0399
6.7510e-009,1.1023
6.7969e-009,1.1232
6.8428e-009,1.1115
6.8888e-009,1.0933
6.9347e-009,1.0879
6.9806e-009,1.1002
7.0265e-009,1.1301
7.0725e-009,1.1673
7.1184e-009,1.1984
7.1643e-009,1.2182
7.2102e-009,1.2262
7.2561e-009,1.2245
7.3021e-009,1.2185
7.3480e-009,1.2133
7.3939e-009,1.2122
7.4399e-009,1.2175
7.4858e-009,1.2284
7.5317e-009,1.2414
7.5776e-009,1.2524
7.6235e-009,1.2575
7.6695e-009,1.2548
7.7154e-009,1.2463
7.7613e-009,1.2364
7.8072e-009,1.2293
7.8532e-009,1.2273
7.8991e-009,1.2303
7.9450e-009,1.2350
7.9910e-009,1.2377
8.0369e-009,1.2360
8.0828e-009,1.2298
8.1287e-009,1.2216
8.1747e-009,1.2149
8.2206e-009,1.2124
8.2665e-009,1.2082
8.3124e-009,1.1783
8.3583e-009,1.1051
8.4043e-009,1.0025
8.4502e-009,0.8740
8.4961e-009,0.7197
8.5420e-009,0.5707
8.5880e-009,0.4574
8.6339e-009,0.3855
8.6798e-009,0.3539
8.7257e-009,0.3536
8.7717e-009,0.3652
8.8176e-009,0.3725
8.8635e-009,0.3674
8.9095e-009,0.3472
8.9554e-009,0.3176
9.0013e-009,0.2875
9.0472e-009,0.2632
9.0932e-009,0.2492
9.1391e-009,0.2467
9.1850e-009,0.2523
9.2309e-009,0.2600
9.2769e-009,0.2640
9.3228e-009,0.2605
9.3687e-009,0.2502
9.4146e-009,0.2367
9.4605e-009,0.2243
9.5065e-009,0.2171
9.5524e-009,0.2172
9.5983e-009,0.2232
9.6442e-009,0.2318
9.6902e-009,0.2395
9.7361e-009,0.2432
9.7820e-009,0.2422
9.8280e-009,0.2387
