.HEADER
..NAMES
Time,V U1.N26
.DATA
0.0e+000,1.2616
4.24e-011,1.2616
8.49e-011,1.2616
1.273e-010,1.2616
1.697e-010,1.2616
2.121e-010,1.2616
2.545e-010,1.2616
2.970e-010,1.2616
3.394e-010,1.2616
3.818e-010,1.2616
4.242e-010,1.2616
4.667e-010,1.2616
5.091e-010,1.2616
5.515e-010,1.2616
5.940e-010,1.2616
6.364e-010,1.2616
6.788e-010,1.2616
7.212e-010,1.2616
7.636e-010,1.2616
8.061e-010,1.2616
8.485e-010,1.2616
8.909e-010,1.2342
9.333e-010,1.0453
9.758e-010,0.8410
1.0182e-009,0.6466
1.0606e-009,0.4670
1.1030e-009,0.3561
1.1455e-009,0.2997
1.1879e-009,0.2786
1.2303e-009,0.2728
1.2728e-009,0.2809
1.3152e-009,0.2811
1.3576e-009,0.2754
1.4000e-009,0.2666
1.4425e-009,0.2391
1.4849e-009,0.2275
1.5273e-009,0.2554
1.5697e-009,0.2745
1.6121e-009,0.2815
1.6546e-009,0.2928
1.6970e-009,0.2857
1.7394e-009,0.2446
1.7819e-009,0.2089
1.8243e-009,0.1978
1.8667e-009,0.1897
1.9091e-009,0.1974
1.9516e-009,0.2106
1.9940e-009,0.2171
2.0364e-009,0.2223
2.0788e-009,0.2243
2.1213e-009,0.2223
2.1637e-009,0.2186
2.2061e-009,0.2171
2.2485e-009,0.2087
2.2910e-009,0.2069
2.3334e-009,0.2163
2.3758e-009,0.2200
2.4182e-009,0.2177
2.4606e-009,0.2193
2.5031e-009,0.2188
2.5455e-009,0.2111
2.5879e-009,0.2080
2.6303e-009,0.2119
2.6728e-009,0.2143
2.7152e-009,0.2174
2.7576e-009,0.2218
2.8000e-009,0.3287
2.8425e-009,0.4998
2.8849e-009,0.6960
2.9273e-009,0.8960
2.9698e-009,1.0352
3.0122e-009,1.1231
3.0546e-009,1.1631
3.0970e-009,1.1828
3.1395e-009,1.1905
3.1819e-009,1.1913
3.2243e-009,1.1947
3.2667e-009,1.1980
3.3092e-009,1.2196
3.3516e-009,1.2371
3.3940e-009,1.2298
3.4364e-009,1.2150
3.4789e-009,1.1992
3.5213e-009,1.1849
3.5637e-009,1.1855
3.6061e-009,1.2093
3.6485e-009,1.2424
3.6910e-009,1.2643
3.7334e-009,1.2804
3.7758e-009,1.2779
3.8183e-009,1.2678
3.8607e-009,1.2599
3.9031e-009,1.2539
3.9455e-009,1.2539
3.9879e-009,1.2544
4.0304e-009,1.2564
4.0728e-009,1.2580
4.1152e-009,1.2649
4.1577e-009,1.2688
4.2001e-009,1.2650
4.2425e-009,1.2611
4.2849e-009,1.2591
4.3274e-009,1.2578
4.3698e-009,1.2589
4.4122e-009,1.2638
4.4546e-009,1.2675
4.4970e-009,1.2671
4.5395e-009,1.2654
4.5819e-009,1.2618
4.6243e-009,1.2587
4.6668e-009,1.2587
4.7092e-009,1.2595
4.7516e-009,1.2610
4.7940e-009,1.2621
4.8364e-009,1.2621
4.8789e-009,1.2620
4.9213e-009,1.2631
4.9637e-009,1.2636
5.0062e-009,1.2617
5.0486e-009,1.2607
5.0910e-009,1.2608
5.1334e-009,1.2610
5.1758e-009,1.2615
5.2183e-009,1.2625
5.2607e-009,1.2630
5.3031e-009,1.2623
5.3456e-009,1.2617
5.3880e-009,1.2611
5.4304e-009,1.2609
5.4728e-009,1.2615
5.5153e-009,1.2619
5.5577e-009,1.2621
5.6001e-009,1.2622
5.6425e-009,1.2619
5.6849e-009,1.2616
5.7274e-009,1.2619
5.7698e-009,1.2621
5.8122e-009,1.2616
5.8547e-009,1.2613
5.8971e-009,1.2616
5.9395e-009,1.2618
5.9819e-009,1.2619
6.0243e-009,1.2620
6.0668e-009,1.2620
6.1092e-009,1.2617
6.1516e-009,1.2616
6.1941e-009,1.2616
6.2365e-009,1.2616
6.2789e-009,1.2618
6.3213e-009,1.2619
6.3637e-009,1.2619
6.4062e-009,1.2618
6.4486e-009,1.2617
6.4910e-009,1.2616
6.5335e-009,1.2618
6.5759e-009,1.2619
6.6183e-009,1.2617
6.6607e-009,1.2616
6.7032e-009,1.2618
6.7456e-009,1.2618
6.7880e-009,1.2618
6.8304e-009,1.2618
6.8728e-009,1.2618
6.9153e-009,1.2617
6.9577e-009,1.2617
7.0001e-009,1.2617
7.0426e-009,1.2617
7.0850e-009,1.2618
7.1274e-009,1.2618
7.1698e-009,1.2618
7.2122e-009,1.2617
7.2547e-009,1.2617
7.2971e-009,1.2617
7.3395e-009,1.2618
7.3820e-009,1.2618
7.4244e-009,1.2595
7.4668e-009,1.1852
7.5092e-009,0.9729
7.5516e-009,0.7842
7.5941e-009,0.5846
7.6365e-009,0.4226
7.6789e-009,0.3361
7.7213e-009,0.2913
7.7638e-009,0.2753
7.8062e-009,0.2732
7.8486e-009,0.2828
7.8910e-009,0.2782
7.9335e-009,0.2752
7.9759e-009,0.2590
8.0183e-009,0.2314
8.0608e-009,0.2340
8.1032e-009,0.2647
8.1456e-009,0.2764
8.1880e-009,0.2851
8.2305e-009,0.2941
8.2729e-009,0.2758
8.3153e-009,0.2303
8.3577e-009,0.2044
8.4001e-009,0.2355
8.4426e-009,0.4039
8.4850e-009,0.6033
8.5274e-009,0.8367
8.5698e-009,1.0084
8.6123e-009,1.1095
8.6547e-009,1.1676
8.6971e-009,1.1852
8.7396e-009,1.1945
8.7820e-009,1.1865
8.8244e-009,1.1819
8.8668e-009,1.1870
8.9093e-009,1.2110
8.9517e-009,1.2378
8.9941e-009,1.2434
9.0365e-009,1.2250
9.0790e-009,1.2036
9.1214e-009,1.1800
9.1638e-009,1.1734
9.2062e-009,1.1909
9.2486e-009,1.2303
9.2911e-009,1.2633
9.3335e-009,1.2260
9.3759e-009,1.0031
9.4183e-009,0.7798
9.4608e-009,0.5708
9.5032e-009,0.4054
9.5456e-009,0.3207
9.5881e-009,0.2801
9.6305e-009,0.2667
