.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
1.00123e-008,-0.7012
1.00547e-008,-0.7783
1.00971e-008,-0.7821
1.01396e-008,-0.8023
1.01820e-008,-0.8374
1.02244e-008,-0.8376
1.02668e-008,-0.8564
1.03093e-008,-0.8779
1.03517e-008,-0.8894
1.03941e-008,-0.8970
1.04366e-008,-0.8716
1.04790e-008,-0.8537
1.05214e-008,-0.8517
1.05638e-008,-0.8576
1.06063e-008,-0.8997
1.06487e-008,-0.9649
1.06911e-008,-1.0137
1.07335e-008,-0.8578
1.07759e-008,-0.4515
1.08184e-008,-0.0552
1.08608e-008,0.3243
1.09032e-008,0.5530
1.09456e-008,0.6905
1.09881e-008,0.7814
1.10305e-008,0.7894
1.10729e-008,0.8032
1.11154e-008,0.8339
1.11578e-008,0.8328
1.12002e-008,0.8504
1.12426e-008,0.8769
1.12851e-008,0.8911
1.13275e-008,0.9015
1.13699e-008,0.8762
1.14123e-008,0.8542
1.14548e-008,0.8524
1.14972e-008,0.8577
1.15396e-008,0.8953
1.15820e-008,0.9597
1.16244e-008,1.0137
1.16669e-008,0.8922
1.17093e-008,0.4963
1.17517e-008,0.0999
1.17941e-008,-0.2929
1.18366e-008,-0.5367
1.18790e-008,-0.6769
1.19214e-008,-0.7711
1.19639e-008,-0.7808
1.20063e-008,-0.7959
1.20487e-008,-0.8332
1.20911e-008,-0.8381
1.21336e-008,-0.8509
1.21760e-008,-0.8752
1.22184e-008,-0.8868
1.22608e-008,-0.8980
1.23032e-008,-0.8778
1.23457e-008,-0.8553
1.23881e-008,-0.8519
1.24305e-008,-0.8546
1.24729e-008,-0.8883
1.25154e-008,-0.9523
1.25578e-008,-1.0101
1.26002e-008,-0.9219
1.26427e-008,-0.5357
1.26851e-008,-0.1367
1.27275e-008,0.2649
1.27699e-008,0.5199
1.28124e-008,0.6659
1.28548e-008,0.7717
1.28972e-008,0.7885
1.29396e-008,0.7986
1.29821e-008,0.8294
1.30245e-008,0.8337
1.30669e-008,0.8442
1.31093e-008,0.8731
1.31517e-008,0.8882
1.31942e-008,0.9015
1.32366e-008,0.8829
1.32790e-008,0.8562
1.33214e-008,0.8522
1.33639e-008,0.8551
1.34063e-008,0.8845
1.34487e-008,0.9468
1.34912e-008,1.0078
1.35336e-008,0.9540
1.35760e-008,0.5812
1.36184e-008,0.1776
1.36609e-008,-0.2297
1.37033e-008,-0.5003
1.37457e-008,-0.6531
1.37881e-008,-0.7612
1.38306e-008,-0.7804
1.38730e-008,-0.7911
1.39154e-008,-0.8268
1.39578e-008,-0.8392
1.40002e-008,-0.8456
1.40427e-008,-0.8718
1.40851e-008,-0.8847
1.41275e-008,-0.8973
1.41699e-008,-0.8841
1.42124e-008,-0.8577
1.42548e-008,-0.8522
1.42972e-008,-0.8529
1.43397e-008,-0.8783
1.43821e-008,-0.9395
1.44245e-008,-1.0018
1.44669e-008,-0.9774
1.45094e-008,-0.6220
1.45518e-008,-0.2120
1.45942e-008,0.1974
1.46366e-008,0.4804
1.46790e-008,0.6405
1.47215e-008,0.7594
1.47639e-008,0.7884
1.48063e-008,0.7954
1.48487e-008,0.8233
1.48912e-008,0.8351
1.49336e-008,0.8388
1.49760e-008,0.8684
1.50185e-008,0.8856
1.50609e-008,0.9000
1.51033e-008,0.8893
1.51457e-008,0.8593
1.51881e-008,0.8521
1.52306e-008,0.8536
1.52730e-008,0.8753
1.53154e-008,0.9338
1.53579e-008,0.9972
1.54003e-008,0.9976
1.54427e-008,0.6683
1.54851e-008,0.2522
1.55276e-008,-0.1574
1.55700e-008,-0.4577
1.56124e-008,-0.6269
1.56548e-008,-0.7480
1.56972e-008,-0.7811
1.57397e-008,-0.7877
1.57821e-008,-0.8190
1.58245e-008,-0.8400
1.58670e-008,-0.8413
1.59094e-008,-0.8676
1.59518e-008,-0.8827
1.59942e-008,-0.8953
1.60366e-008,-0.8898
1.60791e-008,-0.8611
1.61215e-008,-0.8525
1.61639e-008,-0.8521
1.62064e-008,-0.8698
1.62488e-008,-0.9265
1.62912e-008,-0.9905
1.63336e-008,-1.0078
1.63761e-008,-0.7080
1.64185e-008,-0.2870
1.64609e-008,0.1211
1.65033e-008,0.4353
1.65457e-008,0.6127
1.65882e-008,0.7423
1.66306e-008,0.7890
1.66730e-008,0.7929
1.67155e-008,0.8163
1.67579e-008,0.8361
1.68003e-008,0.8349
1.68427e-008,0.8630
1.68851e-008,0.8830
1.69276e-008,0.8975
1.69700e-008,0.8949
1.70124e-008,0.8636
1.70548e-008,0.8521
1.70973e-008,0.8529
1.71397e-008,0.8677
1.71821e-008,0.9208
1.72246e-008,0.9855
1.72670e-008,1.0150
1.73094e-008,0.7498
1.73518e-008,0.3271
1.73942e-008,-0.0783
1.74367e-008,-0.4097
1.74791e-008,-0.5988
1.75215e-008,-0.7287
1.75640e-008,-0.7818
1.76064e-008,-0.7849
1.76488e-008,-0.8109
1.76912e-008,-0.8399
1.77336e-008,-0.8387
1.77761e-008,-0.8627
1.78185e-008,-0.8807
1.78609e-008,-0.8927
1.79033e-008,-0.8943
1.79458e-008,-0.8657
1.79882e-008,-0.8529
1.80306e-008,-0.8518
1.80731e-008,-0.8631
1.81155e-008,-0.9136
1.81579e-008,-0.9788
1.82003e-008,-1.0153
1.82427e-008,-0.7844
1.82852e-008,-0.3628
1.83276e-008,0.0395
1.83700e-008,0.3849
1.84125e-008,0.5845
1.84549e-008,0.7187
1.84973e-008,0.7877
1.85397e-008,0.7908
1.85822e-008,0.8095
1.86246e-008,0.8359
1.86670e-008,0.8328
1.87094e-008,0.8570
1.87518e-008,0.8803
1.87943e-008,0.8944
1.88367e-008,0.8989
1.88791e-008,0.8690
1.89216e-008,0.8526
1.89640e-008,0.8525
1.90064e-008,0.8619
1.90488e-008,0.9082
1.90912e-008,0.9733
1.91337e-008,1.0160
1.91761e-008,0.8205
1.92185e-008,0.4048
1.92610e-008,0.0058
1.93034e-008,-0.3567
1.93458e-008,-0.5707
1.93882e-008,-0.7042
1.94307e-008,-0.7793
1.94731e-008,-0.7826
1.95155e-008,-0.8033
1.95579e-008,-0.8381
1.96003e-008,-0.8379
1.96428e-008,-0.8573
1.96852e-008,-0.8784
1.97276e-008,-0.8899
