.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
1.03941e-008,0.2930
1.04366e-008,0.3082
1.04790e-008,0.3083
1.05214e-008,0.2917
1.05638e-008,0.2757
1.06063e-008,0.2406
1.06487e-008,0.2163
1.06911e-008,0.2200
1.07335e-008,0.3334
1.07759e-008,0.5458
1.08184e-008,0.7201
1.08608e-008,0.9083
1.09032e-008,1.0247
1.09456e-008,1.0806
1.09881e-008,1.1277
1.10305e-008,1.1517
1.10729e-008,1.1745
1.11154e-008,1.1928
1.11578e-008,1.2004
1.12002e-008,1.1992
1.12426e-008,1.1916
1.12851e-008,1.1863
1.13275e-008,1.1847
1.13699e-008,1.1740
1.14123e-008,1.1754
1.14548e-008,1.1818
1.14972e-008,1.1884
1.15396e-008,1.2220
1.15820e-008,1.2440
1.16244e-008,1.2414
1.16669e-008,1.1181
1.17093e-008,0.8511
1.17517e-008,0.6601
1.17941e-008,0.4936
1.18366e-008,0.3811
1.18790e-008,0.3343
1.19214e-008,0.3067
1.19639e-008,0.2932
1.20063e-008,0.2827
1.20487e-008,0.2743
1.20911e-008,0.2707
1.21336e-008,0.2733
1.21760e-008,0.2858
1.22184e-008,0.2955
1.22608e-008,0.2920
1.23032e-008,0.3050
1.23457e-008,0.3106
1.23881e-008,0.2944
1.24305e-008,0.2803
1.24729e-008,0.2478
1.25154e-008,0.2189
1.25578e-008,0.2167
1.26002e-008,0.2957
1.26427e-008,0.5066
1.26851e-008,0.6828
1.27275e-008,0.8788
1.27699e-008,1.0072
1.28124e-008,1.0714
1.28548e-008,1.1186
1.28972e-008,1.1484
1.29396e-008,1.1702
1.29821e-008,1.1893
1.30245e-008,1.2002
1.30669e-008,1.1996
1.31093e-008,1.1940
1.31517e-008,1.1859
1.31942e-008,1.1860
1.32366e-008,1.1758
1.32790e-008,1.1737
1.33214e-008,1.1814
1.33639e-008,1.1850
1.34063e-008,1.2147
1.34487e-008,1.2420
1.34912e-008,1.2452
1.35336e-008,1.1631
1.35760e-008,0.9016
1.36184e-008,0.6955
1.36609e-008,0.5195
1.37033e-008,0.3994
1.37457e-008,0.3400
1.37881e-008,0.3116
1.38306e-008,0.2940
1.38730e-008,0.2851
1.39154e-008,0.2762
1.39578e-008,0.2703
1.40002e-008,0.2689
1.40427e-008,0.2759
1.40851e-008,0.2911
1.41275e-008,0.2876
1.41699e-008,0.2997
1.42124e-008,0.3132
1.42548e-008,0.2980
1.42972e-008,0.2834
1.43397e-008,0.2541
1.43821e-008,0.2215
1.44245e-008,0.2140
1.44669e-008,0.2603
1.45094e-008,0.4675
1.45518e-008,0.6527
1.45942e-008,0.8475
1.46366e-008,0.9884
1.46790e-008,1.0639
1.47215e-008,1.1104
1.47639e-008,1.1445
1.48063e-008,1.1635
1.48487e-008,1.1846
1.48912e-008,1.1995
1.49336e-008,1.2061
1.49760e-008,1.2065
1.50185e-008,1.1906
1.50609e-008,1.1885
1.51033e-008,1.1784
1.51457e-008,1.1703
1.51881e-008,1.1803
1.52306e-008,1.1848
1.52730e-008,1.2082
1.53154e-008,1.2389
1.53579e-008,1.2451
1.54003e-008,1.1973
1.54427e-008,0.9530
1.54851e-008,0.7253
1.55276e-008,0.5469
1.55700e-008,0.4186
1.56124e-008,0.3458
1.56548e-008,0.3164
1.56972e-008,0.2976
1.57397e-008,0.2912
1.57821e-008,0.2783
1.58245e-008,0.2689
1.58670e-008,0.2701
1.59094e-008,0.2774
1.59518e-008,0.2944
1.59942e-008,0.2931
1.60366e-008,0.2984
1.60791e-008,0.3117
1.61215e-008,0.3008
1.61639e-008,0.2862
1.62064e-008,0.2623
1.62488e-008,0.2274
1.62912e-008,0.2141
1.63336e-008,0.2330
1.63761e-008,0.4202
1.64185e-008,0.6177
1.64609e-008,0.8070
1.65033e-008,0.9634
1.65457e-008,1.0523
1.65882e-008,1.1005
1.66306e-008,1.1409
1.66730e-008,1.1606
1.67155e-008,1.1824
1.67579e-008,1.1986
1.68003e-008,1.1989
1.68427e-008,1.1914
1.68851e-008,1.1820
1.69276e-008,1.1818
1.69700e-008,1.1781
1.70124e-008,1.1730
1.70548e-008,1.1800
1.70973e-008,1.1817
1.71397e-008,1.1991
1.71821e-008,1.2337
1.72246e-008,1.2457
1.72670e-008,1.2234
1.73094e-008,1.0152
1.73518e-008,0.7655
1.73942e-008,0.5853
1.74367e-008,0.4450
1.74791e-008,0.3557
1.75215e-008,0.3217
1.75640e-008,0.2973
1.76064e-008,0.2882
1.76488e-008,0.2778
1.76912e-008,0.2708
1.77336e-008,0.2739
1.77761e-008,0.2867
1.78185e-008,0.2989
1.78609e-008,0.2958
1.79033e-008,0.2959
1.79458e-008,0.3091
1.79882e-008,0.3039
1.80306e-008,0.2910
1.80731e-008,0.2709
1.81155e-008,0.2336
1.81579e-008,0.2144
1.82003e-008,0.2220
1.82427e-008,0.3748
1.82852e-008,0.5823
1.83276e-008,0.7636
1.83700e-008,0.9361
1.84125e-008,1.0396
1.84549e-008,1.0919
1.84973e-008,1.1374
1.85397e-008,1.1595
1.85822e-008,1.1799
1.86246e-008,1.1945
1.86670e-008,1.1980
1.87094e-008,1.1905
1.87518e-008,1.1826
1.87943e-008,1.1828
1.88367e-008,1.1811
1.88791e-008,1.1733
1.89216e-008,1.1782
1.89640e-008,1.1807
1.90064e-008,1.1927
1.90488e-008,1.2285
1.90912e-008,1.2454
1.91337e-008,1.2349
1.91761e-008,1.0671
1.92185e-008,0.8042
1.92610e-008,0.6209
1.93034e-008,0.4687
1.93458e-008,0.3658
1.93882e-008,0.3271
1.94307e-008,0.3003
1.94731e-008,0.2896
1.95155e-008,0.2790
1.95579e-008,0.2729
1.96003e-008,0.2734
1.96428e-008,0.2842
1.96852e-008,0.2971
1.97276e-008,0.2970
1.97701e-008,0.2939
1.98125e-008,0.3075
1.98549e-008,0.3067
1.98973e-008,0.2931
1.99397e-008,0.2767
1.99822e-008,0.2402
2.00246e-008,0.2160
2.00670e-008,0.2194
2.01095e-008,0.3351
2.01519e-008,0.5469
2.01943e-008,0.7223
2.02367e-008,0.9092
2.02792e-008,1.0252
2.03216e-008,1.0816
2.03640e-008,1.1295
2.04064e-008,1.1550
2.04488e-008,1.1767
2.04913e-008,1.1918
2.05337e-008,1.1987
2.05761e-008,1.1974
2.06186e-008,1.1904
2.06610e-008,1.1868
2.07034e-008,1.1851
2.07458e-008,1.1737
2.07882e-008,1.1752
2.08307e-008,1.1814
2.08731e-008,1.1885
2.09155e-008,1.2226
2.09580e-008,1.2444
2.10004e-008,1.2409
2.10428e-008,1.1126
2.10852e-008,0.8455
2.11277e-008,0.6558
2.11701e-008,0.4910
2.12125e-008,0.3789
2.12549e-008,0.3328
2.12973e-008,0.3054
2.13398e-008,0.2927
2.13822e-008,0.2824
2.14246e-008,0.2746
2.14671e-008,0.2709
2.15095e-008,0.2689
2.15519e-008,0.2800
2.15943e-008,0.2903
2.16367e-008,0.2885
2.16792e-008,0.3045
2.17216e-008,0.3117
2.17640e-008,0.2939
2.18064e-008,0.2792
2.18489e-008,0.2457
2.18913e-008,0.2174
2.19337e-008,0.2173
2.19762e-008,0.3005
2.20186e-008,0.5135
2.20610e-008,0.6891
2.21034e-008,0.8843
2.21458e-008,1.0110
2.21883e-008,1.0733
2.22307e-008,1.1199
2.22731e-008,1.1474
2.23156e-008,1.1685
2.23580e-008,1.1889
2.24004e-008,1.2009
2.24428e-008,1.2079
2.24852e-008,1.2033
2.25277e-008,1.1895
2.25701e-008,1.1870
2.26125e-008,1.1754
2.26549e-008,1.1714
2.26974e-008,1.1820
2.27398e-008,1.1869
2.27822e-008,1.2160
2.28247e-008,1.2421
2.28671e-008,1.2438
2.29095e-008,1.1558
2.29519e-008,0.8923
2.29943e-008,0.6888
2.30368e-008,0.5140
2.30792e-008,0.3954
2.31216e-008,0.3390
2.31641e-008,0.3117
2.32065e-008,0.2965
2.32489e-008,0.2878
2.32913e-008,0.2755
2.33338e-008,0.2687
2.33762e-008,0.2707
2.34186e-008,0.2812
2.34610e-008,0.2957
2.35034e-008,0.2925
2.35459e-008,0.3019
2.35883e-008,0.3115
2.36307e-008,0.2968
2.36732e-008,0.2831
2.37156e-008,0.2541
2.37580e-008,0.2221
2.38004e-008,0.2142
2.38428e-008,0.2621
2.38853e-008,0.4692
2.39277e-008,0.6534
2.39701e-008,0.8492
2.40126e-008,0.9889
