.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
1.03962e-008,0.2842
1.04386e-008,0.3041
1.04810e-008,0.3195
1.05235e-008,0.3195
1.05659e-008,0.3082
1.06083e-008,0.2785
1.06507e-008,0.2439
1.06932e-008,0.2212
1.07356e-008,0.2934
1.07780e-008,0.4756
1.08205e-008,0.6678
1.08629e-008,0.8686
1.09053e-008,0.9918
1.09477e-008,1.0586
1.09902e-008,1.0932
1.10326e-008,1.0903
1.10750e-008,1.1077
1.11174e-008,1.1287
1.11598e-008,1.1387
1.12023e-008,1.1628
1.12447e-008,1.1885
1.12871e-008,1.1954
1.13295e-008,1.1897
1.13720e-008,1.1705
1.14144e-008,1.1621
1.14568e-008,1.1652
1.14993e-008,1.1646
1.15417e-008,1.1827
1.15841e-008,1.2159
1.16265e-008,1.2411
1.16690e-008,1.1577
1.17114e-008,0.9297
1.17538e-008,0.7198
1.17962e-008,0.5335
1.18387e-008,0.4230
1.18811e-008,0.3653
1.19235e-008,0.3305
1.19659e-008,0.3453
1.20083e-008,0.3527
1.20508e-008,0.3322
1.20932e-008,0.3140
1.21356e-008,0.2959
1.21780e-008,0.2800
1.22205e-008,0.2785
1.22629e-008,0.2821
1.23053e-008,0.2996
1.23478e-008,0.3178
1.23902e-008,0.3203
1.24326e-008,0.3117
1.24750e-008,0.2854
1.25175e-008,0.2501
1.25599e-008,0.2230
1.26023e-008,0.2647
1.26447e-008,0.4378
1.26871e-008,0.6265
1.27296e-008,0.8362
1.27720e-008,0.9746
1.28144e-008,1.0472
1.28568e-008,1.0906
1.28993e-008,1.0897
1.29417e-008,1.1031
1.29841e-008,1.1257
1.30265e-008,1.1363
1.30690e-008,1.1569
1.31114e-008,1.1847
1.31538e-008,1.1952
1.31963e-008,1.1921
1.32387e-008,1.1742
1.32811e-008,1.1621
1.33235e-008,1.1648
1.33660e-008,1.1641
1.34084e-008,1.1771
1.34508e-008,1.2094
1.34932e-008,1.2390
1.35356e-008,1.1928
1.35781e-008,0.9770
1.36205e-008,0.7606
1.36629e-008,0.5620
1.37053e-008,0.4385
1.37478e-008,0.3746
1.37902e-008,0.3327
1.38326e-008,0.3415
1.38751e-008,0.3535
1.39175e-008,0.3370
1.39599e-008,0.3169
1.40023e-008,0.2998
1.40448e-008,0.2820
1.40872e-008,0.2780
1.41296e-008,0.2808
1.41720e-008,0.2951
1.42145e-008,0.3154
1.42569e-008,0.3208
1.42993e-008,0.3143
1.43417e-008,0.2920
1.43841e-008,0.2566
1.44266e-008,0.2263
1.44690e-008,0.2359
1.45114e-008,0.3996
1.45538e-008,0.5884
1.45963e-008,0.8001
1.46387e-008,0.9536
1.46811e-008,1.0355
1.47236e-008,1.0866
1.47660e-008,1.0903
1.48084e-008,1.0988
1.48508e-008,1.1220
1.48933e-008,1.1344
1.49357e-008,1.1513
1.49781e-008,1.1800
1.50205e-008,1.1945
1.50629e-008,1.1938
1.51054e-008,1.1783
1.51478e-008,1.1629
1.51902e-008,1.1642
1.52327e-008,1.1642
1.52751e-008,1.1723
1.53175e-008,1.2027
1.53599e-008,1.2344
1.54023e-008,1.2202
1.54448e-008,1.0260
1.54872e-008,0.7989
1.55296e-008,0.5947
1.55721e-008,0.4575
1.56145e-008,0.3852
1.56569e-008,0.3366
1.56993e-008,0.3371
1.57417e-008,0.3527
1.57842e-008,0.3419
1.58266e-008,0.3200
1.58690e-008,0.3037
1.59114e-008,0.2847
1.59539e-008,0.2776
1.59963e-008,0.2800
1.60387e-008,0.2909
1.60812e-008,0.3123
1.61236e-008,0.3209
1.61660e-008,0.3164
1.62084e-008,0.2980
1.62508e-008,0.2634
1.62933e-008,0.2315
1.63357e-008,0.2217
1.63781e-008,0.3626
1.64206e-008,0.5531
1.64630e-008,0.7604
1.65054e-008,0.9293
1.65478e-008,1.0226
1.65903e-008,1.0809
1.66327e-008,1.0918
1.66751e-008,1.0951
1.67175e-008,1.1178
1.67599e-008,1.1328
1.68024e-008,1.1465
1.68448e-008,1.1747
1.68872e-008,1.1932
1.69297e-008,1.1947
1.69721e-008,1.1823
1.70145e-008,1.1643
1.70569e-008,1.1633
1.70993e-008,1.1648
1.71418e-008,1.1689
1.71842e-008,1.1963
1.72266e-008,1.2288
1.72691e-008,1.2341
1.73115e-008,1.0734
1.73539e-008,0.8383
1.73963e-008,0.6315
1.74388e-008,0.4797
1.74812e-008,0.3970
1.75236e-008,0.3441
1.75660e-008,0.3329
1.76084e-008,0.3508
1.76509e-008,0.3463
1.76933e-008,0.3235
1.77357e-008,0.3074
1.77782e-008,0.2878
1.78206e-008,0.2777
1.78630e-008,0.2795
1.79054e-008,0.2874
1.79478e-008,0.3085
1.79903e-008,0.3203
1.80327e-008,0.3181
1.80751e-008,0.3033
1.81176e-008,0.2705
1.81600e-008,0.2372
1.82024e-008,0.2189
1.82448e-008,0.3279
1.82873e-008,0.5173
1.83297e-008,0.7170
1.83721e-008,0.9020
1.84145e-008,1.0083
1.84569e-008,1.0717
1.84994e-008,1.0934
1.85418e-008,1.0921
1.85842e-008,1.1132
1.86267e-008,1.1311
1.86691e-008,1.1423
1.87115e-008,1.1691
1.87539e-008,1.1913
1.87963e-008,1.1952
1.88388e-008,1.1861
1.88812e-008,1.1667
1.89236e-008,1.1625
1.89661e-008,1.1651
1.90085e-008,1.1663
1.90509e-008,1.1897
1.90933e-008,1.2229
1.91358e-008,1.2401
1.91782e-008,1.1156
1.92206e-008,0.8798
1.92630e-008,0.6718
1.93054e-008,0.5042
1.93479e-008,0.4088
1.93903e-008,0.3541
1.94327e-008,0.3303
1.94752e-008,0.3486
1.95176e-008,0.3498
1.95600e-008,0.3274
1.96024e-008,0.3106
1.96448e-008,0.2914
1.96873e-008,0.2784
1.97297e-008,0.2790
1.97721e-008,0.2845
1.98146e-008,0.3044
1.98570e-008,0.3193
1.98994e-008,0.3193
1.99418e-008,0.3077
1.99843e-008,0.2775
2.00267e-008,0.2431
2.00691e-008,0.2208
2.01115e-008,0.2982
2.01539e-008,0.4810
2.01964e-008,0.6732
2.02388e-008,0.8723
2.02812e-008,0.9934
2.03237e-008,1.0603
2.03661e-008,1.0932
2.04085e-008,1.0902
2.04509e-008,1.1084
2.04933e-008,1.1290
2.05358e-008,1.1390
2.05782e-008,1.1634
2.06206e-008,1.1886
2.06630e-008,1.1953
2.07055e-008,1.1893
2.07479e-008,1.1698
2.07903e-008,1.1620
2.08328e-008,1.1652
