.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
1.03941e-008,1.1830
1.04366e-008,1.1721
1.04790e-008,1.1744
1.05214e-008,1.1800
1.05638e-008,1.1883
1.06063e-008,1.2225
1.06487e-008,1.2432
1.06911e-008,1.2376
1.07335e-008,1.0957
1.07759e-008,0.8269
1.08184e-008,0.6387
1.08608e-008,0.4783
1.09032e-008,0.3706
1.09456e-008,0.3293
1.09881e-008,0.3044
1.10305e-008,0.2923
1.10729e-008,0.2813
1.11154e-008,0.2732
1.11578e-008,0.2702
1.12002e-008,0.2731
1.12426e-008,0.2872
1.12851e-008,0.2947
1.13275e-008,0.2914
1.13699e-008,0.3059
1.14123e-008,0.3100
1.14548e-008,0.2932
1.14972e-008,0.2786
1.15396e-008,0.2456
1.15820e-008,0.2170
1.16244e-008,0.2171
1.16669e-008,0.3112
1.17093e-008,0.5243
1.17517e-008,0.6998
1.17941e-008,0.8937
1.18366e-008,1.0160
1.18790e-008,1.0752
1.19214e-008,1.1206
1.19639e-008,1.1479
1.20063e-008,1.1703
1.20487e-008,1.1894
1.20911e-008,1.1991
1.21336e-008,1.1982
1.21760e-008,1.1916
1.22184e-008,1.1848
1.22608e-008,1.1847
1.23032e-008,1.1739
1.23457e-008,1.1728
1.23881e-008,1.1797
1.24305e-008,1.1844
1.24729e-008,1.2154
1.25154e-008,1.2414
1.25578e-008,1.2432
1.26002e-008,1.1426
1.26427e-008,0.8757
1.26851e-008,0.6757
1.27275e-008,0.5034
1.27699e-008,0.3874
1.28124e-008,0.3348
1.28548e-008,0.3093
1.28972e-008,0.2933
1.29396e-008,0.2834
1.29821e-008,0.2749
1.30245e-008,0.2698
1.30669e-008,0.2721
1.31093e-008,0.2835
1.31517e-008,0.2953
1.31942e-008,0.2909
1.32366e-008,0.3024
1.32790e-008,0.3117
1.33214e-008,0.2964
1.33639e-008,0.2824
1.34063e-008,0.2531
1.34487e-008,0.2206
1.34912e-008,0.2138
1.35336e-008,0.2739
1.35760e-008,0.4834
1.36184e-008,0.6652
1.36609e-008,0.8623
1.37033e-008,0.9969
1.37457e-008,1.0669
1.37881e-008,1.1119
1.38306e-008,1.1447
1.38730e-008,1.1659
1.39154e-008,1.1857
1.39578e-008,1.1987
1.40002e-008,1.1977
1.40427e-008,1.1912
1.40851e-008,1.1822
1.41275e-008,1.1823
1.41699e-008,1.1735
1.42124e-008,1.1700
1.42548e-008,1.1783
1.42972e-008,1.1813
1.43397e-008,1.2074
1.43821e-008,1.2385
1.44245e-008,1.2446
1.44669e-008,1.1842
1.45094e-008,0.9296
1.45518e-008,0.7099
1.45942e-008,0.5319
1.46366e-008,0.4082
1.46790e-008,0.3410
1.47215e-008,0.3138
1.47639e-008,0.2945
1.48063e-008,0.2850
1.48487e-008,0.2759
1.48912e-008,0.2694
1.49336e-008,0.2729
1.49760e-008,0.2845
1.50185e-008,0.2985
1.50609e-008,0.2947
1.51033e-008,0.3013
1.51457e-008,0.3135
1.51881e-008,0.3002
1.52306e-008,0.2859
1.52730e-008,0.2613
1.53154e-008,0.2256
1.53579e-008,0.2130
1.54003e-008,0.2422
1.54427e-008,0.4393
1.54851e-008,0.6323
1.55276e-008,0.8251
1.55700e-008,0.9738
1.56124e-008,1.0574
1.56548e-008,1.1041
