.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
1.03941e-008,0.2871
1.04366e-008,0.2890
1.04790e-008,0.2906
1.05214e-008,0.2909
1.05638e-008,0.2850
1.06063e-008,0.2572
1.06487e-008,0.2248
1.06911e-008,0.2116
1.07335e-008,0.2569
1.07759e-008,0.4224
1.08184e-008,0.5989
1.08608e-008,0.8037
1.09032e-008,0.9633
1.09456e-008,1.0740
1.09881e-008,1.1429
1.10305e-008,1.1653
1.10729e-008,1.1721
1.11154e-008,1.1612
1.11578e-008,1.1380
1.12002e-008,1.1328
1.12426e-008,1.1437
1.12851e-008,1.1668
1.13275e-008,1.1855
1.13699e-008,1.1917
1.14123e-008,1.1907
1.14548e-008,1.1879
1.14972e-008,1.1923
1.15396e-008,1.2150
1.15820e-008,1.2377
1.16244e-008,1.2472
1.16669e-008,1.2034
1.17093e-008,1.0026
1.17517e-008,0.7929
1.17941e-008,0.5925
1.18366e-008,0.4440
1.18790e-008,0.3414
1.19214e-008,0.2792
1.19639e-008,0.2647
1.20063e-008,0.2740
1.20487e-008,0.2964
1.20911e-008,0.3292
1.21336e-008,0.3416
1.21760e-008,0.3241
1.22184e-008,0.2981
1.22608e-008,0.2871
1.23032e-008,0.2886
1.23457e-008,0.2904
1.23881e-008,0.2908
1.24305e-008,0.2876
1.24729e-008,0.2640
1.25154e-008,0.2299
1.25578e-008,0.2121
1.26002e-008,0.2304
1.26427e-008,0.3857
1.26851e-008,0.5645
1.27275e-008,0.7661
1.27699e-008,0.9348
1.28124e-008,1.0563
1.28548e-008,1.1340
1.28972e-008,1.1634
1.29396e-008,1.1715
1.29821e-008,1.1650
1.30245e-008,1.1420
1.30669e-008,1.1318
1.31093e-008,1.1408
1.31517e-008,1.1615
1.31942e-008,1.1832
1.32366e-008,1.1910
1.32790e-008,1.1912
1.33214e-008,1.1882
1.33639e-008,1.1901
1.34063e-008,1.2096
1.34487e-008,1.2344
1.34912e-008,1.2459
1.35336e-008,1.2247
1.35760e-008,1.0492
1.36184e-008,0.8301
1.36609e-008,0.6280
1.37033e-008,0.4704
1.37457e-008,0.3579
1.37881e-008,0.2872
1.38306e-008,0.2642
1.38730e-008,0.2714
1.39154e-008,0.2909
1.39578e-008,0.3229
1.40002e-008,0.3424
1.40427e-008,0.3286
1.40851e-008,0.3028
1.41275e-008,0.2876
1.41699e-008,0.2881
1.42124e-008,0.2901
1.42548e-008,0.2908
1.42972e-008,0.2893
1.43397e-008,0.2704
1.43821e-008,0.2358
1.44245e-008,0.2140
1.44669e-008,0.2167
1.45094e-008,0.3492
1.45518e-008,0.5302
1.45942e-008,0.7250
1.46366e-008,0.9047
1.46790e-008,1.0365
1.47215e-008,1.1228
1.47639e-008,1.1611
1.48063e-008,1.1704
1.48487e-008,1.1681
1.48912e-008,1.1466
1.49336e-008,1.1314
1.49760e-008,1.1384
1.50185e-008,1.1563
1.50609e-008,1.1803
1.51033e-008,1.1901
1.51457e-008,1.1917
1.51881e-008,1.1888
1.52306e-008,1.1886
1.52730e-008,1.2044
1.53154e-008,1.2305
1.53579e-008,1.2444
1.54003e-008,1.2369
1.54427e-008,1.0923
1.54851e-008,0.8682
1.55276e-008,0.6660
1.55700e-008,0.4983
1.56124e-008,0.3760
1.56548e-008,0.2981
1.56972e-008,0.2648
1.57397e-008,0.2694
1.57821e-008,0.2858
1.58245e-008,0.3162
1.58670e-008,0.3417
1.59094e-008,0.3327
1.59518e-008,0.3080
1.59942e-008,0.2887
1.60366e-008,0.2877
1.60791e-008,0.2897
1.61215e-008,0.2907
1.61639e-008,0.2903
1.62064e-008,0.2761
1.62488e-008,0.2423
1.62912e-008,0.2166
1.63336e-008,0.2140
1.63761e-008,0.3171
1.64185e-008,0.4965
1.64609e-008,0.6824
1.65033e-008,0.8732
1.65457e-008,1.0147
1.65882e-008,1.1084
1.66306e-008,1.1574
1.66730e-008,1.1688
1.67155e-008,1.1705
1.67579e-008,1.1516
1.68003e-008,1.1322
1.68427e-008,1.1362
1.68851e-008,1.1515
1.69276e-008,1.1766
1.69700e-008,1.1889
1.70124e-008,1.1919
1.70548e-008,1.1893
1.70973e-008,1.1878
1.71397e-008,1.1997
1.71821e-008,1.2259
1.72246e-008,1.2427
1.72670e-008,1.2426
1.73094e-008,1.1302
1.73518e-008,0.9088
1.73942e-008,0.7072
1.74367e-008,0.5274
1.74791e-008,0.3954
1.75215e-008,0.3110
1.75640e-008,0.2675
1.76064e-008,0.2676
1.76488e-008,0.2812
1.76912e-008,0.3094
1.77336e-008,0.3394
1.77761e-008,0.3363
1.78185e-008,0.3133
1.78609e-008,0.2907
1.79033e-008,0.2873
1.79458e-008,0.2893
1.79882e-008,0.2906
1.80306e-008,0.2907
1.80731e-008,0.2808
1.81155e-008,0.2492
1.81579e-008,0.2200
1.82003e-008,0.2131
1.82427e-008,0.2886
1.82852e-008,0.4618
1.83276e-008,0.6403
1.83700e-008,0.8410
1.84125e-008,0.9914
1.84549e-008,1.0921
1.84973e-008,1.1514
1.85397e-008,1.1672
1.85822e-008,1.1717
1.86246e-008,1.1564
1.86670e-008,1.1343
1.87094e-008,1.1343
1.87518e-008,1.1473
1.87943e-008,1.1722
1.88367e-008,1.1874
1.88791e-008,1.1919
1.89216e-008,1.1899
1.89640e-008,1.1876
1.90064e-008,1.1957
1.90488e-008,1.2208
1.90912e-008,1.2405
1.91337e-008,1.2465
1.91761e-008,1.1662
1.92185e-008,0.9521
1.92610e-008,0.7494
1.93034e-008,0.5570
1.93458e-008,0.4168
1.93882e-008,0.3248
1.94307e-008,0.2722
1.94731e-008,0.2658
1.95155e-008,0.2774
1.95579e-008,0.3029
1.96003e-008,0.3353
1.96428e-008,0.3394
1.96852e-008,0.3186
1.97276e-008,0.2936
1.97701e-008,0.2870
1.98125e-008,0.2890
1.98549e-008,0.2905
1.98973e-008,0.2908
1.99397e-008,0.2846
1.99822e-008,0.2563
2.00246e-008,0.2241
2.00670e-008,0.2115
2.01095e-008,0.2597
2.01519e-008,0.4260
2.01943e-008,0.6026
2.02367e-008,0.8073
2.02792e-008,0.9660
2.03216e-008,1.0756
2.03640e-008,1.1437
2.04064e-008,1.1654
2.04488e-008,1.1720
2.04913e-008,1.1607
2.05337e-008,1.1375
2.05761e-008,1.1328
2.06186e-008,1.1439
2.06610e-008,1.1672
2.07034e-008,1.1856
2.07458e-008,1.1916
2.07882e-008,1.1905
2.08307e-008,1.1877
2.08731e-008,1.1925
2.09155e-008,1.2155
2.09580e-008,1.2379
2.10004e-008,1.2473
2.10428e-008,1.2002
2.10852e-008,0.9972
2.11277e-008,0.7884
2.11701e-008,0.5886
2.12125e-008,0.4409
2.12549e-008,0.3396
2.12973e-008,0.2782
2.13398e-008,0.2646
2.13822e-008,0.2742
2.14246e-008,0.2969
2.14671e-008,0.3298
2.15095e-008,0.3414
2.15519e-008,0.3235
2.15943e-008,0.2975
2.16367e-008,0.2870
2.16792e-008,0.2885
2.17216e-008,0.2903
2.17640e-008,0.2907
2.18064e-008,0.2874
2.18489e-008,0.2632
2.18913e-008,0.2292
2.19337e-008,0.2118
2.19762e-008,0.2321
2.20186e-008,0.3895
2.20610e-008,0.5680
2.21034e-008,0.7701
2.21458e-008,0.9378
2.21883e-008,1.0582
2.22307e-008,1.1349
2.22731e-008,1.1636
2.23156e-008,1.1714
2.23580e-008,1.1645
2.24004e-008,1.1414
2.24428e-008,1.1317
2.24852e-008,1.1410
2.25277e-008,1.1620
2.25701e-008,1.1834
2.26125e-008,1.1910
2.26549e-008,1.1911
2.26974e-008,1.1881
2.27398e-008,1.1902
2.27822e-008,1.2100
2.28247e-008,1.2347
2.28671e-008,1.2460
2.29095e-008,1.2231
2.29519e-008,1.0441
2.29943e-008,0.8257
2.30368e-008,0.6237
2.30792e-008,0.4672
2.31216e-008,0.3558
2.31641e-008,0.2859
2.32065e-008,0.2641
2.32489e-008,0.2716
2.32913e-008,0.2914
2.33338e-008,0.3236
2.33762e-008,0.3423
2.34186e-008,0.3280
2.34610e-008,0.3021
2.35034e-008,0.2874
2.35459e-008,0.2881
2.35883e-008,0.2901
2.36307e-008,0.2907
2.36732e-008,0.2892
2.37156e-008,0.2696
2.37580e-008,0.2350
2.38004e-008,0.2137
2.38428e-008,0.2168
2.38853e-008,0.3525
2.39277e-008,0.5336
2.39701e-008,0.7294
2.40126e-008,0.9078
2.40550e-008,1.0386
2.40974e-008,1.1241
2.41398e-008,1.1614
2.41823e-008,1.1705
2.42247e-008,1.1677
2.42671e-008,1.1460
2.43095e-008,1.1313
2.43519e-008,1.1385
2.43944e-008,1.1567
2.44368e-008,1.1806
2.44792e-008,1.1902
2.45217e-008,1.1915
2.45641e-008,1.1886
2.46065e-008,1.1887
2.46489e-008,1.2048
2.46913e-008,1.2308
2.47338e-008,1.2445
2.47762e-008,1.2362
2.48186e-008,1.0878
2.48611e-008,0.8637
2.49035e-008,0.6615
2.49459e-008,0.4949
2.49883e-008,0.3737
2.50308e-008,0.2965
2.50732e-008,0.2646
2.51156e-008,0.2695
2.51580e-008,0.2862
2.52004e-008,0.3169
2.52429e-008,0.3418
2.52853e-008,0.3322
2.53277e-008,0.3073
2.53702e-008,0.2884
2.54126e-008,0.2876
2.54550e-008,0.2897
2.54974e-008,0.2907
2.55398e-008,0.2902
2.55823e-008,0.2754
2.56247e-008,0.2414
2.56671e-008,0.2162
2.57096e-008,0.2140
2.57520e-008,0.3199
2.57944e-008,0.4999
2.58368e-008,0.6868
2.58793e-008,0.8765
2.59217e-008,1.0170
2.59641e-008,1.1099
2.60065e-008,1.1578
2.60489e-008,1.1690
2.60914e-008,1.1702
2.61338e-008,1.1510
2.61762e-008,1.1320
2.62187e-008,1.1363
2.62611e-008,1.1519
2.63035e-008,1.1770
2.63459e-008,1.1890
2.63883e-008,1.1918
2.64308e-008,1.1892
2.64732e-008,1.1878
2.65156e-008,1.2001
2.65580e-008,1.2263
2.66005e-008,1.2428
2.66429e-008,1.2417
2.66853e-008,1.1257
2.67278e-008,0.9039
2.67702e-008,0.7021
2.68126e-008,0.5238
2.68550e-008,0.3929
2.68974e-008,0.3094
2.69399e-008,0.2670
2.69823e-008,0.2677
2.70247e-008,0.2817
2.70672e-008,0.3101
2.71096e-008,0.3397
2.71520e-008,0.3359
2.71944e-008,0.3126
2.72368e-008,0.2903
2.72793e-008,0.2872
2.73217e-008,0.2894
2.73641e-008,0.2906
2.74065e-008,0.2906
2.74490e-008,0.2803
2.74914e-008,0.2483
2.75338e-008,0.2194
2.75763e-008,0.2132
2.76187e-008,0.2913
2.76611e-008,0.4652
2.77035e-008,0.6445
2.77459e-008,0.8443
2.77884e-008,0.9939
2.78308e-008,1.0938
2.78732e-008,1.1521
2.79157e-008,1.1673
2.79581e-008,1.1716
2.80005e-008,1.1559
2.80429e-008,1.1340
2.80854e-008,1.1343
2.81278e-008,1.1477
2.81702e-008,1.1727
2.82126e-008,1.1876
2.82550e-008,1.1919
2.82975e-008,1.1898
2.83399e-008,1.1876
2.83823e-008,1.1960
2.84248e-008,1.2213
2.84672e-008,1.2407
2.85096e-008,1.2458
2.85520e-008,1.1619
2.85944e-008,0.9469
2.86369e-008,0.7445
2.86793e-008,0.5535
2.87217e-008,0.4141
2.87642e-008,0.3232
2.88066e-008,0.2715
2.88490e-008,0.2659
2.88914e-008,0.2777
2.89339e-008,0.3035
2.89763e-008,0.3358
2.90187e-008,0.3390
2.90611e-008,0.3179
2.91035e-008,0.2932
2.91460e-008,0.2870
2.91884e-008,0.2890
2.92308e-008,0.2905
2.92733e-008,0.2907
2.93157e-008,0.2842
2.93581e-008,0.2554
2.94005e-008,0.2235
2.94429e-008,0.2117
2.94854e-008,0.2626
2.95278e-008,0.4294
2.95702e-008,0.6062
2.96127e-008,0.8109
2.96551e-008,0.9688
2.96975e-008,1.0773
2.97399e-008,1.1445
2.97824e-008,1.1656
2.98248e-008,1.1719
2.98672e-008,1.1603
2.99096e-008,1.1371
2.99521e-008,1.1328
2.99945e-008,1.1441
3.00369e-008,1.1678
3.00793e-008,1.1859
3.01218e-008,1.1916
3.01642e-008,1.1904
3.02066e-008,1.1877
3.02490e-008,1.1927
3.02914e-008,1.2159
3.03339e-008,1.2381
3.03763e-008,1.2470
3.04187e-008,1.1967
3.04612e-008,0.9920
3.05036e-008,0.7840
3.05460e-008,0.5847
3.05884e-008,0.4380
3.06309e-008,0.3377
3.06733e-008,0.2774
3.07157e-008,0.2646
3.07581e-008,0.2745
3.08005e-008,0.2975
3.08430e-008,0.3305
3.08854e-008,0.3412
3.09278e-008,0.3229
3.09702e-008,0.2970
3.10127e-008,0.2870
3.10551e-008,0.2885
3.10975e-008,0.2903
3.11400e-008,0.2907
3.11824e-008,0.2871
3.12248e-008,0.2624
3.12672e-008,0.2285
3.13096e-008,0.2116
3.13521e-008,0.2338
3.13945e-008,0.3930
3.14369e-008,0.5713
3.14793e-008,0.7741
3.15218e-008,0.9408
3.15642e-008,1.0600
3.16066e-008,1.1359
3.16491e-008,1.1637
3.16915e-008,1.1715
3.17339e-008,1.1641
3.17763e-008,1.1410
3.18188e-008,1.1317
3.18612e-008,1.1411
3.19036e-008,1.1625
3.19460e-008,1.1837
3.19884e-008,1.1911
3.20309e-008,1.1910
3.20733e-008,1.1880
3.21157e-008,1.1903
3.21582e-008,1.2105
3.22006e-008,1.2350
3.22430e-008,1.2461
3.22854e-008,1.2210
3.23279e-008,1.0387
3.23703e-008,0.8214
3.24127e-008,0.6194
3.24551e-008,0.4641
3.24975e-008,0.3538
3.25400e-008,0.2848
3.25824e-008,0.2641
3.26248e-008,0.2718
3.26672e-008,0.2920
3.27097e-008,0.3243
3.27521e-008,0.3422
3.27945e-008,0.3275
3.28370e-008,0.3016
3.28794e-008,0.2873
3.29218e-008,0.2881
3.29642e-008,0.2901
3.30066e-008,0.2907
3.30491e-008,0.2890
3.30915e-008,0.2689
3.31339e-008,0.2342
3.31763e-008,0.2133
3.32188e-008,0.2171
3.32612e-008,0.3559
3.33036e-008,0.5369
3.33461e-008,0.7337
3.33885e-008,0.9110
3.34309e-008,1.0407
3.34733e-008,1.1253
3.35158e-008,1.1616
3.35582e-008,1.1706
3.36006e-008,1.1674
3.36430e-008,1.1455
3.36854e-008,1.1312
3.37279e-008,1.1386
3.37703e-008,1.1572
3.38127e-008,1.1809
3.38552e-008,1.1903
3.38976e-008,1.1915
3.39400e-008,1.1885
3.39824e-008,1.1888
3.40249e-008,1.2052
3.40673e-008,1.2311
3.41097e-008,1.2446
3.41521e-008,1.2351
3.41945e-008,1.0829
3.42370e-008,0.8592
3.42794e-008,0.6570
3.43218e-008,0.4916
3.43643e-008,0.3715
3.44067e-008,0.2951
3.44491e-008,0.2644
3.44915e-008,0.2696
3.45340e-008,0.2868
3.45764e-008,0.3176
3.46188e-008,0.3419
3.46612e-008,0.3317
3.47036e-008,0.3067
3.47461e-008,0.2883
3.47885e-008,0.2877
3.48309e-008,0.2897
3.48733e-008,0.2906
3.49158e-008,0.2901
3.49582e-008,0.2748
3.50006e-008,0.2406
3.50431e-008,0.2158
3.50855e-008,0.2140
3.51279e-008,0.3228
3.51703e-008,0.5031
3.52128e-008,0.6912
3.52552e-008,0.8798
3.52976e-008,1.0194
3.53400e-008,1.1114
3.53824e-008,1.1583
3.54249e-008,1.1691
3.54673e-008,1.1699
3.55097e-008,1.1505
3.55522e-008,1.1318
3.55946e-008,1.1364
3.56370e-008,1.1523
3.56794e-008,1.1774
3.57219e-008,1.1892
3.57643e-008,1.1918
3.58067e-008,1.1891
3.58491e-008,1.1879
3.58915e-008,1.2005
3.59340e-008,1.2267
3.59764e-008,1.2429
3.60188e-008,1.2411
3.60613e-008,1.1218
3.61037e-008,0.8993
3.61461e-008,0.6973
3.61885e-008,0.5205
3.62310e-008,0.3907
3.62734e-008,0.3078
3.63158e-008,0.2666
3.63582e-008,0.2678
3.64006e-008,0.2821
3.64431e-008,0.3108
3.64855e-008,0.3400
3.65279e-008,0.3355
3.65703e-008,0.3120
3.66128e-008,0.2900
3.66552e-008,0.2873
3.66976e-008,0.2894
3.67401e-008,0.2906
3.67825e-008,0.2906
3.68249e-008,0.2798
3.68673e-008,0.2475
3.69097e-008,0.2189
3.69522e-008,0.2133
3.69946e-008,0.2957
3.70370e-008,0.4703
3.70794e-008,0.6498
3.71219e-008,0.8484
3.71643e-008,0.9969
3.72067e-008,1.0959
