.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
1.00144e-008,-0.7601
1.00568e-008,-0.8303
1.00992e-008,-0.8607
1.01417e-008,-0.8946
1.01841e-008,-0.9210
1.02265e-008,-0.9280
1.02689e-008,-0.9226
1.03113e-008,-0.8983
1.03538e-008,-0.8910
1.03962e-008,-0.8892
1.04386e-008,-0.8629
1.04810e-008,-0.8671
1.05235e-008,-0.8890
1.05659e-008,-0.9149
1.06083e-008,-0.9852
1.06507e-008,-1.0278
1.06932e-008,-1.0149
1.07356e-008,-0.7418
1.07780e-008,-0.2612
1.08205e-008,0.1009
1.08629e-008,0.4428
1.09053e-008,0.6617
1.09477e-008,0.7549
1.09902e-008,0.8266
1.10326e-008,0.8607
1.10750e-008,0.8945
1.11174e-008,0.9208
1.11598e-008,0.9301
1.12023e-008,0.9257
1.12447e-008,0.9029
1.12871e-008,0.8918
1.13295e-008,0.8927
1.13720e-008,0.8669
1.14144e-008,0.8663
1.14568e-008,0.8893
1.14993e-008,0.9119
1.15417e-008,0.9799
1.15841e-008,1.0282
1.16265e-008,1.0217
1.16690e-008,0.7871
1.17114e-008,0.3058
1.17538e-008,-0.0585
1.17962e-008,-0.4134
1.18387e-008,-0.6433
1.18811e-008,-0.7444
1.19235e-008,-0.8174
1.19659e-008,-0.8557
1.20083e-008,-0.8891
1.20508e-008,-0.9163
1.20932e-008,-0.9284
1.21356e-008,-0.9246
1.21780e-008,-0.9043
1.22205e-008,-0.8895
1.22629e-008,-0.8922
1.23053e-008,-0.8677
1.23478e-008,-0.8629
1.23902e-008,-0.8861
1.24326e-008,-0.9059
1.24750e-008,-0.9711
1.25175e-008,-1.0240
1.25599e-008,-1.0244
1.26023e-008,-0.8277
1.26447e-008,-0.3471
1.26871e-008,0.0249
1.27296e-008,0.3892
1.27720e-008,0.6291
1.28144e-008,0.7399
1.28568e-008,0.8127
1.28993e-008,0.8561
1.29417e-008,0.8884
1.29841e-008,0.9156
1.30265e-008,0.9304
1.30690e-008,0.9273
1.31114e-008,0.9090
1.31538e-008,0.8906
1.31963e-008,0.8948
1.32387e-008,0.8721
1.32811e-008,0.8625
1.33235e-008,0.8859
1.33660e-008,0.9040
1.34084e-008,0.9652
1.34508e-008,1.0230
1.34932e-008,1.0298
1.35356e-008,0.8707
1.35781e-008,0.3955
1.36205e-008,0.0135
1.36629e-008,-0.3576
1.37053e-008,-0.6075
1.37478e-008,-0.7304
1.37902e-008,-0.8036
1.38326e-008,-0.8517
1.38751e-008,-0.8826
1.39175e-008,-0.9109
1.39599e-008,-0.9286
1.40023e-008,-0.9260
1.40448e-008,-0.9104
1.40872e-008,-0.8890
1.41296e-008,-0.8938
1.41720e-008,-0.8733
1.42145e-008,-0.8600
1.42569e-008,-0.8825
1.42993e-008,-0.8994
1.43417e-008,-0.9563
1.43841e-008,-1.0180
1.44266e-008,-1.0302
1.44690e-008,-0.9091
1.45114e-008,-0.4408
1.45538e-008,-0.0436
1.45963e-008,0.3299
1.46387e-008,0.5897
1.46811e-008,0.7260
1.47236e-008,0.7993
1.47660e-008,0.8518
1.48084e-008,0.8814
1.48508e-008,0.9101
1.48933e-008,0.9300
1.49357e-008,0.9284
1.49781e-008,0.9148
1.50205e-008,0.8907
1.50629e-008,0.8955
1.51054e-008,0.8779
1.51478e-008,0.8604
1.51902e-008,0.8816
1.52327e-008,0.8986
1.52751e-008,0.9503
1.53175e-008,1.0158
1.53599e-008,1.0333
1.54023e-008,0.9449
1.54448e-008,0.4920
1.54872e-008,0.0789
1.55296e-008,-0.2940
1.55721e-008,-0.5653
1.56145e-008,-0.7159
1.56569e-008,-0.7909
1.56993e-008,-0.8471
1.57417e-008,-0.8753
1.57842e-008,-0.9054
1.58266e-008,-0.9277
1.58690e-008,-0.9271
1.59114e-008,-0.9157
1.59539e-008,-0.8901
1.59963e-008,-0.8939
1.60387e-008,-0.8792
1.60812e-008,-0.8589
1.61236e-008,-0.8780
1.61660e-008,-0.8950
1.62084e-008,-0.9416
1.62508e-008,-1.0098
1.62933e-008,-1.0314
1.63357e-008,-0.9667
1.63781e-008,-0.5392
1.64206e-008,-0.1077
1.64630e-008,0.2624
1.65054e-008,0.5456
1.65478e-008,0.7101
1.65903e-008,0.7870
1.66327e-008,0.8463
1.66751e-008,0.8741
1.67175e-008,0.9049
1.67599e-008,0.9282
1.68024e-008,0.9292
1.68448e-008,0.9193
1.68872e-008,0.8928
1.69297e-008,0.8950
1.69721e-008,0.8834
1.70145e-008,0.8605
1.70569e-008,0.8768
1.70993e-008,0.8950
1.71418e-008,0.9364
1.71842e-008,1.0062
1.72266e-008,1.0328
1.72691e-008,0.9879
1.73115e-008,0.5913
1.73539e-008,0.1446
1.73963e-008,-0.2221
1.74388e-008,-0.5199
1.74812e-008,-0.6978
1.75236e-008,-0.7780
1.75660e-008,-0.8410
1.76084e-008,-0.8681
1.76509e-008,-0.9004
1.76933e-008,-0.9252
1.77357e-008,-0.9278
1.77782e-008,-0.9196
1.78206e-008,-0.8932
1.78630e-008,-0.8931
1.79054e-008,-0.8844
1.79478e-008,-0.8599
1.79903e-008,-0.8731
1.80327e-008,-0.8921
1.80751e-008,-0.9284
1.81176e-008,-0.9994
1.81600e-008,-1.0303
1.82024e-008,-0.9983
1.82448e-008,-0.6386
1.82873e-008,-0.1765
1.83297e-008,0.1873
1.83721e-008,0.4985
1.84145e-008,0.6896
1.84569e-008,0.7729
1.84994e-008,0.8388
1.85418e-008,0.8670
1.85842e-008,0.9000
1.86267e-008,0.9252
1.86691e-008,0.9296
1.87115e-008,0.9228
1.87539e-008,0.8967
1.87963e-008,0.8936
1.88388e-008,0.8883
1.88812e-008,0.8624
1.89236e-008,0.8716
1.89661e-008,0.8922
1.90085e-008,0.9236
1.90509e-008,0.9947
1.90933e-008,1.0312
1.91358e-008,1.0095
1.91782e-008,0.6871
1.92206e-008,0.2155
1.92630e-008,-0.1458
1.93054e-008,-0.4715
1.93479e-008,-0.6752
1.93903e-008,-0.7626
1.94327e-008,-0.8319
1.94752e-008,-0.8617
1.95176e-008,-0.8956
1.95600e-008,-0.9217
1.96024e-008,-0.9282
1.96448e-008,-0.9225
1.96873e-008,-0.8979
1.97297e-008,-0.8915
1.97721e-008,-0.8889
1.98146e-008,-0.8627
1.98570e-008,-0.8681
1.98994e-008,-0.8895
1.99418e-008,-0.9166
1.99843e-008,-0.9871
2.00267e-008,-1.0282
2.00691e-008,-1.0140
2.01115e-008,-0.7304
2.01539e-008,-0.2518
2.01964e-008,0.1097
2.02388e-008,0.4485
2.02812e-008,0.6643
2.03237e-008,0.7567
2.03661e-008,0.8278
2.04085e-008,0.8610
2.04509e-008,0.8950
2.04933e-008,0.9211
2.05358e-008,0.9299
2.05782e-008,0.9251
2.06206e-008,0.9020
2.06630e-008,0.8919
2.07055e-008,0.8920
2.07479e-008,0.8661
2.07903e-008,0.8668
2.08328e-008,0.8894
2.08752e-008,0.9130
2.09176e-008,0.9814
2.09600e-008,1.0282
2.10024e-008,1.0204
2.10449e-008,0.7751
2.10873e-008,0.2951
2.11297e-008,-0.0678
2.11722e-008,-0.4200
2.12146e-008,-0.6471
2.12570e-008,-0.7467
2.12994e-008,-0.8193
2.13419e-008,-0.8565
2.13843e-008,-0.8901
2.14267e-008,-0.9171
2.14691e-008,-0.9286
2.15115e-008,-0.9245
2.15540e-008,-0.9037
2.15964e-008,-0.8900
2.16388e-008,-0.8920
2.16813e-008,-0.8672
2.17237e-008,-0.8637
2.17661e-008,-0.8867
2.18085e-008,-0.9072
2.18509e-008,-0.9731
2.18934e-008,-1.0245
2.19358e-008,-1.0237
2.19782e-008,-0.8163
2.20207e-008,-0.3364
2.20631e-008,0.0331
2.21055e-008,0.3952
2.21479e-008,0.6327
2.21904e-008,0.7416
2.22328e-008,0.8141
2.22752e-008,0.8564
2.23176e-008,0.8890
2.23600e-008,0.9161
2.24025e-008,0.9301
2.24449e-008,0.9268
2.24873e-008,0.9081
2.25298e-008,0.8906
2.25722e-008,0.8944
2.26146e-008,0.8712
2.26570e-008,0.8629
2.26994e-008,0.8862
2.27419e-008,0.9048
2.27843e-008,0.9669
2.28267e-008,1.0233
2.28692e-008,1.0289
2.29116e-008,0.8589
2.29540e-008,0.3838
2.29964e-008,0.0051
2.30389e-008,-0.3649
2.30813e-008,-0.6121
2.31237e-008,-0.7324
2.31661e-008,-0.8054
2.32085e-008,-0.8524
2.32510e-008,-0.8836
2.32934e-008,-0.9118
2.33358e-008,-0.9287
2.33783e-008,-0.9260
2.34207e-008,-0.9098
2.34631e-008,-0.8893
2.35055e-008,-0.8938
2.35479e-008,-0.8727
2.35904e-008,-0.8606
2.36328e-008,-0.8832
2.36752e-008,-0.9004
2.37177e-008,-0.9584
2.37601e-008,-1.0189
2.38025e-008,-1.0299
2.38449e-008,-0.8979
2.38874e-008,-0.4292
2.39298e-008,-0.0362
2.39722e-008,0.3370
2.40146e-008,0.5942
2.40570e-008,0.7276
2.40995e-008,0.8006
2.41419e-008,0.8522
2.41843e-008,0.8821
2.42268e-008,0.9106
2.42692e-008,0.9298
2.43116e-008,0.9281
2.43540e-008,0.9139
2.43964e-008,0.8906
2.44389e-008,0.8953
2.44813e-008,0.8770
2.45237e-008,0.8606
2.45662e-008,0.8821
2.46086e-008,0.8991
2.46510e-008,0.9520
2.46934e-008,1.0164
2.47359e-008,1.0330
2.47783e-008,0.9349
2.48207e-008,0.4795
2.48631e-008,0.0708
2.49055e-008,-0.3023
2.49480e-008,-0.5707
2.49904e-008,-0.7179
2.50328e-008,-0.7926
2.50753e-008,-0.8480
2.51177e-008,-0.8764
2.51601e-008,-0.9062
2.52025e-008,-0.9279
2.52449e-008,-0.9272
2.52874e-008,-0.9151
2.53298e-008,-0.8901
2.53722e-008,-0.8941
2.54146e-008,-0.8785
2.54571e-008,-0.8592
2.54995e-008,-0.8788
2.55419e-008,-0.8957
2.55844e-008,-0.9437
2.56268e-008,-1.0110
2.56692e-008,-1.0314
2.57116e-008,-0.9620
2.57540e-008,-0.5284
2.57965e-008,-0.1010
2.58389e-008,0.2700
2.58813e-008,0.5504
2.59238e-008,0.7118
2.59662e-008,0.7882
2.60086e-008,0.8469
2.60510e-008,0.8747
2.60935e-008,0.9053
2.61359e-008,0.9283
2.61783e-008,0.9290
2.62207e-008,0.9188
2.62631e-008,0.8924
2.63056e-008,0.8950
2.63480e-008,0.8827
2.63904e-008,0.8602
2.64329e-008,0.8772
2.64753e-008,0.8952
2.65177e-008,0.9376
2.65601e-008,1.0072
2.66025e-008,1.0327
2.66450e-008,0.9846
2.66874e-008,0.5805
2.67298e-008,0.1369
2.67723e-008,-0.2307
2.68147e-008,-0.5254
2.68571e-008,-0.7003
2.68995e-008,-0.7797
2.69420e-008,-0.8420
2.69844e-008,-0.8690
2.70268e-008,-0.9011
2.70692e-008,-0.9257
2.71116e-008,-0.9279
2.71541e-008,-0.9193
2.71965e-008,-0.8929
2.72389e-008,-0.8933
2.72814e-008,-0.8840
2.73238e-008,-0.8598
2.73662e-008,-0.8738
2.74086e-008,-0.8925
2.74510e-008,-0.9299
2.74935e-008,-1.0008
2.75359e-008,-1.0306
2.75783e-008,-0.9970
2.76208e-008,-0.6285
2.76632e-008,-0.1691
2.77056e-008,0.1955
2.77480e-008,0.5037
2.77905e-008,0.6919
2.78329e-008,0.7744
2.78753e-008,0.8396
2.79177e-008,0.8676
2.79601e-008,0.9004
2.80026e-008,0.9254
2.80450e-008,0.9294
2.80874e-008,0.9224
2.81299e-008,0.8960
2.81723e-008,0.8937
2.82147e-008,0.8877
2.82571e-008,0.8619
2.82995e-008,0.8720
2.83420e-008,0.8923
2.83844e-008,0.9247
2.84268e-008,0.9959
2.84693e-008,1.0313
2.85117e-008,1.0083
2.85541e-008,0.6771
2.85965e-008,0.2072
2.86390e-008,-0.1546
2.86814e-008,-0.4773
