.HEADER
..NAMES
Time,V U1.M20
.DATA
1.12516e-008,1.2247
1.12975e-008,1.2457
1.13435e-008,1.2500
1.13894e-008,1.2412
1.14353e-008,1.2276
1.14812e-008,1.2166
1.15272e-008,1.2116
1.15731e-008,1.2119
1.16190e-008,1.2042
1.16649e-008,1.1179
1.17109e-008,0.9818
1.17568e-008,0.8383
1.18027e-008,0.6857
1.18487e-008,0.5131
1.18946e-008,0.3808
1.19405e-008,0.2867
1.19864e-008,0.2287
1.20324e-008,0.1988
1.20783e-008,0.1957
1.21242e-008,0.1966
1.21701e-008,0.2043
1.22161e-008,0.2102
1.22620e-008,0.2119
1.23079e-008,0.2047
1.23538e-008,0.1961
1.23997e-008,0.1899
1.24457e-008,0.1980
1.24916e-008,0.2241
1.25375e-008,0.2609
1.25834e-008,0.2930
1.26294e-008,0.3102
1.26753e-008,0.3072
1.27212e-008,0.2907
1.27672e-008,0.2723
1.28131e-008,0.2631
1.28590e-008,0.2672
1.29049e-008,0.2816
1.29509e-008,0.2964
1.29968e-008,0.3022
1.30427e-008,0.2944
1.30886e-008,0.2756
1.31346e-008,0.2531
1.31805e-008,0.2353
1.32264e-008,0.2269
1.32723e-008,0.2281
1.33182e-008,0.2357
1.33642e-008,0.2455
1.34101e-008,0.2541
1.34560e-008,0.2592
1.35019e-008,0.2719
1.35479e-008,0.3796
1.35938e-008,0.5310
1.36397e-008,0.7018
1.36856e-008,0.8815
1.37316e-008,1.0589
1.37775e-008,1.1561
1.38234e-008,1.2213
1.38694e-008,1.2557
1.39153e-008,1.2699
1.39612e-008,1.2692
1.40071e-008,1.2736
1.40531e-008,1.2695
1.40990e-008,1.2664
1.41449e-008,1.2668
1.41908e-008,1.2717
1.42367e-008,1.2770
1.42827e-008,1.2803
1.43286e-008,1.2711
1.43745e-008,1.2433
1.44204e-008,1.2055
1.44664e-008,1.1713
1.45123e-008,1.1542
1.45582e-008,1.1617
1.46041e-008,1.1868
1.46501e-008,1.2113
1.46960e-008,1.2201
1.47419e-008,1.2071
1.47879e-008,1.1808
1.48338e-008,1.1586
1.48797e-008,1.1552
1.49256e-008,1.1733
1.49715e-008,1.2044
1.50175e-008,1.2336
1.50634e-008,1.2489
1.51093e-008,1.2480
1.51552e-008,1.2366
1.52012e-008,1.2233
1.52471e-008,1.2142
1.52930e-008,1.2113
1.53389e-008,1.2128
1.53849e-008,1.1898
1.54308e-008,1.0719
1.54767e-008,0.9362
1.55226e-008,0.7859
1.55686e-008,0.6260
1.56145e-008,0.4619
1.56604e-008,0.3459
1.57063e-008,0.2620
1.57523e-008,0.2153
1.57982e-008,0.1960
1.58441e-008,0.1958
1.58901e-008,0.1987
1.59360e-008,0.2066
1.59819e-008,0.2117
1.60278e-008,0.2100
1.60738e-008,0.2018
1.61197e-008,0.1932
1.61656e-008,0.1909
1.62115e-008,0.2051
1.62575e-008,0.2366
1.63034e-008,0.2731
1.63493e-008,0.3011
1.63952e-008,0.3111
1.64412e-008,0.3025
1.64871e-008,0.2839
1.65330e-008,0.2679
1.65789e-008,0.2631
1.66249e-008,0.2716
1.66708e-008,0.2872
1.67167e-008,0.2998
1.67626e-008,0.3010
1.68085e-008,0.2889
1.68545e-008,0.2677
1.69004e-008,0.2461
1.69463e-008,0.2313
1.69922e-008,0.2264
1.70382e-008,0.2303
1.70841e-008,0.2391
1.71300e-008,0.2488
1.71759e-008,0.2563
1.72219e-008,0.2600
1.72678e-008,0.2919
1.73137e-008,0.4320
1.73596e-008,0.5824
1.74056e-008,0.7621
1.74515e-008,0.9481
1.74974e-008,1.0987
1.75433e-008,1.1825
1.75893e-008,1.2362
1.76352e-008,1.2633
1.76811e-008,1.2689
1.77271e-008,1.2715
1.77730e-008,1.2725
1.78189e-008,1.2685
1.78648e-008,1.2655
1.79108e-008,1.2688
1.79567e-008,1.2730
1.80026e-008,1.2791
1.80485e-008,1.2790
1.80945e-008,1.2637
1.81404e-008,1.2305
1.81863e-008,1.1928
1.82322e-008,1.1628
1.82782e-008,1.1540
1.83241e-008,1.1691
1.83700e-008,1.1963
1.84159e-008,1.2167
1.84619e-008,1.2181
1.85078e-008,1.1988
1.85537e-008,1.1717
1.85996e-008,1.1548
1.86455e-008,1.1591
1.86915e-008,1.1832
1.87374e-008,1.2155
1.87833e-008,1.2409
1.88292e-008,1.2504
1.88752e-008,1.2448
1.89211e-008,1.2318
1.89670e-008,1.2194
1.90129e-008,1.2126
1.90589e-008,1.2115
1.91048e-008,1.2129
1.91507e-008,1.1562
1.91966e-008,1.0240
1.92426e-008,0.8878
1.92885e-008,0.7350
1.93344e-008,0.5654
1.93803e-008,0.4168
1.94263e-008,0.3122
1.94722e-008,0.2427
1.95181e-008,0.2052
1.95640e-008,0.1956
1.96100e-008,0.1959
1.96559e-008,0.2016
1.97018e-008,0.2086
1.97478e-008,0.2124
1.97937e-008,0.2073
1.98396e-008,0.1989
1.98855e-008,0.1909
1.99315e-008,0.1937
1.99774e-008,0.2142
2.00233e-008,0.2495
2.00692e-008,0.2842
2.01152e-008,0.3070
2.01611e-008,0.3100
2.02070e-008,0.2967
2.02529e-008,0.2775
2.02989e-008,0.2647
2.03448e-008,0.2646
2.03907e-008,0.2767
2.04366e-008,0.2924
2.04826e-008,0.3018
2.05285e-008,0.2983
2.05744e-008,0.2823
2.06203e-008,0.2599
2.06662e-008,0.2400
2.07122e-008,0.2285
2.07581e-008,0.2270
2.08040e-008,0.2330
2.08499e-008,0.2426
2.08959e-008,0.2518
2.09418e-008,0.2581
2.09877e-008,0.2603
2.10336e-008,0.2582
2.10796e-008,0.2525
2.11255e-008,0.2451
2.11714e-008,0.2380
2.12173e-008,0.2338
2.12633e-008,0.2340
2.13092e-008,0.2384
2.13551e-008,0.2451
2.14010e-008,0.2505
2.14470e-008,0.2516
2.14929e-008,0.2474
2.15388e-008,0.2400
2.15847e-008,0.2332
2.16307e-008,0.2306
2.16766e-008,0.2332
2.17225e-008,0.2391
2.17685e-008,0.2449
2.18144e-008,0.2479
2.18603e-008,0.2472
2.19062e-008,0.2440
2.19522e-008,0.2404
2.19981e-008,0.2381
2.20440e-008,0.2379
2.20899e-008,0.2393
2.21359e-008,0.2414
2.21818e-008,0.2433
2.22277e-008,0.2444
2.22736e-008,0.2444
2.23196e-008,0.2436
2.23655e-008,0.2424
2.24114e-008,0.2410
2.24573e-008,0.2399
2.25033e-008,0.2393
2.25492e-008,0.2396
2.25951e-008,0.2407
2.26410e-008,0.2424
2.26869e-008,0.2441
2.27329e-008,0.2449
2.27788e-008,0.2444
2.28247e-008,0.2427
2.28706e-008,0.2483
2.29166e-008,0.3454
2.29625e-008,0.5044
2.30084e-008,0.6789
2.30543e-008,0.8622
2.31003e-008,1.0472
2.31462e-008,1.1509
2.31921e-008,1.2137
2.32380e-008,1.2449
2.32840e-008,1.2584
2.33299e-008,1.2583
2.33758e-008,1.2690
2.34217e-008,1.2736
2.34677e-008,1.2771
2.35136e-008,1.2781
2.35595e-008,1.2797
2.36055e-008,1.2784
2.36514e-008,1.2772
2.36973e-008,1.2674
2.37432e-008,1.2428
2.37892e-008,1.2085
2.38351e-008,1.1771
2.38810e-008,1.1599
2.39269e-008,1.1654
2.39729e-008,1.1878
2.40188e-008,1.2104
2.40647e-008,1.2187
2.41106e-008,1.2065
