.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
1.03941e-008,1.1807
1.04366e-008,1.1745
1.04790e-008,1.1727
1.05214e-008,1.1714
1.05638e-008,1.1668
1.06063e-008,1.1799
1.06487e-008,1.2104
1.06911e-008,1.2354
1.07335e-008,1.1454
1.07759e-008,0.9188
1.08184e-008,0.7129
1.08608e-008,0.5368
1.09032e-008,0.4349
1.09456e-008,0.3656
1.09881e-008,0.3113
1.10305e-008,0.3006
1.10729e-008,0.3035
1.11154e-008,0.2943
1.11578e-008,0.3053
1.12002e-008,0.3110
1.12426e-008,0.3106
1.12851e-008,0.3043
1.13275e-008,0.2889
1.13699e-008,0.2950
1.14123e-008,0.3078
1.14548e-008,0.3128
1.14972e-008,0.3069
1.15396e-008,0.2861
1.15820e-008,0.2548
1.16244e-008,0.2273
1.16669e-008,0.2747
1.17093e-008,0.4451
1.17517e-008,0.6308
1.17941e-008,0.8335
1.18366e-008,0.9634
1.18790e-008,1.0447
1.19214e-008,1.1021
1.19639e-008,1.1253
1.20063e-008,1.1488
1.20487e-008,1.1667
1.20911e-008,1.1529
1.21336e-008,1.1477
1.21760e-008,1.1556
1.22184e-008,1.1652
1.22608e-008,1.1798
1.23032e-008,1.1763
1.23457e-008,1.1724
1.23881e-008,1.1724
1.24305e-008,1.1670
1.24729e-008,1.1754
1.25154e-008,1.2041
1.25578e-008,1.2336
1.26002e-008,1.1805
1.26427e-008,0.9651
1.26851e-008,0.7539
1.27275e-008,0.5632
1.27699e-008,0.4498
1.28124e-008,0.3787
1.28548e-008,0.3181
1.28972e-008,0.3012
1.29396e-008,0.3035
1.29821e-008,0.2955
1.30245e-008,0.3021
1.30669e-008,0.3113
1.31093e-008,0.3105
1.31517e-008,0.3068
1.31942e-008,0.2911
1.32366e-008,0.2923
1.32790e-008,0.3060
1.33214e-008,0.3126
1.33639e-008,0.3091
1.34063e-008,0.2914
1.34487e-008,0.2611
1.34912e-008,0.2305
1.35336e-008,0.2467
1.35760e-008,0.4079
1.36184e-008,0.5929
1.36609e-008,0.7996
1.37033e-008,0.9435
1.37457e-008,1.0303
1.37881e-008,1.0948
1.38306e-008,1.1209
1.38730e-008,1.1445
1.39154e-008,1.1651
1.39578e-008,1.1568
1.40002e-008,1.1464
1.40427e-008,1.1544
1.40851e-008,1.1625
1.41275e-008,1.1779
1.41699e-008,1.1781
1.42124e-008,1.1722
1.42548e-008,1.1730
1.42972e-008,1.1678
1.43397e-008,1.1718
1.43821e-008,1.1978
1.44245e-008,1.2292
1.44669e-008,1.2092
1.45094e-008,1.0129
1.45518e-008,0.7918
1.45942e-008,0.5934
1.46366e-008,0.4674
1.46790e-008,0.3921
1.47215e-008,0.3261
1.47639e-008,0.3021
1.48063e-008,0.3025
1.48487e-008,0.2978
1.48912e-008,0.2989
1.49336e-008,0.3112
1.49760e-008,0.3103
1.50185e-008,0.3086
1.50609e-008,0.2940
1.51033e-008,0.2900
1.51457e-008,0.3038
1.51881e-008,0.3119
1.52306e-008,0.3108
1.52730e-008,0.2962
1.53154e-008,0.2674
1.53579e-008,0.2359
1.54003e-008,0.2272
1.54427e-008,0.3700
1.54851e-008,0.5565
1.55276e-008,0.7612
1.55700e-008,0.9206
1.56124e-008,1.0151
1.56548e-008,1.0863
1.56972e-008,1.1171
1.57397e-008,1.1400
1.57821e-008,1.1621
1.58245e-008,1.1609
1.58670e-008,1.1460
1.59094e-008,1.1530
1.59518e-008,1.1603
1.59942e-008,1.1753
1.60366e-008,1.1797
1.60791e-008,1.1725
1.61215e-008,1.1733
1.61639e-008,1.1690
1.62064e-008,1.1692
1.62488e-008,1.1916
1.62912e-008,1.2234
1.63336e-008,1.2273
1.63761e-008,1.0606
1.64185e-008,0.8303
1.64609e-008,0.6280
1.65033e-008,0.4874
1.65457e-008,0.4063
1.65882e-008,0.3365
1.66306e-008,0.3034
1.66730e-008,0.3013
1.67155e-008,0.3003
1.67579e-008,0.2963
1.68003e-008,0.3103
1.68427e-008,0.3104
1.68851e-008,0.3098
1.69276e-008,0.2974
1.69700e-008,0.2884
1.70124e-008,0.3013
1.70548e-008,0.3110
1.70973e-008,0.3120
1.71397e-008,0.3003
1.71821e-008,0.2737
1.72246e-008,0.2418
1.72670e-008,0.2223
1.73094e-008,0.3349
1.73518e-008,0.5212
1.73942e-008,0.7194
1.74367e-008,0.8951
1.74791e-008,0.9989
1.75215e-008,1.0749
1.75640e-008,1.1137
1.76064e-008,1.1353
1.76488e-008,1.1582
1.76912e-008,1.1642
1.77336e-008,1.1470
1.77761e-008,1.1514
1.78185e-008,1.1585
1.78609e-008,1.1721
1.79033e-008,1.1808
1.79458e-008,1.1733
1.79882e-008,1.1732
1.80306e-008,1.1702
1.80731e-008,1.1676
1.81155e-008,1.1858
1.81579e-008,1.2174
1.82003e-008,1.2342
1.82427e-008,1.1034
1.82852e-008,0.8705
1.83276e-008,0.6661
1.83700e-008,0.5097
1.84125e-008,0.4201
1.84549e-008,0.3500
1.84973e-008,0.3059
1.85397e-008,0.3007
1.85822e-008,0.3024
1.86246e-008,0.2947
1.86670e-008,0.3085
1.87094e-008,0.3107
1.87518e-008,0.3105
1.87943e-008,0.3009
1.88367e-008,0.2880
1.88791e-008,0.2984
1.89216e-008,0.3097
1.89640e-008,0.3127
1.90064e-008,0.3038
1.90488e-008,0.2798
1.90912e-008,0.2479
1.91337e-008,0.2248
1.91761e-008,0.3049
1.92185e-008,0.4858
1.92610e-008,0.6766
1.93034e-008,0.8672
1.93458e-008,0.9826
1.93882e-008,1.0608
1.94307e-008,1.1092
1.94731e-008,1.1306
1.95155e-008,1.1539
1.95579e-008,1.1664
1.96003e-008,1.1493
1.96428e-008,1.1496
1.96852e-008,1.1571
1.97276e-008,1.1688
1.97701e-008,1.1809
1.98125e-008,1.1745
1.98549e-008,1.1729
1.98973e-008,1.1714
1.99397e-008,1.1669
1.99822e-008,1.1805
2.00246e-008,1.2112
2.00670e-008,1.2357
2.01095e-008,1.1415
2.01519e-008,0.9139
2.01943e-008,0.7082
2.02367e-008,0.5341
2.02792e-008,0.4335
2.03216e-008,0.3642
2.03640e-008,0.3107
2.04064e-008,0.3007
2.04488e-008,0.3036
2.04913e-008,0.2943
2.05337e-008,0.3058
2.05761e-008,0.3111
2.06186e-008,0.3107
2.06610e-008,0.3041
2.07034e-008,0.2888
2.07458e-008,0.2955
2.07882e-008,0.3082
2.08307e-008,0.3129
2.08731e-008,0.3067
2.09155e-008,0.2856
2.09580e-008,0.2542
2.10004e-008,0.2271
2.10428e-008,0.2775
2.10852e-008,0.4491
2.11277e-008,0.6353
2.11701e-008,0.8370
2.12125e-008,0.9656
2.12549e-008,1.0463
2.12973e-008,1.1029
2.13398e-008,1.1259
2.13822e-008,1.1494
2.14246e-008,1.1668
2.14671e-008,1.1526
2.15095e-008,1.1479
2.15519e-008,1.1559
2.15943e-008,1.1656
2.16367e-008,1.1801
2.16792e-008,1.1762
2.17216e-008,1.1725
2.17640e-008,1.1724
2.18064e-008,1.1671
2.18489e-008,1.1760
2.18913e-008,1.2048
2.19337e-008,1.2341
2.19762e-008,1.1768
2.20186e-008,0.9600
2.20610e-008,0.7495
2.21034e-008,0.5602
2.21458e-008,0.4482
2.21883e-008,0.3774
2.22307e-008,0.3173
2.22731e-008,0.3011
2.23156e-008,0.3037
2.23580e-008,0.2954
2.24004e-008,0.3025
2.24428e-008,0.3114
2.24852e-008,0.3106
2.25277e-008,0.3067
2.25701e-008,0.2908
2.26125e-008,0.2926
2.26549e-008,0.3064
2.26974e-008,0.3127
2.27398e-008,0.3090
2.27822e-008,0.2910
2.28247e-008,0.2605
2.28671e-008,0.2300
2.29095e-008,0.2491
2.29519e-008,0.4119
2.29943e-008,0.5970
2.30368e-008,0.8037
2.30792e-008,0.9460
2.31216e-008,1.0320
2.31641e-008,1.0957
2.32065e-008,1.1215
2.32489e-008,1.1450
2.32913e-008,1.1655
2.33338e-008,1.1565
2.33762e-008,1.1466
2.34186e-008,1.1546
2.34610e-008,1.1628
2.35034e-008,1.1783
2.35459e-008,1.1780
2.35883e-008,1.1724
2.36307e-008,1.1730
2.36732e-008,1.1678
2.37156e-008,1.1722
2.37580e-008,1.1985
2.38004e-008,1.2300
2.38428e-008,1.2070
2.38853e-008,1.0077
2.39277e-008,0.7877
2.39701e-008,0.5899
2.40126e-008,0.4654
2.40550e-008,0.3907
2.40974e-008,0.3251
2.41398e-008,0.3020
2.41823e-008,0.3028
2.42247e-008,0.2976
2.42671e-008,0.2993
2.43095e-008,0.3113
2.43519e-008,0.3104
2.43944e-008,0.3086
2.44368e-008,0.2937
2.44792e-008,0.2902
2.45217e-008,0.3042
2.45641e-008,0.3121
2.46065e-008,0.3107
2.46489e-008,0.2958
