.HEADER
..NAMES
Time,V U1.N21
.DATA
1.12516e-008,0.2240
1.12975e-008,0.2129
1.13435e-008,0.2139
1.13894e-008,0.2209
1.14353e-008,0.2285
1.14812e-008,0.2372
1.15272e-008,0.2448
1.15731e-008,0.2524
1.16190e-008,0.2531
1.16649e-008,0.2487
1.17109e-008,0.2410
1.17568e-008,0.2329
1.18027e-008,0.2284
1.18487e-008,0.2266
1.18946e-008,0.2305
1.19405e-008,0.2371
1.19864e-008,0.2450
1.20324e-008,0.2499
1.20783e-008,0.2498
1.21242e-008,0.2440
1.21701e-008,0.2352
1.22161e-008,0.2292
1.22620e-008,0.2289
1.23079e-008,0.2343
1.23538e-008,0.2409
1.23997e-008,0.2452
1.24457e-008,0.2464
1.24916e-008,0.2446
1.25375e-008,0.2419
1.25834e-008,0.2389
1.26294e-008,0.2369
1.26753e-008,0.2364
1.27212e-008,0.2371
1.27672e-008,0.2391
1.28131e-008,0.2410
1.28590e-008,0.2426
1.29049e-008,0.2430
1.29509e-008,0.2424
1.29968e-008,0.2410
1.30427e-008,0.2391
1.30886e-008,0.2372
1.31346e-008,0.2363
1.31805e-008,0.2373
1.32264e-008,0.2400
1.32723e-008,0.2431
1.33182e-008,0.2448
1.33642e-008,0.2443
1.34101e-008,0.2419
1.34560e-008,0.2389
1.35019e-008,0.2370
1.35479e-008,0.2368
1.35938e-008,0.2384
1.36397e-008,0.2407
1.36856e-008,0.2426
1.37316e-008,0.2434
1.37775e-008,0.2428
1.38234e-008,0.2415
1.38694e-008,0.2400
1.39153e-008,0.2392
1.39612e-008,0.2390
1.40071e-008,0.2394
1.40531e-008,0.2401
1.40990e-008,0.2408
1.41449e-008,0.2416
1.41908e-008,0.2423
1.42367e-008,0.2424
1.42827e-008,0.2418
1.43286e-008,0.2407
1.43745e-008,0.2396
1.44204e-008,0.2391
1.44664e-008,0.2395
1.45123e-008,0.2405
1.45582e-008,0.2417
1.46041e-008,0.2425
1.46501e-008,0.2425
1.46960e-008,0.2418
1.47419e-008,0.2408
1.47879e-008,0.2399
1.48338e-008,0.2397
1.48797e-008,0.2401
1.49256e-008,0.2409
1.49715e-008,0.2417
1.50175e-008,0.2420
1.50634e-008,0.2419
1.51093e-008,0.2415
1.51552e-008,0.2410
1.52012e-008,0.2407
1.52471e-008,0.2406
1.52930e-008,0.2406
1.53389e-008,0.2408
1.53849e-008,0.2669
1.54308e-008,0.4329
1.54767e-008,0.5772
1.55226e-008,0.7497
1.55686e-008,0.9176
1.56145e-008,1.0531
1.56604e-008,1.1335
1.57063e-008,1.1744
1.57523e-008,1.1993
1.57982e-008,1.2131
1.58441e-008,1.2208
1.58901e-008,1.2249
1.59360e-008,1.2280
1.59819e-008,1.2269
1.60278e-008,1.2171
1.60738e-008,1.2189
1.61197e-008,1.2304
1.61656e-008,1.2460
1.62115e-008,1.2483
1.62575e-008,1.2226
1.63034e-008,1.1994
1.63493e-008,1.1728
1.63952e-008,1.1735
1.64412e-008,1.1865
1.64871e-008,1.2140
1.65330e-008,1.2366
1.65789e-008,1.2374
1.66249e-008,1.2230
1.66708e-008,1.2033
1.67167e-008,1.1937
1.67626e-008,1.2000
1.68085e-008,1.2219
1.68545e-008,1.2478
1.69004e-008,1.2655
1.69463e-008,1.2663
1.69922e-008,1.2529
1.70382e-008,1.2392
1.70841e-008,1.2290
1.71300e-008,1.2244
1.71759e-008,1.2230
1.72219e-008,1.2211
1.72678e-008,1.1720
1.73137e-008,1.0232
1.73596e-008,0.9104
1.74056e-008,0.7651
1.74515e-008,0.6205
1.74974e-008,0.4695
1.75433e-008,0.3609
1.75893e-008,0.2944
1.76352e-008,0.2571
1.76811e-008,0.2414
1.77271e-008,0.2402
1.77730e-008,0.2496
1.78189e-008,0.2574
1.78648e-008,0.2620
1.79108e-008,0.2624
1.79567e-008,0.2457
1.80026e-008,0.2272
1.80485e-008,0.2130
1.80945e-008,0.2270
1.81404e-008,0.2564
1.81863e-008,0.2784
1.82322e-008,0.2930
1.82782e-008,0.2880
1.83241e-008,0.2826
1.83700e-008,0.2638
1.84159e-008,0.2494
1.84619e-008,0.2426
1.85078e-008,0.2464
1.85537e-008,0.2562
1.85996e-008,0.2637
1.86455e-008,0.2641
1.86915e-008,0.2530
1.87374e-008,0.2364
1.87833e-008,0.2205
1.88292e-008,0.2136
1.88752e-008,0.2154
1.89211e-008,0.2204
1.89670e-008,0.2303
1.90129e-008,0.2418
1.90589e-008,0.2542
1.91048e-008,0.2608
1.91507e-008,0.2575
1.91966e-008,0.2487
1.92426e-008,0.2360
1.92885e-008,0.2272
1.93344e-008,0.2227
1.93803e-008,0.2261
1.94263e-008,0.2348
1.94722e-008,0.2452
1.95181e-008,0.2531
1.95640e-008,0.2545
1.96100e-008,0.2495
1.96559e-008,0.2396
1.97018e-008,0.2309
1.97478e-008,0.2277
1.97937e-008,0.2311
1.98396e-008,0.2380
1.98855e-008,0.2441
