.HEADER
..NAMES
Time,V U1.R23
.DATA
1.03941e-008,0.2084
1.04366e-008,0.2071
1.04790e-008,0.2108
1.05214e-008,0.2136
1.05638e-008,0.2168
1.06063e-008,0.2167
1.06487e-008,0.2150
1.06911e-008,0.2146
1.07335e-008,0.3121
1.07759e-008,0.4911
1.08184e-008,0.6771
1.08608e-008,0.8808
1.09032e-008,1.0110
1.09456e-008,1.0925
1.09881e-008,1.1459
1.10305e-008,1.1676
1.10729e-008,1.1830
1.11154e-008,1.1774
1.11578e-008,1.1751
1.12002e-008,1.1747
1.12426e-008,1.1887
1.12851e-008,1.2180
1.13275e-008,1.2181
1.13699e-008,1.2069
1.14123e-008,1.1864
1.14548e-008,1.1688
1.14972e-008,1.1891
1.15396e-008,1.2201
1.15820e-008,1.2460
1.16244e-008,1.2630
1.16669e-008,1.2593
1.17093e-008,1.2556
1.17517e-008,1.2549
1.17941e-008,1.2554
1.18366e-008,1.2565
1.18790e-008,1.2556
1.19214e-008,1.2578
1.19639e-008,1.2599
1.20063e-008,1.2663
1.20487e-008,1.2716
1.20911e-008,1.2674
1.21336e-008,1.2634
1.21760e-008,1.2587
1.22184e-008,1.2582
1.22608e-008,1.2656
1.23032e-008,1.2695
1.23457e-008,1.2694
1.23881e-008,1.2664
1.24305e-008,1.2615
1.24729e-008,1.2605
1.25154e-008,1.2620
1.25578e-008,1.2634
1.26002e-008,1.2634
1.26427e-008,1.2630
1.26851e-008,1.2633
1.27275e-008,1.2636
1.27699e-008,1.2649
1.28124e-008,1.2649
1.28548e-008,1.2630
1.28972e-008,1.2623
1.29396e-008,1.2618
1.29821e-008,1.2629
1.30245e-008,1.2649
1.30669e-008,1.2648
1.31093e-008,1.2639
1.31517e-008,1.2629
1.31942e-008,1.2623
1.32366e-008,1.2630
1.32790e-008,1.2639
1.33214e-008,1.2641
1.33639e-008,1.2636
1.34063e-008,1.2633
1.34487e-008,1.2634
1.34912e-008,1.2636
1.35336e-008,1.2639
1.35760e-008,1.2636
1.36184e-008,1.2631
1.36609e-008,1.2632
1.37033e-008,1.2633
1.37457e-008,1.2637
1.37881e-008,1.2640
1.38306e-008,1.2636
1.38730e-008,1.2633
1.39154e-008,1.2632
1.39578e-008,1.2633
1.40002e-008,1.2636
1.40427e-008,1.2637
1.40851e-008,1.2636
1.41275e-008,1.2634
1.41699e-008,1.2634
1.42124e-008,1.2634
1.42548e-008,1.2635
1.42972e-008,1.2636
1.43397e-008,1.2634
1.43821e-008,1.2633
1.44245e-008,1.2634
1.44669e-008,1.2635
1.45094e-008,1.2636
1.45518e-008,1.2636
1.45942e-008,1.2634
1.46366e-008,1.2634
1.46790e-008,1.2634
1.47215e-008,1.2635
1.47639e-008,1.2635
1.48063e-008,1.2635
1.48487e-008,1.2634
1.48912e-008,1.2634
1.49336e-008,1.2634
1.49760e-008,1.2635
1.50185e-008,1.2635
1.50609e-008,1.2635
1.51033e-008,1.2634
1.51457e-008,1.2634
1.51881e-008,1.2634
1.52306e-008,1.2635
1.52730e-008,1.2635
1.53154e-008,1.2634
1.53579e-008,1.2634
1.54003e-008,1.2634
1.54427e-008,1.2634
1.54851e-008,1.2634
