.HEADER
..NAMES
Time,V U1.N24
.DATA
1.03941e-008,0.2158
1.04366e-008,0.2150
1.04790e-008,0.2150
1.05214e-008,0.2157
1.05638e-008,0.2167
1.06063e-008,0.2175
1.06487e-008,0.2178
1.06911e-008,0.2173
1.07335e-008,0.2164
1.07759e-008,0.2160
1.08184e-008,0.2159
1.08608e-008,0.2161
1.09032e-008,0.2166
1.09456e-008,0.2168
1.09881e-008,0.2166
1.10305e-008,0.2164
1.10729e-008,0.2162
1.11154e-008,0.2162
1.11578e-008,0.2164
1.12002e-008,0.2788
1.12426e-008,0.4516
1.12851e-008,0.6270
1.13275e-008,0.8420
1.13699e-008,0.9904
1.14123e-008,1.0782
1.14548e-008,1.1320
1.14972e-008,1.1608
1.15396e-008,1.1869
1.15820e-008,1.2093
1.16244e-008,1.2281
1.16669e-008,1.2359
1.17093e-008,1.2286
1.17517e-008,1.2067
1.17941e-008,1.1763
1.18366e-008,1.1546
1.18790e-008,1.1618
1.19214e-008,1.1838
1.19639e-008,1.2194
1.20063e-008,1.2522
1.20487e-008,1.2619
1.20911e-008,1.2598
1.21336e-008,1.2540
1.21760e-008,1.2493
1.22184e-008,1.2521
1.22608e-008,1.2573
1.23032e-008,1.2605
1.23457e-008,1.2615
1.23881e-008,1.2587
1.24305e-008,1.2554
1.24729e-008,1.2540
1.25154e-008,1.2555
1.25578e-008,1.2601
1.26002e-008,1.2660
1.26427e-008,1.2708
1.26851e-008,1.2709
1.27275e-008,1.2674
1.27699e-008,1.2630
1.28124e-008,1.2589
1.28548e-008,1.2580
1.28972e-008,1.2601
1.29396e-008,1.2620
1.29821e-008,1.2630
1.30245e-008,1.2627
1.30669e-008,1.2615
1.31093e-008,1.2609
1.31517e-008,1.2610
1.31942e-008,1.2618
1.32366e-008,1.2629
1.32790e-008,1.2634
1.33214e-008,1.2633
1.33639e-008,1.2626
1.34063e-008,1.2616
1.34487e-008,1.2608
1.34912e-008,1.2607
1.35336e-008,1.2614
1.35760e-008,1.2621
1.36184e-008,1.2626
1.36609e-008,1.2627
1.37033e-008,1.2623
1.37457e-008,1.2618
1.37881e-008,1.2617
1.38306e-008,1.2618
1.38730e-008,1.2621
1.39154e-008,1.2623
1.39578e-008,1.2622
1.40002e-008,1.2621
1.40427e-008,1.2619
1.40851e-008,1.2617
1.41275e-008,1.2618
1.41699e-008,1.2619
1.42124e-008,1.2621
1.42548e-008,1.2622
1.42972e-008,1.2622
1.43397e-008,1.2621
1.43821e-008,1.2619
1.44245e-008,1.2619
1.44669e-008,1.2619
1.45094e-008,1.2619
1.45518e-008,1.2620
1.45942e-008,1.2620
1.46366e-008,1.2620
1.46790e-008,1.2619
1.47215e-008,1.2619
1.47639e-008,1.2619
1.48063e-008,1.2619
1.48487e-008,1.2620
1.48912e-008,1.2620
1.49336e-008,1.2620
1.49760e-008,1.2620
1.50185e-008,1.2619
1.50609e-008,1.2619
1.51033e-008,1.2619
1.51457e-008,1.2619
1.51881e-008,1.2620
1.52306e-008,1.2620
1.52730e-008,1.2620
1.53154e-008,1.2619
1.53579e-008,1.2619
1.54003e-008,1.2619
1.54427e-008,1.2619
1.54851e-008,1.2619
1.55276e-008,1.2619
1.55700e-008,1.2619
1.56124e-008,1.2619
1.56548e-008,1.2619
1.56972e-008,1.2619
1.57397e-008,1.2619
1.57821e-008,1.2619
1.58245e-008,1.2619
1.58670e-008,1.2619
1.59094e-008,1.2619
1.59518e-008,1.2619
1.59942e-008,1.2619
1.60366e-008,1.2619
1.60791e-008,1.2619
1.61215e-008,1.2619
1.61639e-008,1.2619
1.62064e-008,1.2619
1.62488e-008,1.2619
1.62912e-008,1.2619
1.63336e-008,1.2619
1.63761e-008,1.2619
1.64185e-008,1.2619
1.64609e-008,1.2619
1.65033e-008,1.2619
1.65457e-008,1.2619
1.65882e-008,1.2619
1.66306e-008,1.2619
1.66730e-008,1.2619
1.67155e-008,1.2619
1.67579e-008,1.2619
1.68003e-008,1.2458
1.68427e-008,1.0694
1.68851e-008,0.8482
1.69276e-008,0.6665
1.69700e-008,0.4968
1.70124e-008,0.3788
1.70548e-008,0.3280
1.70973e-008,0.2964
1.71397e-008,0.2830
1.71821e-008,0.2615
1.72246e-008,0.2437
1.72670e-008,0.2329
1.73094e-008,0.2395
1.73518e-008,0.2607
1.73942e-008,0.2910
1.74367e-008,0.3225
1.74791e-008,0.3237
1.75215e-008,0.2967
1.75640e-008,0.2655
1.76064e-008,0.2276
1.76488e-008,0.2054
1.76912e-008,0.2101
1.77336e-008,0.2184
1.77761e-008,0.3560
1.78185e-008,0.5568
1.78609e-008,0.7452
1.79033e-008,0.9262
1.79458e-008,1.0435
1.79882e-008,1.1086
1.80306e-008,1.1548
1.80731e-008,1.1781
1.81155e-008,1.2061
1.81579e-008,1.2222
1.82003e-008,1.2318
1.82427e-008,1.2259
1.82852e-008,1.2082
1.83276e-008,1.1849
1.83700e-008,1.1580
1.84125e-008,1.1541
1.84549e-008,1.1758
1.84973e-008,1.2034
1.85397e-008,1.2385
1.85822e-008,1.2607
1.86246e-008,1.2598
1.86670e-008,1.2558
1.87094e-008,1.2515
1.87518e-008,1.2504
1.87943e-008,1.2553
1.88367e-008,1.2587
1.88791e-008,1.2598
1.89216e-008,1.2589
1.89640e-008,1.2558
1.90064e-008,1.2542
1.90488e-008,1.2552
1.90912e-008,1.2589
1.91337e-008,1.2639
1.91761e-008,1.2689
1.92185e-008,1.2713
1.92610e-008,1.2685
1.93034e-008,1.2642
1.93458e-008,1.2606
1.93882e-008,1.2579
1.94307e-008,1.2589
1.94731e-008,1.2613
1.95155e-008,1.2624
1.95579e-008,1.2626
1.96003e-008,1.2618
1.96428e-008,1.2609
1.96852e-008,1.2610
1.97276e-008,1.2615
1.97701e-008,1.2624
1.98125e-008,1.2631
1.98549e-008,1.2632
1.98973e-008,1.2626
1.99397e-008,1.2618
1.99822e-008,1.2610
2.00246e-008,1.2606
2.00670e-008,1.2610
2.01095e-008,1.2618
2.01519e-008,1.2623
2.01943e-008,1.2625
2.02367e-008,1.2624
2.02792e-008,1.2619
2.03216e-008,1.2616
2.03640e-008,1.2617
2.04064e-008,1.2619
2.04488e-008,1.2621
2.04913e-008,1.2621
2.05337e-008,1.2572
2.05761e-008,1.1558
2.06186e-008,0.9229
2.06610e-008,0.7429
2.07034e-008,0.5571
2.07458e-008,0.4162
2.07882e-008,0.3458
2.08307e-008,0.3079
2.08731e-008,0.2881
2.09155e-008,0.2698
2.09580e-008,0.2502
2.10004e-008,0.2352
2.10428e-008,0.2349
2.10852e-008,0.2506
2.11277e-008,0.2786
2.11701e-008,0.3115
2.12125e-008,0.3285
2.12549e-008,0.3081
2.12973e-008,0.2784
2.13398e-008,0.2426
2.13822e-008,0.2103
2.14246e-008,0.2068
2.14671e-008,0.2144
2.15095e-008,0.2181
2.15519e-008,0.2226
2.15943e-008,0.2216
2.16367e-008,0.2171
2.16792e-008,0.2152
2.17216e-008,0.2156
2.17640e-008,0.2193
2.18064e-008,0.2233
2.18489e-008,0.2243
2.18913e-008,0.2218
2.19337e-008,0.2165
2.19762e-008,0.2104
2.20186e-008,0.2060
2.20610e-008,0.2075
2.21034e-008,0.2122
2.21458e-008,0.2162
2.21883e-008,0.2198
2.22307e-008,0.2203
2.22731e-008,0.2175
2.23156e-008,0.2159
2.23580e-008,0.2157
2.24004e-008,0.2160
2.24428e-008,0.2171
2.24852e-008,0.2176
2.25277e-008,0.2173
2.25701e-008,0.2165
2.26125e-008,0.2154
2.26549e-008,0.2149
2.26974e-008,0.2152
2.27398e-008,0.2160
2.27822e-008,0.2170
2.28247e-008,0.2178
