.HEADER
..NAMES
Time,V U1.M25
.DATA
0.0e+000,0.2178
4.24e-011,0.2178
8.49e-011,0.2178
1.273e-010,0.2178
1.697e-010,0.2178
2.121e-010,0.2178
2.545e-010,0.2178
2.970e-010,0.2178
3.394e-010,0.2178
3.818e-010,0.2178
4.242e-010,0.2178
4.667e-010,0.2178
5.091e-010,0.2178
5.515e-010,0.2178
5.940e-010,0.2178
6.364e-010,0.2178
6.788e-010,0.2178
7.212e-010,0.2178
7.636e-010,0.2178
8.061e-010,0.2178
8.485e-010,0.2178
8.909e-010,0.2764
9.333e-010,0.4392
9.758e-010,0.6147
1.0182e-009,0.8304
1.0606e-009,0.9963
1.1030e-009,1.0973
1.1455e-009,1.1563
1.1879e-009,1.1742
1.2303e-009,1.1667
1.2728e-009,1.1645
1.3152e-009,1.1661
1.3576e-009,1.1747
1.4000e-009,1.2015
1.4425e-009,1.2123
1.4849e-009,1.1965
1.5273e-009,1.1865
1.5697e-009,1.1745
1.6121e-009,1.1775
1.6546e-009,1.2076
1.6970e-009,1.2377
1.7394e-009,1.2574
1.7819e-009,1.2678
1.8243e-009,1.2641
1.8667e-009,1.2577
1.9091e-009,1.2528
1.9516e-009,1.2471
1.9940e-009,1.2471
2.0364e-009,1.2546
2.0788e-009,1.2600
2.1213e-009,1.2670
2.1637e-009,1.2717
2.2061e-009,1.2660
2.2485e-009,1.2609
2.2910e-009,1.2600
2.3334e-009,1.2600
2.3758e-009,1.2639
2.4182e-009,1.2674
2.4606e-009,1.2664
2.5031e-009,1.2644
2.5455e-009,1.2621
2.5879e-009,1.2600
2.6303e-009,1.2604
2.6728e-009,1.2607
2.7152e-009,1.2607
2.7576e-009,1.2629
2.8000e-009,1.2643
2.8425e-009,1.2640
2.8849e-009,1.2640
2.9273e-009,1.2625
2.9698e-009,1.2605
3.0122e-009,1.2610
3.0546e-009,1.2620
3.0970e-009,1.2627
3.1395e-009,1.2634
3.1819e-009,1.2630
3.2243e-009,1.2623
3.2667e-009,1.2622
3.3092e-009,1.2620
3.3516e-009,1.2622
3.3940e-009,1.2626
3.4364e-009,1.2624
3.4789e-009,1.2625
3.5213e-009,1.2630
3.5637e-009,1.2627
3.6061e-009,1.2624
3.6485e-009,1.2623
