.HEADER
..NAMES
Time,V U1.U21
.DATA
1.12516e-008,0.2399
1.12975e-008,0.2297
1.13435e-008,0.2255
1.13894e-008,0.2273
1.14353e-008,0.2317
1.14812e-008,0.2406
1.15272e-008,0.2490
1.15731e-008,0.2529
1.16190e-008,0.2557
1.16649e-008,0.3459
1.17109e-008,0.5072
1.17568e-008,0.6471
1.18027e-008,0.8273
1.18487e-008,0.9845
1.18946e-008,1.0950
1.19405e-008,1.1627
1.19864e-008,1.1989
1.20324e-008,1.2164
1.20783e-008,1.2212
1.21242e-008,1.2181
1.21701e-008,1.2047
1.22161e-008,1.2032
1.22620e-008,1.2088
1.23079e-008,1.2249
1.23538e-008,1.2505
1.23997e-008,1.2658
1.24457e-008,1.2750
1.24916e-008,1.2518
1.25375e-008,1.2135
1.25834e-008,1.1761
1.26294e-008,1.1567
1.26753e-008,1.1735
1.27212e-008,1.1985
1.27672e-008,1.2196
1.28131e-008,1.2224
1.28590e-008,1.2070
1.29049e-008,1.1929
1.29509e-008,1.1871
1.29968e-008,1.1964
1.30427e-008,1.2151
1.30886e-008,1.2334
1.31346e-008,1.2416
1.31805e-008,1.2419
1.32264e-008,1.2383
1.32723e-008,1.2349
1.33182e-008,1.2347
1.33642e-008,1.2308
1.34101e-008,1.2250
1.34560e-008,1.2199
1.35019e-008,1.2177
1.35479e-008,1.2222
1.35938e-008,1.2301
1.36397e-008,1.2400
1.36856e-008,1.2458
1.37316e-008,1.2430
1.37775e-008,1.2328
1.38234e-008,1.2201
1.38694e-008,1.2141
1.39153e-008,1.2179
1.39612e-008,1.2291
1.40071e-008,1.2400
1.40531e-008,1.2442
1.40990e-008,1.2406
1.41449e-008,1.2327
1.41908e-008,1.2264
1.42367e-008,1.2246
1.42827e-008,1.2271
1.43286e-008,1.2300
1.43745e-008,1.2306
1.44204e-008,1.2298
1.44664e-008,1.2291
1.45123e-008,1.2308
1.45582e-008,1.2331
1.46041e-008,1.2340
1.46501e-008,1.2324
1.46960e-008,1.2289
1.47419e-008,1.2259
1.47879e-008,1.2253
1.48338e-008,1.2275
1.48797e-008,1.2314
1.49256e-008,1.2348
1.49715e-008,1.2356
1.50175e-008,1.2331
1.50634e-008,1.2289
1.51093e-008,1.2256
1.51552e-008,1.2253
1.52012e-008,1.2279
1.52471e-008,1.2314
1.52930e-008,1.2334
1.53389e-008,1.2329
1.53849e-008,1.2307
1.54308e-008,1.2287
1.54767e-008,1.2283
1.55226e-008,1.2293
1.55686e-008,1.2303
1.56145e-008,1.2303
1.56604e-008,1.2294
1.57063e-008,1.2288
1.57523e-008,1.2293
1.57982e-008,1.2306
1.58441e-008,1.2317
1.58901e-008,1.2315
1.59360e-008,1.2302
1.59819e-008,1.2285
1.60278e-008,1.2277
1.60738e-008,1.2280
1.61197e-008,1.2294
1.61656e-008,1.2310
1.62115e-008,1.2317
1.62575e-008,1.2312
1.63034e-008,1.2299
1.63493e-008,1.2286
1.63952e-008,1.2281
1.64412e-008,1.2287
1.64871e-008,1.2297
1.65330e-008,1.2305
1.65789e-008,1.2306
1.66249e-008,1.2299
1.66708e-008,1.2293
1.67167e-008,1.2292
1.67626e-008,1.2296
1.68085e-008,1.2300
1.68545e-008,1.2299
1.69004e-008,1.2294
1.69463e-008,1.2290
1.69922e-008,1.2290
1.70382e-008,1.2295
1.70841e-008,1.2302
1.71300e-008,1.2304
1.71759e-008,1.2301
1.72219e-008,1.2294
1.72678e-008,1.2288
1.73137e-008,1.2288
1.73596e-008,1.2292
1.74056e-008,1.2298
1.74515e-008,1.2301
1.74974e-008,1.2301
1.75433e-008,1.2297
1.75893e-008,1.2292
1.76352e-008,1.2290
1.76811e-008,1.2291
1.77271e-008,1.2294
1.77730e-008,1.2297
1.78189e-008,1.2297
1.78648e-008,1.2295
1.79108e-008,1.2293
1.79567e-008,1.2293
1.80026e-008,1.2294
1.80485e-008,1.2296
1.80945e-008,1.2296
