.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
1.00144e-008,-0.7072
1.00568e-008,-0.7795
1.00992e-008,-0.7827
1.01417e-008,-0.8039
1.01841e-008,-0.8383
1.02265e-008,-0.8377
1.02689e-008,-0.8577
1.03113e-008,-0.8785
1.03538e-008,-0.8900
1.03962e-008,-0.8967
1.04386e-008,-0.8702
1.04810e-008,-0.8534
1.05235e-008,-0.8517
1.05659e-008,-0.8585
1.06083e-008,-0.9025
1.06507e-008,-0.9680
1.06932e-008,-1.0139
1.07356e-008,-0.8426
1.07780e-008,-0.4319
1.08205e-008,-0.0342
1.08629e-008,0.3383
1.09053e-008,0.5603
1.09477e-008,0.6966
1.09902e-008,0.7834
1.10326e-008,0.7898
1.10750e-008,0.8043
1.11174e-008,0.8346
1.11598e-008,0.8327
1.12023e-008,0.8518
1.12447e-008,0.8778
1.12871e-008,0.8918
1.13295e-008,0.9012
1.13720e-008,0.8746
1.14144e-008,0.8537
1.14568e-008,0.8524
1.14993e-008,0.8584
1.15417e-008,0.8980
1.15841e-008,0.9627
1.16265e-008,1.0143
1.16690e-008,0.8773
1.17114e-008,0.4763
1.17538e-008,0.0795
1.17962e-008,-0.3074
1.18387e-008,-0.5448
1.18811e-008,-0.6826
1.19235e-008,-0.7732
1.19659e-008,-0.7812
1.20083e-008,-0.7972
1.20508e-008,-0.8346
1.20932e-008,-0.8380
1.21356e-008,-0.8522
1.21780e-008,-0.8759
1.22205e-008,-0.8874
1.22629e-008,-0.8980
1.23053e-008,-0.8763
1.23478e-008,-0.8548
1.23902e-008,-0.8518
1.24326e-008,-0.8552
1.24750e-008,-0.8909
1.25175e-008,-0.9554
1.25599e-008,-1.0112
1.26023e-008,-0.9071
1.26447e-008,-0.5155
1.26871e-008,-0.1172
1.27296e-008,0.2801
1.27720e-008,0.5288
1.28144e-008,0.6718
1.28568e-008,0.7744
1.28993e-008,0.7888
1.29417e-008,0.7994
1.29841e-008,0.8307
1.30265e-008,0.8334
1.30690e-008,0.8456
1.31114e-008,0.8741
1.31538e-008,0.8889
1.31963e-008,0.9018
1.32387e-008,0.8813
1.32811e-008,0.8555
1.33235e-008,0.8522
1.33660e-008,0.8555
1.34084e-008,0.8869
1.34508e-008,0.9499
1.34932e-008,1.0094
1.35356e-008,0.9409
1.35781e-008,0.5608
1.36205e-008,0.1591
1.36629e-008,-0.2461
1.37053e-008,-0.5103
1.37478e-008,-0.6590
1.37902e-008,-0.7638
1.38326e-008,-0.7805
1.38751e-008,-0.7921
1.39175e-008,-0.8286
1.39599e-008,-0.8390
1.40023e-008,-0.8468
