.HEADER
..NAMES
Time,V U1.T24
.DATA
1.03941e-008,0.8890
1.04366e-008,1.0393
1.04790e-008,1.1240
1.05214e-008,1.1745
1.05638e-008,1.1902
1.06063e-008,1.2025
1.06487e-008,1.2085
1.06911e-008,1.1981
1.07335e-008,1.1846
1.07759e-008,1.1816
1.08184e-008,1.1778
1.08608e-008,1.1945
1.09032e-008,1.2191
1.09456e-008,1.2328
1.09881e-008,1.2282
1.10305e-008,1.2082
1.10729e-008,1.1852
1.11154e-008,1.1770
1.11578e-008,1.1873
1.12002e-008,1.1047
1.12426e-008,0.8751
1.12851e-008,0.6833
1.13275e-008,0.4746
1.13699e-008,0.3412
1.14123e-008,0.2869
1.14548e-008,0.2577
1.14972e-008,0.2576
1.15396e-008,0.2641
1.15820e-008,0.2598
1.16244e-008,0.2786
1.16669e-008,0.3013
1.17093e-008,0.2993
1.17517e-008,0.3014
1.17941e-008,0.2826
1.18366e-008,0.2487
1.18790e-008,0.2353
1.19214e-008,0.2498
1.19639e-008,0.2762
1.20063e-008,0.3004
1.20487e-008,0.3033
1.20911e-008,0.2769
1.21336e-008,0.2382
1.21760e-008,0.2089
1.22184e-008,0.2008
1.22608e-008,0.2105
1.23032e-008,0.2203
1.23457e-008,0.2243
1.23881e-008,0.2266
1.24305e-008,0.2222
1.24729e-008,0.2187
1.25154e-008,0.2216
1.25578e-008,0.2212
1.26002e-008,0.2177
1.26427e-008,0.2148
1.26851e-008,0.2097
1.27275e-008,0.2076
1.27699e-008,0.2108
1.28124e-008,0.2161
1.28548e-008,0.2219
1.28972e-008,0.2226
1.29396e-008,0.2178
1.29821e-008,0.2130
1.30245e-008,0.2096
1.30669e-008,0.2441
1.31093e-008,0.4167
1.31517e-008,0.6017
1.31942e-008,0.8352
1.32366e-008,1.0030
1.32790e-008,1.1039
1.33214e-008,1.1597
1.33639e-008,1.1883
1.34063e-008,1.1969
1.34487e-008,1.2099
1.34912e-008,1.2029
1.35336e-008,1.1864
1.35760e-008,1.1816
1.36184e-008,1.1769
1.36609e-008,1.1883
1.37033e-008,1.2135
1.37457e-008,1.2325
1.37881e-008,1.2316
1.38306e-008,1.2146
1.38730e-008,1.1896
1.39154e-008,1.1760
1.39578e-008,1.1866
1.40002e-008,1.2163
1.40427e-008,1.2472
1.40851e-008,1.2653
1.41275e-008,1.2651
1.41699e-008,1.2573
1.42124e-008,1.2525
1.42548e-008,1.2506
1.42972e-008,1.2545
1.43397e-008,1.2588
1.43821e-008,1.2579
1.44245e-008,1.2576
1.44669e-008,1.2597
1.45094e-008,1.2624
1.45518e-008,1.2672
1.45942e-008,1.2705
1.46366e-008,1.2693
1.46790e-008,1.2658
1.47215e-008,1.2605
1.47639e-008,1.2579
1.48063e-008,1.2602
1.48487e-008,1.2643
1.48912e-008,1.2685
1.49336e-008,1.2697
1.49760e-008,1.2663
1.50185e-008,1.2620
1.50609e-008,1.2601
1.51033e-008,1.2604
1.51457e-008,1.2624
1.51881e-008,1.2640
1.52306e-008,1.2640
1.52730e-008,1.2631
1.53154e-008,1.2625
1.53579e-008,1.2627
1.54003e-008,1.2636
1.54427e-008,1.2640
1.54851e-008,1.2636
1.55276e-008,1.2629
1.55700e-008,1.2620
