.HEADER
..NAMES
Time,V U1.J23
.DATA
1.03941e-008,0.2153
1.04366e-008,0.2153
1.04790e-008,0.2153
1.05214e-008,0.2153
1.05638e-008,0.2153
1.06063e-008,0.2153
1.06487e-008,0.2153
1.06911e-008,0.2153
1.07335e-008,0.2153
1.07759e-008,0.2153
1.08184e-008,0.2153
1.08608e-008,0.2153
1.09032e-008,0.2153
1.09456e-008,0.2153
1.09881e-008,0.2153
1.10305e-008,0.2153
1.10729e-008,0.2153
1.11154e-008,0.2153
1.11578e-008,0.2153
1.12002e-008,0.3056
1.12426e-008,0.4903
1.12851e-008,0.6775
1.13275e-008,0.8784
1.13699e-008,0.9950
1.14123e-008,1.0637
1.14548e-008,1.1087
1.14972e-008,1.1374
1.15396e-008,1.1817
1.15820e-008,1.2046
1.16244e-008,1.2222
1.16669e-008,1.2328
1.17093e-008,1.2344
1.17517e-008,1.2344
1.17941e-008,1.2263
1.18366e-008,1.2172
1.18790e-008,1.2018
1.19214e-008,1.1860
1.19639e-008,1.1827
1.20063e-008,1.1882
1.20487e-008,1.2088
1.20911e-008,1.2352
1.21336e-008,1.2511
1.21760e-008,1.2561
1.22184e-008,1.2517
1.22608e-008,1.2485
1.23032e-008,1.2520
1.23457e-008,1.2590
1.23881e-008,1.2654
1.24305e-008,1.2659
1.24729e-008,1.2623
1.25154e-008,1.2594
1.25578e-008,1.2585
1.26002e-008,1.2590
1.26427e-008,1.2598
1.26851e-008,1.2607
1.27275e-008,1.2620
1.27699e-008,1.2638
1.28124e-008,1.2663
1.28548e-008,1.2676
1.28972e-008,1.2673
1.29396e-008,1.2661
1.29821e-008,1.2640
1.30245e-008,1.2624
1.30669e-008,1.2618
1.31093e-008,1.2624
1.31517e-008,1.2634
1.31942e-008,1.2639
1.32366e-008,1.2635
1.32790e-008,1.2625
1.33214e-008,1.2618
1.33639e-008,1.2621
1.34063e-008,1.2630
1.34487e-008,1.2638
1.34912e-008,1.2639
1.35336e-008,1.2637
1.35760e-008,1.2634
1.36184e-008,1.2632
1.36609e-008,1.2633
1.37033e-008,1.2631
1.37457e-008,1.2629
1.37881e-008,1.2628
1.38306e-008,1.2629
1.38730e-008,1.2631
1.39154e-008,1.2633
1.39578e-008,1.2633
1.40002e-008,1.2632
1.40427e-008,1.2631
1.40851e-008,1.2631
1.41275e-008,1.2631
1.41699e-008,1.2632
1.42124e-008,1.2633
1.42548e-008,1.2633
1.42972e-008,1.2633
1.43397e-008,1.2631
1.43821e-008,1.2630
1.44245e-008,1.2630
1.44669e-008,1.2631
1.45094e-008,1.2632
1.45518e-008,1.2632
1.45942e-008,1.2631
1.46366e-008,1.2631
1.46790e-008,1.2631
1.47215e-008,1.2632
1.47639e-008,1.2631
1.48063e-008,1.2631
1.48487e-008,1.2631
1.48912e-008,1.2631
1.49336e-008,1.2631
1.49760e-008,1.2631
1.50185e-008,1.2631
1.50609e-008,1.2631
1.51033e-008,1.2631
1.51457e-008,1.2631
1.51881e-008,1.2631
1.52306e-008,1.2631
1.52730e-008,1.2631
1.53154e-008,1.2631
1.53579e-008,1.2631
1.54003e-008,1.2631
1.54427e-008,1.2631
1.54851e-008,1.2631
1.55276e-008,1.2631
1.55700e-008,1.2631
1.56124e-008,1.2631
1.56548e-008,1.2631
1.56972e-008,1.2631
1.57397e-008,1.2631
1.57821e-008,1.2631
1.58245e-008,1.2631
1.58670e-008,1.2631
1.59094e-008,1.2631
1.59518e-008,1.2631
1.59942e-008,1.2631
1.60366e-008,1.2631
1.60791e-008,1.2631
1.61215e-008,1.2631
1.61639e-008,1.2631
1.62064e-008,1.2631
1.62488e-008,1.2631
1.62912e-008,1.2631
1.63336e-008,1.2631
1.63761e-008,1.2631
1.64185e-008,1.2630
1.64609e-008,1.2630
1.65033e-008,1.2630
1.65457e-008,1.2630
1.65882e-008,1.2630
1.66306e-008,1.2630
1.66730e-008,1.2630
1.67155e-008,1.2630
1.67579e-008,1.2630
1.68003e-008,1.2315
1.68427e-008,1.0193
1.68851e-008,0.8060
1.69276e-008,0.6227
1.69700e-008,0.4796
1.70124e-008,0.3999
1.70548e-008,0.3495
1.70973e-008,0.3215
1.71397e-008,0.2936
1.71821e-008,0.2622
1.72246e-008,0.2514
1.72670e-008,0.2377
1.73094e-008,0.2310
1.73518e-008,0.2353
1.73942e-008,0.2443
1.74367e-008,0.2562
1.74791e-008,0.2680
1.75215e-008,0.2888
1.75640e-008,0.2990
1.76064e-008,0.2916
1.76488e-008,0.2746
1.76912e-008,0.2448
1.77336e-008,0.2214
1.77761e-008,0.2163
1.78185e-008,0.2194
1.78609e-008,0.2238
1.79033e-008,0.2222
1.79458e-008,0.2168
1.79882e-008,0.2120
1.80306e-008,0.2100
1.80731e-008,0.2133
1.81155e-008,0.2169
1.81579e-008,0.2182
1.82003e-008,0.2190
1.82427e-008,0.2194
1.82852e-008,0.2187
1.83276e-008,0.2167
1.83700e-008,0.2149
1.84125e-008,0.2127
1.84549e-008,0.2106
1.84973e-008,0.2105
1.85397e-008,0.2115
1.85822e-008,0.2132
1.86246e-008,0.2155
1.86670e-008,0.2207
1.87094e-008,0.3427
1.87518e-008,0.5268
1.87943e-008,0.7249
1.88367e-008,0.9072
1.88791e-008,1.0114
1.89216e-008,1.0774
1.89640e-008,1.1156
1.90064e-008,1.1475
1.90488e-008,1.1874
1.90912e-008,1.2071
1.91337e-008,1.2251
1.91761e-008,1.2330
1.92185e-008,1.2344
1.92610e-008,1.2330
1.93034e-008,1.2242
1.93458e-008,1.2149
1.93882e-008,1.1980
1.94307e-008,1.1848
1.94731e-008,1.1832
1.95155e-008,1.1911
1.95579e-008,1.2144
1.96003e-008,1.2391
1.96428e-008,1.2527
1.96852e-008,1.2557
1.97276e-008,1.2506
1.97701e-008,1.2488
1.98125e-008,1.2531
1.98549e-008,1.2602
1.98973e-008,1.2658
1.99397e-008,1.2651
1.99822e-008,1.2616
2.00246e-008,1.2591
2.00670e-008,1.2584
2.01095e-008,1.2591
2.01519e-008,1.2598
2.01943e-008,1.2609
2.02367e-008,1.2622
2.02792e-008,1.2643
2.03216e-008,1.2666
2.03640e-008,1.2675
2.04064e-008,1.2670
2.04488e-008,1.2656
2.04913e-008,1.2635
2.05337e-008,1.2621
2.05761e-008,1.2617
2.06186e-008,1.2625
2.06610e-008,1.2635
2.07034e-008,1.2638
2.07458e-008,1.2632
2.07882e-008,1.2622
2.08307e-008,1.2617
2.08731e-008,1.2622
2.09155e-008,1.2631
2.09580e-008,1.2637
2.10004e-008,1.2638
2.10428e-008,1.2635
2.10852e-008,1.2633
2.11277e-008,1.2632
2.11701e-008,1.2631
2.12125e-008,1.2630
2.12549e-008,1.2628
2.12973e-008,1.2627
2.13398e-008,1.2628
2.13822e-008,1.2631
2.14246e-008,1.2632
2.14671e-008,1.2563
2.15095e-008,1.1376
2.15519e-008,0.8964
