.HEADER
..NAMES
Time,V U1.J24
.DATA
0.0e+000,0.2169
4.24e-011,0.2169
8.49e-011,0.2169
1.273e-010,0.2169
1.697e-010,0.2169
2.121e-010,0.2169
2.545e-010,0.2169
2.970e-010,0.2169
3.394e-010,0.2169
3.818e-010,0.2173
4.242e-010,0.3200
4.667e-010,0.5007
5.091e-010,0.6892
5.515e-010,0.8881
5.940e-010,1.0183
6.364e-010,1.0958
6.788e-010,1.1444
7.212e-010,1.1649
7.636e-010,1.1849
8.061e-010,1.1942
8.485e-010,1.1984
8.909e-010,1.2020
9.333e-010,1.2093
9.758e-010,1.2227
1.0182e-009,1.2150
1.0606e-009,1.1974
1.1030e-009,1.1812
1.1455e-009,1.1679
1.1879e-009,1.1911
1.2303e-009,1.2264
1.2728e-009,1.2495
1.3152e-009,1.2509
1.3576e-009,1.0892
1.4000e-009,0.8288
1.4425e-009,0.6491
1.4849e-009,0.4813
1.5273e-009,0.3761
1.5697e-009,0.3290
1.6121e-009,0.2944
1.6546e-009,0.2859
1.6970e-009,0.2793
1.7394e-009,0.2758
1.7819e-009,0.2738
1.8243e-009,0.2692
1.8667e-009,0.2576
1.9091e-009,0.2431
1.9516e-009,0.2687
1.9940e-009,0.3050
2.0364e-009,0.3127
2.0788e-009,0.3112
2.1213e-009,0.2686
2.1637e-009,0.2207
2.2061e-009,0.2127
2.2485e-009,0.2096
2.2910e-009,0.2177
2.3334e-009,0.2267
2.3758e-009,0.2239
2.4182e-009,0.2239
2.4606e-009,0.2221
2.5031e-009,0.2176
2.5455e-009,0.2178
2.5879e-009,0.2179
2.6303e-009,0.2142
2.6728e-009,0.2128
2.7152e-009,0.2182
2.7576e-009,0.2217
2.8000e-009,0.2195
2.8425e-009,0.2167
2.8849e-009,0.2089
2.9273e-009,0.2059
2.9698e-009,0.2138
3.0122e-009,0.2186
3.0546e-009,0.2210
3.0970e-009,0.2208
3.1395e-009,0.2168
3.1819e-009,0.2163
3.2243e-009,0.2757
3.2667e-009,0.4467
3.3092e-009,0.6228
3.3516e-009,0.8396
3.3940e-009,0.9871
3.4364e-009,1.0756
3.4789e-009,1.1333
3.5213e-009,1.1591
3.5637e-009,1.1811
3.6061e-009,1.1917
3.6485e-009,1.1959
3.6910e-009,1.1994
3.7334e-009,1.2072
3.7758e-009,1.2212
3.8183e-009,1.2204
3.8607e-009,1.2019
3.9031e-009,1.1854
3.9455e-009,1.1685
3.9879e-009,1.1805
4.0304e-009,1.2170
4.0728e-009,1.2435
4.1152e-009,1.2631
4.1577e-009,1.2626
4.2001e-009,1.2533
4.2425e-009,1.2511
4.2849e-009,1.2507
4.3274e-009,1.2543
4.3698e-009,1.2593
4.4122e-009,1.2602
4.4546e-009,1.2608
4.4970e-009,1.2632
4.5395e-009,1.2651
4.5819e-009,1.2645
4.6243e-009,1.2619
4.6668e-009,1.2608
4.7092e-009,1.2606
4.7516e-009,1.2651
4.7940e-009,1.2707
4.8364e-009,1.2699
4.8789e-009,1.2668
4.9213e-009,1.2620
4.9637e-009,1.2589
5.0062e-009,1.2609
5.0486e-009,1.2627
5.0910e-009,1.2642
5.1334e-009,1.2650
5.1758e-009,1.2637
5.2183e-009,1.2631
5.2607e-009,1.2635
5.3031e-009,1.2636
5.3456e-009,1.2634
5.3880e-009,1.2631
5.4304e-009,1.2630
5.4728e-009,1.2631
5.5153e-009,1.2640
5.5577e-009,1.2646
5.6001e-009,1.2637
5.6425e-009,1.2628
5.6849e-009,1.2623
5.7274e-009,1.2626
5.7698e-009,1.2638
5.8122e-009,1.2642
5.8547e-009,1.2640
5.8971e-009,1.2637
5.9395e-009,1.2631
5.9819e-009,1.2630
6.0243e-009,1.2218
6.0668e-009,1.0048
6.1092e-009,0.8055
6.1516e-009,0.6183
6.1941e-009,0.4617
6.2365e-009,0.3675
6.2789e-009,0.3185
6.3213e-009,0.2943
6.3637e-009,0.2849
6.4062e-009,0.2778
6.4486e-009,0.2733
6.4910e-009,0.2727
6.5335e-009,0.2684
6.5759e-009,0.2539
6.6183e-009,0.2501
6.6607e-009,0.2784
6.7032e-009,0.2970
6.7456e-009,0.3066
6.7880e-009,0.2997
