.HEADER
..NAMES
Time,V U1.J25
.DATA
0.0e+000,1.2617
4.24e-011,1.2617
8.49e-011,1.2617
1.273e-010,1.2617
1.697e-010,1.2617
2.121e-010,1.2617
2.545e-010,1.2617
2.970e-010,1.2617
3.394e-010,1.2617
3.818e-010,1.2549
4.242e-010,1.1442
4.667e-010,0.9216
5.091e-010,0.7371
5.515e-010,0.5536
5.940e-010,0.4116
6.364e-010,0.3309
6.788e-010,0.2820
7.212e-010,0.2637
7.636e-010,0.2600
8.061e-010,0.2598
8.485e-010,0.2641
8.909e-010,0.2616
9.333e-010,0.2530
9.758e-010,0.2456
1.0182e-009,0.2349
1.0606e-009,0.2623
1.1030e-009,0.2939
1.1455e-009,0.2985
1.1879e-009,0.2988
1.2303e-009,0.2756
1.2728e-009,0.2310
1.3152e-009,0.2099
1.3576e-009,0.2813
1.4000e-009,0.4720
1.4425e-009,0.6688
1.4849e-009,0.8828
1.5273e-009,1.0262
1.5697e-009,1.1134
1.6121e-009,1.1681
1.6546e-009,1.1946
1.6970e-009,1.2048
1.7394e-009,1.2055
1.7819e-009,1.2020
1.8243e-009,1.2030
1.8667e-009,1.2182
1.9091e-009,1.2311
1.9516e-009,1.2406
1.9940e-009,1.2184
2.0364e-009,1.1863
2.0788e-009,1.1685
2.1213e-009,1.1654
2.1637e-009,1.1936
2.2061e-009,1.2369
2.2485e-009,1.2620
2.2910e-009,1.2708
2.3334e-009,1.2659
2.3758e-009,1.2575
2.4182e-009,1.2537
2.4606e-009,1.2528
2.5031e-009,1.2513
2.5455e-009,1.2528
2.5879e-009,1.2544
2.6303e-009,1.2585
2.6728e-009,1.2642
2.7152e-009,1.2660
2.7576e-009,1.2658
2.8000e-009,1.2596
2.8425e-009,1.2552
2.8849e-009,1.2578
2.9273e-009,1.2619
2.9698e-009,1.2673
3.0122e-009,1.2707
3.0546e-009,1.2675
3.0970e-009,1.2619
3.1395e-009,1.2586
3.1819e-009,1.2569
3.2243e-009,1.1978
3.2667e-009,0.9873
3.3092e-009,0.7956
3.3516e-009,0.6043
3.3940e-009,0.4487
3.4364e-009,0.3501
3.4789e-009,0.2956
3.5213e-009,0.2667
3.5637e-009,0.2613
3.6061e-009,0.2576
3.6485e-009,0.2604
3.6910e-009,0.2642
3.7334e-009,0.2560
3.7758e-009,0.2507
3.8183e-009,0.2364
3.8607e-009,0.2497
3.9031e-009,0.2867
3.9455e-009,0.2969
3.9879e-009,0.2997
4.0304e-009,0.2874
4.0728e-009,0.2442
4.1152e-009,0.2137
4.1577e-009,0.2057
4.2001e-009,0.2050
4.2425e-009,0.2112
4.2849e-009,0.2177
4.3274e-009,0.2200
4.3698e-009,0.2240
4.4122e-009,0.2231
4.4546e-009,0.2216
4.4970e-009,0.2192
4.5395e-009,0.2147
4.5819e-009,0.2135
4.6243e-009,0.2116
4.6668e-009,0.2148
4.7092e-009,0.2224
4.7516e-009,0.2199
4.7940e-009,0.2153
4.8364e-009,0.2134
4.8789e-009,0.2088
4.9213e-009,0.2089
4.9637e-009,0.2147
5.0062e-009,0.2180
5.0486e-009,0.2190
5.0910e-009,0.2345
5.1334e-009,0.3705
5.1758e-009,0.5437
5.2183e-009,0.7529
5.2607e-009,0.9277
5.3031e-009,1.0496
5.3456e-009,1.1251
5.3880e-009,1.1715
5.4304e-009,1.1936
5.4728e-009,1.2077
5.5153e-009,1.2098
5.5577e-009,1.2063
5.6001e-009,1.2112
5.6425e-009,1.2166
5.6849e-009,1.2316
5.7274e-009,1.2317
5.7698e-009,1.2075
5.8122e-009,1.1901
5.8547e-009,1.1744
5.8971e-009,1.1781
5.9395e-009,1.2101
5.9819e-009,1.2425
6.0243e-009,1.2296
6.0668e-009,1.0259
6.1092e-009,0.7939
6.1516e-009,0.5955
6.1941e-009,0.4418
6.2365e-009,0.3410
6.2789e-009,0.2887
6.3213e-009,0.2575
6.3637e-009,0.2544
6.4062e-009,0.2572
6.4486e-009,0.2638
6.4910e-009,0.2703
6.5335e-009,0.2591
6.5759e-009,0.2462
6.6183e-009,0.2319
6.6607e-009,0.2398
6.7032e-009,0.2866
6.7456e-009,0.3096
6.7880e-009,0.3099
6.8304e-009,0.2937
6.8728e-009,0.2466
6.9153e-009,0.2068
6.9577e-009,0.2057
7.0001e-009,0.3527
7.0426e-009,0.5588
7.0850e-009,0.7708
7.1274e-009,0.9487
7.1698e-009,1.0685
7.2122e-009,1.1399
7.2547e-009,1.1834
7.2971e-009,1.1994
7.3395e-009,1.2053
7.3820e-009,1.2024
7.4244e-009,1.1990
7.4668e-009,1.2099
7.5092e-009,1.2259
7.5516e-009,1.2392
7.5941e-009,1.2357
7.6365e-009,1.2012
7.6789e-009,1.1755
7.7213e-009,1.1637
7.7638e-009,1.1750
7.8062e-009,1.2148
7.8486e-009,1.2517
7.8910e-009,1.2471
7.9335e-009,1.0729
7.9759e-009,0.8260
8.0183e-009,0.6295
8.0608e-009,0.4665
8.1032e-009,0.3549
8.1456e-009,0.2957
8.1880e-009,0.2599
8.2305e-009,0.2548
8.2729e-009,0.2590
8.3153e-009,0.2662
8.3577e-009,0.2712
8.4001e-009,0.2603
8.4426e-009,0.2449
8.4850e-009,0.2329
8.5274e-009,0.2354
8.5698e-009,0.2812
8.6123e-009,0.3113
8.6547e-009,0.3112
8.6971e-009,0.2972
8.7396e-009,0.2544
8.7820e-009,0.2102
8.8244e-009,0.2002
8.8668e-009,0.3168
8.9093e-009,0.5214
8.9517e-009,0.7251
8.9941e-009,0.9190
9.0365e-009,1.0496
9.0790e-009,1.1279
9.1214e-009,1.1777
9.1638e-009,1.1970
9.2062e-009,1.2041
9.2486e-009,1.2023
9.2911e-009,1.1994
9.3335e-009,1.2074
9.3759e-009,1.2244
9.4183e-009,1.2366
9.4608e-009,1.2387
9.5032e-009,1.2078
9.5456e-009,1.1788
9.5881e-009,1.1654
9.6305e-009,1.1708
9.6729e-009,1.2061
9.7153e-009,1.2462
9.7578e-009,1.2649
9.8002e-009,1.2697
9.8426e-009,1.2637
9.8850e-009,1.2564
9.9274e-009,1.2541
9.9699e-009,1.2522
1.00123e-008,1.2512
1.00547e-008,1.2531
1.00971e-008,1.2556
1.01396e-008,1.2609
1.01820e-008,1.2656
1.02244e-008,1.2662
1.02668e-008,1.2646
1.03093e-008,1.2576
