.HEADER
..NAMES
Time,V U1.U24
.DATA
1.03941e-008,0.2169
1.04366e-008,0.2166
1.04790e-008,0.2163
1.05214e-008,0.2153
1.05638e-008,0.2153
1.06063e-008,0.2156
1.06487e-008,0.2157
1.06911e-008,0.2163
1.07335e-008,0.2162
1.07759e-008,0.2156
1.08184e-008,0.2159
1.08608e-008,0.2161
1.09032e-008,0.2158
1.09456e-008,0.2159
1.09881e-008,0.2161
1.10305e-008,0.2156
1.10729e-008,0.2156
1.11154e-008,0.2162
1.11578e-008,0.2162
1.12002e-008,0.2159
1.12426e-008,0.2159
1.12851e-008,0.2157
1.13275e-008,0.2158
1.13699e-008,0.2160
1.14123e-008,0.2160
1.14548e-008,0.2161
1.14972e-008,0.2160
1.15396e-008,0.2158
1.15820e-008,0.2159
1.16244e-008,0.2160
1.16669e-008,0.2159
1.17093e-008,0.2159
1.17517e-008,0.2160
1.17941e-008,0.2159
1.18366e-008,0.2159
1.18790e-008,0.2160
1.19214e-008,0.2160
1.19639e-008,0.2159
1.20063e-008,0.2159
1.20487e-008,0.2159
1.20911e-008,0.2160
1.21336e-008,0.2160
1.21760e-008,0.2160
1.22184e-008,0.2160
1.22608e-008,0.2160
1.23032e-008,0.2159
1.23457e-008,0.2160
1.23881e-008,0.2160
1.24305e-008,0.2160
1.24729e-008,0.2160
1.25154e-008,0.2160
1.25578e-008,0.2160
1.26002e-008,0.2529
1.26427e-008,0.4146
1.26851e-008,0.5875
1.27275e-008,0.8055
1.27699e-008,0.9651
1.28124e-008,1.0680
1.28548e-008,1.1262
1.28972e-008,1.1613
1.29396e-008,1.1795
1.29821e-008,1.1931
1.30245e-008,1.2001
1.30669e-008,1.2022
1.31093e-008,1.2076
1.31517e-008,1.2226
1.31942e-008,1.2271
1.32366e-008,1.2110
1.32790e-008,1.1980
1.33214e-008,1.1791
1.33639e-008,1.1774
1.34063e-008,1.2095
1.34487e-008,1.2422
1.34912e-008,1.2631
1.35336e-008,1.2733
1.35760e-008,1.2653
1.36184e-008,1.2569
1.36609e-008,1.2547
1.37033e-008,1.2548
1.37457e-008,1.2589
1.37881e-008,1.2617
1.38306e-008,1.2614
1.38730e-008,1.2621
1.39154e-008,1.2654
1.39578e-008,1.2664
1.40002e-008,1.2638
1.40427e-008,1.2624
1.40851e-008,1.2611
1.41275e-008,1.2609
1.41699e-008,1.2671
1.42124e-008,1.2714
1.42548e-008,1.2694
1.42972e-008,1.2665
1.43397e-008,1.2619
1.43821e-008,1.2595
1.44245e-008,1.2614
1.44669e-008,1.2633
1.45094e-008,1.2647
1.45518e-008,1.2654
1.45942e-008,1.2641
1.46366e-008,1.2635
1.46790e-008,1.2642
1.47215e-008,1.2643
1.47639e-008,1.2637
1.48063e-008,1.2636
1.48487e-008,1.2635
1.48912e-008,1.2633
1.49336e-008,1.2644
1.49760e-008,1.2653
1.50185e-008,1.2643
1.50609e-008,1.2634
1.51033e-008,1.2629
1.51457e-008,1.2629
1.51881e-008,1.2639
1.52306e-008,1.2646
1.52730e-008,1.2645
1.53154e-008,1.2643
1.53579e-008,1.2637
1.54003e-008,1.2410
1.54427e-008,1.0493
1.54851e-008,0.8367
1.55276e-008,0.6510
1.55700e-008,0.4855
1.56124e-008,0.3729
1.56548e-008,0.3242
1.56972e-008,0.2948
1.57397e-008,0.2844
1.57821e-008,0.2764
1.58245e-008,0.2717
1.58670e-008,0.2698
1.59094e-008,0.2673
1.59518e-008,0.2503
1.59942e-008,0.2414
1.60366e-008,0.2679
1.60791e-008,0.2867
1.61215e-008,0.2950
1.61639e-008,0.3014
1.62064e-008,0.2687
1.62488e-008,0.2236
1.62912e-008,0.2103
1.63336e-008,0.2069
1.63761e-008,0.3584
1.64185e-008,0.5699
1.64609e-008,0.7756
1.65033e-008,0.9525
1.65457e-008,1.0641
1.65882e-008,1.1198
1.66306e-008,1.1577
1.66730e-008,1.1774
1.67155e-008,1.1892
1.67579e-008,1.1937
1.68003e-008,1.2020
1.68427e-008,1.2072
1.68851e-008,1.2200
1.69276e-008,1.2343
1.69700e-008,1.2132
1.70124e-008,1.1873
1.70548e-008,1.1757
1.70973e-008,1.1711
1.71397e-008,1.2003
1.71821e-008,1.2447
1.72246e-008,1.2642
1.72670e-008,1.2525
1.73094e-008,1.0613
1.73518e-008,0.8073
1.73942e-008,0.6248
1.74367e-008,0.4673
1.74791e-008,0.3633
1.75215e-008,0.3212
1.75640e-008,0.2932
1.76064e-008,0.2812
1.76488e-008,0.2761
1.76912e-008,0.2757
1.77336e-008,0.2706
1.77761e-008,0.2641
1.78185e-008,0.2476
1.78609e-008,0.2354
1.79033e-008,0.2670
1.79458e-008,0.3000
1.79882e-008,0.3044
